,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
997536,APTV,2017-12-08,84.96,85.93,84.23,85.22,2668647.0,0.0,1.0,84.96,85.93,84.23,85.22,2668647.0
997537,APTV,2017-12-11,86.3,86.94,85.04,85.89,3693957.0,0.0,1.0,86.3,86.94,85.04,85.89,3693957.0
997538,APTV,2017-12-12,86.61,86.62,85.38,85.67,2630369.0,0.0,1.0,86.61,86.62,85.38,85.67,2630369.0
997539,APTV,2017-12-13,85.99,86.07,83.44,83.56,2091885.0,0.0,1.0,85.99,86.07,83.44,83.56,2091885.0
997540,APTV,2017-12-14,84.13,84.63,82.97,83.05,2009248.0,0.0,1.0,84.13,84.63,82.97,83.05,2009248.0
997541,APTV,2017-12-15,83.92,84.48,83.42,84.4,2782046.0,0.0,1.0,83.92,84.48,83.42,84.4,2782046.0
997542,APTV,2017-12-18,85.24,85.47,84.13,84.24,1660870.0,0.0,1.0,85.24,85.47,84.13,84.24,1660870.0
997543,APTV,2017-12-19,84.905,86.91,84.65,85.62,2232703.0,0.0,1.0,84.905,86.91,84.65,85.62,2232703.0
997544,APTV,2017-12-20,85.82,86.39,85.3,85.87,1633035.0,0.0,1.0,85.82,86.39,85.3,85.87,1633035.0
997545,APTV,2017-12-21,86.78,86.79,84.88,84.98,1645235.0,0.0,1.0,86.78,86.79,84.88,84.98,1645235.0
997546,APTV,2017-12-22,84.7,85.19,84.16,84.79,906296.0,0.0,1.0,84.7,85.19,84.16,84.79,906296.0
997547,APTV,2017-12-26,84.64,85.12,84.46,84.88,335577.0,0.0,1.0,84.64,85.12,84.46,84.88,335577.0
997548,APTV,2017-12-27,85.03,85.47,84.61,84.73,682731.0,0.0,1.0,85.03,85.47,84.61,84.73,682731.0
997549,APTV,2017-12-28,85.03,85.59,84.72,85.56,960937.0,0.0,1.0,85.03,85.59,84.72,85.56,960937.0
997550,APTV,2017-12-29,85.65,85.97,84.83,84.83,878510.0,0.0,1.0,85.65,85.97,84.83,84.83,878510.0
997551,APTV,2018-01-02,84.89,86.454,84.5,86.11,1469581.0,0.0,1.0,84.89,86.454,84.5,86.11,1469581.0
997552,APTV,2018-01-03,86.09,87.86,85.73,87.54,1531243.0,0.0,1.0,86.09,87.86,85.73,87.54,1531243.0
997553,APTV,2018-01-04,87.94,89.42,87.94,88.91,1743411.0,0.0,1.0,87.94,89.42,87.94,88.91,1743411.0
997554,APTV,2018-01-05,89.8,91.71,89.5175,91.57,2241445.0,0.0,1.0,89.8,91.71,89.5175,91.57,2241445.0
997555,APTV,2018-01-08,92.5,92.97,91.12,91.93,1764240.0,0.0,1.0,92.5,92.97,91.12,91.93,1764240.0
997556,APTV,2018-01-09,92.29,93.69,92.23,92.75,2749377.0,0.0,1.0,92.29,93.69,92.23,92.75,2749377.0
997557,APTV,2018-01-10,92.19,92.44,90.18,90.46,2269456.0,0.0,1.0,92.19,92.44,90.18,90.46,2269456.0
997558,APTV,2018-01-11,90.56,92.27,90.14,92.06,2025055.0,0.0,1.0,90.56,92.27,90.14,92.06,2025055.0
997559,APTV,2018-01-12,92.33,93.2931,92.06,92.91,1401566.0,0.0,1.0,92.33,93.2931,92.06,92.91,1401566.0
997560,APTV,2018-01-16,93.96,94.02,92.19,92.56,2327048.0,0.0,1.0,93.96,94.02,92.19,92.56,2327048.0
997561,APTV,2018-01-17,92.38,94.18,91.93,93.56,2094302.0,0.0,1.0,92.38,94.18,91.93,93.56,2094302.0
997562,APTV,2018-01-18,93.92,94.0,92.45,93.1,1416470.0,0.0,1.0,93.92,94.0,92.45,93.1,1416470.0
997563,APTV,2018-01-19,93.47,94.04,92.74,93.52,2207305.0,0.0,1.0,93.47,94.04,92.74,93.52,2207305.0
997564,APTV,2018-01-22,94.09,94.38,92.18,93.55,1640605.0,0.0,1.0,94.09,94.38,92.18,93.55,1640605.0
997565,APTV,2018-01-23,93.23,93.55,92.32,92.83,1477041.0,0.0,1.0,93.23,93.55,92.32,92.83,1477041.0
