,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
1121356,ARX,2010-11-19,12.67,13.85,12.6,13.5,5534100.0,0.0,1.0,12.67,13.85,12.6,13.5,5534100.0
1121357,ARX,2010-11-22,13.49,14.37,13.27,14.09,282600.0,0.0,1.0,13.49,14.37,13.27,14.09,282600.0
1121358,ARX,2010-11-23,14.37,14.7,14.07,14.55,509800.0,0.0,1.0,14.37,14.7,14.07,14.55,509800.0
1121359,ARX,2010-11-24,14.2,14.81,13.88,14.4,243300.0,0.0,1.0,14.2,14.81,13.88,14.4,243300.0
1121360,ARX,2010-11-26,14.15,14.5,14.05,14.33,52600.0,0.0,1.0,14.15,14.5,14.05,14.33,52600.0
1121361,ARX,2010-11-29,14.1,14.5,14.02,14.46,78300.0,0.0,1.0,14.1,14.5,14.02,14.46,78300.0
1121362,ARX,2010-11-30,14.15,14.8,14.15,14.41,33000.0,0.0,1.0,14.15,14.8,14.15,14.41,33000.0
1121363,ARX,2010-12-01,14.64,15.43,14.5,15.31,41600.0,0.0,1.0,14.64,15.43,14.5,15.31,41600.0
1121364,ARX,2010-12-02,15.25,15.7,15.25,15.61,156600.0,0.0,1.0,15.25,15.7,15.25,15.61,156600.0
1121365,ARX,2010-12-03,15.78,15.99,15.29,15.87,122500.0,0.0,1.0,15.78,15.99,15.29,15.87,122500.0
1121366,ARX,2010-12-06,16.07,16.78,15.91,16.4,402900.0,0.0,1.0,16.07,16.78,15.91,16.4,402900.0
1121367,ARX,2010-12-07,16.75,16.75,16.18,16.4,143900.0,0.0,1.0,16.75,16.75,16.18,16.4,143900.0
1121368,ARX,2010-12-08,16.21,16.75,16.0,16.6,205000.0,0.0,1.0,16.21,16.75,16.0,16.6,205000.0
1121369,ARX,2010-12-09,16.56,16.82,16.35,16.5,209200.0,0.0,1.0,16.56,16.82,16.35,16.5,209200.0
1121370,ARX,2010-12-10,16.28,16.68,16.14,16.61,261400.0,0.0,1.0,16.28,16.68,16.14,16.61,261400.0
1121371,ARX,2010-12-13,16.75,16.75,15.59,15.98,308600.0,0.0,1.0,16.75,16.75,15.59,15.98,308600.0
1121372,ARX,2010-12-14,15.91,15.91,14.86,15.3,588200.0,0.0,1.0,15.91,15.91,14.86,15.3,588200.0
1121373,ARX,2010-12-15,15.16,15.61,15.0,15.41,410400.0,0.0,1.0,15.16,15.61,15.0,15.41,410400.0
1121374,ARX,2010-12-16,15.37,16.61,15.15,15.98,394600.0,0.0,1.0,15.37,16.61,15.15,15.98,394600.0
1121375,ARX,2010-12-17,15.9,15.9,15.34,15.46,68600.0,0.0,1.0,15.9,15.9,15.34,15.46,68600.0
1121376,ARX,2010-12-20,15.38,15.38,14.97,15.19,140700.0,0.0,1.0,15.38,15.38,14.97,15.19,140700.0
1121377,ARX,2010-12-21,15.13,15.33,15.0,15.25,129200.0,0.0,1.0,15.13,15.33,15.0,15.25,129200.0
1121378,ARX,2010-12-22,15.17,15.28,15.0,15.06,104200.0,0.0,1.0,15.17,15.28,15.0,15.06,104200.0
1121379,ARX,2010-12-23,15.0,15.43,15.0,15.11,145000.0,0.0,1.0,15.0,15.43,15.0,15.11,145000.0
1121380,ARX,2010-12-27,15.06,15.69,14.8,15.6,83800.0,0.0,1.0,15.06,15.69,14.8,15.6,83800.0
1121381,ARX,2010-12-28,15.65,15.65,15.11,15.36,89500.0,0.0,1.0,15.65,15.65,15.11,15.36,89500.0
1121382,ARX,2010-12-29,15.27,15.9,15.06,15.77,160300.0,0.0,1.0,15.27,15.9,15.06,15.77,160300.0
1121383,ARX,2010-12-30,15.77,16.19,15.56,16.09,111500.0,0.0,1.0,15.77,16.19,15.56,16.09,111500.0
1121384,ARX,2010-12-31,16.05,16.49,16.0,16.45,214500.0,0.0,1.0,16.05,16.49,16.0,16.45,214500.0
1121385,ARX,2011-01-03,16.45,16.62,15.8,15.95,111500.0,0.0,1.0,16.45,16.62,15.8,15.95,111500.0
1121386,ARX,2011-01-04,16.43,16.5,15.05,15.28,187700.0,0.0,1.0,16.43,16.5,15.05,15.28,187700.0
1121387,ARX,2011-01-05,15.26,15.82,14.92,15.31,288600.0,0.0,1.0,15.26,15.82,14.92,15.31,288600.0
1121388,ARX,2011-01-06,15.25,15.74,15.25,15.42,102700.0,0.0,1.0,15.25,15.74,15.25,15.42,102700.0
1121389,ARX,2011-01-07,15.33,15.55,15.26,15.42,62900.0,0.0,1.0,15.33,15.55,15.26,15.42,62900.0
