,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
1849703,BJRI,1996-10-10,6.0,6.0,5.75,6.0,118400.0,0.0,1.0,6.0,6.0,5.75,6.0,118400.0
1849704,BJRI,1996-10-11,6.0,6.0,5.75,5.75,96900.0,0.0,1.0,6.0,6.0,5.75,5.75,96900.0
1849705,BJRI,1996-10-14,5.88,6.0,5.75,5.75,57400.0,0.0,1.0,5.88,6.0,5.75,5.75,57400.0
1849706,BJRI,1996-10-15,5.75,6.0,5.25,5.25,104700.0,0.0,1.0,5.75,6.0,5.25,5.25,104700.0
1849707,BJRI,1996-10-16,5.25,5.5,5.22,5.25,156700.0,0.0,1.0,5.25,5.5,5.22,5.25,156700.0
1849708,BJRI,1996-10-17,5.25,5.5,5.25,5.44,64000.0,0.0,1.0,5.25,5.5,5.25,5.44,64000.0
1849709,BJRI,1996-10-18,5.38,5.5,5.38,5.38,32700.0,0.0,1.0,5.38,5.5,5.38,5.38,32700.0
1849710,BJRI,1996-10-21,5.38,5.5,5.38,5.5,41900.0,0.0,1.0,5.38,5.5,5.38,5.5,41900.0
1849711,BJRI,1996-10-22,5.38,5.5,5.25,5.5,95600.0,0.0,1.0,5.38,5.5,5.25,5.5,95600.0
1849712,BJRI,1996-10-23,5.25,5.5,5.25,5.25,27800.0,0.0,1.0,5.25,5.5,5.25,5.25,27800.0
1849713,BJRI,1996-10-24,5.5,5.5,5.25,5.5,19400.0,0.0,1.0,5.5,5.5,5.25,5.5,19400.0
1849714,BJRI,1996-10-25,5.38,5.5,5.25,5.25,22300.0,0.0,1.0,5.38,5.5,5.25,5.25,22300.0
1849715,BJRI,1996-10-28,5.25,5.5,5.25,5.38,60400.0,0.0,1.0,5.25,5.5,5.25,5.38,60400.0
1849716,BJRI,1996-10-29,5.25,5.5,5.25,5.25,40200.0,0.0,1.0,5.25,5.5,5.25,5.25,40200.0
1849717,BJRI,1996-10-30,5.25,5.5,5.25,5.25,55800.0,0.0,1.0,5.25,5.5,5.25,5.25,55800.0
1849718,BJRI,1996-10-31,5.25,5.5,5.25,5.38,83500.0,0.0,1.0,5.25,5.5,5.25,5.38,83500.0
1849719,BJRI,1996-11-01,5.25,5.5,5.12,5.12,71500.0,0.0,1.0,5.25,5.5,5.12,5.12,71500.0
1849720,BJRI,1996-11-04,5.5,5.5,5.12,5.12,39600.0,0.0,1.0,5.5,5.5,5.12,5.12,39600.0
1849721,BJRI,1996-11-05,5.38,5.38,5.06,5.06,29600.0,0.0,1.0,5.38,5.38,5.06,5.06,29600.0
1849722,BJRI,1996-11-06,5.5,5.5,5.12,5.5,14600.0,0.0,1.0,5.5,5.5,5.12,5.5,14600.0
1849723,BJRI,1996-11-07,5.12,5.5,5.0,5.38,37600.0,0.0,1.0,5.12,5.5,5.0,5.38,37600.0
1849724,BJRI,1996-11-08,5.38,5.38,5.0,5.0,27300.0,0.0,1.0,5.38,5.38,5.0,5.0,27300.0
1849725,BJRI,1996-11-11,5.0,5.25,5.0,5.25,77900.0,0.0,1.0,5.0,5.25,5.0,5.25,77900.0
1849726,BJRI,1996-11-12,5.0,5.25,5.0,5.25,24300.0,0.0,1.0,5.0,5.25,5.0,5.25,24300.0
1849727,BJRI,1996-11-13,5.0,5.25,5.0,5.0,82600.0,0.0,1.0,5.0,5.25,5.0,5.0,82600.0
1849728,BJRI,1996-11-14,5.0,5.25,5.0,5.25,166000.0,0.0,1.0,5.0,5.25,5.0,5.25,166000.0
1849729,BJRI,1996-11-15,5.25,5.25,5.0,5.03,44900.0,0.0,1.0,5.25,5.25,5.0,5.03,44900.0
1849730,BJRI,1996-11-18,5.25,5.38,5.0,5.38,40400.0,0.0,1.0,5.25,5.38,5.0,5.38,40400.0
1849731,BJRI,1996-11-19,5.0,5.5,5.0,5.0,88700.0,0.0,1.0,5.0,5.5,5.0,5.0,88700.0
1849732,BJRI,1996-11-20,5.19,5.38,5.0,5.0,30700.0,0.0,1.0,5.19,5.38,5.0,5.0,30700.0
1849733,BJRI,1996-11-21,5.0,5.38,5.0,5.0,79000.0,0.0,1.0,5.0,5.38,5.0,5.0,79000.0
1849734,BJRI,1996-11-22,5.0,5.38,5.0,5.0,82400.0,0.0,1.0,5.0,5.38,5.0,5.0,82400.0
1849735,BJRI,1996-11-25,5.25,5.25,5.0,5.0,20500.0,0.0,1.0,5.25,5.25,5.0,5.0,20500.0
1849736,BJRI,1996-11-26,5.0,5.38,5.0,5.0,31500.0,0.0,1.0,5.0,5.38,5.0,5.0,31500.0
1849737,BJRI,1996-11-27,5.25,5.5,5.0,5.38,40700.0,0.0,1.0,5.25,5.5,5.0,5.38,40700.0
1849738,BJRI,1996-11-29,5.0,5.38,5.0,5.38,23300.0,0.0,1.0,5.0,5.38,5.0,5.38,23300.0
1849739,BJRI,1996-12-02,5.19,5.38,5.0,5.0,29100.0,0.0,1.0,5.19,5.38,5.0,5.0,29100.0
1849740,BJRI,1996-12-03,5.0,5.38,5.0,5.0,45200.0,0.0,1.0,5.0,5.38,5.0,5.0,45200.0
1849741,BJRI,1996-12-04,5.38,5.38,5.0,5.38,32000.0,0.0,1.0,5.38,5.38,5.0,5.38,32000.0
1849742,BJRI,1996-12-05,5.0,5.38,5.0,5.12,115000.0,0.0,1.0,5.0,5.38,5.0,5.12,115000.0
1849743,BJRI,1996-12-06,5.0,5.38,5.0,5.0,48300.0,0.0,1.0,5.0,5.38,5.0,5.0,48300.0
1849744,BJRI,1996-12-09,5.0,5.38,5.0,5.38,23200.0,0.0,1.0,5.0,5.38,5.0,5.38,23200.0
1849745,BJRI,1996-12-10,5.0,5.38,5.0,5.25,35800.0,0.0,1.0,5.0,5.38,5.0,5.25,35800.0
1849746,BJRI,1996-12-11,5.0,5.38,5.0,5.0,143600.0,0.0,1.0,5.0,5.38,5.0,5.0,143600.0
1849747,BJRI,1996-12-12,5.0,5.38,5.0,5.19,25600.0,0.0,1.0,5.0,5.38,5.0,5.19,25600.0
1849748,BJRI,1996-12-13,5.0,5.11,5.0,5.0,32200.0,0.0,1.0,5.0,5.11,5.0,5.0,32200.0
1849749,BJRI,1996-12-16,5.0,5.38,5.0,5.0,57400.0,0.0,1.0,5.0,5.38,5.0,5.0,57400.0
1849750,BJRI,1996-12-17,5.38,5.38,5.0,5.31,52900.0,0.0,1.0,5.38,5.38,5.0,5.31,52900.0
1849751,BJRI,1996-12-18,5.0,5.38,5.0,5.0,157100.0,0.0,1.0,5.0,5.38,5.0,5.0,157100.0
1849752,BJRI,1996-12-19,5.0,5.12,5.0,5.12,55800.0,0.0,1.0,5.0,5.12,5.0,5.12,55800.0
1849753,BJRI,1996-12-20,5.0,5.12,5.0,5.12,19300.0,0.0,1.0,5.0,5.12,5.0,5.12,19300.0
1849754,BJRI,1996-12-23,5.0,5.12,5.0,5.0,54400.0,0.0,1.0,5.0,5.12,5.0,5.0,54400.0
1849755,BJRI,1996-12-24,5.0,5.12,5.0,5.0,1400.0,0.0,1.0,5.0,5.12,5.0,5.0,1400.0
1849756,BJRI,1996-12-26,5.0,5.12,5.0,5.03,12600.0,0.0,1.0,5.0,5.12,5.0,5.03,12600.0
1849757,BJRI,1996-12-27,5.0,5.0,5.0,5.0,800.0,0.0,1.0,5.0,5.0,5.0,5.0,800.0
1849758,BJRI,1996-12-30,5.0,5.12,5.0,5.06,35500.0,0.0,1.0,5.0,5.12,5.0,5.06,35500.0
1849759,BJRI,1996-12-31,5.12,5.12,5.0,5.0,38000.0,0.0,1.0,5.12,5.12,5.0,5.0,38000.0
1849760,BJRI,1997-01-02,5.12,5.12,5.0,5.12,7700.0,0.0,1.0,5.12,5.12,5.0,5.12,7700.0
1849761,BJRI,1997-01-03,5.0,5.12,5.0,5.0,36800.0,0.0,1.0,5.0,5.12,5.0,5.0,36800.0
1849762,BJRI,1997-01-06,5.0,5.25,5.0,5.12,87500.0,0.0,1.0,5.0,5.25,5.0,5.12,87500.0
1849763,BJRI,1997-01-07,5.0,5.25,5.0,5.0,10000.0,0.0,1.0,5.0,5.25,5.0,5.0,10000.0
1849764,BJRI,1997-01-08,5.0,5.25,4.75,5.25,168000.0,0.0,1.0,5.0,5.25,4.75,5.25,168000.0
1849765,BJRI,1997-01-09,5.25,5.25,5.0,5.0,34500.0,0.0,1.0,5.25,5.25,5.0,5.0,34500.0
1849766,BJRI,1997-01-10,5.0,5.25,5.0,5.0,58600.0,0.0,1.0,5.0,5.25,5.0,5.0,58600.0
1849767,BJRI,1997-01-13,5.0,5.25,5.0,5.12,40400.0,0.0,1.0,5.0,5.25,5.0,5.12,40400.0
1849768,BJRI,1997-01-14,5.0,5.12,5.0,5.12,45000.0,0.0,1.0,5.0,5.12,5.0,5.12,45000.0
1849769,BJRI,1997-01-15,5.0,5.25,5.0,5.0,46400.0,0.0,1.0,5.0,5.25,5.0,5.0,46400.0
1849770,BJRI,1997-01-16,5.25,5.25,5.0,5.0,20900.0,0.0,1.0,5.25,5.25,5.0,5.0,20900.0
1849771,BJRI,1997-01-17,5.0,5.25,5.0,5.0,24900.0,0.0,1.0,5.0,5.25,5.0,5.0,24900.0
1849772,BJRI,1997-01-20,5.25,5.62,5.0,5.0,107900.0,0.0,1.0,5.25,5.62,5.0,5.0,107900.0
1849773,BJRI,1997-01-21,5.0,5.38,5.0,5.0,20200.0,0.0,1.0,5.0,5.38,5.0,5.0,20200.0
1849774,BJRI,1997-01-22,5.38,5.38,5.0,5.0,26400.0,0.0,1.0,5.38,5.38,5.0,5.0,26400.0
1849775,BJRI,1997-01-23,5.38,5.38,5.0,5.0,57400.0,0.0,1.0,5.38,5.38,5.0,5.0,57400.0
1849776,BJRI,1997-01-24,5.0,5.25,5.0,5.0,100900.0,0.0,1.0,5.0,5.25,5.0,5.0,100900.0
1849777,BJRI,1997-01-27,5.0,5.12,5.0,5.0,37200.0,0.0,1.0,5.0,5.12,5.0,5.0,37200.0
1849778,BJRI,1997-01-28,5.0,5.12,5.0,5.0,41500.0,0.0,1.0,5.0,5.12,5.0,5.0,41500.0
1849779,BJRI,1997-01-29,5.0,5.12,5.0,5.12,22800.0,0.0,1.0,5.0,5.12,5.0,5.12,22800.0
1849780,BJRI,1997-01-30,5.12,5.12,5.0,5.0,14000.0,0.0,1.0,5.12,5.12,5.0,5.0,14000.0
1849781,BJRI,1997-01-31,5.0,5.12,5.0,5.0,15200.0,0.0,1.0,5.0,5.12,5.0,5.0,15200.0
1849782,BJRI,1997-02-03,5.12,5.12,5.0,5.0,1700.0,0.0,1.0,5.12,5.12,5.0,5.0,1700.0
1849783,BJRI,1997-02-04,5.0,5.12,5.0,5.0,51900.0,0.0,1.0,5.0,5.12,5.0,5.0,51900.0
1849784,BJRI,1997-02-05,5.25,5.5,5.0,5.0,75900.0,0.0,1.0,5.25,5.5,5.0,5.0,75900.0
1849785,BJRI,1997-02-06,5.0,5.38,5.0,5.0,5800.0,0.0,1.0,5.0,5.38,5.0,5.0,5800.0
1849786,BJRI,1997-02-07,5.0,5.5,5.0,5.0,36400.0,0.0,1.0,5.0,5.5,5.0,5.0,36400.0
1849787,BJRI,1997-02-10,5.0,5.38,5.0,5.0,56300.0,0.0,1.0,5.0,5.38,5.0,5.0,56300.0
1849788,BJRI,1997-02-11,5.0,5.0,4.0,5.0,188500.0,0.0,1.0,5.0,5.0,4.0,5.0,188500.0
1849789,BJRI,1997-02-12,5.0,5.0,5.0,5.0,29500.0,0.0,1.0,5.0,5.0,5.0,5.0,29500.0
1849790,BJRI,1997-02-13,5.0,5.25,5.0,5.0,24300.0,0.0,1.0,5.0,5.25,5.0,5.0,24300.0
1849791,BJRI,1997-02-14,5.25,5.38,5.0,5.0,34800.0,0.0,1.0,5.25,5.38,5.0,5.0,34800.0
1849792,BJRI,1997-02-18,5.03,5.38,5.0,5.12,35700.0,0.0,1.0,5.03,5.38,5.0,5.12,35700.0
1849793,BJRI,1997-02-19,5.0,5.25,5.0,5.25,6400.0,0.0,1.0,5.0,5.25,5.0,5.25,6400.0
1849794,BJRI,1997-02-20,5.25,5.38,4.0,5.0,73800.0,0.0,1.0,5.25,5.38,4.0,5.0,73800.0
1849795,BJRI,1997-02-21,5.25,5.38,5.0,5.19,34900.0,0.0,1.0,5.25,5.38,5.0,5.19,34900.0
1849796,BJRI,1997-02-24,5.12,5.38,5.0,5.38,20300.0,0.0,1.0,5.12,5.38,5.0,5.38,20300.0
1849797,BJRI,1997-02-25,5.0,5.38,5.0,5.0,13500.0,0.0,1.0,5.0,5.38,5.0,5.0,13500.0
1849798,BJRI,1997-02-26,5.25,5.25,5.0,5.25,10300.0,0.0,1.0,5.25,5.25,5.0,5.25,10300.0
1849799,BJRI,1997-02-27,5.0,5.38,5.0,5.0,16800.0,0.0,1.0,5.0,5.38,5.0,5.0,16800.0
1849800,BJRI,1997-02-28,5.0,5.38,4.97,5.38,49000.0,0.0,1.0,5.0,5.38,4.97,5.38,49000.0
1849801,BJRI,1997-03-03,5.0,5.0,5.0,5.0,3700.0,0.0,1.0,5.0,5.0,5.0,5.0,3700.0
1849802,BJRI,1997-03-04,5.0,5.25,5.0,5.0,10800.0,0.0,1.0,5.0,5.25,5.0,5.0,10800.0
1849803,BJRI,1997-03-05,5.0,5.38,5.0,5.38,43600.0,0.0,1.0,5.0,5.38,5.0,5.38,43600.0
1849804,BJRI,1997-03-06,5.25,5.38,5.0,5.0,11900.0,0.0,1.0,5.25,5.38,5.0,5.0,11900.0
1849805,BJRI,1997-03-07,5.25,5.38,5.0,5.25,31600.0,0.0,1.0,5.25,5.38,5.0,5.25,31600.0
1849806,BJRI,1997-03-10,5.38,5.38,5.0,5.38,21300.0,0.0,1.0,5.38,5.38,5.0,5.38,21300.0
1849807,BJRI,1997-03-11,5.0,5.38,5.0,5.12,25800.0,0.0,1.0,5.0,5.38,5.0,5.12,25800.0
1849808,BJRI,1997-03-12,5.0,5.0,2.56,3.62,104400.0,0.0,1.0,5.0,5.0,2.56,3.62,104400.0
1849809,BJRI,1997-03-13,3.88,3.88,2.12,3.0,257500.0,0.0,1.0,3.88,3.88,2.12,3.0,257500.0
1849810,BJRI,1997-03-14,3.0,3.0,2.25,2.75,194300.0,0.0,1.0,3.0,3.0,2.25,2.75,194300.0
1849811,BJRI,1997-03-17,2.38,2.62,2.25,2.25,37100.0,0.0,1.0,2.38,2.62,2.25,2.25,37100.0
1849812,BJRI,1997-03-18,2.38,2.88,2.38,2.88,26900.0,0.0,1.0,2.38,2.88,2.38,2.88,26900.0
1849813,BJRI,1997-03-19,2.25,2.88,2.25,2.38,20100.0,0.0,1.0,2.25,2.88,2.25,2.38,20100.0
1849814,BJRI,1997-03-20,2.62,3.25,2.38,2.75,98400.0,0.0,1.0,2.62,3.25,2.38,2.75,98400.0
1849815,BJRI,1997-03-21,2.75,3.0,2.38,2.38,86400.0,0.0,1.0,2.75,3.0,2.38,2.38,86400.0
1849816,BJRI,1997-03-24,2.75,2.75,1.62,1.88,80100.0,0.0,1.0,2.75,2.75,1.62,1.88,80100.0
1849817,BJRI,1997-03-25,2.25,2.25,1.75,2.0,90400.0,0.0,1.0,2.25,2.25,1.75,2.0,90400.0
1849818,BJRI,1997-03-26,2.12,2.12,2.0,2.0,13200.0,0.0,1.0,2.12,2.12,2.0,2.0,13200.0
1849819,BJRI,1997-03-27,2.0,2.12,1.75,1.75,32200.0,0.0,1.0,2.0,2.12,1.75,1.75,32200.0
1849820,BJRI,1997-03-31,2.0,2.0,1.25,1.28,75600.0,0.0,1.0,2.0,2.0,1.25,1.28,75600.0
1849821,BJRI,1997-04-01,1.62,2.0,1.44,1.5,43100.0,0.0,1.0,1.62,2.0,1.44,1.5,43100.0
1849822,BJRI,1997-04-02,1.5,1.88,1.5,1.69,25700.0,0.0,1.0,1.5,1.88,1.5,1.69,25700.0
1849823,BJRI,1997-04-03,1.75,2.0,1.5,2.0,25500.0,0.0,1.0,1.75,2.0,1.5,2.0,25500.0
1849824,BJRI,1997-04-04,1.75,1.88,1.69,1.75,11100.0,0.0,1.0,1.75,1.88,1.69,1.75,11100.0
1849825,BJRI,1997-04-07,1.69,2.0,1.69,1.75,24800.0,0.0,1.0,1.69,2.0,1.69,1.75,24800.0
1849826,BJRI,1997-04-08,1.69,1.81,1.62,1.81,49500.0,0.0,1.0,1.69,1.81,1.62,1.81,49500.0
1849827,BJRI,1997-04-09,1.69,1.81,1.62,1.75,54700.0,0.0,1.0,1.69,1.81,1.62,1.75,54700.0
1849828,BJRI,1997-04-10,1.75,1.75,1.44,1.69,56500.0,0.0,1.0,1.75,1.75,1.44,1.69,56500.0
1849829,BJRI,1997-04-11,1.5,1.56,1.44,1.5,36600.0,0.0,1.0,1.5,1.56,1.44,1.5,36600.0
1849830,BJRI,1997-04-14,1.56,1.69,0.88,1.19,80800.0,0.0,1.0,1.56,1.69,0.88,1.19,80800.0
1849831,BJRI,1997-04-15,1.19,1.62,1.06,1.62,12200.0,0.0,1.0,1.19,1.62,1.06,1.62,12200.0
1849832,BJRI,1997-04-16,1.69,1.69,1.12,1.12,16600.0,0.0,1.0,1.69,1.69,1.12,1.12,16600.0
1849833,BJRI,1997-04-17,1.12,1.25,1.12,1.12,15400.0,0.0,1.0,1.12,1.25,1.12,1.12,15400.0
1849834,BJRI,1997-04-18,1.25,1.62,1.12,1.12,18900.0,0.0,1.0,1.25,1.62,1.12,1.12,18900.0
1849835,BJRI,1997-04-21,1.12,1.62,1.12,1.19,14800.0,0.0,1.0,1.12,1.62,1.12,1.19,14800.0
