,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
2003626,BOFI,2005-03-16,11.55,11.55,11.26,11.5,74900.0,0.0,1.0,2.8875,2.8875,2.815,2.875,299600.0
2003627,BOFI,2005-03-17,11.46,11.52,11.4,11.52,25900.0,0.0,1.0,2.865,2.88,2.85,2.88,103600.0
2003628,BOFI,2005-03-18,11.5,11.53,11.4,11.5,29500.0,0.0,1.0,2.875,2.8825,2.85,2.875,118000.0
2003629,BOFI,2005-03-21,11.49,11.52,11.4,11.52,40700.0,0.0,1.0,2.8725,2.88,2.85,2.88,162800.0
2003630,BOFI,2005-03-22,11.519,11.519,11.07,11.45,87000.0,0.0,1.0,2.87975,2.87975,2.7675,2.8625,348000.0
2003631,BOFI,2005-03-23,11.4,11.5,11.4,11.5,43800.0,0.0,1.0,2.85,2.875,2.85,2.875,175200.0
2003632,BOFI,2005-03-24,11.45,11.5,11.4,11.4,19000.0,0.0,1.0,2.8625,2.875,2.85,2.85,76000.0
2003633,BOFI,2005-03-28,11.4,11.51,11.4,11.46,7400.0,0.0,1.0,2.85,2.8775,2.85,2.865,29600.0
2003634,BOFI,2005-03-29,11.5,11.5,10.46,11.23,89900.0,0.0,1.0,2.875,2.875,2.615,2.8075,359600.0
2003635,BOFI,2005-03-30,11.39,11.46,10.8,11.46,15700.0,0.0,1.0,2.8475,2.865,2.7,2.865,62800.0
2003636,BOFI,2005-03-31,11.21,11.42,11.21,11.24,2000.0,0.0,1.0,2.8025,2.855,2.8025,2.81,8000.0
2003637,BOFI,2005-04-01,11.3,11.45,11.25,11.29,6200.0,0.0,1.0,2.825,2.8625,2.8125,2.8225,24800.0
2003638,BOFI,2005-04-04,11.25,11.39,11.25,11.26,3800.0,0.0,1.0,2.8125,2.8475,2.8125,2.815,15200.0
2003639,BOFI,2005-04-05,11.25,11.37,11.0,11.1,30300.0,0.0,1.0,2.8125,2.8425,2.75,2.775,121200.0
2003640,BOFI,2005-04-06,11.0,11.1,11.0,11.0,112400.0,0.0,1.0,2.75,2.775,2.75,2.75,449600.0
2003641,BOFI,2005-04-07,11.05,11.1,11.0,11.02,22900.0,0.0,1.0,2.7625,2.775,2.75,2.755,91600.0
2003642,BOFI,2005-04-08,11.0,11.089,11.0,11.0,22200.0,0.0,1.0,2.75,2.77225,2.75,2.75,88800.0
2003643,BOFI,2005-04-11,11.0,11.44,11.0,11.07,16200.0,0.0,1.0,2.75,2.86,2.75,2.7675,64800.0
2003644,BOFI,2005-04-12,10.9,11.19,10.9,11.0,7100.0,0.0,1.0,2.725,2.7975,2.725,2.75,28400.0
2003645,BOFI,2005-04-13,11.0,11.24,11.0,11.03,19700.0,0.0,1.0,2.75,2.81,2.75,2.7575,78800.0
2003646,BOFI,2005-04-14,11.064,11.15,11.0,11.05,3500.0,0.0,1.0,2.766,2.7875,2.75,2.7625,14000.0
2003647,BOFI,2005-04-15,11.24,11.24,11.0,11.0,16300.0,0.0,1.0,2.81,2.81,2.75,2.75,65200.0
2003648,BOFI,2005-04-18,11.0,11.05,10.55,10.99,14000.0,0.0,1.0,2.75,2.7625,2.6375,2.7475,56000.0
2003649,BOFI,2005-04-19,10.55,10.97,10.55,10.73,5200.0,0.0,1.0,2.6375,2.7425,2.6375,2.6825,20800.0
2003650,BOFI,2005-04-20,10.6,10.84,10.6,10.7,1700.0,0.0,1.0,2.65,2.71,2.65,2.675,6800.0
2003651,BOFI,2005-04-21,10.7,10.7,9.8,9.86,31500.0,0.0,1.0,2.675,2.675,2.45,2.465,126000.0
2003652,BOFI,2005-04-22,10.02,10.02,9.5,9.75,38800.0,0.0,1.0,2.505,2.505,2.375,2.4375,155200.0
2003653,BOFI,2005-04-25,9.52,9.538,8.9,9.11,75800.0,0.0,1.0,2.38,2.3845,2.225,2.2775,303200.0
2003654,BOFI,2005-04-26,9.08,9.3,8.95,9.2,48400.0,0.0,1.0,2.27,2.325,2.2375,2.3,193600.0
2003655,BOFI,2005-04-27,9.15,10.25,9.15,10.02,15700.0,0.0,1.0,2.2875,2.5625,2.2875,2.505,62800.0
2003656,BOFI,2005-04-28,10.02,10.02,9.51,9.9,6300.0,0.0,1.0,2.505,2.505,2.3775,2.475,25200.0
2003657,BOFI,2005-04-29,9.51,10.05,9.51,9.83,15000.0,0.0,1.0,2.3775,2.5125,2.3775,2.4575,60000.0
2003658,BOFI,2005-05-02,10.09,10.09,9.5,9.64,13900.0,0.0,1.0,2.5225,2.5225,2.375,2.41,55600.0
2003659,BOFI,2005-05-03,9.5,9.75,9.5,9.52,7000.0,0.0,1.0,2.375,2.4375,2.375,2.38,28000.0
2003660,BOFI,2005-05-04,9.5,9.52,9.41,9.42,22000.0,0.0,1.0,2.375,2.38,2.3525,2.355,88000.0
2003661,BOFI,2005-05-05,9.42,10.15,9.42,9.65,8200.0,0.0,1.0,2.355,2.5375,2.355,2.4125,32800.0
2003662,BOFI,2005-05-06,9.65,9.67,9.51,9.65,6300.0,0.0,1.0,2.4125,2.4175,2.3775,2.4125,25200.0
2003663,BOFI,2005-05-09,9.55,10.08,9.55,10.08,7700.0,0.0,1.0,2.3875,2.52,2.3875,2.52,30800.0
2003664,BOFI,2005-05-10,10.14,10.44,10.0,10.3,7500.0,0.0,1.0,2.535,2.61,2.5,2.575,30000.0
2003665,BOFI,2005-05-11,10.45,10.45,10.0,10.0,31800.0,0.0,1.0,2.6125,2.6125,2.5,2.5,127200.0
