,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
2914055,CJES,2011-07-29,30.0,32.16,30.0,30.5,11385000.0,0.0,1.0,30.0,32.16,30.0,30.5,11385000.0
2914056,CJES,2011-08-01,31.1,32.25,30.26,32.06,1417600.0,0.0,1.0,31.1,32.25,30.26,32.06,1417600.0
2914057,CJES,2011-08-02,31.9,32.94,31.31,31.4,950400.0,0.0,1.0,31.9,32.94,31.31,31.4,950400.0
2914058,CJES,2011-08-03,31.7,32.8,30.12,32.8,601800.0,0.0,1.0,31.7,32.8,30.12,32.8,601800.0
2914059,CJES,2011-08-04,32.51,32.51,27.89,30.58,1442200.0,0.0,1.0,32.51,32.51,27.89,30.58,1442200.0
2914060,CJES,2011-08-05,31.1,31.1,27.32,28.16,844100.0,0.0,1.0,31.1,31.1,27.32,28.16,844100.0
2914061,CJES,2011-08-08,26.77,27.41,23.43,24.66,833600.0,0.0,1.0,26.77,27.41,23.43,24.66,833600.0
2914062,CJES,2011-08-09,24.95,25.98,23.75,24.99,410800.0,0.0,1.0,24.95,25.98,23.75,24.99,410800.0
2914063,CJES,2011-08-10,24.85,25.88,22.69,24.8,463100.0,0.0,1.0,24.85,25.88,22.69,24.8,463100.0
2914064,CJES,2011-08-11,25.07,26.59,25.07,25.85,435000.0,0.0,1.0,25.07,26.59,25.07,25.85,435000.0
2914065,CJES,2011-08-12,26.2,26.99,26.07,26.59,527200.0,0.0,1.0,26.2,26.99,26.07,26.59,527200.0
2914066,CJES,2011-08-15,27.02,27.33,26.29,26.75,517200.0,0.0,1.0,27.02,27.33,26.29,26.75,517200.0
2914067,CJES,2011-08-16,26.51,26.98,26.3,26.61,257600.0,0.0,1.0,26.51,26.98,26.3,26.61,257600.0
2914068,CJES,2011-08-17,26.84,27.61,26.58,27.14,482100.0,0.0,1.0,26.84,27.61,26.58,27.14,482100.0
2914069,CJES,2011-08-18,26.4,26.56,24.5,24.54,306800.0,0.0,1.0,26.4,26.56,24.5,24.54,306800.0
2914070,CJES,2011-08-19,23.88,24.73,22.99,22.99,506100.0,0.0,1.0,23.88,24.73,22.99,22.99,506100.0
2914071,CJES,2011-08-22,23.35,23.7397,21.5,23.0,618600.0,0.0,1.0,23.35,23.7397,21.5,23.0,618600.0
2914072,CJES,2011-08-23,23.0,23.41,21.64,23.32,845800.0,0.0,1.0,23.0,23.41,21.64,23.32,845800.0
2914073,CJES,2011-08-24,23.18,24.26,23.02,24.25,202600.0,0.0,1.0,23.18,24.26,23.02,24.25,202600.0
2914074,CJES,2011-08-25,24.31,24.31,22.97,23.17,161400.0,0.0,1.0,24.31,24.31,22.97,23.17,161400.0
2914075,CJES,2011-08-26,22.97,24.11,22.97,23.97,221100.0,0.0,1.0,22.97,24.11,22.97,23.97,221100.0
2914076,CJES,2011-08-29,24.71,24.71,24.04,24.64,259500.0,0.0,1.0,24.71,24.71,24.04,24.64,259500.0
2914077,CJES,2011-08-30,24.84,25.495,24.8,25.05,207800.0,0.0,1.0,24.84,25.495,24.8,25.05,207800.0
2914078,CJES,2011-08-31,25.26,26.39,25.26,26.14,403200.0,0.0,1.0,25.26,26.39,25.26,26.14,403200.0
2914079,CJES,2011-09-01,27.6,28.09,26.06,26.25,612900.0,0.0,1.0,27.6,28.09,26.06,26.25,612900.0
2914080,CJES,2011-09-02,25.47,26.56,24.86,26.25,286100.0,0.0,1.0,25.47,26.56,24.86,26.25,286100.0
2914081,CJES,2011-09-06,25.43,25.83,24.81,24.95,254400.0,0.0,1.0,25.43,25.83,24.81,24.95,254400.0
2914082,CJES,2011-09-07,25.84,26.25,25.31,25.53,1586500.0,0.0,1.0,25.84,26.25,25.31,25.53,1586500.0
2914083,CJES,2011-09-08,25.16,25.97,24.82,25.22,559500.0,0.0,1.0,25.16,25.97,24.82,25.22,559500.0
2914084,CJES,2011-09-09,24.85,24.85,23.35,23.86,387900.0,0.0,1.0,24.85,24.85,23.35,23.86,387900.0
2914085,CJES,2011-09-12,23.59,24.1,22.33,22.7,278700.0,0.0,1.0,23.59,24.1,22.33,22.7,278700.0
2914086,CJES,2011-09-13,22.65,23.09,22.15,22.75,245200.0,0.0,1.0,22.65,23.09,22.15,22.75,245200.0
2914087,CJES,2011-09-14,23.1,23.31,21.82,21.98,542100.0,0.0,1.0,23.1,23.31,21.82,21.98,542100.0
2914088,CJES,2011-09-15,22.7,22.7,21.15,21.39,398000.0,0.0,1.0,22.7,22.7,21.15,21.39,398000.0
2914089,CJES,2011-09-16,21.49,22.38,21.35,22.04,457900.0,0.0,1.0,21.49,22.38,21.35,22.04,457900.0
2914090,CJES,2011-09-19,21.43,22.15,21.0,21.96,207700.0,0.0,1.0,21.43,22.15,21.0,21.96,207700.0
2914091,CJES,2011-09-20,21.99,22.2,21.43,21.62,453800.0,0.0,1.0,21.99,22.2,21.43,21.62,453800.0
2914092,CJES,2011-09-21,21.5,21.72,19.75,19.87,563600.0,0.0,1.0,21.5,21.72,19.75,19.87,563600.0
2914093,CJES,2011-09-22,19.28,19.28,17.66,18.01,766400.0,0.0,1.0,19.28,19.28,17.66,18.01,766400.0
2914094,CJES,2011-09-23,18.15,18.15,17.16,17.99,696400.0,0.0,1.0,18.15,18.15,17.16,17.99,696400.0
2914095,CJES,2011-09-26,18.15,18.37,17.27,18.19,588900.0,0.0,1.0,18.15,18.37,17.27,18.19,588900.0
2914096,CJES,2011-09-27,18.9,19.3,18.32,18.66,450300.0,0.0,1.0,18.9,19.3,18.32,18.66,450300.0
2914097,CJES,2011-09-28,19.89,19.89,18.1,18.29,225100.0,0.0,1.0,19.89,19.89,18.1,18.29,225100.0
2914098,CJES,2011-09-29,18.82,19.05,17.2,17.96,336100.0,0.0,1.0,18.82,19.05,17.2,17.96,336100.0
2914099,CJES,2011-09-30,17.68,17.87,15.6,16.44,2509400.0,0.0,1.0,17.68,17.87,15.6,16.44,2509400.0
2914100,CJES,2011-10-03,16.13,16.32,14.29,14.67,2041900.0,0.0,1.0,16.13,16.32,14.29,14.67,2041900.0
2914101,CJES,2011-10-04,15.56,15.56,12.65,14.31,1400000.0,0.0,1.0,15.56,15.56,12.65,14.31,1400000.0
2914102,CJES,2011-10-05,14.77,15.5,14.31,15.15,796000.0,0.0,1.0,14.77,15.5,14.31,15.15,796000.0
2914103,CJES,2011-10-06,15.07,15.93,14.98,15.89,597000.0,0.0,1.0,15.07,15.93,14.98,15.89,597000.0
2914104,CJES,2011-10-07,16.38,16.4,15.31,15.59,521400.0,0.0,1.0,16.38,16.4,15.31,15.59,521400.0
2914105,CJES,2011-10-10,16.97,17.99,16.8,17.46,1693400.0,0.0,1.0,16.97,17.99,16.8,17.46,1693400.0
2914106,CJES,2011-10-11,17.28,17.33,16.72,16.95,836300.0,0.0,1.0,17.28,17.33,16.72,16.95,836300.0
2914107,CJES,2011-10-12,17.07,18.1,17.07,17.87,980800.0,0.0,1.0,17.07,18.1,17.07,17.87,980800.0
2914108,CJES,2011-10-13,18.15,18.15,17.11,17.77,605800.0,0.0,1.0,18.15,18.15,17.11,17.77,605800.0
2914109,CJES,2011-10-14,18.28,18.96,17.92,18.85,1024800.0,0.0,1.0,18.28,18.96,17.92,18.85,1024800.0
2914110,CJES,2011-10-17,19.0,19.03,17.46,17.61,622300.0,0.0,1.0,19.0,19.03,17.46,17.61,622300.0
2914111,CJES,2011-10-18,17.83,18.32,17.03,17.83,800900.0,0.0,1.0,17.83,18.32,17.03,17.83,800900.0
2914112,CJES,2011-10-19,17.75,17.9399,17.18,17.27,450200.0,0.0,1.0,17.75,17.9399,17.18,17.27,450200.0
2914113,CJES,2011-10-20,17.5,17.59,16.06,17.14,647600.0,0.0,1.0,17.5,17.59,16.06,17.14,647600.0
2914114,CJES,2011-10-21,17.5,17.87,16.4,16.78,952500.0,0.0,1.0,17.5,17.87,16.4,16.78,952500.0
2914115,CJES,2011-10-24,17.37,18.35,16.85,16.9,872700.0,0.0,1.0,17.37,18.35,16.85,16.9,872700.0
2914116,CJES,2011-10-25,17.16,17.16,16.31,16.59,384800.0,0.0,1.0,17.16,17.16,16.31,16.59,384800.0
2914117,CJES,2011-10-26,16.64,17.26,16.21,16.43,505800.0,0.0,1.0,16.64,17.26,16.21,16.43,505800.0
2914118,CJES,2011-10-27,17.37,18.0,16.69,16.82,979600.0,0.0,1.0,17.37,18.0,16.69,16.82,979600.0
