,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
3097422,CMRX,2013-04-11,15.14,18.79,15.11,18.79,4500200.0,0.0,1.0,15.14,18.79,15.11,18.79,4500200.0
3097423,CMRX,2013-04-12,18.01,18.69,17.59,18.17,175000.0,0.0,1.0,18.01,18.69,17.59,18.17,175000.0
3097424,CMRX,2013-04-15,18.44,18.44,17.66,18.42,46100.0,0.0,1.0,18.44,18.44,17.66,18.42,46100.0
3097425,CMRX,2013-04-16,18.75,19.4375,17.65,19.25,75700.0,0.0,1.0,18.75,19.4375,17.65,19.25,75700.0
3097426,CMRX,2013-04-17,19.27,19.65,18.1101,18.75,66800.0,0.0,1.0,19.27,19.65,18.1101,18.75,66800.0
3097427,CMRX,2013-04-18,18.7,19.0,18.325,18.87,106100.0,0.0,1.0,18.7,19.0,18.325,18.87,106100.0
3097428,CMRX,2013-04-19,18.75,19.5,18.74,18.82,122500.0,0.0,1.0,18.75,19.5,18.74,18.82,122500.0
3097429,CMRX,2013-04-22,18.58,18.92,18.11,18.92,29300.0,0.0,1.0,18.58,18.92,18.11,18.92,29300.0
3097430,CMRX,2013-04-23,18.81,19.47,18.72,19.33,42400.0,0.0,1.0,18.81,19.47,18.72,19.33,42400.0
3097431,CMRX,2013-04-24,19.21,19.54,18.75,19.35,21800.0,0.0,1.0,19.21,19.54,18.75,19.35,21800.0
3097432,CMRX,2013-04-25,19.01,19.1668,18.8,19.1,28100.0,0.0,1.0,19.01,19.1668,18.8,19.1,28100.0
3097433,CMRX,2013-04-26,18.99,18.99,18.57,18.9,30100.0,0.0,1.0,18.99,18.99,18.57,18.9,30100.0
3097434,CMRX,2013-04-29,18.79,19.03,18.56,19.02,26100.0,0.0,1.0,18.79,19.03,18.56,19.02,26100.0
3097435,CMRX,2013-04-30,18.9,20.5,18.5601,19.93,27500.0,0.0,1.0,18.9,20.5,18.5601,19.93,27500.0
3097436,CMRX,2013-05-01,20.135,21.0,19.91,20.45,71800.0,0.0,1.0,20.135,21.0,19.91,20.45,71800.0
3097437,CMRX,2013-05-02,20.66,20.66,20.4474,20.49,43800.0,0.0,1.0,20.66,20.66,20.4474,20.49,43800.0
3097438,CMRX,2013-05-03,21.5,21.5,20.41,20.95,23700.0,0.0,1.0,21.5,21.5,20.41,20.95,23700.0
3097439,CMRX,2013-05-06,21.5,22.25,20.7,20.92,182600.0,0.0,1.0,21.5,22.25,20.7,20.92,182600.0
3097440,CMRX,2013-05-07,20.92,21.7699,19.65,20.52,90000.0,0.0,1.0,20.92,21.7699,19.65,20.52,90000.0
3097441,CMRX,2013-05-08,20.01,20.39,19.596,19.94,163200.0,0.0,1.0,20.01,20.39,19.596,19.94,163200.0
