,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
3275900,CONN,2003-11-25,15.13,15.6,14.562000000000001,15.04,3643500.0,0.0,1.0,15.13,15.6,14.562000000000001,15.04,3643500.0
3275901,CONN,2003-11-26,15.24,15.84,15.0,15.6,508400.0,0.0,1.0,15.24,15.84,15.0,15.6,508400.0
3275902,CONN,2003-11-28,15.99,15.99,15.5,15.9,83900.0,0.0,1.0,15.99,15.99,15.5,15.9,83900.0
3275903,CONN,2003-12-01,15.98,16.44,15.8,16.19,237600.0,0.0,1.0,15.98,16.44,15.8,16.19,237600.0
3275904,CONN,2003-12-02,16.1,16.299,15.8,16.1,120400.0,0.0,1.0,16.1,16.299,15.8,16.1,120400.0
3275905,CONN,2003-12-03,16.5,16.5,15.9,16.0,140800.0,0.0,1.0,16.5,16.5,15.9,16.0,140800.0
3275906,CONN,2003-12-04,15.9,16.0,15.4,15.55,145100.0,0.0,1.0,15.9,16.0,15.4,15.55,145100.0
3275907,CONN,2003-12-05,15.3,15.7,15.27,15.58,127300.0,0.0,1.0,15.3,15.7,15.27,15.58,127300.0
3275908,CONN,2003-12-08,16.2,16.2,15.39,15.75,30000.0,0.0,1.0,16.2,16.2,15.39,15.75,30000.0
3275909,CONN,2003-12-09,15.66,15.83,15.41,15.61,73100.0,0.0,1.0,15.66,15.83,15.41,15.61,73100.0
3275910,CONN,2003-12-10,15.6,15.85,15.6,15.65,48500.0,0.0,1.0,15.6,15.85,15.6,15.65,48500.0
3275911,CONN,2003-12-11,16.2,16.2,14.75,15.07,229200.0,0.0,1.0,16.2,16.2,14.75,15.07,229200.0
3275912,CONN,2003-12-12,15.0,15.3,15.0,15.01,73600.0,0.0,1.0,15.0,15.3,15.0,15.01,73600.0
3275913,CONN,2003-12-15,15.3,15.3,14.0,14.169,420800.0,0.0,1.0,15.3,15.3,14.0,14.169,420800.0
3275914,CONN,2003-12-16,14.18,15.0,14.0,14.85,138500.0,0.0,1.0,14.18,15.0,14.0,14.85,138500.0
3275915,CONN,2003-12-17,14.4,15.09,14.25,15.05,93500.0,0.0,1.0,14.4,15.09,14.25,15.05,93500.0
3275916,CONN,2003-12-18,15.0,15.69,15.0,15.5,128000.0,0.0,1.0,15.0,15.69,15.0,15.5,128000.0
3275917,CONN,2003-12-19,15.45,15.6,15.25,15.5,49600.0,0.0,1.0,15.45,15.6,15.25,15.5,49600.0
3275918,CONN,2003-12-22,15.2,15.4,15.2,15.3,46600.0,0.0,1.0,15.2,15.4,15.2,15.3,46600.0
3275919,CONN,2003-12-23,15.299000000000001,15.6,15.25,15.6,42800.0,0.0,1.0,15.299000000000001,15.6,15.25,15.6,42800.0
3275920,CONN,2003-12-24,15.300999999999998,15.74,15.300999999999998,15.74,1600.0,0.0,1.0,15.300999999999998,15.74,15.300999999999998,15.74,1600.0
3275921,CONN,2003-12-26,15.321,15.89,15.321,15.88,1200.0,0.0,1.0,15.321,15.89,15.321,15.88,1200.0
3275922,CONN,2003-12-29,15.32,16.3,15.32,16.0,79600.0,0.0,1.0,15.32,16.3,15.32,16.0,79600.0
3275923,CONN,2003-12-30,16.0,16.4,15.85,16.0,23800.0,0.0,1.0,16.0,16.4,15.85,16.0,23800.0
3275924,CONN,2003-12-31,16.0,16.22,15.9,16.1,24400.0,0.0,1.0,16.0,16.22,15.9,16.1,24400.0
3275925,CONN,2004-01-02,15.8,16.23,15.8,16.0,9700.0,0.0,1.0,15.8,16.23,15.8,16.0,9700.0
3275926,CONN,2004-01-05,15.9,16.24,15.9,16.099,24400.0,0.0,1.0,15.9,16.24,15.9,16.099,24400.0
3275927,CONN,2004-01-06,15.9,16.35,15.9,16.06,18100.0,0.0,1.0,15.9,16.35,15.9,16.06,18100.0
3275928,CONN,2004-01-07,16.1,16.25,15.8,15.92,34100.0,0.0,1.0,16.1,16.25,15.8,15.92,34100.0
3275929,CONN,2004-01-08,16.2,16.2,15.8,15.9,89800.0,0.0,1.0,16.2,16.2,15.8,15.9,89800.0
3275930,CONN,2004-01-09,15.9,16.25,15.75,15.94,171300.0,0.0,1.0,15.9,16.25,15.75,15.94,171300.0
3275931,CONN,2004-01-12,15.58,16.03,15.58,15.940999999999999,63200.0,0.0,1.0,15.58,16.03,15.58,15.940999999999999,63200.0
3275932,CONN,2004-01-13,15.8,16.23,15.8,15.84,5100.0,0.0,1.0,15.8,16.23,15.8,15.84,5100.0
3275933,CONN,2004-01-14,16.0,16.15,15.821,16.15,29400.0,0.0,1.0,16.0,16.15,15.821,16.15,29400.0
3275934,CONN,2004-01-15,16.15,16.2,15.87,16.2,23100.0,0.0,1.0,16.15,16.2,15.87,16.2,23100.0
3275935,CONN,2004-01-16,16.23,16.23,15.58,15.94,115500.0,0.0,1.0,16.23,16.23,15.58,15.94,115500.0
3275936,CONN,2004-01-20,15.8,16.15,15.58,16.04,16100.0,0.0,1.0,15.8,16.15,15.58,16.04,16100.0
3275937,CONN,2004-01-21,15.8,16.62,15.8,16.55,55300.0,0.0,1.0,15.8,16.62,15.8,16.55,55300.0
3275938,CONN,2004-01-22,16.7,16.7,16.25,16.45,14800.0,0.0,1.0,16.7,16.7,16.25,16.45,14800.0
3275939,CONN,2004-01-23,16.69,16.7,16.0,16.48,19600.0,0.0,1.0,16.69,16.7,16.0,16.48,19600.0
3275940,CONN,2004-01-26,16.48,16.5,16.25,16.49,70800.0,0.0,1.0,16.48,16.5,16.25,16.49,70800.0
3275941,CONN,2004-01-27,16.23,16.44,16.23,16.25,39100.0,0.0,1.0,16.23,16.44,16.23,16.25,39100.0
3275942,CONN,2004-01-28,16.25,16.45,16.15,16.15,23500.0,0.0,1.0,16.25,16.45,16.15,16.15,23500.0
3275943,CONN,2004-01-29,16.249000000000002,16.43,16.141,16.17,27800.0,0.0,1.0,16.249000000000002,16.43,16.141,16.17,27800.0
3275944,CONN,2004-01-30,16.0,16.45,16.0,16.0,16200.0,0.0,1.0,16.0,16.45,16.0,16.0,16200.0
3275945,CONN,2004-02-02,16.4,16.5,16.27,16.44,17600.0,0.0,1.0,16.4,16.5,16.27,16.44,17600.0
3275946,CONN,2004-02-03,16.45,16.5,16.0,16.05,46500.0,0.0,1.0,16.45,16.5,16.0,16.05,46500.0
3275947,CONN,2004-02-04,16.0,16.45,16.0,16.25,30500.0,0.0,1.0,16.0,16.45,16.0,16.25,30500.0
3275948,CONN,2004-02-05,16.25,17.0,16.25,16.78,67500.0,0.0,1.0,16.25,17.0,16.25,16.78,67500.0
3275949,CONN,2004-02-06,16.75,16.95,16.52,16.649,22800.0,0.0,1.0,16.75,16.95,16.52,16.649,22800.0
3275950,CONN,2004-02-09,16.67,17.6,16.59,16.97,42900.0,0.0,1.0,16.67,17.6,16.59,16.97,42900.0
3275951,CONN,2004-02-10,17.0,17.0,16.5,16.59,11100.0,0.0,1.0,17.0,17.0,16.5,16.59,11100.0
3275952,CONN,2004-02-11,16.6,16.8,16.26,16.77,24600.0,0.0,1.0,16.6,16.8,16.26,16.77,24600.0
3275953,CONN,2004-02-12,16.83,17.5,16.83,17.07,48300.0,0.0,1.0,16.83,17.5,16.83,17.07,48300.0
3275954,CONN,2004-02-13,17.08,17.1,16.63,16.7,22500.0,0.0,1.0,17.08,17.1,16.63,16.7,22500.0
3275955,CONN,2004-02-17,16.8,16.989,16.25,16.25,39400.0,0.0,1.0,16.8,16.989,16.25,16.25,39400.0
3275956,CONN,2004-02-18,16.97,16.97,16.23,16.4,14600.0,0.0,1.0,16.97,16.97,16.23,16.4,14600.0
3275957,CONN,2004-02-19,16.944000000000003,16.944000000000003,16.38,16.51,7800.0,0.0,1.0,16.944000000000003,16.944000000000003,16.38,16.51,7800.0
3275958,CONN,2004-02-20,16.7,16.7,16.51,16.7,6000.0,0.0,1.0,16.7,16.7,16.51,16.7,6000.0
3275959,CONN,2004-02-23,16.7,16.7,16.19,16.34,12500.0,0.0,1.0,16.7,16.7,16.19,16.34,12500.0
3275960,CONN,2004-02-24,16.25,16.7,16.25,16.5,15100.0,0.0,1.0,16.25,16.7,16.25,16.5,15100.0
3275961,CONN,2004-02-25,16.69,16.69,16.25,16.35,16300.0,0.0,1.0,16.69,16.69,16.25,16.35,16300.0
3275962,CONN,2004-02-26,16.26,16.4,16.26,16.34,5000.0,0.0,1.0,16.26,16.4,16.26,16.34,5000.0
3275963,CONN,2004-02-27,16.33,16.69,16.23,16.34,9800.0,0.0,1.0,16.33,16.69,16.23,16.34,9800.0
3275964,CONN,2004-03-01,16.679000000000002,17.0,16.32,16.7,8100.0,0.0,1.0,16.679000000000002,17.0,16.32,16.7,8100.0
3275965,CONN,2004-03-02,17.0,17.0,16.25,16.25,30400.0,0.0,1.0,17.0,17.0,16.25,16.25,30400.0
3275966,CONN,2004-03-03,16.389,16.39,16.25,16.35,10700.0,0.0,1.0,16.389,16.39,16.25,16.35,10700.0
3275967,CONN,2004-03-04,16.35,17.1,16.35,16.522000000000002,26900.0,0.0,1.0,16.35,17.1,16.35,16.522000000000002,26900.0
3275968,CONN,2004-03-05,16.3,16.47,16.0,16.2,23200.0,0.0,1.0,16.3,16.47,16.0,16.2,23200.0
3275969,CONN,2004-03-08,16.0,16.41,16.0,16.2,3700.0,0.0,1.0,16.0,16.41,16.0,16.2,3700.0
3275970,CONN,2004-03-09,16.25,16.27,15.9,15.92,28500.0,0.0,1.0,16.25,16.27,15.9,15.92,28500.0
3275971,CONN,2004-03-10,15.811,16.2,15.81,15.91,4300.0,0.0,1.0,15.811,16.2,15.81,15.91,4300.0
3275972,CONN,2004-03-11,16.0,16.39,15.82,15.97,16200.0,0.0,1.0,16.0,16.39,15.82,15.97,16200.0
3275973,CONN,2004-03-12,16.375,16.375,15.76,15.76,54600.0,0.0,1.0,16.375,16.375,15.76,15.76,54600.0
3275974,CONN,2004-03-15,15.98,15.98,15.25,15.5,45800.0,0.0,1.0,15.98,15.98,15.25,15.5,45800.0
3275975,CONN,2004-03-16,15.51,15.99,15.29,15.45,27200.0,0.0,1.0,15.51,15.99,15.29,15.45,27200.0
3275976,CONN,2004-03-17,15.57,15.59,15.15,15.23,14200.0,0.0,1.0,15.57,15.59,15.15,15.23,14200.0
3275977,CONN,2004-03-18,15.0,15.35,14.75,15.35,17200.0,0.0,1.0,15.0,15.35,14.75,15.35,17200.0
