,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
3426072,CRCM,2014-01-24,21.21,24.4,21.21,24.3,7471800.0,0.0,1.0,21.21,24.4,21.21,24.3,7471800.0
3426073,CRCM,2014-01-27,25.12,27.82,24.9,24.9,1393100.0,0.0,1.0,25.12,27.82,24.9,24.9,1393100.0
3426074,CRCM,2014-01-28,25.25,25.9,24.22,25.5,697900.0,0.0,1.0,25.25,25.9,24.22,25.5,697900.0
3426075,CRCM,2014-01-29,25.2,28.76,25.0,27.32,853200.0,0.0,1.0,25.2,28.76,25.0,27.32,853200.0
3426076,CRCM,2014-01-30,28.02,28.54,26.12,26.99,615400.0,0.0,1.0,28.02,28.54,26.12,26.99,615400.0
3426077,CRCM,2014-01-31,26.2,28.86,26.13,28.71,289000.0,0.0,1.0,26.2,28.86,26.13,28.71,289000.0
3426078,CRCM,2014-02-03,29.25,29.25,26.83,28.44,475200.0,0.0,1.0,29.25,29.25,26.83,28.44,475200.0
3426079,CRCM,2014-02-04,29.0,29.0,27.0,27.0,237200.0,0.0,1.0,29.0,29.0,27.0,27.0,237200.0
3426080,CRCM,2014-02-05,27.0,27.0,25.0,27.0,200200.0,0.0,1.0,27.0,27.0,25.0,27.0,200200.0
3426081,CRCM,2014-02-06,27.41,27.41,25.04,25.42,223000.0,0.0,1.0,27.41,27.41,25.04,25.42,223000.0
3426082,CRCM,2014-02-07,25.34,27.0,25.21,26.72,149100.0,0.0,1.0,25.34,27.0,25.21,26.72,149100.0
3426083,CRCM,2014-02-10,26.6,27.5,26.11,26.27,237200.0,0.0,1.0,26.6,27.5,26.11,26.27,237200.0
3426084,CRCM,2014-02-11,26.21,27.27,26.14,27.12,139500.0,0.0,1.0,26.21,27.27,26.14,27.12,139500.0
3426085,CRCM,2014-02-12,27.26,27.26,26.13,26.16,89200.0,0.0,1.0,27.26,27.26,26.13,26.16,89200.0
3426086,CRCM,2014-02-13,26.0,26.81,25.7,25.95,122200.0,0.0,1.0,26.0,26.81,25.7,25.95,122200.0
3426087,CRCM,2014-02-14,25.84,25.84,24.88,25.41,100100.0,0.0,1.0,25.84,25.84,24.88,25.41,100100.0
3426088,CRCM,2014-02-18,24.74,25.21,23.45,23.7,434000.0,0.0,1.0,24.74,25.21,23.45,23.7,434000.0
3426089,CRCM,2014-02-19,23.75,24.13,21.62,21.79,380200.0,0.0,1.0,23.75,24.13,21.62,21.79,380200.0
3426090,CRCM,2014-02-20,21.5,24.31,21.5,23.86,406400.0,0.0,1.0,21.5,24.31,21.5,23.86,406400.0
3426091,CRCM,2014-02-21,23.73,24.48,22.5,22.89,144200.0,0.0,1.0,23.73,24.48,22.5,22.89,144200.0
3426092,CRCM,2014-02-24,22.7,22.89,21.6,22.48,171600.0,0.0,1.0,22.7,22.89,21.6,22.48,171600.0
3426093,CRCM,2014-02-25,22.15,22.59,21.8,22.22,358900.0,0.0,1.0,22.15,22.59,21.8,22.22,358900.0
3426094,CRCM,2014-02-26,22.66,23.5,18.2,18.94,1342200.0,0.0,1.0,22.66,23.5,18.2,18.94,1342200.0
3426095,CRCM,2014-02-27,19.61,20.59,19.14,20.03,573900.0,0.0,1.0,19.61,20.59,19.14,20.03,573900.0
3426096,CRCM,2014-02-28,19.95,19.95,17.74,18.51,398200.0,0.0,1.0,19.95,19.95,17.74,18.51,398200.0
3426097,CRCM,2014-03-03,18.36,18.5,17.42,17.84,724000.0,0.0,1.0,18.36,18.5,17.42,17.84,724000.0
3426098,CRCM,2014-03-04,17.99,20.81,17.92,20.47,624500.0,0.0,1.0,17.99,20.81,17.92,20.47,624500.0
3426099,CRCM,2014-03-05,20.24,21.24,20.21,21.03,253500.0,0.0,1.0,20.24,21.24,20.21,21.03,253500.0
3426100,CRCM,2014-03-06,21.11,21.3,20.04,20.41,280000.0,0.0,1.0,21.11,21.3,20.04,20.41,280000.0
3426101,CRCM,2014-03-07,20.54,20.7,19.8,20.25,92900.0,0.0,1.0,20.54,20.7,19.8,20.25,92900.0
3426102,CRCM,2014-03-10,20.12,20.98,19.9,19.92,139000.0,0.0,1.0,20.12,20.98,19.9,19.92,139000.0
3426103,CRCM,2014-03-11,19.82,21.0,19.61,20.05,218600.0,0.0,1.0,19.82,21.0,19.61,20.05,218600.0
3426104,CRCM,2014-03-12,20.0,20.0,18.5,18.7,368500.0,0.0,1.0,20.0,20.0,18.5,18.7,368500.0
3426105,CRCM,2014-03-13,19.25,19.25,17.62,17.92,306700.0,0.0,1.0,19.25,19.25,17.62,17.92,306700.0
3426106,CRCM,2014-03-14,17.93,18.93,17.62,18.93,161500.0,0.0,1.0,17.93,18.93,17.62,18.93,161500.0
3426107,CRCM,2014-03-17,18.93,19.37,18.09,18.22,151900.0,0.0,1.0,18.93,19.37,18.09,18.22,151900.0
3426108,CRCM,2014-03-18,18.31,19.37,18.16,19.25,178900.0,0.0,1.0,18.31,19.37,18.16,19.25,178900.0
3426109,CRCM,2014-03-19,20.01,20.01,18.63,18.74,86400.0,0.0,1.0,20.01,20.01,18.63,18.74,86400.0
3426110,CRCM,2014-03-20,18.7,19.1,17.72,17.82,237700.0,0.0,1.0,18.7,19.1,17.72,17.82,237700.0
3426111,CRCM,2014-03-21,18.0,18.07,17.16,17.16,403000.0,0.0,1.0,18.0,18.07,17.16,17.16,403000.0
3426112,CRCM,2014-03-24,17.34,17.34,15.87,16.19,268500.0,0.0,1.0,17.34,17.34,15.87,16.19,268500.0
3426113,CRCM,2014-03-25,16.43,16.7,15.66,16.53,204800.0,0.0,1.0,16.43,16.7,15.66,16.53,204800.0
3426114,CRCM,2014-03-26,16.7,16.84,15.92,16.27,152200.0,0.0,1.0,16.7,16.84,15.92,16.27,152200.0
3426115,CRCM,2014-03-27,16.27,16.57,15.02,15.7,242400.0,0.0,1.0,16.27,16.57,15.02,15.7,242400.0
3426116,CRCM,2014-03-28,15.7,16.52,15.51,16.37,227500.0,0.0,1.0,15.7,16.52,15.51,16.37,227500.0
3426117,CRCM,2014-03-31,16.45,16.55,15.63,16.55,798600.0,0.0,1.0,16.45,16.55,15.63,16.55,798600.0
3426118,CRCM,2014-04-01,16.75,18.37,16.09,16.35,538500.0,0.0,1.0,16.75,18.37,16.09,16.35,538500.0
3426119,CRCM,2014-04-02,16.39,16.47,15.65,15.89,226900.0,0.0,1.0,16.39,16.47,15.65,15.89,226900.0
3426120,CRCM,2014-04-03,15.78,15.84,14.37,14.49,467600.0,0.0,1.0,15.78,15.84,14.37,14.49,467600.0
3426121,CRCM,2014-04-04,14.5,14.64,13.44,13.82,608500.0,0.0,1.0,14.5,14.64,13.44,13.82,608500.0
3426122,CRCM,2014-04-07,13.67,13.98,13.0,13.47,586700.0,0.0,1.0,13.67,13.98,13.0,13.47,586700.0
3426123,CRCM,2014-04-08,13.37,13.56,12.36,12.62,480800.0,0.0,1.0,13.37,13.56,12.36,12.62,480800.0
3426124,CRCM,2014-04-09,12.62,12.76,12.22,12.54,388000.0,0.0,1.0,12.62,12.76,12.22,12.54,388000.0
3426125,CRCM,2014-04-10,12.51,12.51,11.47,11.62,404200.0,0.0,1.0,12.51,12.51,11.47,11.62,404200.0
3426126,CRCM,2014-04-11,11.42,12.5,11.16,12.01,460200.0,0.0,1.0,11.42,12.5,11.16,12.01,460200.0
