,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
3547190,CSE,2003-08-07,16.88,18.24,16.48,18.16,13420900.0,0.0,1.0,16.88,18.24,16.48,18.16,13420900.0
3547191,CSE,2003-08-08,18.4,18.72,17.4,18.0,1447500.0,0.0,1.0,18.4,18.72,17.4,18.0,1447500.0
3547192,CSE,2003-08-11,18.0,18.08,17.72,17.72,615200.0,0.0,1.0,18.0,18.08,17.72,17.72,615200.0
3547193,CSE,2003-08-12,17.77,18.3,17.6,18.3,391400.0,0.0,1.0,17.77,18.3,17.6,18.3,391400.0
3547194,CSE,2003-08-13,18.15,18.16,17.8,18.0,434400.0,0.0,1.0,18.15,18.16,17.8,18.0,434400.0
3547195,CSE,2003-08-14,18.05,18.14,17.6,17.6,534300.0,0.0,1.0,18.05,18.14,17.6,17.6,534300.0
3547196,CSE,2003-08-15,17.64,17.99,17.6,17.9,119700.0,0.0,1.0,17.64,17.99,17.6,17.9,119700.0
3547197,CSE,2003-08-18,17.9,18.0,17.75,17.9,306800.0,0.0,1.0,17.9,18.0,17.75,17.9,306800.0
3547198,CSE,2003-08-19,18.0,18.0,17.33,17.35,536700.0,0.0,1.0,18.0,18.0,17.33,17.35,536700.0
3547199,CSE,2003-08-20,17.35,17.35,17.15,17.15,312900.0,0.0,1.0,17.35,17.35,17.15,17.15,312900.0
3547200,CSE,2003-08-21,17.15,17.35,17.1,17.3,413300.0,0.0,1.0,17.15,17.35,17.1,17.3,413300.0
3547201,CSE,2003-08-22,17.3,17.55,17.25,17.4,385300.0,0.0,1.0,17.3,17.55,17.25,17.4,385300.0
3547202,CSE,2003-08-25,17.4,17.5,17.26,17.3,98500.0,0.0,1.0,17.4,17.5,17.26,17.3,98500.0
3547203,CSE,2003-08-26,17.3,17.5,17.25,17.45,153600.0,0.0,1.0,17.3,17.5,17.25,17.45,153600.0
3547204,CSE,2003-08-27,17.43,17.7,17.35,17.51,542500.0,0.0,1.0,17.43,17.7,17.35,17.51,542500.0
3547205,CSE,2003-08-28,17.49,17.49,17.1,17.4,140100.0,0.0,1.0,17.49,17.49,17.1,17.4,140100.0
3547206,CSE,2003-08-29,17.4,17.62,17.3,17.6,171100.0,0.0,1.0,17.4,17.62,17.3,17.6,171100.0
