,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
3671358,CTRL,2013-08-02,18.7,20.7,18.14,20.05,3792400.0,0.0,1.0,18.7,20.7,18.14,20.05,3792400.0
3671359,CTRL,2013-08-05,19.81,20.2,19.81,19.96,199300.0,0.0,1.0,19.81,20.2,19.81,19.96,199300.0
3671360,CTRL,2013-08-06,20.15,21.67,20.04,21.06,276800.0,0.0,1.0,20.15,21.67,20.04,21.06,276800.0
3671361,CTRL,2013-08-07,20.9,21.3,20.55,21.14,109800.0,0.0,1.0,20.9,21.3,20.55,21.14,109800.0
3671362,CTRL,2013-08-08,21.67,23.399,21.2,22.765,188000.0,0.0,1.0,21.67,23.399,21.2,22.765,188000.0
3671363,CTRL,2013-08-09,22.76,23.249000000000002,21.73,22.0,145800.0,0.0,1.0,22.76,23.249000000000002,21.73,22.0,145800.0
3671364,CTRL,2013-08-12,22.3,22.74,21.56,22.06,38200.0,0.0,1.0,22.3,22.74,21.56,22.06,38200.0
3671365,CTRL,2013-08-13,21.77,22.03,20.2101,20.64,152200.0,0.0,1.0,21.77,22.03,20.2101,20.64,152200.0
3671366,CTRL,2013-08-14,21.57,21.57,19.92,20.52,79800.0,0.0,1.0,21.57,21.57,19.92,20.52,79800.0
3671367,CTRL,2013-08-15,20.45,20.83,20.0,20.1,125000.0,0.0,1.0,20.45,20.83,20.0,20.1,125000.0
3671368,CTRL,2013-08-16,20.2,21.12,20.16,20.42,105600.0,0.0,1.0,20.2,21.12,20.16,20.42,105600.0
3671369,CTRL,2013-08-19,20.45,21.1899,19.5,19.56,67400.0,0.0,1.0,20.45,21.1899,19.5,19.56,67400.0
3671370,CTRL,2013-08-20,19.5,19.93,19.2501,19.59,140400.0,0.0,1.0,19.5,19.93,19.2501,19.59,140400.0
3671371,CTRL,2013-08-21,19.05,19.49,19.0,19.46,86600.0,0.0,1.0,19.05,19.49,19.0,19.46,86600.0
3671372,CTRL,2013-08-22,19.35,20.849,19.35,20.7,36800.0,0.0,1.0,19.35,20.849,19.35,20.7,36800.0
3671373,CTRL,2013-08-23,20.82,21.9,20.69,21.78,46500.0,0.0,1.0,20.82,21.9,20.69,21.78,46500.0
3671374,CTRL,2013-08-26,22.11,22.29,21.51,21.96,74000.0,0.0,1.0,22.11,22.29,21.51,21.96,74000.0
3671375,CTRL,2013-08-27,22.1,22.73,21.51,22.53,122600.0,0.0,1.0,22.1,22.73,21.51,22.53,122600.0
3671376,CTRL,2013-08-28,22.2,22.869,21.88,22.44,104300.0,0.0,1.0,22.2,22.869,21.88,22.44,104300.0
3671377,CTRL,2013-08-29,22.5,24.0,22.5,23.8,75300.0,0.0,1.0,22.5,24.0,22.5,23.8,75300.0
3671378,CTRL,2013-08-30,21.5,22.0,20.185,20.28,519700.0,0.0,1.0,21.5,22.0,20.185,20.28,519700.0
3671379,CTRL,2013-09-03,20.75,20.75,20.0502,20.61,144100.0,0.0,1.0,20.75,20.75,20.0502,20.61,144100.0
