,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
3715740,CUDA,2013-11-06,22.2,23.7963,20.78,21.55,6955500.0,0.0,1.0,22.2,23.7963,20.78,21.55,6955500.0
3715741,CUDA,2013-11-07,21.7,21.7,18.84,20.04,869700.0,0.0,1.0,21.7,21.7,18.84,20.04,869700.0
3715742,CUDA,2013-11-08,20.45,21.29,20.02,21.23,433300.0,0.0,1.0,20.45,21.29,20.02,21.23,433300.0
3715743,CUDA,2013-11-11,21.45,22.37,21.0,21.7,220300.0,0.0,1.0,21.45,22.37,21.0,21.7,220300.0
3715744,CUDA,2013-11-12,22.06,22.35,20.59,20.75,141600.0,0.0,1.0,22.06,22.35,20.59,20.75,141600.0
3715745,CUDA,2013-11-13,20.85,22.0,20.83,21.93,142800.0,0.0,1.0,20.85,22.0,20.83,21.93,142800.0
3715746,CUDA,2013-11-14,21.93,21.969,21.41,21.73,105700.0,0.0,1.0,21.93,21.969,21.41,21.73,105700.0
3715747,CUDA,2013-11-15,22.08,22.08,20.92,21.0,96500.0,0.0,1.0,22.08,22.08,20.92,21.0,96500.0
3715748,CUDA,2013-11-18,21.01,21.49,20.37,21.11,220300.0,0.0,1.0,21.01,21.49,20.37,21.11,220300.0
3715749,CUDA,2013-11-19,21.07,21.36,20.05,20.4,88000.0,0.0,1.0,21.07,21.36,20.05,20.4,88000.0
3715750,CUDA,2013-11-20,20.1,20.1511,18.63,19.2,377500.0,0.0,1.0,20.1,20.1511,18.63,19.2,377500.0
3715751,CUDA,2013-11-21,19.4,20.13,18.8501,19.99,193700.0,0.0,1.0,19.4,20.13,18.8501,19.99,193700.0
3715752,CUDA,2013-11-22,20.49,20.6,19.88,20.59,81300.0,0.0,1.0,20.49,20.6,19.88,20.59,81300.0
3715753,CUDA,2013-11-25,20.32,20.51,19.83,20.15,2600.0,0.0,1.0,20.32,20.51,19.83,20.15,2600.0
3715754,CUDA,2013-11-26,19.89,20.248,19.55,19.65,57200.0,0.0,1.0,19.89,20.248,19.55,19.65,57200.0
3715755,CUDA,2013-11-27,19.7,20.49,19.5704,20.4,50600.0,0.0,1.0,19.7,20.49,19.5704,20.4,50600.0
3715756,CUDA,2013-11-29,20.6,20.7499,20.183,20.7,23200.0,0.0,1.0,20.6,20.7499,20.183,20.7,23200.0
3715757,CUDA,2013-12-02,21.5,23.19,20.8703,23.0,512700.0,0.0,1.0,21.5,23.19,20.8703,23.0,512700.0
3715758,CUDA,2013-12-03,23.15,23.4,21.25,21.84,307200.0,0.0,1.0,23.15,23.4,21.25,21.84,307200.0
3715759,CUDA,2013-12-04,21.67,23.0,21.5101,22.7,124700.0,0.0,1.0,21.67,23.0,21.5101,22.7,124700.0
3715760,CUDA,2013-12-05,23.5,23.5,22.53,22.75,98100.0,0.0,1.0,23.5,23.5,22.53,22.75,98100.0
3715761,CUDA,2013-12-06,22.5,23.35,22.5,23.02,102700.0,0.0,1.0,22.5,23.35,22.5,23.02,102700.0
3715762,CUDA,2013-12-09,23.25,25.54,23.0,25.3,395500.0,0.0,1.0,23.25,25.54,23.0,25.3,395500.0
3715763,CUDA,2013-12-10,25.3,25.4,23.62,23.74,177800.0,0.0,1.0,25.3,25.4,23.62,23.74,177800.0
3715764,CUDA,2013-12-11,24.35,24.45,22.3208,23.05,177300.0,0.0,1.0,24.35,24.45,22.3208,23.05,177300.0
3715765,CUDA,2013-12-12,23.2,24.25,22.68,24.18,148800.0,0.0,1.0,23.2,24.25,22.68,24.18,148800.0
3715766,CUDA,2013-12-13,24.1,24.1,23.19,23.5,87400.0,0.0,1.0,24.1,24.1,23.19,23.5,87400.0
3715767,CUDA,2013-12-16,24.55,24.75,23.74,24.67,104400.0,0.0,1.0,24.55,24.75,23.74,24.67,104400.0
3715768,CUDA,2013-12-17,24.71,25.9,24.025,25.83,165200.0,0.0,1.0,24.71,25.9,24.025,25.83,165200.0
3715769,CUDA,2013-12-18,25.75,26.46,25.005,25.17,136700.0,0.0,1.0,25.75,26.46,25.005,25.17,136700.0
3715770,CUDA,2013-12-19,26.11,26.5,25.21,25.5,83100.0,0.0,1.0,26.11,26.5,25.21,25.5,83100.0
3715771,CUDA,2013-12-20,25.44,26.29,25.05,25.58,450200.0,0.0,1.0,25.44,26.29,25.05,25.58,450200.0
3715772,CUDA,2013-12-23,25.75,30.0,25.75,29.96,391700.0,0.0,1.0,25.75,30.0,25.75,29.96,391700.0
3715773,CUDA,2013-12-24,30.0,30.4965,28.17,28.49,139900.0,0.0,1.0,30.0,30.4965,28.17,28.49,139900.0
3715774,CUDA,2013-12-26,29.35,29.72,29.0,29.49,107900.0,0.0,1.0,29.35,29.72,29.0,29.49,107900.0
3715775,CUDA,2013-12-27,29.74,35.95,28.3301,35.49,927300.0,0.0,1.0,29.74,35.95,28.3301,35.49,927300.0
3715776,CUDA,2013-12-30,35.83,39.4,35.0,35.97,644500.0,0.0,1.0,35.83,39.4,35.0,35.97,644500.0
3715777,CUDA,2013-12-31,36.6,39.75,36.5,39.68,476600.0,0.0,1.0,36.6,39.75,36.5,39.68,476600.0
3715778,CUDA,2014-01-02,39.6,41.3,36.66,37.17,554900.0,0.0,1.0,39.6,41.3,36.66,37.17,554900.0
3715779,CUDA,2014-01-03,38.69,38.69,37.71,37.85,256400.0,0.0,1.0,38.69,38.69,37.71,37.85,256400.0
3715780,CUDA,2014-01-06,39.0,39.49,37.501999999999995,38.08,401000.0,0.0,1.0,39.0,39.49,37.501999999999995,38.08,401000.0
3715781,CUDA,2014-01-07,38.42,39.72,37.74,39.53,155100.0,0.0,1.0,38.42,39.72,37.74,39.53,155100.0
3715782,CUDA,2014-01-08,39.75,40.3,37.74,37.75,247500.0,0.0,1.0,39.75,40.3,37.74,37.75,247500.0
3715783,CUDA,2014-01-09,38.24,39.0,36.1101,39.0,405300.0,0.0,1.0,38.24,39.0,36.1101,39.0,405300.0
3715784,CUDA,2014-01-10,34.61,37.556,32.55,36.47,651300.0,0.0,1.0,34.61,37.556,32.55,36.47,651300.0
3715785,CUDA,2014-01-13,37.31,37.54,33.33,34.08,317700.0,0.0,1.0,37.31,37.54,33.33,34.08,317700.0
3715786,CUDA,2014-01-14,34.69,35.82,33.53,34.15,225600.0,0.0,1.0,34.69,35.82,33.53,34.15,225600.0
3715787,CUDA,2014-01-15,35.33,35.33,34.0,34.59,163800.0,0.0,1.0,35.33,35.33,34.0,34.59,163800.0
3715788,CUDA,2014-01-16,34.54,37.9,34.4401,36.92,265100.0,0.0,1.0,34.54,37.9,34.4401,36.92,265100.0
3715789,CUDA,2014-01-17,37.84,39.44,35.03,35.78,369100.0,0.0,1.0,37.84,39.44,35.03,35.78,369100.0
3715790,CUDA,2014-01-21,36.82,36.82,33.5545,35.21,199700.0,0.0,1.0,36.82,36.82,33.5545,35.21,199700.0
3715791,CUDA,2014-01-22,35.25,36.259,34.51,35.68,113000.0,0.0,1.0,35.25,36.259,34.51,35.68,113000.0
3715792,CUDA,2014-01-23,35.75,35.9899,33.8,34.84,127800.0,0.0,1.0,35.75,35.9899,33.8,34.84,127800.0
3715793,CUDA,2014-01-24,34.85,34.85,33.202,33.6,132600.0,0.0,1.0,34.85,34.85,33.202,33.6,132600.0
3715794,CUDA,2014-01-27,33.35,33.53,31.18,32.96,199000.0,0.0,1.0,33.35,33.53,31.18,32.96,199000.0
3715795,CUDA,2014-01-28,33.02,33.7499,32.3801,33.35,77600.0,0.0,1.0,33.02,33.7499,32.3801,33.35,77600.0
3715796,CUDA,2014-01-29,32.3,34.64,32.211,33.27,143300.0,0.0,1.0,32.3,34.64,32.211,33.27,143300.0
3715797,CUDA,2014-01-30,33.5,35.8497,33.4401,35.34,180100.0,0.0,1.0,33.5,35.8497,33.4401,35.34,180100.0
3715798,CUDA,2014-01-31,35.01,35.6597,34.16,34.31,90500.0,0.0,1.0,35.01,35.6597,34.16,34.31,90500.0
3715799,CUDA,2014-02-03,34.4,34.56,31.6,32.42,174500.0,0.0,1.0,34.4,34.56,31.6,32.42,174500.0
3715800,CUDA,2014-02-04,32.44,33.07,31.45,31.59,188000.0,0.0,1.0,32.44,33.07,31.45,31.59,188000.0
3715801,CUDA,2014-02-05,31.2,31.78,29.76,30.8,156100.0,0.0,1.0,31.2,31.78,29.76,30.8,156100.0
3715802,CUDA,2014-02-06,30.86,30.9999,30.0,30.62,84700.0,0.0,1.0,30.86,30.9999,30.0,30.62,84700.0
3715803,CUDA,2014-02-07,30.7,32.2,30.0,32.2,160500.0,0.0,1.0,30.7,32.2,30.0,32.2,160500.0
3715804,CUDA,2014-02-10,32.28,35.05,31.26,33.35,130400.0,0.0,1.0,32.28,35.05,31.26,33.35,130400.0
3715805,CUDA,2014-02-11,33.58,33.58,31.401,33.0,110800.0,0.0,1.0,33.58,33.58,31.401,33.0,110800.0
