,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
3724424,CUR,2007-03-30,3.16,3.2,3.15,3.2,15700.0,0.0,1.0,41.08,41.6,40.95,41.6,1207.6923076923074
3724425,CUR,2007-04-02,3.2,3.2,3.14,3.2,16600.0,0.0,1.0,41.6,41.6,40.82,41.6,1276.923076923077
3724426,CUR,2007-04-03,3.19,3.2,3.04,3.05,68900.0,0.0,1.0,41.47,41.6,39.52,39.65,5300.0
3724427,CUR,2007-04-04,3.06,3.17,3.04,3.15,47500.0,0.0,1.0,39.78,41.21,39.52,40.95,3653.8461538461543
3724428,CUR,2007-04-05,3.17,3.17,3.05,3.1,21700.0,0.0,1.0,41.21,41.21,39.65,40.3,1669.2307692307693
3724429,CUR,2007-04-09,3.14,3.15,3.06,3.07,28800.0,0.0,1.0,40.82,40.95,39.78,39.91,2215.3846153846152
3724430,CUR,2007-04-10,3.11,3.17,3.09,3.15,10300.0,0.0,1.0,40.43,41.21,40.17,40.95,792.3076923076923
3724431,CUR,2007-04-11,3.15,3.23,3.15,3.18,51000.0,0.0,1.0,40.95,41.99,40.95,41.34,3923.0769230769233
3724432,CUR,2007-04-12,3.1,3.3,3.1,3.3,54800.0,0.0,1.0,40.3,42.9,40.3,42.9,4215.384615384615
3724433,CUR,2007-04-13,3.31,3.57,3.31,3.49,173900.0,0.0,1.0,43.03,46.41,43.03,45.37000000000001,13376.923076923076
3724434,CUR,2007-04-16,3.5,3.5,3.45,3.5,124000.0,0.0,1.0,45.5,45.5,44.85,45.5,9538.46153846154
3724435,CUR,2007-04-17,3.5,3.59,3.45,3.55,119200.0,0.0,1.0,45.5,46.67,44.85,46.15,9169.23076923077
3724436,CUR,2007-04-18,3.61,3.76,3.55,3.73,139400.0,0.0,1.0,46.93,48.88,46.15,48.49,10723.076923076924
3724437,CUR,2007-04-19,3.73,3.78,3.66,3.67,27500.0,0.0,1.0,48.49,49.14,47.58,47.71,2115.3846153846152
3724438,CUR,2007-04-20,3.7,3.7,3.46,3.65,107800.0,0.0,1.0,48.1,48.1,44.98,47.45,8292.30769230769
3724439,CUR,2007-04-23,3.75,3.75,3.51,3.52,12600.0,0.0,1.0,48.75,48.75,45.63,45.76,969.2307692307692
3724440,CUR,2007-04-24,3.57,3.7,3.49,3.65,18000.0,0.0,1.0,46.41,48.1,45.37000000000001,47.45,1384.6153846153845
3724441,CUR,2007-04-25,3.67,3.67,3.59,3.59,21200.0,0.0,1.0,47.71,47.71,46.67,46.67,1630.7692307692307
3724442,CUR,2007-04-26,3.6,4.05,3.54,4.04,176400.0,0.0,1.0,46.8,52.65,46.02,52.52,13569.230769230771
3724443,CUR,2007-04-27,4.17,4.17,3.54,3.95,124300.0,0.0,1.0,54.21,54.21,46.02,51.35,9561.53846153846
3724444,CUR,2007-04-30,3.75,3.97,3.61,3.85,21500.0,0.0,1.0,48.75,51.61,46.93,50.05,1653.8461538461538
3724445,CUR,2007-05-01,3.7,3.75,3.6,3.63,62900.0,0.0,1.0,48.1,48.75,46.8,47.19,4838.461538461538
3724446,CUR,2007-05-02,3.53,3.65,3.53,3.6,38000.0,0.0,1.0,45.89,47.45,45.89,46.8,2923.0769230769233
3724447,CUR,2007-05-03,3.6,3.6,3.4,3.59,35400.0,0.0,1.0,46.8,46.8,44.2,46.67,2723.076923076923
3724448,CUR,2007-05-04,3.45,3.64,3.35,3.5,29900.0,0.0,1.0,44.85,47.32,43.55,45.5,2300.0
3724449,CUR,2007-05-07,3.5,3.8,3.5,3.61,48900.0,0.0,1.0,45.5,49.4,45.5,46.93,3761.5384615384614
3724450,CUR,2007-05-08,3.5,3.7,3.45,3.64,32100.0,0.0,1.0,45.5,48.1,44.85,47.32,2469.230769230769
3724451,CUR,2007-05-09,3.49,3.6,3.35,3.6,59500.0,0.0,1.0,45.37000000000001,46.8,43.55,46.8,4576.923076923077
3724452,CUR,2007-05-10,3.51,3.85,3.35,3.8,48200.0,0.0,1.0,45.63,50.05,43.55,49.4,3707.6923076923076
3724453,CUR,2007-05-11,3.8,3.9,3.67,3.85,49300.0,0.0,1.0,49.4,50.7,47.71,50.05,3792.307692307693
3724454,CUR,2007-05-14,3.83,3.88,3.69,3.75,26700.0,0.0,1.0,49.79,50.44,47.97,48.75,2053.846153846154
3724455,CUR,2007-05-15,3.75,3.81,3.51,3.74,38900.0,0.0,1.0,48.75,49.53,45.63,48.62000000000001,2992.3076923076924
3724456,CUR,2007-05-16,3.6,3.83,3.55,3.83,25900.0,0.0,1.0,46.8,49.79,46.15,49.79,1992.3076923076926
3724457,CUR,2007-05-17,3.83,3.97,3.62,3.75,99900.0,0.0,1.0,49.79,51.61,47.06,48.75,7684.615384615385
3724458,CUR,2007-05-18,3.75,3.75,3.62,3.69,6100.0,0.0,1.0,48.75,48.75,47.06,47.97,469.23076923076917
3724459,CUR,2007-05-21,3.75,3.8,3.57,3.8,130600.0,0.0,1.0,48.75,49.4,46.41,49.4,10046.153846153846
3724460,CUR,2007-05-22,3.8,3.87,3.65,3.7,71000.0,0.0,1.0,49.4,50.31,47.45,48.1,5461.538461538462
3724461,CUR,2007-05-23,3.74,3.74,3.65,3.7,38400.0,0.0,1.0,48.62000000000001,48.62000000000001,47.45,48.1,2953.8461538461543
3724462,CUR,2007-05-24,3.66,3.78,3.56,3.78,116000.0,0.0,1.0,47.58,49.14,46.28,49.14,8923.076923076924
3724463,CUR,2007-05-25,3.77,3.79,3.69,3.77,31700.0,0.0,1.0,49.01,49.27,47.97,49.01,2438.4615384615386
3724464,CUR,2007-05-29,3.77,3.78,3.72,3.75,49800.0,0.0,1.0,49.01,49.14,48.36,48.75,3830.769230769231
3724465,CUR,2007-05-30,3.78,3.9,3.56,3.65,214900.0,0.0,1.0,49.14,50.7,46.28,47.45,16530.76923076923
3724466,CUR,2007-05-31,3.67,3.78,3.51,3.51,90400.0,0.0,1.0,47.71,49.14,45.63,45.63,6953.846153846153
3724467,CUR,2007-06-01,3.52,3.52,3.32,3.32,101000.0,0.0,1.0,45.76,45.76,43.16,43.16,7769.23076923077
3724468,CUR,2007-06-04,3.52,3.55,3.3,3.55,48800.0,0.0,1.0,45.76,46.15,42.9,46.15,3753.8461538461543
3724469,CUR,2007-06-05,3.52,3.52,3.31,3.31,27400.0,0.0,1.0,45.76,45.76,43.03,43.03,2107.692307692308
3724470,CUR,2007-06-06,3.34,3.34,3.24,3.24,53200.0,0.0,1.0,43.42,43.42,42.12000000000001,42.12000000000001,4092.307692307693
3724471,CUR,2007-06-07,3.21,3.25,3.19,3.19,41600.0,0.0,1.0,41.73,42.25,41.47,41.47,3200.0
3724472,CUR,2007-06-08,3.14,3.2,3.03,3.15,32800.0,0.0,1.0,40.82,41.6,39.39,40.95,2523.076923076923
3724473,CUR,2007-06-11,3.1,3.14,3.0,3.14,33500.0,0.0,1.0,40.3,40.82,39.0,40.82,2576.923076923077
3724474,CUR,2007-06-12,3.14,3.24,3.0,3.24,19100.0,0.0,1.0,40.82,42.12000000000001,39.0,42.12000000000001,1469.2307692307693
