,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
3727147,CUTR,2004-03-31,14.59,14.59,13.9,14.0,2041200.0,0.0,1.0,14.59,14.59,13.9,14.0,2041200.0
3727148,CUTR,2004-04-01,14.05,14.4,14.0,14.12,293800.0,0.0,1.0,14.05,14.4,14.0,14.12,293800.0
3727149,CUTR,2004-04-02,14.16,14.16,14.0,14.1,226500.0,0.0,1.0,14.16,14.16,14.0,14.1,226500.0
3727150,CUTR,2004-04-05,14.1,14.35,14.0,14.0,136000.0,0.0,1.0,14.1,14.35,14.0,14.0,136000.0
3727151,CUTR,2004-04-06,14.2,14.2,14.0,14.01,39700.0,0.0,1.0,14.2,14.2,14.0,14.01,39700.0
3727152,CUTR,2004-04-07,14.2,14.2,14.0,14.01,108700.0,0.0,1.0,14.2,14.2,14.0,14.01,108700.0
3727153,CUTR,2004-04-08,14.139000000000001,14.139000000000001,14.0,14.09,200600.0,0.0,1.0,14.139000000000001,14.139000000000001,14.0,14.09,200600.0
3727154,CUTR,2004-04-12,14.1,14.14,14.0,14.01,30700.0,0.0,1.0,14.1,14.14,14.0,14.01,30700.0
3727155,CUTR,2004-04-13,14.002,14.15,14.0,14.15,123500.0,0.0,1.0,14.002,14.15,14.0,14.15,123500.0
3727156,CUTR,2004-04-14,14.1,14.1,14.0,14.1,79000.0,0.0,1.0,14.1,14.1,14.0,14.1,79000.0
3727157,CUTR,2004-04-15,14.075,14.15,14.0,14.01,18200.0,0.0,1.0,14.075,14.15,14.0,14.01,18200.0
3727158,CUTR,2004-04-16,14.1,14.1,14.0,14.0,6800.0,0.0,1.0,14.1,14.1,14.0,14.0,6800.0
3727159,CUTR,2004-04-19,14.1,14.15,13.99,14.15,285600.0,0.0,1.0,14.1,14.15,13.99,14.15,285600.0
3727160,CUTR,2004-04-20,14.02,14.5,14.02,14.16,60300.0,0.0,1.0,14.02,14.5,14.02,14.16,60300.0
3727161,CUTR,2004-04-21,14.15,14.3,14.1,14.16,58300.0,0.0,1.0,14.15,14.3,14.1,14.16,58300.0
3727162,CUTR,2004-04-22,14.15,15.75,14.14,15.44,550600.0,0.0,1.0,14.15,15.75,14.14,15.44,550600.0
3727163,CUTR,2004-04-23,15.69,16.4,15.3,15.8,203700.0,0.0,1.0,15.69,16.4,15.3,15.8,203700.0
3727164,CUTR,2004-04-26,15.92,15.95,15.5,15.7,71200.0,0.0,1.0,15.92,15.95,15.5,15.7,71200.0
3727165,CUTR,2004-04-27,16.37,16.37,15.331,15.42,20200.0,0.0,1.0,16.37,16.37,15.331,15.42,20200.0
3727166,CUTR,2004-04-28,15.35,15.35,14.5,14.99,71600.0,0.0,1.0,15.35,15.35,14.5,14.99,71600.0
3727167,CUTR,2004-04-29,14.83,14.85,14.06,14.15,71700.0,0.0,1.0,14.83,14.85,14.06,14.15,71700.0
3727168,CUTR,2004-04-30,14.15,14.5,14.0,14.07,36600.0,0.0,1.0,14.15,14.5,14.0,14.07,36600.0
3727169,CUTR,2004-05-03,14.5,16.98,14.02,16.5,501600.0,0.0,1.0,14.5,16.98,14.02,16.5,501600.0
3727170,CUTR,2004-05-04,16.6,16.72,15.59,15.59,114000.0,0.0,1.0,16.6,16.72,15.59,15.59,114000.0
3727171,CUTR,2004-05-05,15.5,16.0,14.4,15.11,45800.0,0.0,1.0,15.5,16.0,14.4,15.11,45800.0
3727172,CUTR,2004-05-06,14.72,15.5,14.6,14.77,44000.0,0.0,1.0,14.72,15.5,14.6,14.77,44000.0
3727173,CUTR,2004-05-07,14.75,14.8,14.22,14.75,50100.0,0.0,1.0,14.75,14.8,14.22,14.75,50100.0
3727174,CUTR,2004-05-10,14.94,14.94,14.1,14.14,66400.0,0.0,1.0,14.94,14.94,14.1,14.14,66400.0
3727175,CUTR,2004-05-11,14.23,14.9,13.51,14.0,85300.0,0.0,1.0,14.23,14.9,13.51,14.0,85300.0
3727176,CUTR,2004-05-12,14.0,14.35,14.0,14.08,34900.0,0.0,1.0,14.0,14.35,14.0,14.08,34900.0
3727177,CUTR,2004-05-13,14.4,14.4,14.0,14.0,14400.0,0.0,1.0,14.4,14.4,14.0,14.0,14400.0
3727178,CUTR,2004-05-14,14.35,14.35,14.0,14.05,12000.0,0.0,1.0,14.35,14.35,14.0,14.05,12000.0
3727179,CUTR,2004-05-17,14.0,14.12,14.0,14.11,44500.0,0.0,1.0,14.0,14.12,14.0,14.11,44500.0
3727180,CUTR,2004-05-18,14.2,14.2,14.0,14.01,2400.0,0.0,1.0,14.2,14.2,14.0,14.01,2400.0
3727181,CUTR,2004-05-19,14.0,14.1,14.0,14.1,12300.0,0.0,1.0,14.0,14.1,14.0,14.1,12300.0
3727182,CUTR,2004-05-20,14.25,14.25,14.0,14.0,60500.0,0.0,1.0,14.25,14.25,14.0,14.0,60500.0
3727183,CUTR,2004-05-21,14.1,14.1,14.0,14.05,44800.0,0.0,1.0,14.1,14.1,14.0,14.05,44800.0
3727184,CUTR,2004-05-24,14.0,14.03,13.95,14.02,38700.0,0.0,1.0,14.0,14.03,13.95,14.02,38700.0
3727185,CUTR,2004-05-25,13.972000000000001,13.972000000000001,12.9,12.96,221800.0,0.0,1.0,13.972000000000001,13.972000000000001,12.9,12.96,221800.0
3727186,CUTR,2004-05-26,12.97,12.97,11.7,12.25,106700.0,0.0,1.0,12.97,12.97,11.7,12.25,106700.0
3727187,CUTR,2004-05-27,12.25,13.0,12.25,12.91,25900.0,0.0,1.0,12.25,13.0,12.25,12.91,25900.0
3727188,CUTR,2004-05-28,13.01,13.01,12.8,12.8,27900.0,0.0,1.0,13.01,13.01,12.8,12.8,27900.0
3727189,CUTR,2004-06-01,13.01,13.02,12.75,12.75,15100.0,0.0,1.0,13.01,13.02,12.75,12.75,15100.0
3727190,CUTR,2004-06-02,13.1,13.1,12.75,13.0,7300.0,0.0,1.0,13.1,13.1,12.75,13.0,7300.0
3727191,CUTR,2004-06-03,12.85,12.86,12.0,12.05,56500.0,0.0,1.0,12.85,12.86,12.0,12.05,56500.0
3727192,CUTR,2004-06-04,12.65,13.3,12.07,12.76,17100.0,0.0,1.0,12.65,13.3,12.07,12.76,17100.0
3727193,CUTR,2004-06-07,12.898,13.25,12.42,12.71,9900.0,0.0,1.0,12.898,13.25,12.42,12.71,9900.0
3727194,CUTR,2004-06-08,12.9,12.9,12.7,12.7,1700.0,0.0,1.0,12.9,12.9,12.7,12.7,1700.0
3727195,CUTR,2004-06-09,12.7,12.9,12.7,12.72,1600.0,0.0,1.0,12.7,12.9,12.7,12.72,1600.0
3727196,CUTR,2004-06-10,12.700999999999999,12.700999999999999,11.96,12.16,13800.0,0.0,1.0,12.700999999999999,12.700999999999999,11.96,12.16,13800.0
3727197,CUTR,2004-06-14,12.1,12.1,10.79,11.11,54700.0,0.0,1.0,12.1,12.1,10.79,11.11,54700.0
3727198,CUTR,2004-06-15,11.21,11.35,10.8,11.23,5400.0,0.0,1.0,11.21,11.35,10.8,11.23,5400.0
3727199,CUTR,2004-06-16,11.001,11.95,11.001,11.91,12900.0,0.0,1.0,11.001,11.95,11.001,11.91,12900.0
3727200,CUTR,2004-06-17,11.651,12.47,11.651,12.3,48800.0,0.0,1.0,11.651,12.47,11.651,12.3,48800.0
3727201,CUTR,2004-06-18,12.398,12.4,12.3,12.32,16700.0,0.0,1.0,12.398,12.4,12.3,12.32,16700.0
3727202,CUTR,2004-06-21,12.448,12.448,11.92,12.09,25000.0,0.0,1.0,12.448,12.448,11.92,12.09,25000.0
3727203,CUTR,2004-06-22,12.47,12.71,12.38,12.7,37600.0,0.0,1.0,12.47,12.71,12.38,12.7,37600.0
3727204,CUTR,2004-06-23,12.75,13.21,12.75,13.2,392400.0,0.0,1.0,12.75,13.21,12.75,13.2,392400.0
3727205,CUTR,2004-06-24,13.2,13.65,13.2,13.38,12500.0,0.0,1.0,13.2,13.65,13.2,13.38,12500.0
3727206,CUTR,2004-06-25,13.321,13.59,13.3,13.59,8300.0,0.0,1.0,13.321,13.59,13.3,13.59,8300.0
3727207,CUTR,2004-06-28,13.2,14.0,13.2,13.75,25300.0,0.0,1.0,13.2,14.0,13.2,13.75,25300.0
3727208,CUTR,2004-06-29,14.0,14.0,13.54,13.6,5700.0,0.0,1.0,14.0,14.0,13.54,13.6,5700.0
3727209,CUTR,2004-06-30,14.0,14.0,13.32,13.59,9700.0,0.0,1.0,14.0,14.0,13.32,13.59,9700.0
3727210,CUTR,2004-07-01,13.59,13.97,13.2,13.45,9900.0,0.0,1.0,13.59,13.97,13.2,13.45,9900.0
3727211,CUTR,2004-07-02,13.41,13.7,13.27,13.4,32900.0,0.0,1.0,13.41,13.7,13.27,13.4,32900.0
3727212,CUTR,2004-07-06,13.27,13.72,13.07,13.18,25000.0,0.0,1.0,13.27,13.72,13.07,13.18,25000.0
3727213,CUTR,2004-07-07,13.082,13.25,12.87,12.94,48100.0,0.0,1.0,13.082,13.25,12.87,12.94,48100.0
3727214,CUTR,2004-07-08,13.47,13.47,12.75,12.79,18200.0,0.0,1.0,13.47,13.47,12.75,12.79,18200.0
3727215,CUTR,2004-07-09,13.29,13.29,12.8,12.82,3800.0,0.0,1.0,13.29,13.29,12.8,12.82,3800.0
3727216,CUTR,2004-07-12,12.8,13.25,12.8,13.05,15900.0,0.0,1.0,12.8,13.25,12.8,13.05,15900.0
3727217,CUTR,2004-07-13,13.28,13.46,13.25,13.46,1700.0,0.0,1.0,13.28,13.46,13.25,13.46,1700.0
3727218,CUTR,2004-07-14,13.11,13.39,13.1,13.12,13900.0,0.0,1.0,13.11,13.39,13.1,13.12,13900.0
3727219,CUTR,2004-07-15,13.44,13.45,13.1,13.4,12600.0,0.0,1.0,13.44,13.45,13.1,13.4,12600.0
3727220,CUTR,2004-07-16,13.47,13.49,13.4,13.4,300.0,0.0,1.0,13.47,13.49,13.4,13.4,300.0
3727221,CUTR,2004-07-19,13.41,13.5,13.27,13.5,9200.0,0.0,1.0,13.41,13.5,13.27,13.5,9200.0
3727222,CUTR,2004-07-20,13.5,13.54,13.3,13.3,3900.0,0.0,1.0,13.5,13.54,13.3,13.3,3900.0
3727223,CUTR,2004-07-21,13.17,13.5,13.17,13.5,7500.0,0.0,1.0,13.17,13.5,13.17,13.5,7500.0
3727224,CUTR,2004-07-22,13.54,13.64,13.3,13.31,3900.0,0.0,1.0,13.54,13.64,13.3,13.31,3900.0
3727225,CUTR,2004-07-23,13.3,13.97,13.3,13.35,8400.0,0.0,1.0,13.3,13.97,13.3,13.35,8400.0
3727226,CUTR,2004-07-26,13.81,13.97,13.809000000000001,13.91,3000.0,0.0,1.0,13.81,13.97,13.809000000000001,13.91,3000.0
3727227,CUTR,2004-07-27,13.899000000000001,13.899000000000001,13.0,13.0,11000.0,0.0,1.0,13.899000000000001,13.899000000000001,13.0,13.0,11000.0
3727228,CUTR,2004-07-28,13.05,13.23,12.39,13.05,6200.0,0.0,1.0,13.05,13.23,12.39,13.05,6200.0
3727229,CUTR,2004-07-29,13.0,14.0,13.0,13.95,12900.0,0.0,1.0,13.0,14.0,13.0,13.95,12900.0
3727230,CUTR,2004-07-30,14.0,14.0,13.9,14.0,5500.0,0.0,1.0,14.0,14.0,13.9,14.0,5500.0
3727231,CUTR,2004-08-02,14.0,14.0,13.93,13.97,7100.0,0.0,1.0,14.0,14.0,13.93,13.97,7100.0
3727232,CUTR,2004-08-03,14.0,14.0,13.43,13.498,17300.0,0.0,1.0,14.0,14.0,13.43,13.498,17300.0
3727233,CUTR,2004-08-04,13.5,13.74,13.47,13.47,104100.0,0.0,1.0,13.5,13.74,13.47,13.47,104100.0
3727234,CUTR,2004-08-05,13.91,13.91,13.4,13.489,3900.0,0.0,1.0,13.91,13.91,13.4,13.489,3900.0
3727235,CUTR,2004-08-06,13.5,13.5,13.0,13.159,9300.0,0.0,1.0,13.5,13.5,13.0,13.159,9300.0
3727236,CUTR,2004-08-09,14.0,14.0,12.88,12.88,13000.0,0.0,1.0,14.0,14.0,12.88,12.88,13000.0
3727237,CUTR,2004-08-10,13.04,13.04,11.07,13.01,103100.0,0.0,1.0,13.04,13.04,11.07,13.01,103100.0
3727238,CUTR,2004-08-11,13.0,13.17,12.76,13.0,13200.0,0.0,1.0,13.0,13.17,12.76,13.0,13200.0
3727239,CUTR,2004-08-12,13.187999999999999,13.29,11.98,12.12,64400.0,0.0,1.0,13.187999999999999,13.29,11.98,12.12,64400.0
3727240,CUTR,2004-08-13,12.3,12.3,11.04,11.32,33200.0,0.0,1.0,12.3,12.3,11.04,11.32,33200.0
3727241,CUTR,2004-08-16,11.75,12.49,11.6,12.07,41100.0,0.0,1.0,11.75,12.49,11.6,12.07,41100.0
3727242,CUTR,2004-08-17,13.18,13.2,12.61,12.7,62200.0,0.0,1.0,13.18,13.2,12.61,12.7,62200.0
3727243,CUTR,2004-08-18,12.83,13.03,11.89,12.0,30500.0,0.0,1.0,12.83,13.03,11.89,12.0,30500.0
3727244,CUTR,2004-08-19,12.38,12.38,11.85,12.15,17800.0,0.0,1.0,12.38,12.38,11.85,12.15,17800.0
3727245,CUTR,2004-08-20,12.5,13.16,12.14,12.69,19500.0,0.0,1.0,12.5,13.16,12.14,12.69,19500.0
3727246,CUTR,2004-08-23,12.78,12.78,11.85,11.85,58600.0,0.0,1.0,12.78,12.78,11.85,11.85,58600.0
3727247,CUTR,2004-08-24,12.1,12.1,11.65,11.65,6900.0,0.0,1.0,12.1,12.1,11.65,11.65,6900.0
3727248,CUTR,2004-08-25,11.88,11.88,11.55,11.55,20600.0,0.0,1.0,11.88,11.88,11.55,11.55,20600.0
3727249,CUTR,2004-08-26,12.1,12.1,11.35,11.45,23200.0,0.0,1.0,12.1,12.1,11.35,11.45,23200.0
3727250,CUTR,2004-08-27,12.1,12.1,11.43,11.54,9300.0,0.0,1.0,12.1,12.1,11.43,11.54,9300.0
3727251,CUTR,2004-08-30,12.1,12.1,11.12,11.49,10100.0,0.0,1.0,12.1,12.1,11.12,11.49,10100.0
3727252,CUTR,2004-08-31,12.1,12.1,11.0,11.4,27300.0,0.0,1.0,12.1,12.1,11.0,11.4,27300.0
3727253,CUTR,2004-09-01,11.3,11.57,11.2,11.48,17300.0,0.0,1.0,11.3,11.57,11.2,11.48,17300.0
3727254,CUTR,2004-09-02,11.75,11.83,11.491,11.5,16200.0,0.0,1.0,11.75,11.83,11.491,11.5,16200.0
3727255,CUTR,2004-09-03,11.85,11.85,11.2,11.499,10500.0,0.0,1.0,11.85,11.85,11.2,11.499,10500.0
3727256,CUTR,2004-09-07,11.73,11.73,11.17,11.17,28800.0,0.0,1.0,11.73,11.73,11.17,11.17,28800.0
3727257,CUTR,2004-09-08,11.37,12.08,11.16,11.46,23900.0,0.0,1.0,11.37,12.08,11.16,11.46,23900.0
3727258,CUTR,2004-09-09,11.8,12.04,11.5,11.51,65300.0,0.0,1.0,11.8,12.04,11.5,11.51,65300.0
3727259,CUTR,2004-09-10,12.1,12.1,11.729000000000001,11.8,25700.0,0.0,1.0,12.1,12.1,11.729000000000001,11.8,25700.0
3727260,CUTR,2004-09-13,12.1,12.699000000000002,11.88,12.51,83800.0,0.0,1.0,12.1,12.699000000000002,11.88,12.51,83800.0
3727261,CUTR,2004-09-14,12.7,12.7,12.0,12.52,99700.0,0.0,1.0,12.7,12.7,12.0,12.52,99700.0
3727262,CUTR,2004-09-15,12.75,12.75,12.24,12.43,12300.0,0.0,1.0,12.75,12.75,12.24,12.43,12300.0
3727263,CUTR,2004-09-16,12.41,12.51,12.31,12.32,46000.0,0.0,1.0,12.41,12.51,12.31,12.32,46000.0
3727264,CUTR,2004-09-17,12.5,12.5,12.370999999999999,12.4,5500.0,0.0,1.0,12.5,12.5,12.370999999999999,12.4,5500.0
3727265,CUTR,2004-09-20,12.389000000000001,12.439,12.25,12.38,21300.0,0.0,1.0,12.389000000000001,12.439,12.25,12.38,21300.0
3727266,CUTR,2004-09-21,12.33,12.5,12.1,12.3,15600.0,0.0,1.0,12.33,12.5,12.1,12.3,15600.0
3727267,CUTR,2004-09-22,12.5,12.5,12.0,12.0,23600.0,0.0,1.0,12.5,12.5,12.0,12.0,23600.0
3727268,CUTR,2004-09-23,12.0,12.0,11.68,11.8,17700.0,0.0,1.0,12.0,12.0,11.68,11.8,17700.0
3727269,CUTR,2004-09-24,12.05,12.05,11.52,11.64,25100.0,0.0,1.0,12.05,12.05,11.52,11.64,25100.0
3727270,CUTR,2004-09-27,11.75,11.75,10.85,10.93,132900.0,0.0,1.0,11.75,11.75,10.85,10.93,132900.0
3727271,CUTR,2004-09-28,11.45,11.45,10.8,10.89,44900.0,0.0,1.0,11.45,11.45,10.8,10.89,44900.0
3727272,CUTR,2004-09-29,11.12,11.12,10.81,10.93,10800.0,0.0,1.0,11.12,11.12,10.81,10.93,10800.0
3727273,CUTR,2004-09-30,11.1,11.28,10.95,11.28,87500.0,0.0,1.0,11.1,11.28,10.95,11.28,87500.0
3727274,CUTR,2004-10-01,11.3,11.91,11.01,11.748,54500.0,0.0,1.0,11.3,11.91,11.01,11.748,54500.0
3727275,CUTR,2004-10-04,11.5,11.97,11.24,11.62,16600.0,0.0,1.0,11.5,11.97,11.24,11.62,16600.0
3727276,CUTR,2004-10-05,11.331,11.549000000000001,11.2,11.23,12600.0,0.0,1.0,11.331,11.549000000000001,11.2,11.23,12600.0
3727277,CUTR,2004-10-06,11.49,11.49,11.08,11.3,28800.0,0.0,1.0,11.49,11.49,11.08,11.3,28800.0
3727278,CUTR,2004-10-07,11.42,11.68,11.1,11.16,57100.0,0.0,1.0,11.42,11.68,11.1,11.16,57100.0
3727279,CUTR,2004-10-08,11.35,11.75,11.15,11.69,26200.0,0.0,1.0,11.35,11.75,11.15,11.69,26200.0
3727280,CUTR,2004-10-11,11.1,11.75,10.99,10.99,93700.0,0.0,1.0,11.1,11.75,10.99,10.99,93700.0
3727281,CUTR,2004-10-12,11.0,11.09,10.87,11.04,76600.0,0.0,1.0,11.0,11.09,10.87,11.04,76600.0
3727282,CUTR,2004-10-13,10.82,10.99,10.37,10.41,71000.0,0.0,1.0,10.82,10.99,10.37,10.41,71000.0
3727283,CUTR,2004-10-14,10.3,10.379000000000001,9.81,10.0,114700.0,0.0,1.0,10.3,10.379000000000001,9.81,10.0,114700.0
3727284,CUTR,2004-10-15,9.94,10.17,9.87,10.0,46900.0,0.0,1.0,9.94,10.17,9.87,10.0,46900.0
3727285,CUTR,2004-10-18,9.54,9.95,9.51,9.8,15300.0,0.0,1.0,9.54,9.95,9.51,9.8,15300.0
3727286,CUTR,2004-10-19,9.83,10.1,9.83,10.0,12600.0,0.0,1.0,9.83,10.1,9.83,10.0,12600.0
3727287,CUTR,2004-10-20,9.73,10.15,9.73,10.07,17900.0,0.0,1.0,9.73,10.15,9.73,10.07,17900.0
3727288,CUTR,2004-10-21,9.51,10.4,9.51,10.25,60400.0,0.0,1.0,9.51,10.4,9.51,10.25,60400.0
3727289,CUTR,2004-10-22,10.45,10.45,10.0,10.0,19400.0,0.0,1.0,10.45,10.45,10.0,10.0,19400.0
3727290,CUTR,2004-10-25,9.52,9.85,9.21,9.51,68000.0,0.0,1.0,9.52,9.85,9.21,9.51,68000.0
3727291,CUTR,2004-10-26,9.95,10.23,9.66,9.96,41400.0,0.0,1.0,9.95,10.23,9.66,9.96,41400.0
3727292,CUTR,2004-10-27,9.98,11.1,9.98,11.0,70500.0,0.0,1.0,9.98,11.1,9.98,11.0,70500.0
3727293,CUTR,2004-10-28,10.7,10.95,10.7,10.84,69000.0,0.0,1.0,10.7,10.95,10.7,10.84,69000.0
3727294,CUTR,2004-10-29,10.25,10.95,10.25,10.54,22300.0,0.0,1.0,10.25,10.95,10.25,10.54,22300.0
3727295,CUTR,2004-11-01,10.5,10.9,10.34,10.8,67800.0,0.0,1.0,10.5,10.9,10.34,10.8,67800.0
3727296,CUTR,2004-11-02,10.939,11.07,10.93,10.95,34600.0,0.0,1.0,10.939,11.07,10.93,10.95,34600.0
3727297,CUTR,2004-11-03,11.2,11.2,9.94,10.9,139800.0,0.0,1.0,11.2,11.2,9.94,10.9,139800.0
3727298,CUTR,2004-11-04,11.9,12.25,11.3,11.6,366800.0,0.0,1.0,11.9,12.25,11.3,11.6,366800.0
3727299,CUTR,2004-11-05,11.7,11.86,11.22,11.35,92700.0,0.0,1.0,11.7,11.86,11.22,11.35,92700.0
3727300,CUTR,2004-11-08,11.55,11.55,10.92,11.0,222300.0,0.0,1.0,11.55,11.55,10.92,11.0,222300.0
3727301,CUTR,2004-11-09,11.21,11.21,10.51,11.1,143900.0,0.0,1.0,11.21,11.21,10.51,11.1,143900.0
3727302,CUTR,2004-11-10,11.22,11.3,10.7,10.72,34600.0,0.0,1.0,11.22,11.3,10.7,10.72,34600.0
3727303,CUTR,2004-11-11,10.6,11.19,10.6,11.14,369100.0,0.0,1.0,10.6,11.19,10.6,11.14,369100.0
3727304,CUTR,2004-11-12,11.2,11.7,11.199000000000002,11.56,124200.0,0.0,1.0,11.2,11.7,11.199000000000002,11.56,124200.0
3727305,CUTR,2004-11-15,10.56,11.9,10.1,11.19,125100.0,0.0,1.0,10.56,11.9,10.1,11.19,125100.0
3727306,CUTR,2004-11-16,11.33,11.39,11.08,11.1,76200.0,0.0,1.0,11.33,11.39,11.08,11.1,76200.0
3727307,CUTR,2004-11-17,11.1,11.31,11.1,11.25,46100.0,0.0,1.0,11.1,11.31,11.1,11.25,46100.0
3727308,CUTR,2004-11-18,11.7,11.93,11.1,11.86,77400.0,0.0,1.0,11.7,11.93,11.1,11.86,77400.0
3727309,CUTR,2004-11-19,12.05,12.57,11.76,12.42,114400.0,0.0,1.0,12.05,12.57,11.76,12.42,114400.0
3727310,CUTR,2004-11-22,11.84,12.39,11.35,12.1,84000.0,0.0,1.0,11.84,12.39,11.35,12.1,84000.0
3727311,CUTR,2004-11-23,11.31,12.2,11.2,11.85,98300.0,0.0,1.0,11.31,12.2,11.2,11.85,98300.0
3727312,CUTR,2004-11-24,12.09,12.25,11.83,12.01,61100.0,0.0,1.0,12.09,12.25,11.83,12.01,61100.0
3727313,CUTR,2004-11-26,11.84,12.25,11.39,11.93,38300.0,0.0,1.0,11.84,12.25,11.39,11.93,38300.0
3727314,CUTR,2004-11-29,11.36,12.25,11.36,11.92,98800.0,0.0,1.0,11.36,12.25,11.36,11.92,98800.0
3727315,CUTR,2004-11-30,11.72,12.25,11.72,12.25,47400.0,0.0,1.0,11.72,12.25,11.72,12.25,47400.0
3727316,CUTR,2004-12-01,12.49,12.5,12.14,12.49,38700.0,0.0,1.0,12.49,12.5,12.14,12.49,38700.0
3727317,CUTR,2004-12-02,12.16,12.86,12.15,12.86,116900.0,0.0,1.0,12.16,12.86,12.15,12.86,116900.0
3727318,CUTR,2004-12-03,12.87,12.89,12.16,12.36,41100.0,0.0,1.0,12.87,12.89,12.16,12.36,41100.0
3727319,CUTR,2004-12-06,11.8,12.55,11.75,12.45,35800.0,0.0,1.0,11.8,12.55,11.75,12.45,35800.0
3727320,CUTR,2004-12-07,12.2,12.47,11.9,12.0,68400.0,0.0,1.0,12.2,12.47,11.9,12.0,68400.0
3727321,CUTR,2004-12-08,11.85,12.36,11.2,11.71,126000.0,0.0,1.0,11.85,12.36,11.2,11.71,126000.0
3727322,CUTR,2004-12-09,11.05,12.8,11.05,12.57,89800.0,0.0,1.0,11.05,12.8,11.05,12.57,89800.0
3727323,CUTR,2004-12-10,12.7,12.7,12.4,12.67,52400.0,0.0,1.0,12.7,12.7,12.4,12.67,52400.0
3727324,CUTR,2004-12-13,12.69,12.9,12.06,12.75,38700.0,0.0,1.0,12.69,12.9,12.06,12.75,38700.0
3727325,CUTR,2004-12-14,12.93,13.65,12.93,13.11,101900.0,0.0,1.0,12.93,13.65,12.93,13.11,101900.0
3727326,CUTR,2004-12-15,12.96,13.34,12.54,12.9,24500.0,0.0,1.0,12.96,13.34,12.54,12.9,24500.0
3727327,CUTR,2004-12-16,12.85,12.962,12.56,12.8,52200.0,0.0,1.0,12.85,12.962,12.56,12.8,52200.0
3727328,CUTR,2004-12-17,12.85,12.9,12.45,12.8,53700.0,0.0,1.0,12.85,12.9,12.45,12.8,53700.0
3727329,CUTR,2004-12-20,12.5,13.0,12.24,12.92,33200.0,0.0,1.0,12.5,13.0,12.24,12.92,33200.0
3727330,CUTR,2004-12-21,12.927999999999999,13.0,12.75,12.95,16400.0,0.0,1.0,12.927999999999999,13.0,12.75,12.95,16400.0
3727331,CUTR,2004-12-22,13.0,13.0,12.5,12.92,6700.0,0.0,1.0,13.0,13.0,12.5,12.92,6700.0
3727332,CUTR,2004-12-23,12.75,12.75,12.37,12.53,18200.0,0.0,1.0,12.75,12.75,12.37,12.53,18200.0
3727333,CUTR,2004-12-27,12.4,12.4,11.95,12.09,21500.0,0.0,1.0,12.4,12.4,11.95,12.09,21500.0
3727334,CUTR,2004-12-28,12.0,12.45,12.0,12.13,16300.0,0.0,1.0,12.0,12.45,12.0,12.13,16300.0
3727335,CUTR,2004-12-29,12.34,12.6,12.2,12.5,40700.0,0.0,1.0,12.34,12.6,12.2,12.5,40700.0
3727336,CUTR,2004-12-30,12.5,12.58,12.1,12.35,41500.0,0.0,1.0,12.5,12.58,12.1,12.35,41500.0
3727337,CUTR,2004-12-31,12.55,12.55,12.15,12.5,38900.0,0.0,1.0,12.55,12.55,12.15,12.5,38900.0
3727338,CUTR,2005-01-03,12.4,13.1,12.1,12.9,113800.0,0.0,1.0,12.4,13.1,12.1,12.9,113800.0
3727339,CUTR,2005-01-04,12.7,12.89,12.41,12.6,44900.0,0.0,1.0,12.7,12.89,12.41,12.6,44900.0
3727340,CUTR,2005-01-05,12.48,12.56,12.37,12.5,5300.0,0.0,1.0,12.48,12.56,12.37,12.5,5300.0
3727341,CUTR,2005-01-06,12.36,12.5,12.31,12.5,172700.0,0.0,1.0,12.36,12.5,12.31,12.5,172700.0
3727342,CUTR,2005-01-07,12.37,13.17,12.36,12.82,45000.0,0.0,1.0,12.37,13.17,12.36,12.82,45000.0
3727343,CUTR,2005-01-10,12.81,13.5,12.2,13.19,45300.0,0.0,1.0,12.81,13.5,12.2,13.19,45300.0
