,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
3765938,CVG,1998-08-13,15.75,17.25,15.62,16.62,5835500.0,0.0,1.0,14.623885519219,16.016636521048998,14.503180432393998,15.431681100281,5835500.0
3765939,CVG,1998-08-14,17.38,17.44,15.31,15.5,1314900.0,0.0,1.0,16.137341607874998,16.193051647948,14.215345225349,14.391760352247,1314900.0
3765940,CVG,1998-08-17,15.62,16.62,15.62,16.56,368600.0,0.0,1.0,14.503180432393998,15.431681100281,14.503180432393998,15.375971060207,368600.0
3765941,CVG,1998-08-18,16.81,16.88,15.75,16.31,303600.0,0.0,1.0,15.608096227179,15.673091273931,14.623885519219,15.143845893236001,303600.0
3765942,CVG,1998-08-19,16.12,16.38,15.75,16.0,224500.0,0.0,1.0,14.967430766337,15.208840939988,14.623885519219,14.856010686191,224500.0
3765943,CVG,1998-08-20,15.94,16.0,14.31,15.31,432000.0,0.0,1.0,14.800300646118,14.856010686191,13.286844557462,14.215345225349,432000.0
3765944,CVG,1998-08-21,15.06,15.12,14.06,15.0,305500.0,0.0,1.0,13.983220058376999,14.03893009845,13.05471939049,13.927510018304,305500.0
3765945,CVG,1998-08-24,15.0,15.19,14.88,14.88,71200.0,0.0,1.0,13.927510018304,14.103925145202,13.816089938157,13.816089938157,71200.0
3765946,CVG,1998-08-25,14.94,15.62,14.94,15.5,170200.0,0.0,1.0,13.871799978231001,14.503180432393998,13.871799978231001,14.391760352247,170200.0
3765947,CVG,1998-08-26,15.25,15.25,14.94,14.94,198000.0,0.0,1.0,14.159635185276,14.159635185276,13.871799978231001,13.871799978231001,198000.0
3765948,CVG,1998-08-27,14.5,14.5,12.88,13.25,338600.0,0.0,1.0,13.46325968436,13.46325968436,11.959088602384,12.302633849502001,338600.0
3765949,CVG,1998-08-28,13.44,13.62,12.69,12.94,244300.0,0.0,1.0,12.479048976400001,12.64617909662,11.782673475485,12.014798642456999,244300.0
3765950,CVG,1998-08-31,13.12,13.25,11.38,12.44,286400.0,0.0,1.0,12.181928762676,12.302633849502001,10.566337600553,11.550548308513,286400.0
3765951,CVG,1998-09-01,12.44,12.62,11.62,11.94,187800.0,0.0,1.0,11.550548308513,11.717678428733,10.789177760846,11.08629797457,187800.0
3765952,CVG,1998-09-02,12.0,12.38,11.75,12.06,121800.0,0.0,1.0,11.142008014642999,11.494838268439999,10.909882847671001,11.197718054716,121800.0
3765953,CVG,1998-09-03,11.94,12.25,11.81,12.12,78300.0,0.0,1.0,11.08629797457,11.374133181614999,10.965592887744998,11.25342809479,78300.0
3765954,CVG,1998-09-04,12.25,12.75,12.25,12.56,35300.0,0.0,1.0,11.374133181614999,11.838383515558,11.374133181614999,11.661968388660002,35300.0
3765955,CVG,1998-09-08,13.62,14.62,13.56,14.62,172100.0,0.0,1.0,12.64617909662,13.574679764507,12.590469056547,13.574679764507,172100.0
3765956,CVG,1998-09-09,14.56,14.62,13.56,13.75,160300.0,0.0,1.0,13.518969724434,13.574679764507,12.590469056547,12.766884183445,160300.0
3765957,CVG,1998-09-10,13.62,13.62,12.38,13.0,226100.0,0.0,1.0,12.64617909662,12.64617909662,11.494838268439999,12.07050868253,226100.0
3765958,CVG,1998-09-11,13.0,13.31,12.44,12.81,174100.0,0.0,1.0,12.07050868253,12.358343889575,11.550548308513,11.894093555632,174100.0
3765959,CVG,1998-09-14,12.94,13.62,12.94,13.19,37800.0,0.0,1.0,12.014798642456999,12.64617909662,12.014798642456999,12.246923809429,37800.0
3765960,CVG,1998-09-15,13.12,13.38,12.88,13.31,59500.0,0.0,1.0,12.181928762676,12.423338936327,11.959088602384,12.358343889575,59500.0
3765961,CVG,1998-09-16,13.44,14.0,13.31,13.94,67900.0,0.0,1.0,12.479048976400001,12.999009350417,12.358343889575,12.943299310343999,67900.0
3765962,CVG,1998-09-17,14.0,14.0,13.06,13.75,186400.0,0.0,1.0,12.999009350417,12.999009350417,12.126218722603,12.766884183445,186400.0
3765963,CVG,1998-09-18,13.75,13.75,13.38,13.75,97900.0,0.0,1.0,12.766884183445,12.766884183445,12.423338936327,12.766884183445,97900.0
3765964,CVG,1998-09-21,12.75,13.56,12.75,13.5,63900.0,0.0,1.0,11.838383515558,12.590469056547,11.838383515558,12.534759016473,63900.0
3765965,CVG,1998-09-22,13.62,13.81,13.19,13.38,43300.0,0.0,1.0,12.64617909662,12.822594223518,12.246923809429,12.423338936327,43300.0
3765966,CVG,1998-09-23,13.38,13.62,13.25,13.44,71200.0,0.0,1.0,12.423338936327,12.64617909662,12.302633849502001,12.479048976400001,71200.0
3765967,CVG,1998-09-24,13.5,14.38,13.38,13.94,55000.0,0.0,1.0,12.534759016473,13.351839604214002,12.423338936327,12.943299310343999,55000.0
3765968,CVG,1998-09-25,13.88,13.94,13.38,13.5,29800.0,0.0,1.0,12.887589270271,12.943299310343999,12.423338936327,12.534759016473,29800.0
3765969,CVG,1998-09-28,13.5,14.69,13.5,14.44,95800.0,0.0,1.0,12.534759016473,13.639674811259,12.534759016473,13.407549644287,95800.0
3765970,CVG,1998-09-29,14.5,14.94,14.19,14.69,97200.0,0.0,1.0,13.46325968436,13.871799978231001,13.175424477315,13.639674811259,97200.0
3765971,CVG,1998-09-30,14.5,14.94,14.31,14.94,61600.0,0.0,1.0,13.46325968436,13.871799978231001,13.286844557462,13.871799978231001,61600.0
3765972,CVG,1998-10-01,14.69,14.69,13.38,13.44,129300.0,0.0,1.0,13.639674811259,13.639674811259,12.423338936327,12.479048976400001,129300.0
3765973,CVG,1998-10-02,13.38,13.38,12.88,13.0,36100.0,0.0,1.0,12.423338936327,12.423338936327,11.959088602384,12.07050868253,36100.0
3765974,CVG,1998-10-05,13.0,13.0,11.56,11.88,55900.0,0.0,1.0,12.07050868253,12.07050868253,10.733467720773,11.030587934497001,55900.0
3765975,CVG,1998-10-06,12.12,12.44,11.5,11.69,109400.0,0.0,1.0,11.25342809479,11.550548308513,10.677757680700001,10.854172807598,109400.0
3765976,CVG,1998-10-07,11.75,11.75,11.06,11.06,60900.0,0.0,1.0,10.909882847671001,10.909882847671001,10.269217386829,10.269217386829,60900.0
3765977,CVG,1998-10-08,10.94,10.94,9.62,9.88,148600.0,0.0,1.0,10.157797306683001,10.157797306683001,8.9321764250722,9.173586598722801,148600.0
3765978,CVG,1998-10-09,10.06,11.25,10.0,11.06,241100.0,0.0,1.0,9.3407167189425,10.445632513728,9.2850066788692,10.269217386829,241100.0
3765979,CVG,1998-10-12,12.12,12.44,12.0,12.19,265700.0,0.0,1.0,11.25342809479,11.550548308513,11.142008014642999,11.318423141542,265700.0
3765980,CVG,1998-10-13,12.19,12.31,11.94,12.0,158900.0,0.0,1.0,11.318423141542,11.429843221688001,11.08629797457,11.142008014642999,158900.0
3765981,CVG,1998-10-14,11.88,11.94,11.75,11.75,40100.0,0.0,1.0,11.030587934497001,11.08629797457,10.909882847671001,10.909882847671001,40100.0
3765982,CVG,1998-10-15,11.75,11.75,10.88,11.0,125100.0,0.0,1.0,10.909882847671001,10.909882847671001,10.10208726661,10.213507346756,125100.0
3765983,CVG,1998-10-16,11.38,11.44,11.12,11.19,103200.0,0.0,1.0,10.566337600553,10.622047640626,10.324927426903,10.389922473655,103200.0
3765984,CVG,1998-10-19,11.5,12.12,11.25,11.56,521200.0,0.0,1.0,10.677757680700001,11.25342809479,10.445632513728,10.733467720773,521200.0
3765985,CVG,1998-10-20,11.62,12.06,11.5,11.94,448200.0,0.0,1.0,10.789177760846,11.197718054716,10.677757680700001,11.08629797457,448200.0
3765986,CVG,1998-10-21,12.0,12.75,11.94,12.56,331400.0,0.0,1.0,11.142008014642999,11.838383515558,11.08629797457,11.661968388660002,331400.0
3765987,CVG,1998-10-22,12.62,12.81,12.12,12.25,182700.0,0.0,1.0,11.717678428733,11.894093555632,11.25342809479,11.374133181614999,182700.0
3765988,CVG,1998-10-23,12.25,12.31,11.94,12.19,95100.0,0.0,1.0,11.374133181614999,11.429843221688001,11.08629797457,11.318423141542,95100.0
3765989,CVG,1998-10-26,12.25,12.25,11.88,12.0,97900.0,0.0,1.0,11.374133181614999,11.374133181614999,11.030587934497001,11.142008014642999,97900.0
3765990,CVG,1998-10-27,11.94,12.56,11.81,11.94,257300.0,0.0,1.0,11.08629797457,11.661968388660002,10.965592887744998,11.08629797457,257300.0
3765991,CVG,1998-10-28,12.0,12.25,11.94,12.0,57000.0,0.0,1.0,11.142008014642999,11.374133181614999,11.08629797457,11.142008014642999,57000.0
3765992,CVG,1998-10-29,12.0,12.69,11.88,12.44,171900.0,0.0,1.0,11.142008014642999,11.782673475485,11.030587934497001,11.550548308513,171900.0
3765993,CVG,1998-10-30,12.5,13.94,12.44,13.94,420000.0,0.0,1.0,11.606258348587,12.943299310343999,11.550548308513,12.943299310343999,420000.0
3765994,CVG,1998-11-02,13.69,15.06,13.0,15.0,317700.0,0.0,1.0,12.711174143371998,13.983220058376999,12.07050868253,13.927510018304,317700.0
3765995,CVG,1998-11-03,15.0,15.94,15.0,15.5,780200.0,0.0,1.0,13.927510018304,14.800300646118,13.927510018304,14.391760352247,780200.0
3765996,CVG,1998-11-04,15.5,15.62,15.5,15.62,219200.0,0.0,1.0,14.391760352247,14.503180432393998,14.391760352247,14.503180432393998,219200.0
3765997,CVG,1998-11-05,15.38,15.56,15.0,15.12,284300.0,0.0,1.0,14.280340272101,14.447470392321,13.927510018304,14.03893009845,284300.0
3765998,CVG,1998-11-06,15.25,15.31,15.12,15.31,107700.0,0.0,1.0,14.159635185276,14.215345225349,14.03893009845,14.215345225349,107700.0
3765999,CVG,1998-11-09,15.19,15.25,14.81,14.81,73800.0,0.0,1.0,14.103925145202,14.159635185276,13.751094891405002,13.751094891405002,73800.0
3766000,CVG,1998-11-10,14.75,15.38,14.62,15.12,77700.0,0.0,1.0,13.695384851332,14.280340272101,13.574679764507,14.03893009845,77700.0
3766001,CVG,1998-11-11,15.25,15.44,14.88,15.0,45800.0,0.0,1.0,14.159635185276,14.336050312174,13.816089938157,13.927510018304,45800.0
3766002,CVG,1998-11-12,15.0,15.06,14.88,15.06,50400.0,0.0,1.0,13.927510018304,13.983220058376999,13.816089938157,13.983220058376999,50400.0
3766003,CVG,1998-11-13,15.06,15.12,14.75,15.0,50800.0,0.0,1.0,13.983220058376999,14.03893009845,13.695384851332,13.927510018304,50800.0
3766004,CVG,1998-11-16,15.06,15.5,15.06,15.31,60600.0,0.0,1.0,13.983220058376999,14.391760352247,13.983220058376999,14.215345225349,60600.0
3766005,CVG,1998-11-17,15.38,16.0,15.0,16.0,216700.0,0.0,1.0,14.280340272101,14.856010686191,13.927510018304,14.856010686191,216700.0
