,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
3884996,CYTK,2004-04-30,16.19,17.18,16.1,16.26,550800.0,0.0,1.0,97.14,103.08,96.6,97.56,91800.0
3884997,CYTK,2004-05-03,16.07,17.35,16.07,17.11,397800.0,0.0,1.0,96.42,104.1,96.42,102.66,66300.0
3884998,CYTK,2004-05-04,17.68,17.68,16.25,16.85,224400.0,0.0,1.0,106.08,106.08,97.5,101.1,37400.0
3884999,CYTK,2004-05-05,16.5,17.9,16.5,17.57,155400.0,0.0,1.0,99.0,107.4,99.0,105.42,25900.0
3885000,CYTK,2004-05-06,17.4,17.8,16.5,17.19,199800.0,0.0,1.0,104.4,106.8,99.0,103.14,33300.0
3885001,CYTK,2004-05-07,17.8,17.8,16.711,16.91,71400.0,0.0,1.0,106.8,106.8,100.266,101.46,11900.0
3885002,CYTK,2004-05-10,16.9,16.9,16.02,16.25,452400.0,0.0,1.0,101.4,101.4,96.12,97.5,75400.0
3885003,CYTK,2004-05-11,16.45,16.45,15.29,15.6,118200.0,0.0,1.0,98.7,98.7,91.74,93.6,19700.0
3885004,CYTK,2004-05-12,15.66,15.9,15.2,15.35,263400.0,0.0,1.0,93.96,95.4,91.2,92.1,43900.0
3885005,CYTK,2004-05-13,15.45,15.6,15.34,15.5,102600.0,0.0,1.0,92.7,93.6,92.04,93.0,17100.0
3885006,CYTK,2004-05-14,15.45,15.9,15.2,15.9,21000.0,0.0,1.0,92.7,95.4,91.2,95.4,3500.0
3885007,CYTK,2004-05-17,15.7,15.85,15.7,15.75,114600.0,0.0,1.0,94.2,95.1,94.2,94.5,19100.0
3885008,CYTK,2004-05-18,15.76,15.91,15.74,15.8,66000.0,0.0,1.0,94.56,95.46,94.44,94.8,11000.0
3885009,CYTK,2004-05-19,15.76,15.96,15.76,15.95,13200.0,0.0,1.0,94.56,95.76,94.56,95.7,2200.0
3885010,CYTK,2004-05-20,15.97,16.15,15.48,15.6,70200.0,0.0,1.0,95.82,96.9,92.88,93.6,11700.0
3885011,CYTK,2004-05-21,15.76,16.24,15.5,15.7,148200.0,0.0,1.0,94.56,97.44,93.0,94.2,24700.0
3885012,CYTK,2004-05-24,15.75,15.85,15.23,15.25,69000.0,0.0,1.0,94.5,95.1,91.38,91.5,11500.0
3885013,CYTK,2004-05-25,15.43,15.43,14.28,14.98,82800.0,0.0,1.0,92.58,92.58,85.67999999999998,89.88,13800.0
3885014,CYTK,2004-05-26,14.74,15.77,14.5,15.5,175800.0,0.0,1.0,88.44,94.62,87.0,93.0,29300.0
3885015,CYTK,2004-05-27,16.0,16.24,14.9,15.1,59400.0,0.0,1.0,96.0,97.44,89.4,90.6,9900.0
3885016,CYTK,2004-05-28,15.25,16.4,15.25,16.4,25200.0,0.0,1.0,91.5,98.4,91.5,98.4,4200.0
3885017,CYTK,2004-06-01,15.42,16.3,15.42,15.729000000000001,51000.0,0.0,1.0,92.52,97.8,92.52,94.374,8500.0
3885018,CYTK,2004-06-02,15.71,16.0,14.8,15.14,88800.0,0.0,1.0,94.26,96.0,88.80000000000003,90.84,14800.0
3885019,CYTK,2004-06-03,15.16,15.47,14.99,15.02,24000.0,0.0,1.0,90.96,92.82,89.94,90.12,4000.0
3885020,CYTK,2004-06-04,15.37,15.89,15.03,15.35,105600.0,0.0,1.0,92.22,95.34,90.18,92.1,17600.0
3885021,CYTK,2004-06-07,15.62,15.76,14.79,15.76,42600.0,0.0,1.0,93.72,94.56,88.74,94.56,7100.0
3885022,CYTK,2004-06-08,15.04,16.49,15.04,16.14,301200.0,0.0,1.0,90.24,98.94,90.24,96.84,50200.0
3885023,CYTK,2004-06-09,15.9,16.25,15.81,16.0,129000.0,0.0,1.0,95.4,97.5,94.86,96.0,21500.0
3885024,CYTK,2004-06-10,16.0,16.85,15.9,15.92,56400.0,0.0,1.0,96.0,101.1,95.4,95.52,9400.0
3885025,CYTK,2004-06-14,15.9,15.9,15.2,15.65,63600.0,0.0,1.0,95.4,95.4,91.2,93.9,10600.0
3885026,CYTK,2004-06-15,15.65,15.8,15.04,15.34,39000.0,0.0,1.0,93.9,94.8,90.24,92.04,6500.0
3885027,CYTK,2004-06-16,15.4,16.0,15.15,16.0,67200.0,0.0,1.0,92.4,96.0,90.9,96.0,11200.0
3885028,CYTK,2004-06-17,16.1,16.1,15.69,15.81,92400.0,0.0,1.0,96.6,96.6,94.14,94.86,15400.0
3885029,CYTK,2004-06-18,15.95,16.05,15.9,16.02,100800.0,0.0,1.0,95.7,96.3,95.4,96.12,16800.0
3885030,CYTK,2004-06-21,16.14,16.25,15.7,15.7,73200.0,0.0,1.0,96.84,97.5,94.2,94.2,12200.0
3885031,CYTK,2004-06-22,15.775,15.87,15.15,15.43,104400.0,0.0,1.0,94.65,95.22,90.9,92.58,17400.0
3885032,CYTK,2004-06-23,15.49,15.49,15.2,15.41,141600.0,0.0,1.0,92.94,92.94,91.2,92.46,23600.0
3885033,CYTK,2004-06-24,15.4,15.55,14.51,15.05,99600.0,0.0,1.0,92.4,93.3,87.06,90.3,16600.0
3885034,CYTK,2004-06-25,15.02,15.02,11.52,14.77,406200.0,0.0,1.0,90.12,90.12,69.12,88.62,67700.0
3885035,CYTK,2004-06-28,14.11,14.75,13.1,14.75,101400.0,0.0,1.0,84.66,88.5,78.6,88.5,16900.0
3885036,CYTK,2004-06-29,14.75,14.98,14.45,14.7,34800.0,0.0,1.0,88.5,89.88,86.69999999999997,88.19999999999997,5800.0
3885037,CYTK,2004-06-30,14.85,15.0,14.49,14.85,87000.0,0.0,1.0,89.1,90.0,86.94,89.1,14500.0
3885038,CYTK,2004-07-01,15.01,15.01,14.23,14.84,118800.0,0.0,1.0,90.06,90.06,85.38,89.03999999999998,19800.0
3885039,CYTK,2004-07-02,14.8,15.01,14.61,15.01,126000.0,0.0,1.0,88.80000000000003,90.06,87.66,90.06,21000.0
3885040,CYTK,2004-07-06,14.91,14.91,14.23,14.54,57000.0,0.0,1.0,89.46000000000002,89.46000000000002,85.38,87.24,9500.0
3885041,CYTK,2004-07-07,14.39,14.5,14.16,14.19,91200.0,0.0,1.0,86.34,87.0,84.96000000000002,85.14,15200.0
3885042,CYTK,2004-07-08,14.16,14.26,13.61,13.86,34200.0,0.0,1.0,84.96000000000002,85.56,81.66,83.16,5700.0
3885043,CYTK,2004-07-09,13.81,14.05,13.26,13.5,59400.0,0.0,1.0,82.86,84.30000000000003,79.56,81.0,9900.0
3885044,CYTK,2004-07-12,13.51,13.51,12.47,12.9,605400.0,0.0,1.0,81.06,81.06,74.82000000000002,77.4,100900.0
3885045,CYTK,2004-07-13,12.93,13.0,12.48,12.92,70800.0,0.0,1.0,77.58,78.0,74.88,77.52,11800.0
3885046,CYTK,2004-07-14,12.8,13.0,12.66,13.0,98400.0,0.0,1.0,76.80000000000003,78.0,75.96000000000002,78.0,16400.0
3885047,CYTK,2004-07-15,12.98,13.14,12.89,13.0,38400.0,0.0,1.0,77.88,78.84,77.34,78.0,6400.0
3885048,CYTK,2004-07-16,13.05,13.1,12.92,12.94,136800.0,0.0,1.0,78.30000000000003,78.6,77.52,77.64,22800.0
3885049,CYTK,2004-07-19,13.030999999999999,13.030999999999999,12.0,12.14,637800.0,0.0,1.0,78.186,78.186,72.0,72.84,106300.0
3885050,CYTK,2004-07-20,12.06,12.25,11.66,11.8,37800.0,0.0,1.0,72.36,73.5,69.96000000000001,70.80000000000003,6300.0
3885051,CYTK,2004-07-21,11.81,11.81,9.0,9.56,279600.0,0.0,1.0,70.86,70.86,54.0,57.36,46600.0
3885052,CYTK,2004-07-22,9.51,9.87,9.05,9.39,136200.0,0.0,1.0,57.06,59.22,54.3,56.34,22700.0
3885053,CYTK,2004-07-23,9.35,9.5,7.8,9.07,223200.0,0.0,1.0,56.1,57.0,46.8,54.42,37200.0
3885054,CYTK,2004-07-26,9.1,9.1,8.55,8.94,141600.0,0.0,1.0,54.6,54.6,51.3,53.64,23600.0
3885055,CYTK,2004-07-27,9.12,9.3,8.8,9.17,290400.0,0.0,1.0,54.72,55.8,52.8,55.02,48400.0
3885056,CYTK,2004-07-28,9.0,9.03,8.45,8.48,140400.0,0.0,1.0,54.0,54.17999999999999,50.7,50.88,23400.0
3885057,CYTK,2004-07-29,8.7,9.05,8.21,8.44,60000.0,0.0,1.0,52.2,54.3,49.26000000000001,50.64,10000.0
3885058,CYTK,2004-07-30,8.45,8.45,8.2,8.28,128400.0,0.0,1.0,50.7,50.7,49.2,49.67999999999999,21400.0
3885059,CYTK,2004-08-02,8.22,8.28,8.04,8.2,129000.0,0.0,1.0,49.32000000000001,49.67999999999999,48.24,49.2,21500.0
3885060,CYTK,2004-08-03,8.35,8.35,7.59,7.81,453000.0,0.0,1.0,50.1,50.1,45.54,46.86,75500.0
3885061,CYTK,2004-08-04,7.8,7.89,7.495,7.52,133200.0,0.0,1.0,46.8,47.34,44.97,45.12,22200.0
3885062,CYTK,2004-08-05,7.6,7.66,7.5,7.6,55200.0,0.0,1.0,45.6,45.96,45.0,45.6,9200.0
3885063,CYTK,2004-08-06,7.47,7.66,7.1,7.54,165000.0,0.0,1.0,44.82,45.96,42.6,45.24,27500.0
3885064,CYTK,2004-08-09,7.46,9.38,7.38,7.94,150000.0,0.0,1.0,44.76,56.28,44.28,47.64,25000.0
3885065,CYTK,2004-08-10,8.25,8.25,7.57,7.92,43200.0,0.0,1.0,49.5,49.5,45.42,47.52,7200.0
3885066,CYTK,2004-08-11,7.75,8.74,7.41,8.4,87600.0,0.0,1.0,46.5,52.44,44.46,50.40000000000001,14600.0
3885067,CYTK,2004-08-12,8.01,8.05,7.5,7.73,32400.0,0.0,1.0,48.06,48.3,45.0,46.38,5400.0
3885068,CYTK,2004-08-13,7.78,7.78,7.58,7.78,16800.0,0.0,1.0,46.68,46.68,45.48,46.68,2800.0
3885069,CYTK,2004-08-16,7.88,7.95,7.74,7.74,13800.0,0.0,1.0,47.28,47.7,46.44,46.44,2300.0
3885070,CYTK,2004-08-17,7.83,7.9,7.74,7.77,10800.0,0.0,1.0,46.98,47.40000000000001,46.44,46.62,1800.0
3885071,CYTK,2004-08-18,7.805,8.0,7.72,7.92,13200.0,0.0,1.0,46.83,48.0,46.32,47.52,2200.0
3885072,CYTK,2004-08-19,7.92,7.99,7.51,7.57,31200.0,0.0,1.0,47.52,47.94,45.06,45.42,5200.0
3885073,CYTK,2004-08-20,7.67,7.95,7.5,7.86,43800.0,0.0,1.0,46.02,47.7,45.0,47.16,7300.0
3885074,CYTK,2004-08-23,7.895,8.42,7.895,8.02,41400.0,0.0,1.0,47.37,50.52,47.37,48.12,6900.0
3885075,CYTK,2004-08-24,7.95,8.79,7.95,8.54,13800.0,0.0,1.0,47.7,52.74,47.7,51.24,2300.0
3885076,CYTK,2004-08-25,8.2,9.09,8.2,9.0,25800.0,0.0,1.0,49.2,54.54,49.2,54.0,4300.0
3885077,CYTK,2004-08-26,8.89,9.44,8.83,9.0,39000.0,0.0,1.0,53.34,56.64,52.98,54.0,6500.0
3885078,CYTK,2004-08-27,9.0,9.75,9.0,9.71,63600.0,0.0,1.0,54.0,58.5,54.0,58.26000000000001,10600.0
3885079,CYTK,2004-08-30,10.0,10.0,9.3,9.48,33000.0,0.0,1.0,60.0,60.0,55.8,56.88,5500.0
3885080,CYTK,2004-08-31,9.7,9.91,9.49,9.69,34800.0,0.0,1.0,58.2,59.46,56.94,58.14,5800.0
3885081,CYTK,2004-09-01,9.76,10.65,9.76,10.12,79800.0,0.0,1.0,58.56,63.90000000000001,58.56,60.72,13300.0
3885082,CYTK,2004-09-02,10.46,10.82,9.94,10.6,40200.0,0.0,1.0,62.76000000000001,64.92,59.64,63.6,6700.0
3885083,CYTK,2004-09-03,10.91,11.1,10.13,10.39,13200.0,0.0,1.0,65.46000000000001,66.6,60.78,62.34,2200.0
3885084,CYTK,2004-09-07,10.75,10.76,10.13,10.29,33600.0,0.0,1.0,64.5,64.56,60.78,61.74,5600.0
3885085,CYTK,2004-09-08,10.15,10.42,9.92,9.92,55800.0,0.0,1.0,60.90000000000001,62.52,59.52,59.52,9300.0
3885086,CYTK,2004-09-09,9.91,9.91,9.21,9.58,30600.0,0.0,1.0,59.46,59.46,55.26000000000001,57.48,5100.0
3885087,CYTK,2004-09-10,9.55,10.0,9.36,9.68,36600.0,0.0,1.0,57.3,60.0,56.16,58.08,6100.0
3885088,CYTK,2004-09-13,9.75,10.0,9.65,9.86,76800.0,0.0,1.0,58.5,60.0,57.90000000000001,59.16,12800.0
3885089,CYTK,2004-09-14,9.86,10.0,9.65,9.8,49800.0,0.0,1.0,59.16,60.0,57.90000000000001,58.8,8300.0
3885090,CYTK,2004-09-15,9.9,10.0,9.86,9.945,80400.0,0.0,1.0,59.40000000000001,60.0,59.16,59.67,13400.0
3885091,CYTK,2004-09-16,9.99,10.81,9.76,9.76,106800.0,0.0,1.0,59.94,64.86,58.56,58.56,17800.0
3885092,CYTK,2004-09-17,10.0,10.07,9.9,10.0,146400.0,0.0,1.0,60.0,60.42,59.40000000000001,60.0,24400.0
3885093,CYTK,2004-09-20,10.345,10.52,10.15,10.52,84000.0,0.0,1.0,62.07000000000001,63.12,60.90000000000001,63.12,14000.0
3885094,CYTK,2004-09-21,10.675,11.59,10.6,11.5,137400.0,0.0,1.0,64.05000000000001,69.53999999999999,63.6,69.0,22900.0
3885095,CYTK,2004-09-22,11.59,12.0,11.25,11.98,147000.0,0.0,1.0,69.53999999999999,72.0,67.5,71.88,24500.0
3885096,CYTK,2004-09-23,12.22,12.22,11.66,11.99,99000.0,0.0,1.0,73.32000000000002,73.32000000000002,69.96000000000001,71.94,16500.0
3885097,CYTK,2004-09-24,12.1,12.76,11.7,12.71,52200.0,0.0,1.0,72.6,76.56,70.19999999999999,76.26,8700.0
3885098,CYTK,2004-09-27,12.8,13.5,12.0,12.52,148200.0,0.0,1.0,76.80000000000003,81.0,72.0,75.12,24700.0
3885099,CYTK,2004-09-28,12.77,13.0,12.58,12.93,33000.0,0.0,1.0,76.62,78.0,75.48,77.58,5500.0
3885100,CYTK,2004-09-29,12.57,13.09,12.57,13.0,109200.0,0.0,1.0,75.42,78.53999999999998,75.42,78.0,18200.0
3885101,CYTK,2004-09-30,13.1,13.37,12.51,13.3,178800.0,0.0,1.0,78.6,80.22,75.06,79.80000000000003,29800.0
3885102,CYTK,2004-10-01,13.35,13.4,12.89,13.24,99600.0,0.0,1.0,80.1,80.4,77.34,79.44,16600.0
3885103,CYTK,2004-10-04,13.5,13.5,13.11,13.28,55800.0,0.0,1.0,81.0,81.0,78.66,79.67999999999998,9300.0
3885104,CYTK,2004-10-05,13.47,13.6,13.37,13.53,9000.0,0.0,1.0,80.82000000000002,81.6,80.22,81.17999999999998,1500.0
3885105,CYTK,2004-10-06,13.6,13.82,13.29,13.79,27600.0,0.0,1.0,81.6,82.92,79.74,82.74,4600.0
3885106,CYTK,2004-10-07,13.79,13.83,13.1,13.1,123000.0,0.0,1.0,82.74,82.98,78.6,78.6,20500.0
3885107,CYTK,2004-10-08,13.37,13.4,12.33,12.41,21000.0,0.0,1.0,80.22,80.4,73.98,74.46000000000002,3500.0
3885108,CYTK,2004-10-11,13.0,13.0,12.08,12.16,16200.0,0.0,1.0,78.0,78.0,72.48,72.96000000000002,2700.0
3885109,CYTK,2004-10-12,12.1,12.1,10.88,11.26,70200.0,0.0,1.0,72.6,72.6,65.28,67.56,11700.0
3885110,CYTK,2004-10-13,10.99,11.4511,10.9,11.45,69600.0,0.0,1.0,65.94,68.70660000000001,65.4,68.69999999999999,11600.0
3885111,CYTK,2004-10-14,11.04,11.42,10.95,11.42,28800.0,0.0,1.0,66.24,68.52,65.69999999999999,68.52,4800.0
3885112,CYTK,2004-10-15,11.31,11.31,10.75,10.87,21000.0,0.0,1.0,67.86,67.86,64.5,65.22,3500.0
3885113,CYTK,2004-10-18,10.92,10.93,10.0,10.13,42000.0,0.0,1.0,65.52,65.58,60.0,60.78,7000.0
3885114,CYTK,2004-10-19,9.94,10.23,9.83,9.98,42000.0,0.0,1.0,59.64,61.38,58.98,59.88,7000.0
3885115,CYTK,2004-10-20,10.085,10.17,9.77,9.91,19200.0,0.0,1.0,60.51000000000001,61.02,58.62,59.46,3200.0
3885116,CYTK,2004-10-21,9.93,9.93,9.15,9.37,57600.0,0.0,1.0,59.58,59.58,54.90000000000001,56.22,9600.0
3885117,CYTK,2004-10-22,9.3,9.65,8.71,8.91,193200.0,0.0,1.0,55.8,57.90000000000001,52.26000000000001,53.46,32200.0
3885118,CYTK,2004-10-25,8.95,9.06,8.4,8.45,94800.0,0.0,1.0,53.7,54.36,50.40000000000001,50.7,15800.0
3885119,CYTK,2004-10-26,8.86,8.91,8.35,8.77,58800.0,0.0,1.0,53.16,53.46,50.1,52.62,9800.0
3885120,CYTK,2004-10-27,8.25,8.69,7.8,8.49,487800.0,0.0,1.0,49.5,52.14,46.8,50.94,81300.0
3885121,CYTK,2004-10-28,8.39,9.6,8.39,9.15,213600.0,0.0,1.0,50.34,57.6,50.34,54.90000000000001,35600.0
