,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
4277876,DRC,2005-08-05,22.01,24.39,22.01,22.8,15288000.0,0.0,1.0,22.01,24.39,22.01,22.8,15288000.0
4277877,DRC,2005-08-08,23.25,23.4,22.82,22.95,2063100.0,0.0,1.0,23.25,23.4,22.82,22.95,2063100.0
4277878,DRC,2005-08-09,22.75,22.9,22.25,22.6,1113400.0,0.0,1.0,22.75,22.9,22.25,22.6,1113400.0
4277879,DRC,2005-08-10,22.55,22.65,21.75,22.3,1229600.0,0.0,1.0,22.55,22.65,21.75,22.3,1229600.0
4277880,DRC,2005-08-11,22.25,22.29,21.25,21.95,778100.0,0.0,1.0,22.25,22.29,21.25,21.95,778100.0
4277881,DRC,2005-08-12,21.85,22.2,20.4,21.25,1195000.0,0.0,1.0,21.85,22.2,20.4,21.25,1195000.0
4277882,DRC,2005-08-15,21.2,21.21,20.4,20.4,391300.0,0.0,1.0,21.2,21.21,20.4,20.4,391300.0
4277883,DRC,2005-08-16,20.35,21.24,20.1,20.85,1149300.0,0.0,1.0,20.35,21.24,20.1,20.85,1149300.0
4277884,DRC,2005-08-17,21.0,21.2,20.9,20.9,1014900.0,0.0,1.0,21.0,21.2,20.9,20.9,1014900.0
4277885,DRC,2005-08-18,20.91,21.1,20.5,20.95,276000.0,0.0,1.0,20.91,21.1,20.5,20.95,276000.0
4277886,DRC,2005-08-19,20.95,21.92,20.95,21.6,358600.0,0.0,1.0,20.95,21.92,20.95,21.6,358600.0
4277887,DRC,2005-08-22,21.6,21.88,20.8,20.99,212400.0,0.0,1.0,21.6,21.88,20.8,20.99,212400.0
4277888,DRC,2005-08-23,21.05,22.25,21.05,22.25,276300.0,0.0,1.0,21.05,22.25,21.05,22.25,276300.0
4277889,DRC,2005-08-24,22.2,22.3,21.55,21.93,371600.0,0.0,1.0,22.2,22.3,21.55,21.93,371600.0
4277890,DRC,2005-08-25,21.87,21.87,20.85,21.5,634100.0,0.0,1.0,21.87,21.87,20.85,21.5,634100.0
