,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
4478571,EBIO,2014-02-06,10.35,11.8,10.11,10.85,1765600.0,0.0,1.0,10.35,11.8,10.11,10.85,1765600.0
4478572,EBIO,2014-02-07,10.7,11.31,10.51,11.15,172700.0,0.0,1.0,10.7,11.31,10.51,11.15,172700.0
4478573,EBIO,2014-02-10,11.06,11.4399,11.05,11.17,48700.0,0.0,1.0,11.06,11.4399,11.05,11.17,48700.0
4478574,EBIO,2014-02-11,11.17,11.43,11.0,11.43,22300.0,0.0,1.0,11.17,11.43,11.0,11.43,22300.0
4478575,EBIO,2014-02-12,11.29,11.5,11.21,11.41,6100.0,0.0,1.0,11.29,11.5,11.21,11.41,6100.0
4478576,EBIO,2014-02-13,11.31,11.5,11.1001,11.5,95600.0,0.0,1.0,11.31,11.5,11.1001,11.5,95600.0
4478577,EBIO,2014-02-14,11.5,12.0,11.1714,11.31,35900.0,0.0,1.0,11.5,12.0,11.1714,11.31,35900.0
4478578,EBIO,2014-02-18,11.55,11.55,11.31,11.5,2900.0,0.0,1.0,11.55,11.55,11.31,11.5,2900.0
4478579,EBIO,2014-02-19,11.45,12.44,11.45,12.42,22900.0,0.0,1.0,11.45,12.44,11.45,12.42,22900.0
4478580,EBIO,2014-02-20,12.57,12.81,12.15,12.75,25700.0,0.0,1.0,12.57,12.81,12.15,12.75,25700.0
4478581,EBIO,2014-02-21,12.84,15.0,12.8,14.34,78300.0,0.0,1.0,12.84,15.0,12.8,14.34,78300.0
4478582,EBIO,2014-02-24,14.96,15.4696,14.72,15.45,217300.0,0.0,1.0,14.96,15.4696,14.72,15.45,217300.0
4478583,EBIO,2014-02-25,15.9,17.564,15.0,16.68,84900.0,0.0,1.0,15.9,17.564,15.0,16.68,84900.0
4478584,EBIO,2014-02-26,16.96,19.3326,16.66,17.26,181100.0,0.0,1.0,16.96,19.3326,16.66,17.26,181100.0
4478585,EBIO,2014-02-27,17.44,18.75,17.06,17.37,134600.0,0.0,1.0,17.44,18.75,17.06,17.37,134600.0
4478586,EBIO,2014-02-28,17.99,18.4464,16.01,16.2,45600.0,0.0,1.0,17.99,18.4464,16.01,16.2,45600.0
4478587,EBIO,2014-03-03,16.78,16.78,14.79,15.45,113800.0,0.0,1.0,16.78,16.78,14.79,15.45,113800.0
4478588,EBIO,2014-03-04,15.72,16.7152,15.3,15.76,52400.0,0.0,1.0,15.72,16.7152,15.3,15.76,52400.0
4478589,EBIO,2014-03-05,16.01,17.7,16.0,16.93,70700.0,0.0,1.0,16.01,17.7,16.0,16.93,70700.0
4478590,EBIO,2014-03-06,17.82,17.82,15.17,15.77,66800.0,0.0,1.0,17.82,17.82,15.17,15.77,66800.0
4478591,EBIO,2014-03-07,16.04,16.8466,14.0705,15.26,161100.0,0.0,1.0,16.04,16.8466,14.0705,15.26,161100.0
4478592,EBIO,2014-03-10,15.08,16.19,15.08,15.89,50700.0,0.0,1.0,15.08,16.19,15.08,15.89,50700.0
4478593,EBIO,2014-03-11,16.49,16.67,14.97,15.96,190100.0,0.0,1.0,16.49,16.67,14.97,15.96,190100.0
4478594,EBIO,2014-03-12,15.95,16.6,15.94,16.14,99700.0,0.0,1.0,15.95,16.6,15.94,16.14,99700.0
4478595,EBIO,2014-03-13,16.5,16.99,16.06,16.89,142800.0,0.0,1.0,16.5,16.99,16.06,16.89,142800.0
4478596,EBIO,2014-03-14,16.87,17.56,16.5701,17.05,43900.0,0.0,1.0,16.87,17.56,16.5701,17.05,43900.0
4478597,EBIO,2014-03-17,17.26,17.3,15.49,15.66,43400.0,0.0,1.0,17.26,17.3,15.49,15.66,43400.0
4478598,EBIO,2014-03-18,16.78,17.146,15.21,16.69,41800.0,0.0,1.0,16.78,17.146,15.21,16.69,41800.0
4478599,EBIO,2014-03-19,16.99,17.5,15.89,16.35,51600.0,0.0,1.0,16.99,17.5,15.89,16.35,51600.0
4478600,EBIO,2014-03-20,16.26,17.0,15.6,16.72,58300.0,0.0,1.0,16.26,17.0,15.6,16.72,58300.0
