,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
4736072,ENPH,2012-03-30,7.5,8.24,7.06,7.34,5048600.0,0.0,1.0,7.5,8.24,7.06,7.34,5048600.0
4736073,ENPH,2012-04-02,7.65,8.2,7.4,7.81,495500.0,0.0,1.0,7.65,8.2,7.4,7.81,495500.0
4736074,ENPH,2012-04-03,7.75,7.8,7.5,7.64,316600.0,0.0,1.0,7.75,7.8,7.5,7.64,316600.0
4736075,ENPH,2012-04-04,7.77,7.77,7.31,7.45,165100.0,0.0,1.0,7.77,7.77,7.31,7.45,165100.0
4736076,ENPH,2012-04-05,7.48,7.55,7.37,7.43,104300.0,0.0,1.0,7.48,7.55,7.37,7.43,104300.0
4736077,ENPH,2012-04-09,7.89,7.89,6.62,6.98,123300.0,0.0,1.0,7.89,7.89,6.62,6.98,123300.0
4736078,ENPH,2012-04-10,7.09,7.23,6.97,7.07,247300.0,0.0,1.0,7.09,7.23,6.97,7.07,247300.0
4736079,ENPH,2012-04-11,7.25,7.53,7.0,7.13,161900.0,0.0,1.0,7.25,7.53,7.0,7.13,161900.0
4736080,ENPH,2012-04-12,7.56,7.56,7.08,7.3,41700.0,0.0,1.0,7.56,7.56,7.08,7.3,41700.0
4736081,ENPH,2012-04-13,7.69,7.69,7.0001,7.1,92200.0,0.0,1.0,7.69,7.69,7.0001,7.1,92200.0
4736082,ENPH,2012-04-16,7.15,7.16,6.73,7.16,70200.0,0.0,1.0,7.15,7.16,6.73,7.16,70200.0
4736083,ENPH,2012-04-17,7.15,7.15,6.8,7.0,108600.0,0.0,1.0,7.15,7.15,6.8,7.0,108600.0
4736084,ENPH,2012-04-18,6.96,7.3,6.82,7.29,54300.0,0.0,1.0,6.96,7.3,6.82,7.29,54300.0
4736085,ENPH,2012-04-19,7.21,7.29,7.0,7.04,23100.0,0.0,1.0,7.21,7.29,7.0,7.04,23100.0
4736086,ENPH,2012-04-20,7.05,7.189,7.02,7.02,32500.0,0.0,1.0,7.05,7.189,7.02,7.02,32500.0
4736087,ENPH,2012-04-23,7.0,7.197,6.85,6.98,15600.0,0.0,1.0,7.0,7.197,6.85,6.98,15600.0
