,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
5040426,EXLS,2006-10-20,15.95,18.84,15.45,18.84,6520200.0,0.0,1.0,15.95,18.84,15.45,18.84,6520200.0
5040427,EXLS,2006-10-23,18.95,19.25,17.8,18.29,798200.0,0.0,1.0,18.95,19.25,17.8,18.29,798200.0
5040428,EXLS,2006-10-24,18.01,18.23,17.5,17.69,445000.0,0.0,1.0,18.01,18.23,17.5,17.69,445000.0
5040429,EXLS,2006-10-25,17.38,20.25,17.38,19.5,592100.0,0.0,1.0,17.38,20.25,17.38,19.5,592100.0
5040430,EXLS,2006-10-26,19.03,20.27,19.0,20.1,151500.0,0.0,1.0,19.03,20.27,19.0,20.1,151500.0
5040431,EXLS,2006-10-27,20.25,20.7,19.75,20.6,356400.0,0.0,1.0,20.25,20.7,19.75,20.6,356400.0
5040432,EXLS,2006-10-30,20.6,21.45,20.21,20.69,99000.0,0.0,1.0,20.6,21.45,20.21,20.69,99000.0
5040433,EXLS,2006-10-31,20.75,21.0,19.25,20.8,88800.0,0.0,1.0,20.75,21.0,19.25,20.8,88800.0
5040434,EXLS,2006-11-01,20.55,21.5,20.0,20.15,111400.0,0.0,1.0,20.55,21.5,20.0,20.15,111400.0
5040435,EXLS,2006-11-02,20.0,21.15,19.56,20.67,79000.0,0.0,1.0,20.0,21.15,19.56,20.67,79000.0
5040436,EXLS,2006-11-03,20.44,20.5,19.78,20.3,43300.0,0.0,1.0,20.44,20.5,19.78,20.3,43300.0
5040437,EXLS,2006-11-06,20.5,20.5,19.5,19.5,94500.0,0.0,1.0,20.5,20.5,19.5,19.5,94500.0
5040438,EXLS,2006-11-07,19.5,19.5,18.93,19.01,131100.0,0.0,1.0,19.5,19.5,18.93,19.01,131100.0
5040439,EXLS,2006-11-08,18.92,19.44,18.25,19.12,109900.0,0.0,1.0,18.92,19.44,18.25,19.12,109900.0
5040440,EXLS,2006-11-09,18.79,20.0,18.79,20.0,132100.0,0.0,1.0,18.79,20.0,18.79,20.0,132100.0
5040441,EXLS,2006-11-10,19.56,20.0,19.44,19.81,57800.0,0.0,1.0,19.56,20.0,19.44,19.81,57800.0
5040442,EXLS,2006-11-13,19.69,20.13,19.17,19.62,26000.0,0.0,1.0,19.69,20.13,19.17,19.62,26000.0
