,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
5659639,FTD,2013-10-10,35.0,36.0,31.0,31.11,4400.0,0.0,1.0,35.0,36.0,31.0,31.11,4400.0
5659640,FTD,2013-10-11,30.45,31.5,29.42,31.24,30600.0,0.0,1.0,30.45,31.5,29.42,31.24,30600.0
5659641,FTD,2013-10-14,30.75,31.5,30.55,31.36,71800.0,0.0,1.0,30.75,31.5,30.55,31.36,71800.0
5659642,FTD,2013-10-15,31.5,31.75,31.31,31.56,49600.0,0.0,1.0,31.5,31.75,31.31,31.56,49600.0
5659643,FTD,2013-10-16,31.35,31.87,31.35,31.72,15100.0,0.0,1.0,31.35,31.87,31.35,31.72,15100.0
5659644,FTD,2013-10-17,31.8,32.15,31.8,31.85,18900.0,0.0,1.0,31.8,32.15,31.8,31.85,18900.0
5659645,FTD,2013-10-18,32.25,33.9,32.25,33.9,1300.0,0.0,1.0,32.25,33.9,32.25,33.9,1300.0
5659646,FTD,2013-10-21,33.0,33.22,32.0,33.15,10100.0,0.0,1.0,33.0,33.22,32.0,33.15,10100.0
5659647,FTD,2013-10-22,33.15,33.94,32.7,33.5,5000.0,0.0,1.0,33.15,33.94,32.7,33.5,5000.0
5659648,FTD,2013-10-23,33.7,33.7,33.0,33.45,8600.0,0.0,1.0,33.7,33.7,33.0,33.45,8600.0
5659649,FTD,2013-10-24,33.0,33.5,33.0,33.22,8800.0,0.0,1.0,33.0,33.5,33.0,33.22,8800.0
5659650,FTD,2013-10-25,34.5,36.99,32.57,33.53,66900.0,0.0,1.0,34.5,36.99,32.57,33.53,66900.0
5659651,FTD,2013-10-28,33.93,33.93,32.11,33.05,34400.0,0.0,1.0,33.93,33.93,32.11,33.05,34400.0
5659652,FTD,2013-10-29,33.13,34.73,32.94,33.6,122900.0,0.0,1.0,33.13,34.73,32.94,33.6,122900.0
5659653,FTD,2013-10-30,33.52,34.66,33.52,34.52,74300.0,0.0,1.0,33.52,34.66,33.52,34.52,74300.0
5659654,FTD,2013-10-31,34.41,36.39,33.58,35.1,2051500.0,0.0,1.0,34.41,36.39,33.58,35.1,2051500.0
