,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
5778054,GBLI,2003-12-16,17.0,17.5,16.95,17.5,4158000.0,0.0,1.0,34.0,35.0,33.9,35.0,2079000.0
5778055,GBLI,2003-12-17,17.5,17.61,17.06,17.2,261200.0,0.0,1.0,35.0,35.22,34.12,34.4,130600.0
5778056,GBLI,2003-12-18,17.39,17.4,17.0,17.1,212800.0,0.0,1.0,34.78,34.8,34.0,34.2,106400.0
5778057,GBLI,2003-12-19,17.01,17.2,17.01,17.12,67200.0,0.0,1.0,34.02,34.4,34.02,34.24,33600.0
5778058,GBLI,2003-12-22,17.12,17.2,17.0,17.0,51000.0,0.0,1.0,34.24,34.4,34.0,34.0,25500.0
5778059,GBLI,2003-12-23,17.1,17.2,17.01,17.2,96200.0,0.0,1.0,34.2,34.4,34.02,34.4,48100.0
5778060,GBLI,2003-12-24,17.02,17.2,17.02,17.12,9000.0,0.0,1.0,34.04,34.4,34.04,34.24,4500.0
5778061,GBLI,2003-12-26,17.0,17.3,17.0,17.23,14600.0,0.0,1.0,34.0,34.6,34.0,34.46,7300.0
5778062,GBLI,2003-12-29,17.05,17.45,17.05,17.25,42400.0,0.0,1.0,34.1,34.9,34.1,34.5,21200.0
5778063,GBLI,2003-12-30,17.4,17.45,17.25,17.45,40800.0,0.0,1.0,34.8,34.9,34.5,34.9,20400.0
5778064,GBLI,2003-12-31,17.4,17.9,17.05,17.67,49200.0,0.0,1.0,34.8,35.8,34.1,35.34,24600.0
5778065,GBLI,2004-01-02,17.88,17.97,17.58,17.68,12400.0,0.0,1.0,35.76,35.94,35.16,35.36,6200.0
5778066,GBLI,2004-01-05,17.55,17.85,17.3,17.85,53000.0,0.0,1.0,35.1,35.7,34.6,35.7,26500.0
5778067,GBLI,2004-01-06,17.41,17.86,17.41,17.71,41000.0,0.0,1.0,34.82,35.72,34.82,35.42,20500.0
5778068,GBLI,2004-01-07,17.51,17.97,17.35,17.97,26600.0,0.0,1.0,35.02,35.94,34.7,35.94,13300.0
5778069,GBLI,2004-01-08,17.96,18.0,17.75,17.902,15600.0,0.0,1.0,35.92,36.0,35.5,35.804,7800.0
5778070,GBLI,2004-01-09,17.75,18.1,17.75,18.0,19600.0,0.0,1.0,35.5,36.2,35.5,36.0,9800.0
5778071,GBLI,2004-01-12,17.75,18.52,17.75,18.5,32200.0,0.0,1.0,35.5,37.04,35.5,37.0,16100.0
5778072,GBLI,2004-01-13,17.7,18.5,17.7,18.45,48000.0,0.0,1.0,35.4,37.0,35.4,36.9,24000.0
5778073,GBLI,2004-01-14,18.5,18.65,17.47,18.6,112600.0,0.0,1.0,37.0,37.3,34.94,37.2,56300.0
5778074,GBLI,2004-01-15,18.35,19.13,18.35,19.13,114600.0,0.0,1.0,36.7,38.26,36.7,38.26,57300.0
5778075,GBLI,2004-01-16,19.17,20.0,18.94,19.2,16400.0,0.0,1.0,38.34,40.0,37.88,38.4,8200.0
5778076,GBLI,2004-01-20,19.5,19.5,18.85,19.32,60200.0,0.0,1.0,39.0,39.0,37.7,38.64,30100.0
5778077,GBLI,2004-01-21,19.05,19.21,18.85,19.01,44200.0,0.0,1.0,38.1,38.42,37.7,38.02,22100.0
5778078,GBLI,2004-01-22,19.0,19.39,19.0,19.160999999999998,26600.0,0.0,1.0,38.0,38.78,38.0,38.321999999999996,13300.0
5778079,GBLI,2004-01-23,19.02,19.31,18.85,19.0,35800.0,0.0,1.0,38.04,38.62,37.7,38.0,17900.0
5778080,GBLI,2004-01-26,19.0,19.8,18.85,19.19,42400.0,0.0,1.0,38.0,39.6,37.7,38.38,21200.0
5778081,GBLI,2004-01-27,19.2,19.3,18.9,19.07,52400.0,0.0,1.0,38.4,38.6,37.8,38.14,26200.0
5778082,GBLI,2004-01-28,19.09,20.34,19.0,20.34,21800.0,0.0,1.0,38.18,40.68,38.0,40.68,10900.0
5778083,GBLI,2004-01-29,19.1,19.86,19.1,19.4,36200.0,0.0,1.0,38.2,39.72,38.2,38.8,18100.0
5778084,GBLI,2004-01-30,18.9,19.59,18.9,19.4,10800.0,0.0,1.0,37.8,39.18,37.8,38.8,5400.0
5778085,GBLI,2004-02-02,19.6,19.95,19.3,19.53,25200.0,0.0,1.0,39.2,39.9,38.6,39.06,12600.0
5778086,GBLI,2004-02-03,19.92,19.92,19.3,19.4,148000.0,0.0,1.0,39.84,39.84,38.6,38.8,74000.0
5778087,GBLI,2004-02-04,19.1,19.36,18.85,19.33,13400.0,0.0,1.0,38.2,38.72,37.7,38.66,6700.0
5778088,GBLI,2004-02-05,19.0,19.5,19.0,19.289,15000.0,0.0,1.0,38.0,39.0,38.0,38.578,7500.0
