,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
6004327,GMAN,2010-08-05,11.0,11.99,11.0,11.03,2770100.0,0.0,1.0,8.177697189483226,8.913689936536716,8.177697189483226,8.199999999999998,2770100.0
6004328,GMAN,2010-08-06,10.99,10.99,10.7,10.85,262100.0,0.0,1.0,8.164000000000003,8.164000000000003,7.948571428571432,8.060000000000002,262100.0
6004329,GMAN,2010-08-09,10.95,10.95,10.65,10.71,114100.0,0.0,1.0,8.138375350140057,8.138375350140057,7.915406162464985,7.960000000000001,114100.0
6004330,GMAN,2010-08-10,10.69,10.84,10.49,10.5,126100.0,0.0,1.0,7.941142857142858,8.052571428571431,7.792571428571431,7.800000000000002,126100.0
6004331,GMAN,2010-08-11,10.6,10.6,10.0,10.25,140500.0,0.0,1.0,7.880195121951215,7.880195121951215,7.4341463414634115,7.6199999999999966,140500.0
6004332,GMAN,2010-08-12,10.1,10.39,10.02,10.24,24400.0,0.0,1.0,7.505957031249998,7.721474609374997,7.446503906249998,7.609999999999998,24400.0
6004333,GMAN,2010-08-13,10.08,10.34,9.68,9.85,429900.0,0.0,1.0,7.490923857868021,7.684142131979697,7.193664974619289,7.320000000000001,429900.0
6004334,GMAN,2010-08-16,10.1,10.38,9.83,9.91,76400.0,0.0,1.0,7.511301715438948,7.719535822401612,7.310504540867808,7.369999999999997,76400.0
6004335,GMAN,2010-08-17,9.94,10.4,9.94,10.32,159200.0,0.0,1.0,7.387577519379844,7.729457364341086,7.387577519379844,7.670000000000001,159200.0
6004336,GMAN,2010-08-18,10.65,10.69,9.99,10.53,85000.0,0.0,1.0,7.919230769230772,7.948974358974361,7.428461538461541,7.830000000000003,85000.0
6004337,GMAN,2010-08-19,10.69,10.69,10.01,10.54,74400.0,0.0,1.0,7.941432637571159,7.941432637571159,7.436271347248579,7.830000000000003,74400.0
6004338,GMAN,2010-08-20,10.57,10.89,10.5,10.7,163000.0,0.0,1.0,7.853411214953271,8.091168224299066,7.8014018691588785,7.95,163000.0
6004339,GMAN,2010-08-23,10.68,10.89,10.39,10.66,17500.0,0.0,1.0,7.934859287054407,8.090881801125702,7.719399624765477,7.919999999999997,17500.0
6004340,GMAN,2010-08-24,10.55,10.89,10.35,10.79,66600.0,0.0,1.0,7.841612604263205,8.094328081556997,7.69295644114921,8.019999999999998,66600.0
6004341,GMAN,2010-08-25,10.7,10.93,10.43,10.83,36500.0,0.0,1.0,7.9533702677747025,8.124330563250235,7.75267774699908,8.050000000000004,36500.0
6004342,GMAN,2010-08-26,10.96,10.96,10.7,10.8,114000.0,0.0,1.0,8.14896296296296,8.14896296296296,7.955648148148144,8.029999999999996,114000.0
6004343,GMAN,2010-08-27,10.875,10.875,10.76,10.8301,20000.0,0.0,1.0,8.083448753462608,8.083448753462608,7.997968605724843,8.050074330563254,20000.0
6004344,GMAN,2010-08-30,10.68,11.02,10.475,10.64,85600.0,0.0,1.0,7.939736842105264,8.1925,7.7873355263157915,7.910000000000003,85600.0
6004345,GMAN,2010-08-31,10.3999,10.8501,10.35,10.69,50900.0,0.0,1.0,7.734256782039287,8.069064078578107,7.69714686623012,7.949999999999997,50900.0
6004346,GMAN,2010-09-01,10.83,10.83,10.61,10.79,16300.0,0.0,1.0,8.049731232622797,8.049731232622797,7.886209453197401,8.019999999999998,16300.0
6004347,GMAN,2010-09-02,10.9,10.9,10.61,10.65,15200.0,0.0,1.0,8.105915492957745,8.105915492957745,7.890253521126759,7.919999999999999,15200.0
6004348,GMAN,2010-09-03,10.89,10.89,10.42,10.63,37400.0,0.0,1.0,8.093226716839132,8.093226716839132,7.74393226716839,7.899999999999999,37400.0
6004349,GMAN,2010-09-07,10.09,10.55,10.09,10.38,33700.0,0.0,1.0,7.494595375722543,7.836271676300577,7.494595375722543,7.710000000000001,33700.0
6004350,GMAN,2010-09-08,10.18,10.35,9.26,9.63,324100.0,0.0,1.0,7.568930425752858,7.69532710280374,6.8849013499480805,7.160000000000003,324100.0
6004351,GMAN,2010-09-09,9.8799,9.98,9.65,9.75,85900.0,0.0,1.0,7.346592307692308,7.4210256410256425,7.175641025641029,7.250000000000003,85900.0
6004352,GMAN,2010-09-10,10.0,10.25,9.7825,10.12,79100.0,0.0,1.0,7.43083003952569,7.616600790513832,7.269209486166008,7.519999999999998,79100.0
6004353,GMAN,2010-09-13,9.82,10.23,9.82,10.16,87300.0,0.0,1.0,7.29734251968504,7.602017716535435,7.29734251968504,7.5500000000000025,87300.0
6004354,GMAN,2010-09-14,10.26,10.3,9.91,10.1,138100.0,0.0,1.0,7.628970297029699,7.658712871287125,7.368722772277224,7.509999999999996,138100.0
6004355,GMAN,2010-09-15,10.29,10.53,10.07,10.09,266300.0,0.0,1.0,7.64866204162537,7.827056491575815,7.485133795837461,7.499999999999997,266300.0
6004356,GMAN,2010-09-16,10.12,10.31,10.02,10.29,156500.0,0.0,1.0,7.523615160349858,7.664868804664727,7.449271137026242,7.650000000000004,156500.0
6004357,GMAN,2010-09-17,10.3,10.779000000000002,10.18,10.65,69000.0,0.0,1.0,7.659718309859153,8.015932394366196,7.570478873239435,7.919999999999999,69000.0
6004358,GMAN,2010-09-20,10.8,10.99,10.59,10.99,26300.0,0.0,1.0,8.028753412192906,8.170000000000002,7.872638762511375,8.170000000000002,26300.0
6004359,GMAN,2010-09-21,11.02,11.02,10.565,10.99,36900.0,0.0,1.0,8.192302092811648,8.192302092811648,7.854053685168336,8.170000000000002,36900.0
6004360,GMAN,2010-09-22,10.72,10.94,10.41,10.7,24200.0,0.0,1.0,7.964859813084113,8.128317757009345,7.734532710280375,7.95,24200.0
6004361,GMAN,2010-09-23,10.56,10.88,10.51,10.71,37600.0,0.0,1.0,7.8485154061624645,8.086349206349206,7.811353874883287,7.960000000000001,37600.0
6004362,GMAN,2010-09-24,10.7485,11.42,10.7,11.1599,94800.0,0.0,1.0,7.9843248207885305,8.483136200716848,7.948297491039425,8.289925716845879,94800.0
6004363,GMAN,2010-09-27,11.14,11.28,11.03,11.04,57000.0,0.0,1.0,8.284365942028987,8.388478260869567,8.202563405797102,8.21,57000.0
6004364,GMAN,2010-09-28,11.22,11.47,11.15,11.36,44700.0,0.0,1.0,8.335985915492959,8.521725352112679,8.283978873239437,8.44,44700.0
6004365,GMAN,2010-09-29,11.39,12.29,11.34,11.94,181400.0,0.0,1.0,8.461415410385259,9.13000837520938,8.424271356783919,8.870000000000003,181400.0
6004366,GMAN,2010-09-30,12.02,12.02,11.47,11.55,732500.0,0.0,1.0,8.92914285714286,8.92914285714286,8.520571428571431,8.580000000000004,732500.0
6004367,GMAN,2010-10-01,11.48,12.0,11.04,11.77,79700.0,0.0,1.0,8.534409515717927,8.920985556499572,8.207306711979609,8.749999999999998,79700.0
6004368,GMAN,2010-10-04,11.77,11.87,11.3,11.55,59400.0,0.0,1.0,8.743428571428574,8.817714285714287,8.394285714285719,8.580000000000004,59400.0
6004369,GMAN,2010-10-05,11.67,12.21,11.6,11.69,107800.0,0.0,1.0,8.675132591958942,9.076552609067583,8.623096663815229,8.690000000000003,107800.0
6004370,GMAN,2010-10-06,10.87,11.93,10.85,11.93,56800.0,0.0,1.0,8.081886001676448,8.870000000000003,8.06701592623638,8.870000000000003,56800.0
6004371,GMAN,2010-10-07,11.95,12.0,11.57,11.66,28400.0,0.0,1.0,8.885634648370496,8.922813036020582,8.603078902229845,8.67,28400.0
6004372,GMAN,2010-10-08,11.74,11.96,11.67,11.83,28000.0,0.0,1.0,8.723127641589183,8.88659340659341,8.671115807269656,8.790000000000003,28000.0
6004373,GMAN,2010-10-11,11.93,12.0,11.67,11.97,48300.0,0.0,1.0,8.870258980785295,8.922305764411025,8.676942355889722,8.899999999999997,48300.0
6004374,GMAN,2010-10-12,11.93,11.99,11.73,11.91,10500.0,0.0,1.0,8.864861460957174,8.909445843828713,8.716246851385387,8.849999999999996,10500.0
6004375,GMAN,2010-10-13,12.0,12.28,11.86,11.98,64500.0,0.0,1.0,8.914858096828047,9.122871452420704,8.810851419031719,8.9,64500.0
6004376,GMAN,2010-10-14,11.89,12.03,11.46,11.64,17900.0,0.0,1.0,8.83578178694158,8.939819587628863,8.51623711340206,8.649999999999999,17900.0
6004377,GMAN,2010-10-15,11.77,11.95,11.4,11.86,33000.0,0.0,1.0,8.743145025295107,8.876854974704889,8.468296795952783,8.809999999999997,33000.0
6004378,GMAN,2010-10-18,11.8,11.9,11.53,11.77,17600.0,0.0,1.0,8.772302463891249,8.846644010195412,8.571580288870008,8.749999999999998,17600.0
6004379,GMAN,2010-10-19,11.63,11.63,11.2107,11.29,15900.0,0.0,1.0,8.642666076173612,8.642666076173612,8.331069353410102,8.390000000000004,15900.0
6004380,GMAN,2010-10-20,11.33,11.38,11.07,11.11,27600.0,0.0,1.0,8.423564356435639,8.460738073807377,8.230261026102607,8.259999999999996,27600.0
6004381,GMAN,2010-10-21,11.27,11.3399,10.55,10.72,32500.0,0.0,1.0,8.378908582089547,8.430877145522384,7.843610074626862,7.969999999999998,32500.0
6004382,GMAN,2010-10-22,10.7999,10.94,10.68,10.71,29400.0,0.0,1.0,8.026816433239961,8.130943043884221,7.937703081232492,7.960000000000001,29400.0
6004383,GMAN,2010-10-25,10.86,10.86,10.49,10.59,23000.0,0.0,1.0,8.070651558073658,8.070651558073658,7.7956846081208715,7.870000000000003,23000.0
6004384,GMAN,2010-10-26,10.35,10.64,10.24,10.52,57500.0,0.0,1.0,7.693631178707227,7.90920152091255,7.611863117870724,7.820000000000002,57500.0
6004385,GMAN,2010-10-27,10.51,10.7395,10.45,10.65,56300.0,0.0,1.0,7.81588732394366,7.986557746478872,7.771267605633801,7.919999999999999,56300.0
6004386,GMAN,2010-10-28,10.65,10.82,9.8,9.93,282200.0,0.0,1.0,7.915105740181267,8.0414501510574,7.283383685800604,7.379999999999999,282200.0
6004387,GMAN,2010-10-29,9.93,10.33,9.7,10.03,103000.0,0.0,1.0,7.375722831505482,7.672831505483548,7.204885343968092,7.449999999999997,103000.0
6004388,GMAN,2010-11-01,10.04,10.3,10.03,10.3,118700.0,0.0,1.0,7.466640776699028,7.660000000000001,7.459203883495146,7.660000000000001,118700.0
6004389,GMAN,2010-11-02,10.35,10.43,10.0701,10.43,132800.0,0.0,1.0,7.690556088207092,7.749999999999999,7.482576701821668,7.749999999999999,132800.0
6004390,GMAN,2010-11-03,10.24,10.75,10.24,10.45,86400.0,0.0,1.0,7.613856459330143,7.993062200956937,7.613856459330143,7.769999999999998,86400.0
6004391,GMAN,2010-11-04,10.45,10.53,10.1844,10.39,75600.0,0.0,1.0,7.764581328200194,7.8240230991337825,7.5672346487006745,7.720000000000002,75600.0
6004392,GMAN,2010-11-05,10.41,11.79,10.32,10.85,99300.0,0.0,1.0,7.733142857142861,8.758285714285716,7.666285714285718,8.060000000000002,99300.0
6004393,GMAN,2010-11-08,10.75,11.19,10.56,10.69,193600.0,0.0,1.0,7.994621141253504,8.32184284377923,7.853320860617398,7.949999999999997,193600.0
6004394,GMAN,2010-11-09,10.6001,11.3114,10.38,10.99,88500.0,0.0,1.0,7.880147133757963,8.408929754322113,7.716524112829847,8.170000000000002,88500.0
6004395,GMAN,2010-11-10,10.99,11.72,10.96,11.36,147500.0,0.0,1.0,8.165105633802817,8.707464788732395,8.142816901408452,8.44,147500.0
6004396,GMAN,2010-11-11,11.36,11.72,11.0,11.03,45800.0,0.0,1.0,8.445330915684494,8.712964641885764,8.177697189483226,8.199999999999998,45800.0
6004397,GMAN,2010-11-12,11.0,11.01,10.7,10.76,14400.0,0.0,1.0,8.178438661710032,8.18587360594795,7.955390334572487,7.9999999999999964,14400.0
6004398,GMAN,2010-11-15,10.71,11.14,10.71,11.09,19300.0,0.0,1.0,7.957655545536518,8.277150586113613,7.957655545536518,8.239999999999998,19300.0
6004399,GMAN,2010-11-16,11.21,11.46,10.51,10.66,36400.0,0.0,1.0,8.328630393996246,8.51437148217636,7.8085553470919296,7.919999999999997,36400.0
6004400,GMAN,2010-11-17,10.65,11.34,10.6401,11.27,57600.0,0.0,1.0,7.918988464951202,8.432049689440996,7.911627151730259,8.380000000000003,57600.0
6004401,GMAN,2010-11-18,11.31,11.59,11.2,11.41,28900.0,0.0,1.0,8.405679228746711,8.613777388255912,8.323926380368095,8.479999999999997,28900.0
6004402,GMAN,2010-11-19,11.44,11.7,11.14,11.62,31700.0,0.0,1.0,8.50616179001721,8.699483648881237,8.283098106712563,8.639999999999999,31700.0
6004403,GMAN,2010-11-22,11.6,12.27,11.6,12.2,12200.0,0.0,1.0,8.623934426229512,9.12204098360656,8.623934426229512,9.070000000000004,12200.0
6004404,GMAN,2010-11-23,12.15,12.15,11.685,11.83,39500.0,0.0,1.0,9.027768385460694,9.027768385460694,8.682261200338125,8.790000000000003,39500.0
6004405,GMAN,2010-11-24,11.97,13.0,11.97,12.62,152800.0,0.0,1.0,8.89687797147385,9.66244057052298,8.89687797147385,9.38,152800.0
6004406,GMAN,2010-11-26,12.6,13.0,12.6,12.94,23000.0,0.0,1.0,9.367233384853163,9.664605873261202,9.367233384853163,9.619999999999996,23000.0
6004407,GMAN,2010-11-29,13.0,13.0,12.55,12.73,38600.0,0.0,1.0,9.66064414768264,9.66064414768264,9.326237234878244,9.460000000000004,38600.0
6004408,GMAN,2010-11-30,12.6,12.76,12.41,12.76,39100.0,0.0,1.0,9.361128526645773,9.480000000000002,9.21996865203762,9.480000000000002,39100.0
6004409,GMAN,2010-12-01,13.02,13.62,12.64,13.61,54000.0,0.0,1.0,9.681293166789123,10.127435709037467,9.39873622336517,10.119999999999996,54000.0
6004410,GMAN,2010-12-02,14.0,16.6,14.0,16.39,244200.0,0.0,1.0,10.403904820012206,12.336058572300189,10.403904820012206,12.180000000000005,244200.0
6004411,GMAN,2010-12-03,16.25,16.35,15.68,15.82,83900.0,0.0,1.0,12.079646017699115,12.153982300884955,11.655929203539824,11.760000000000002,83900.0
