,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
6213230,GTS,2007-12-07,14.8,15.9,14.78,15.15,2544700.0,0.0,1.0,14.8,15.9,14.78,15.15,2544700.0
6213231,GTS,2007-12-10,15.25,15.95,14.98,15.87,224700.0,0.0,1.0,15.25,15.95,14.98,15.87,224700.0
6213232,GTS,2007-12-11,17.1,17.73,17.0,17.41,1202200.0,0.0,1.0,17.1,17.73,17.0,17.41,1202200.0
6213233,GTS,2007-12-12,18.6,18.75,17.76,18.08,456500.0,0.0,1.0,18.6,18.75,17.76,18.08,456500.0
6213234,GTS,2007-12-13,18.49,18.5,18.25,18.4,220600.0,0.0,1.0,18.49,18.5,18.25,18.4,220600.0
6213235,GTS,2007-12-14,18.5,19.0,18.0,18.5,204900.0,0.0,1.0,18.5,19.0,18.0,18.5,204900.0
6213236,GTS,2007-12-17,18.53,18.75,18.0,18.35,205300.0,0.0,1.0,18.53,18.75,18.0,18.35,205300.0
6213237,GTS,2007-12-18,18.74,19.49,18.39,19.15,291600.0,0.0,1.0,18.74,19.49,18.39,19.15,291600.0
6213238,GTS,2007-12-19,19.5,19.5,19.05,19.12,194500.0,0.0,1.0,19.5,19.5,19.05,19.12,194500.0
6213239,GTS,2007-12-20,19.47,19.48,18.97,19.03,171600.0,0.0,1.0,19.47,19.48,18.97,19.03,171600.0
6213240,GTS,2007-12-21,19.03,19.45,19.0,19.1,177400.0,0.0,1.0,19.03,19.45,19.0,19.1,177400.0
6213241,GTS,2007-12-24,19.34,20.91,19.31,20.8,141900.0,0.0,1.0,19.34,20.91,19.31,20.8,141900.0
6213242,GTS,2007-12-26,21.2,21.2,19.96,20.14,228400.0,0.0,1.0,21.2,21.2,19.96,20.14,228400.0
6213243,GTS,2007-12-27,20.5,20.65,20.0,20.25,162300.0,0.0,1.0,20.5,20.65,20.0,20.25,162300.0
6213244,GTS,2007-12-28,20.42,20.48,20.2,20.33,166100.0,0.0,1.0,20.42,20.48,20.2,20.33,166100.0
6213245,GTS,2007-12-31,20.34,20.35,20.0,20.21,128800.0,0.0,1.0,20.34,20.35,20.0,20.21,128800.0
6213246,GTS,2008-01-02,20.24,20.39,19.95,20.0,181400.0,0.0,1.0,20.24,20.39,19.95,20.0,181400.0
6213247,GTS,2008-01-03,19.61,20.05,19.25,19.49,151600.0,0.0,1.0,19.61,20.05,19.25,19.49,151600.0
6213248,GTS,2008-01-04,19.05,19.17,18.0,18.84,194000.0,0.0,1.0,19.05,19.17,18.0,18.84,194000.0
6213249,GTS,2008-01-07,18.18,18.79,18.18,18.55,110500.0,0.0,1.0,18.18,18.79,18.18,18.55,110500.0
6213250,GTS,2008-01-08,18.6,19.68,18.6,18.98,171300.0,0.0,1.0,18.6,19.68,18.6,18.98,171300.0
6213251,GTS,2008-01-09,18.83,18.84,18.36,18.7,97800.0,0.0,1.0,18.83,18.84,18.36,18.7,97800.0
6213252,GTS,2008-01-10,18.31,18.74,18.31,18.61,58900.0,0.0,1.0,18.31,18.74,18.31,18.61,58900.0
6213253,GTS,2008-01-11,19.04,19.04,18.33,18.55,41100.0,0.0,1.0,19.04,19.04,18.33,18.55,41100.0
6213254,GTS,2008-01-14,18.6,18.7,18.5,18.5,56700.0,0.0,1.0,18.6,18.7,18.5,18.5,56700.0
6213255,GTS,2008-01-15,18.4,19.22,18.03,18.98,353200.0,0.0,1.0,18.4,19.22,18.03,18.98,353200.0
6213256,GTS,2008-01-16,18.51,19.99,18.51,19.75,550800.0,0.0,1.0,18.51,19.99,18.51,19.75,550800.0
6213257,GTS,2008-01-17,20.23,20.23,18.89,19.2,74300.0,0.0,1.0,20.23,20.23,18.89,19.2,74300.0
6213258,GTS,2008-01-18,19.99,19.99,18.0,19.16,155800.0,0.0,1.0,19.99,19.99,18.0,19.16,155800.0
6213259,GTS,2008-01-22,17.48,19.24,17.48,18.66,175800.0,0.0,1.0,17.48,19.24,17.48,18.66,175800.0
6213260,GTS,2008-01-23,18.84,19.1,18.05,19.0,69400.0,0.0,1.0,18.84,19.1,18.05,19.0,69400.0
6213261,GTS,2008-01-24,19.59,19.6,18.99,19.59,35600.0,0.0,1.0,19.59,19.6,18.99,19.59,35600.0
6213262,GTS,2008-01-25,19.4,19.95,19.0,19.49,60100.0,0.0,1.0,19.4,19.95,19.0,19.49,60100.0
6213263,GTS,2008-01-28,19.0,19.48,18.86,19.35,46000.0,0.0,1.0,19.0,19.48,18.86,19.35,46000.0
6213264,GTS,2008-01-29,19.35,19.35,18.9,19.2,45800.0,0.0,1.0,19.35,19.35,18.9,19.2,45800.0
6213265,GTS,2008-01-30,18.99,19.26,18.7,19.11,44000.0,0.0,1.0,18.99,19.26,18.7,19.11,44000.0
6213266,GTS,2008-01-31,19.01,19.11,18.77,19.01,36600.0,0.0,1.0,19.01,19.11,18.77,19.01,36600.0
6213267,GTS,2008-02-01,19.2,19.58,18.9,19.28,48900.0,0.0,1.0,19.2,19.58,18.9,19.28,48900.0
