,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
6274139,H,2009-11-05,27.0,28.26,25.75,28.0,19384900.0,0.0,1.0,27.0,28.26,25.75,28.0,19384900.0
6274140,H,2009-11-06,27.88,30.5,27.74,28.0,2698600.0,0.0,1.0,27.88,30.5,27.74,28.0,2698600.0
6274141,H,2009-11-09,28.19,29.09,27.98,28.9,1886200.0,0.0,1.0,28.19,29.09,27.98,28.9,1886200.0
6274142,H,2009-11-10,29.0,29.9,28.48,29.3,813700.0,0.0,1.0,29.0,29.9,28.48,29.3,813700.0
6274143,H,2009-11-11,29.03,29.5,28.51,29.24,1290300.0,0.0,1.0,29.03,29.5,28.51,29.24,1290300.0
6274144,H,2009-11-12,28.94,29.71,28.94,29.1,705800.0,0.0,1.0,28.94,29.71,28.94,29.1,705800.0
6274145,H,2009-11-13,29.03,29.23,28.85,28.98,1036800.0,0.0,1.0,29.03,29.23,28.85,28.98,1036800.0
6274146,H,2009-11-16,28.98,29.27,28.6,28.9,1036000.0,0.0,1.0,28.98,29.27,28.6,28.9,1036000.0
6274147,H,2009-11-17,28.76,29.01,28.19,28.67,785600.0,0.0,1.0,28.76,29.01,28.19,28.67,785600.0
6274148,H,2009-11-18,28.61,29.67,28.57,29.5,995200.0,0.0,1.0,28.61,29.67,28.57,29.5,995200.0
6274149,H,2009-11-19,29.4,29.45,28.77,29.2,79800.0,0.0,1.0,29.4,29.45,28.77,29.2,79800.0
6274150,H,2009-11-20,29.15,29.68,28.93,29.52,1019200.0,0.0,1.0,29.15,29.68,28.93,29.52,1019200.0
6274151,H,2009-11-23,29.72,29.95,28.76,28.85,579400.0,0.0,1.0,29.72,29.95,28.76,28.85,579400.0
6274152,H,2009-11-24,29.04,29.04,28.06,28.54,509200.0,0.0,1.0,29.04,29.04,28.06,28.54,509200.0
6274153,H,2009-11-25,28.45,28.93,28.31,28.61,275300.0,0.0,1.0,28.45,28.93,28.31,28.61,275300.0
6274154,H,2009-11-27,27.77,28.48,27.75,28.35,386800.0,0.0,1.0,27.77,28.48,27.75,28.35,386800.0
6274155,H,2009-11-30,28.37,28.94,28.36,28.75,519500.0,0.0,1.0,28.37,28.94,28.36,28.75,519500.0
6274156,H,2009-12-01,28.89,29.99,28.73,29.71,562600.0,0.0,1.0,28.89,29.99,28.73,29.71,562600.0
6274157,H,2009-12-02,29.75,30.0,28.7,29.37,418100.0,0.0,1.0,29.75,30.0,28.7,29.37,418100.0
6274158,H,2009-12-03,29.51,29.65,29.1,29.28,242200.0,0.0,1.0,29.51,29.65,29.1,29.28,242200.0
6274159,H,2009-12-04,29.45,29.65,29.13,29.5,91800.0,0.0,1.0,29.45,29.65,29.13,29.5,91800.0
6274160,H,2009-12-07,29.38,29.38,28.52,28.72,878000.0,0.0,1.0,29.38,29.38,28.52,28.72,878000.0
6274161,H,2009-12-08,28.55,28.55,27.65,27.9,793200.0,0.0,1.0,28.55,28.55,27.65,27.9,793200.0
6274162,H,2009-12-09,28.06,28.29,27.91,28.09,342900.0,0.0,1.0,28.06,28.29,27.91,28.09,342900.0
6274163,H,2009-12-10,28.3,29.15,28.07,28.8,176900.0,0.0,1.0,28.3,29.15,28.07,28.8,176900.0
6274164,H,2009-12-11,28.75,29.18,28.67,29.05,156400.0,0.0,1.0,28.75,29.18,28.67,29.05,156400.0
6274165,H,2009-12-14,29.25,29.61,28.89,29.51,315500.0,0.0,1.0,29.25,29.61,28.89,29.51,315500.0
6274166,H,2009-12-15,30.22,30.5,29.7,30.15,758600.0,0.0,1.0,30.22,30.5,29.7,30.15,758600.0
6274167,H,2009-12-16,30.27,30.62,29.88,30.31,708700.0,0.0,1.0,30.27,30.62,29.88,30.31,708700.0
6274168,H,2009-12-17,30.37,30.38,29.95,30.02,377200.0,0.0,1.0,30.37,30.38,29.95,30.02,377200.0
6274169,H,2009-12-18,30.34,30.38,29.58,30.12,2682700.0,0.0,1.0,30.34,30.38,29.58,30.12,2682700.0
6274170,H,2009-12-21,30.09,30.19,29.8,30.19,380800.0,0.0,1.0,30.09,30.19,29.8,30.19,380800.0
6274171,H,2009-12-22,30.1,30.7,30.04,30.27,292500.0,0.0,1.0,30.1,30.7,30.04,30.27,292500.0
6274172,H,2009-12-23,30.17,30.32,30.05,30.2,193900.0,0.0,1.0,30.17,30.32,30.05,30.2,193900.0
6274173,H,2009-12-24,30.5,30.5,30.03,30.18,130300.0,0.0,1.0,30.5,30.5,30.03,30.18,130300.0
6274174,H,2009-12-28,30.28,30.63,29.91,30.09,289800.0,0.0,1.0,30.28,30.63,29.91,30.09,289800.0
6274175,H,2009-12-29,30.15,30.25,29.74,29.79,121300.0,0.0,1.0,30.15,30.25,29.74,29.79,121300.0
6274176,H,2009-12-30,29.64,30.04,29.64,29.9,37600.0,0.0,1.0,29.64,30.04,29.64,29.9,37600.0
6274177,H,2009-12-31,29.88,30.19,29.58,29.81,572600.0,0.0,1.0,29.88,30.19,29.58,29.81,572600.0
6274178,H,2010-01-04,29.81,30.6,29.65,29.96,482700.0,0.0,1.0,29.81,30.6,29.65,29.96,482700.0
6274179,H,2010-01-05,30.06,30.18,29.81,30.0,554100.0,0.0,1.0,30.06,30.18,29.81,30.0,554100.0
6274180,H,2010-01-06,29.75,29.93,29.46,29.72,58000.0,0.0,1.0,29.75,29.93,29.46,29.72,58000.0
6274181,H,2010-01-07,29.56,30.0,29.5,29.89,1140300.0,0.0,1.0,29.56,30.0,29.5,29.89,1140300.0
6274182,H,2010-01-08,29.98,30.0,29.59,29.71,745500.0,0.0,1.0,29.98,30.0,29.59,29.71,745500.0
6274183,H,2010-01-11,29.8,29.91,29.52,29.81,970200.0,0.0,1.0,29.8,29.91,29.52,29.81,970200.0
6274184,H,2010-01-12,29.9,29.97,29.39,29.83,490200.0,0.0,1.0,29.9,29.97,29.39,29.83,490200.0
6274185,H,2010-01-13,29.9,30.74,29.88,30.73,1499800.0,0.0,1.0,29.9,30.74,29.88,30.73,1499800.0
6274186,H,2010-01-14,30.72,32.24,30.72,31.69,1012100.0,0.0,1.0,30.72,32.24,30.72,31.69,1012100.0
6274187,H,2010-01-15,31.82,31.93,31.54,31.75,736700.0,0.0,1.0,31.82,31.93,31.54,31.75,736700.0
6274188,H,2010-01-19,31.75,31.93,31.41,31.72,861600.0,0.0,1.0,31.75,31.93,31.41,31.72,861600.0
6274189,H,2010-01-20,31.45,31.72,31.21,31.3,585300.0,0.0,1.0,31.45,31.72,31.21,31.3,585300.0
6274190,H,2010-01-21,31.39,31.48,30.39,30.5,282900.0,0.0,1.0,31.39,31.48,30.39,30.5,282900.0
6274191,H,2010-01-22,30.7,30.7,29.37,29.57,722200.0,0.0,1.0,30.7,30.7,29.37,29.57,722200.0
6274192,H,2010-01-25,29.68,30.14,29.52,30.05,499100.0,0.0,1.0,29.68,30.14,29.52,30.05,499100.0
6274193,H,2010-01-26,30.0,30.13,29.87,29.87,199900.0,0.0,1.0,30.0,30.13,29.87,29.87,199900.0
6274194,H,2010-01-27,29.9,30.02,29.47,29.48,94400.0,0.0,1.0,29.9,30.02,29.47,29.48,94400.0
6274195,H,2010-01-28,29.64,30.7,29.56,29.82,1297900.0,0.0,1.0,29.64,30.7,29.56,29.82,1297900.0
6274196,H,2010-01-29,29.85,30.0,29.52,29.62,1155500.0,0.0,1.0,29.85,30.0,29.52,29.62,1155500.0
6274197,H,2010-02-01,29.9,30.19,29.39,29.85,601900.0,0.0,1.0,29.9,30.19,29.39,29.85,601900.0
6274198,H,2010-02-02,29.81,30.51,29.62,29.85,604600.0,0.0,1.0,29.81,30.51,29.62,29.85,604600.0
6274199,H,2010-02-03,29.79,29.83,29.41,29.5,336900.0,0.0,1.0,29.79,29.83,29.41,29.5,336900.0
6274200,H,2010-02-04,29.55,30.25,28.89,29.04,657400.0,0.0,1.0,29.55,30.25,28.89,29.04,657400.0
6274201,H,2010-02-05,29.18,29.21,28.16,28.63,587500.0,0.0,1.0,29.18,29.21,28.16,28.63,587500.0
6274202,H,2010-02-08,28.6,29.3,28.33,28.93,209500.0,0.0,1.0,28.6,29.3,28.33,28.93,209500.0
6274203,H,2010-02-09,29.14,29.35,28.8,29.0,184500.0,0.0,1.0,29.14,29.35,28.8,29.0,184500.0
6274204,H,2010-02-10,29.05,29.4,28.85,29.22,258200.0,0.0,1.0,29.05,29.4,28.85,29.22,258200.0
6274205,H,2010-02-11,29.25,29.35,28.96,29.23,181600.0,0.0,1.0,29.25,29.35,28.96,29.23,181600.0
6274206,H,2010-02-12,29.21,29.34,28.94,29.34,347700.0,0.0,1.0,29.21,29.34,28.94,29.34,347700.0
6274207,H,2010-02-16,29.64,31.47,29.64,29.69,537300.0,0.0,1.0,29.64,31.47,29.64,29.69,537300.0
6274208,H,2010-02-17,29.77,30.46,29.77,30.25,78800.0,0.0,1.0,29.77,30.46,29.77,30.25,78800.0
6274209,H,2010-02-18,30.15,30.24,29.92,30.0,237800.0,0.0,1.0,30.15,30.24,29.92,30.0,237800.0
6274210,H,2010-02-19,29.94,30.16,29.74,29.97,97000.0,0.0,1.0,29.94,30.16,29.74,29.97,97000.0
6274211,H,2010-02-22,29.98,31.04,29.96,30.93,66600.0,0.0,1.0,29.98,31.04,29.96,30.93,66600.0
6274212,H,2010-02-23,30.93,31.3,30.64,30.91,739100.0,0.0,1.0,30.93,31.3,30.64,30.91,739100.0
6274213,H,2010-02-24,30.85,31.15,30.76,31.15,252100.0,0.0,1.0,30.85,31.15,30.76,31.15,252100.0
6274214,H,2010-02-25,31.0,32.75,30.63,32.5,859300.0,0.0,1.0,31.0,32.75,30.63,32.5,859300.0
6274215,H,2010-02-26,32.63,34.09,32.61,33.43,739900.0,0.0,1.0,32.63,34.09,32.61,33.43,739900.0
6274216,H,2010-03-01,33.7,34.26,33.4,33.42,69600.0,0.0,1.0,33.7,34.26,33.4,33.42,69600.0
6274217,H,2010-03-02,33.8,33.8,33.06,33.12,89000.0,0.0,1.0,33.8,33.8,33.06,33.12,89000.0
6274218,H,2010-03-03,33.28,33.54,33.12,33.4,269300.0,0.0,1.0,33.28,33.54,33.12,33.4,269300.0
6274219,H,2010-03-04,33.3,33.79,33.17,33.75,39800.0,0.0,1.0,33.3,33.79,33.17,33.75,39800.0
6274220,H,2010-03-05,33.8,34.42,33.55,34.02,527900.0,0.0,1.0,33.8,34.42,33.55,34.02,527900.0
6274221,H,2010-03-08,34.16,34.88,34.13,34.67,305100.0,0.0,1.0,34.16,34.88,34.13,34.67,305100.0
6274222,H,2010-03-09,34.5,34.64,33.8,33.95,216500.0,0.0,1.0,34.5,34.64,33.8,33.95,216500.0
6274223,H,2010-03-10,34.12,34.3,33.68,33.8,20200.0,0.0,1.0,34.12,34.3,33.68,33.8,20200.0
6274224,H,2010-03-11,33.69,34.21,33.36,33.58,198600.0,0.0,1.0,33.69,34.21,33.36,33.58,198600.0
6274225,H,2010-03-12,33.56,34.06,33.22,34.05,959700.0,0.0,1.0,33.56,34.06,33.22,34.05,959700.0
6274226,H,2010-03-15,33.89,34.6,33.78,34.48,574700.0,0.0,1.0,33.89,34.6,33.78,34.48,574700.0
6274227,H,2010-03-16,34.64,36.23,34.23,36.11,446500.0,0.0,1.0,34.64,36.23,34.23,36.11,446500.0
6274228,H,2010-03-17,36.31,36.31,35.25,35.29,185300.0,0.0,1.0,36.31,36.31,35.25,35.29,185300.0
6274229,H,2010-03-18,35.29,35.81,35.14,35.7,84800.0,0.0,1.0,35.29,35.81,35.14,35.7,84800.0
6274230,H,2010-03-19,37.45,37.72,35.45,37.45,823800.0,0.0,1.0,37.45,37.72,35.45,37.45,823800.0
6274231,H,2010-03-22,37.22,38.82,36.73,37.91,528200.0,0.0,1.0,37.22,38.82,36.73,37.91,528200.0
6274232,H,2010-03-23,38.0,38.9,37.72,38.51,304500.0,0.0,1.0,38.0,38.9,37.72,38.51,304500.0
6274233,H,2010-03-24,38.57,38.88,38.19,38.35,224000.0,0.0,1.0,38.57,38.88,38.19,38.35,224000.0
6274234,H,2010-03-25,38.86,39.56,38.5,38.87,297900.0,0.0,1.0,38.86,39.56,38.5,38.87,297900.0
6274235,H,2010-03-26,39.15,39.92,38.97,39.45,388700.0,0.0,1.0,39.15,39.92,38.97,39.45,388700.0
6274236,H,2010-03-29,39.72,39.91,38.66,39.53,53200.0,0.0,1.0,39.72,39.91,38.66,39.53,53200.0
6274237,H,2010-03-30,39.44,40.0,39.22,39.24,57800.0,0.0,1.0,39.44,40.0,39.22,39.24,57800.0
6274238,H,2010-03-31,39.24,39.24,38.84,38.96,57600.0,0.0,1.0,39.24,39.24,38.84,38.96,57600.0
6274239,H,2010-04-01,39.2,39.63,38.51,38.79,523600.0,0.0,1.0,39.2,39.63,38.51,38.79,523600.0
6274240,H,2010-04-05,39.0,39.21,38.86,39.15,52200.0,0.0,1.0,39.0,39.21,38.86,39.15,52200.0
6274241,H,2010-04-06,39.18,39.37,38.86,38.99,189900.0,0.0,1.0,39.18,39.37,38.86,38.99,189900.0
6274242,H,2010-04-07,38.75,39.01,38.05,38.21,257000.0,0.0,1.0,38.75,39.01,38.05,38.21,257000.0
6274243,H,2010-04-08,38.0,39.59,38.0,39.28,63200.0,0.0,1.0,38.0,39.59,38.0,39.28,63200.0
6274244,H,2010-04-09,39.39,40.15,39.3,39.49,205500.0,0.0,1.0,39.39,40.15,39.3,39.49,205500.0
6274245,H,2010-04-12,39.74,39.78,38.87,38.95,39000.0,0.0,1.0,39.74,39.78,38.87,38.95,39000.0
6274246,H,2010-04-13,38.97,39.78,38.43,39.73,316000.0,0.0,1.0,38.97,39.78,38.43,39.73,316000.0
6274247,H,2010-04-14,40.02,40.72,39.82,40.61,498100.0,0.0,1.0,40.02,40.72,39.82,40.61,498100.0
6274248,H,2010-04-15,40.45,40.75,39.68,39.93,187300.0,0.0,1.0,40.45,40.75,39.68,39.93,187300.0
6274249,H,2010-04-16,39.9,40.02,38.95,39.15,71200.0,0.0,1.0,39.9,40.02,38.95,39.15,71200.0
6274250,H,2010-04-19,39.18,39.19,38.11,38.46,43200.0,0.0,1.0,39.18,39.19,38.11,38.46,43200.0
6274251,H,2010-04-20,38.79,39.06,38.23,38.25,215900.0,0.0,1.0,38.79,39.06,38.23,38.25,215900.0
6274252,H,2010-04-21,38.48,39.13,38.39,38.96,66600.0,0.0,1.0,38.48,39.13,38.39,38.96,66600.0
6274253,H,2010-04-22,38.97,40.92,38.89,40.76,66000.0,0.0,1.0,38.97,40.92,38.89,40.76,66000.0
6274254,H,2010-04-23,40.76,42.02,40.76,41.27,56000.0,0.0,1.0,40.76,42.02,40.76,41.27,56000.0
6274255,H,2010-04-26,41.58,42.43,41.5,41.71,228600.0,0.0,1.0,41.58,42.43,41.5,41.71,228600.0
6274256,H,2010-04-27,41.68,41.76,40.06,40.32,404200.0,0.0,1.0,41.68,41.76,40.06,40.32,404200.0
6274257,H,2010-04-28,40.43,40.61,39.27,40.39,188500.0,0.0,1.0,40.43,40.61,39.27,40.39,188500.0
6274258,H,2010-04-29,41.05,42.94,41.01,42.1,309000.0,0.0,1.0,41.05,42.94,41.01,42.1,309000.0
6274259,H,2010-04-30,41.83,42.07,40.87,41.17,346800.0,0.0,1.0,41.83,42.07,40.87,41.17,346800.0
6274260,H,2010-05-03,41.16,42.46,41.05,42.35,70600.0,0.0,1.0,41.16,42.46,41.05,42.35,70600.0
6274261,H,2010-05-04,42.27,43.82,41.91,42.04,809100.0,0.0,1.0,42.27,43.82,41.91,42.04,809100.0
6274262,H,2010-05-05,41.67,43.88,40.54,41.86,651200.0,0.0,1.0,41.67,43.88,40.54,41.86,651200.0
6274263,H,2010-05-06,42.06,42.99,38.0,41.19,836100.0,0.0,1.0,42.06,42.99,38.0,41.19,836100.0
6274264,H,2010-05-07,40.91,41.83,39.05,39.7,920600.0,0.0,1.0,40.91,41.83,39.05,39.7,920600.0
6274265,H,2010-05-10,41.32,41.6,40.57,40.98,506700.0,0.0,1.0,41.32,41.6,40.57,40.98,506700.0
6274266,H,2010-05-11,40.5,41.31,40.37,40.96,240500.0,0.0,1.0,40.5,41.31,40.37,40.96,240500.0
6274267,H,2010-05-12,41.21,41.75,40.64,41.53,401000.0,0.0,1.0,41.21,41.75,40.64,41.53,401000.0
6274268,H,2010-05-13,41.61,42.64,41.41,41.67,52200.0,0.0,1.0,41.61,42.64,41.41,41.67,52200.0
6274269,H,2010-05-14,41.47,41.47,40.17,40.47,68600.0,0.0,1.0,41.47,41.47,40.17,40.47,68600.0
6274270,H,2010-05-17,40.56,40.85,39.58,40.46,162900.0,0.0,1.0,40.56,40.85,39.58,40.46,162900.0
6274271,H,2010-05-18,40.96,41.14,38.78,38.9,299700.0,0.0,1.0,40.96,41.14,38.78,38.9,299700.0
6274272,H,2010-05-19,38.56,39.03,36.99,38.16,477500.0,0.0,1.0,38.56,39.03,36.99,38.16,477500.0
6274273,H,2010-05-20,37.4,38.45,36.41,36.58,501000.0,0.0,1.0,37.4,38.45,36.41,36.58,501000.0
6274274,H,2010-05-21,36.14,38.01,36.05,37.85,439700.0,0.0,1.0,36.14,38.01,36.05,37.85,439700.0
6274275,H,2010-05-24,37.71,39.06,37.6,37.67,86600.0,0.0,1.0,37.71,39.06,37.6,37.67,86600.0
6274276,H,2010-05-25,36.81,37.67,36.08,37.49,301100.0,0.0,1.0,36.81,37.67,36.08,37.49,301100.0
6274277,H,2010-05-26,37.9,39.3,37.47,37.83,490300.0,0.0,1.0,37.9,39.3,37.47,37.83,490300.0
6274278,H,2010-05-27,38.44,39.81,38.27,39.69,181300.0,0.0,1.0,38.44,39.81,38.27,39.69,181300.0
