,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
6487523,HGR,1992-03-17,11.75,12.0,11.75,11.75,10000.0,0.0,1.0,11.75,12.0,11.75,11.75,10000.0
6487524,HGR,1992-03-18,11.88,11.88,11.75,11.88,8500.0,0.0,1.0,11.88,11.88,11.75,11.88,8500.0
6487525,HGR,1992-03-19,12.0,12.13,11.75,11.75,18300.0,0.0,1.0,12.0,12.13,11.75,11.75,18300.0
6487526,HGR,1992-03-20,12.0,12.13,11.75,11.88,20600.0,0.0,1.0,12.0,12.13,11.75,11.88,20600.0
6487527,HGR,1992-03-23,11.75,11.75,11.75,11.75,6600.0,0.0,1.0,11.75,11.75,11.75,11.75,6600.0
6487528,HGR,1992-03-24,11.75,11.75,11.63,11.63,11800.0,0.0,1.0,11.75,11.75,11.63,11.63,11800.0
6487529,HGR,1992-03-25,11.63,11.63,11.25,11.38,23300.0,0.0,1.0,11.63,11.63,11.25,11.38,23300.0
6487530,HGR,1992-03-26,11.25,11.25,10.63,10.63,35800.0,0.0,1.0,11.25,11.25,10.63,10.63,35800.0
6487531,HGR,1992-03-27,10.38,10.38,9.0,9.25,61100.0,0.0,1.0,10.38,10.38,9.0,9.25,61100.0
6487532,HGR,1992-03-30,9.375,9.5,9.0,9.125,15000.0,0.0,1.0,9.375,9.5,9.0,9.125,15000.0
6487533,HGR,1992-03-31,9.125,9.75,9.0,9.625,21000.0,0.0,1.0,9.125,9.75,9.0,9.625,21000.0
6487534,HGR,1992-04-01,9.75,9.875,9.5,9.5,31800.0,0.0,1.0,9.75,9.875,9.5,9.5,31800.0
6487535,HGR,1992-04-02,9.5,9.5,9.25,9.375,14200.0,0.0,1.0,9.5,9.5,9.25,9.375,14200.0
6487536,HGR,1992-04-03,9.375,9.5,9.375,9.375,1800.0,0.0,1.0,9.375,9.5,9.375,9.375,1800.0
6487537,HGR,1992-04-06,9.5,9.5,9.375,9.375,3400.0,0.0,1.0,9.5,9.5,9.375,9.375,3400.0
6487538,HGR,1992-04-07,9.5,9.5,9.25,9.25,4900.0,0.0,1.0,9.5,9.5,9.25,9.25,4900.0
6487539,HGR,1992-04-08,9.25,9.25,9.0,9.0,8000.0,0.0,1.0,9.25,9.25,9.0,9.0,8000.0
6487540,HGR,1992-04-09,8.875,9.0,8.75,9.0,5100.0,0.0,1.0,8.875,9.0,8.75,9.0,5100.0
