,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
6561945,HLIT,1995-05-24,14.0,14.75,14.0,14.25,465600.0,0.0,1.0,7.0,7.375,7.0,7.125,931200.0
6561946,HLIT,1995-05-25,14.75,14.75,13.75,13.75,585600.0,0.0,1.0,7.375,7.375,6.875,6.875,1171200.0
6561947,HLIT,1995-05-26,13.75,14.25,13.5,13.5,263400.0,0.0,1.0,6.875,7.125,6.75,6.75,526800.0
6561948,HLIT,1995-05-30,13.5,14.0,13.5,13.5,253700.0,0.0,1.0,6.75,7.0,6.75,6.75,507400.0
6561949,HLIT,1995-05-31,13.5,14.0,13.0,13.0,402700.0,0.0,1.0,6.75,7.0,6.5,6.5,805400.0
6561950,HLIT,1995-06-01,13.0,13.75,13.0,13.75,215500.0,0.0,1.0,6.5,6.875,6.5,6.875,431000.0
6561951,HLIT,1995-06-02,14.0,14.0,13.5,13.88,164000.0,0.0,1.0,7.0,7.0,6.75,6.94,328000.0
6561952,HLIT,1995-06-05,14.25,14.25,13.75,13.75,66300.0,0.0,1.0,7.125,7.125,6.875,6.875,132600.0
6561953,HLIT,1995-06-06,14.5,14.5,13.75,14.5,83100.0,0.0,1.0,7.25,7.25,6.875,7.25,166200.0
6561954,HLIT,1995-06-07,14.5,15.0,14.0,15.0,28200.0,0.0,1.0,7.25,7.5,7.0,7.5,56400.0
6561955,HLIT,1995-06-08,14.5,16.0,14.5,16.0,83900.0,0.0,1.0,7.25,8.0,7.25,8.0,167800.0
6561956,HLIT,1995-06-09,15.75,16.0,14.75,16.0,139500.0,0.0,1.0,7.875,8.0,7.375,8.0,279000.0
6561957,HLIT,1995-06-12,16.0,16.0,15.5,16.0,148000.0,0.0,1.0,8.0,8.0,7.75,8.0,296000.0
6561958,HLIT,1995-06-13,16.0,16.75,15.5,16.25,44300.0,0.0,1.0,8.0,8.375,7.75,8.125,88600.0
