,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
6668507,HOS,2004-03-26,13.24,13.48,13.16,13.24,2368200.0,0.0,1.0,13.24,13.48,13.16,13.24,2368200.0
6668508,HOS,2004-03-29,13.24,13.4,13.0,13.08,310600.0,0.0,1.0,13.24,13.4,13.0,13.08,310600.0
6668509,HOS,2004-03-30,13.25,13.43,13.0,13.21,210900.0,0.0,1.0,13.25,13.43,13.0,13.21,210900.0
6668510,HOS,2004-03-31,13.25,13.37,13.15,13.2,99200.0,0.0,1.0,13.25,13.37,13.15,13.2,99200.0
6668511,HOS,2004-04-01,13.16,13.16,13.0,13.02,275500.0,0.0,1.0,13.16,13.16,13.0,13.02,275500.0
6668512,HOS,2004-04-02,13.0,13.1,13.0,13.09,26700.0,0.0,1.0,13.0,13.1,13.0,13.09,26700.0
6668513,HOS,2004-04-05,13.1,13.1,13.05,13.05,104400.0,0.0,1.0,13.1,13.1,13.05,13.05,104400.0
6668514,HOS,2004-04-06,13.08,13.1,13.0,13.0,111500.0,0.0,1.0,13.08,13.1,13.0,13.0,111500.0
6668515,HOS,2004-04-07,13.0,13.03,13.0,13.01,899000.0,0.0,1.0,13.0,13.03,13.0,13.01,899000.0
6668516,HOS,2004-04-08,13.0,13.09,13.0,13.04,53800.0,0.0,1.0,13.0,13.09,13.0,13.04,53800.0
6668517,HOS,2004-04-12,13.04,13.47,13.04,13.42,138100.0,0.0,1.0,13.04,13.47,13.04,13.42,138100.0
6668518,HOS,2004-04-13,13.39,13.69,13.38,13.63,73400.0,0.0,1.0,13.39,13.69,13.38,13.63,73400.0
6668519,HOS,2004-04-14,13.6,13.75,13.15,13.26,61600.0,0.0,1.0,13.6,13.75,13.15,13.26,61600.0
6668520,HOS,2004-04-15,13.3,13.38,13.21,13.3,51700.0,0.0,1.0,13.3,13.38,13.21,13.3,51700.0
6668521,HOS,2004-04-16,13.35,13.35,13.1,13.25,41500.0,0.0,1.0,13.35,13.35,13.1,13.25,41500.0
6668522,HOS,2004-04-19,13.2,13.3,13.0,13.12,192300.0,0.0,1.0,13.2,13.3,13.0,13.12,192300.0
6668523,HOS,2004-04-20,13.15,13.15,12.67,12.69,358000.0,0.0,1.0,13.15,13.15,12.67,12.69,358000.0
6668524,HOS,2004-04-21,12.69,12.69,12.5,12.59,40500.0,0.0,1.0,12.69,12.69,12.5,12.59,40500.0
6668525,HOS,2004-04-22,12.64,13.02,12.64,12.87,73200.0,0.0,1.0,12.64,13.02,12.64,12.87,73200.0
6668526,HOS,2004-04-23,12.9,12.99,12.85,12.85,66900.0,0.0,1.0,12.9,12.99,12.85,12.85,66900.0
6668527,HOS,2004-04-26,12.83,12.9,12.59,12.63,37600.0,0.0,1.0,12.83,12.9,12.59,12.63,37600.0
6668528,HOS,2004-04-27,12.65,12.85,12.5,12.65,100800.0,0.0,1.0,12.65,12.85,12.5,12.65,100800.0
6668529,HOS,2004-04-28,12.7,12.74,12.3,12.35,37500.0,0.0,1.0,12.7,12.74,12.3,12.35,37500.0
6668530,HOS,2004-04-29,12.1,12.2,11.75,11.99,43600.0,0.0,1.0,12.1,12.2,11.75,11.99,43600.0
6668531,HOS,2004-04-30,11.98,12.0,11.45,12.0,85000.0,0.0,1.0,11.98,12.0,11.45,12.0,85000.0
6668532,HOS,2004-05-03,12.0,12.35,11.9,12.35,17500.0,0.0,1.0,12.0,12.35,11.9,12.35,17500.0
6668533,HOS,2004-05-04,12.35,12.35,12.21,12.25,9200.0,0.0,1.0,12.35,12.35,12.21,12.25,9200.0
6668534,HOS,2004-05-05,12.2,12.2,11.2,11.5,171100.0,0.0,1.0,12.2,12.2,11.2,11.5,171100.0
6668535,HOS,2004-05-06,11.4,11.5,11.25,11.45,89600.0,0.0,1.0,11.4,11.5,11.25,11.45,89600.0
6668536,HOS,2004-05-07,11.49,11.6,11.47,11.5,119500.0,0.0,1.0,11.49,11.6,11.47,11.5,119500.0
6668537,HOS,2004-05-10,11.35,11.35,11.0,11.2,125500.0,0.0,1.0,11.35,11.35,11.0,11.2,125500.0
6668538,HOS,2004-05-11,11.18,11.23,11.14,11.15,29100.0,0.0,1.0,11.18,11.23,11.14,11.15,29100.0
6668539,HOS,2004-05-12,11.23,11.5,11.23,11.25,78500.0,0.0,1.0,11.23,11.5,11.23,11.25,78500.0
6668540,HOS,2004-05-13,11.3,11.39,11.2,11.36,23700.0,0.0,1.0,11.3,11.39,11.2,11.36,23700.0
6668541,HOS,2004-05-14,11.38,11.44,11.3,11.3,46000.0,0.0,1.0,11.38,11.44,11.3,11.3,46000.0
6668542,HOS,2004-05-17,11.25,11.3,11.2,11.29,13700.0,0.0,1.0,11.25,11.3,11.2,11.29,13700.0
6668543,HOS,2004-05-18,11.25,11.29,10.75,10.75,677000.0,0.0,1.0,11.25,11.29,10.75,10.75,677000.0
6668544,HOS,2004-05-19,10.75,10.89,10.7,10.89,35300.0,0.0,1.0,10.75,10.89,10.7,10.89,35300.0
6668545,HOS,2004-05-20,10.95,10.95,10.7,10.73,45400.0,0.0,1.0,10.95,10.95,10.7,10.73,45400.0
6668546,HOS,2004-05-21,10.7,10.78,10.61,10.61,18300.0,0.0,1.0,10.7,10.78,10.61,10.61,18300.0
6668547,HOS,2004-05-24,10.71,10.76,10.68,10.76,62600.0,0.0,1.0,10.71,10.76,10.68,10.76,62600.0
6668548,HOS,2004-05-25,10.8,10.8,10.41,10.55,73400.0,0.0,1.0,10.8,10.8,10.41,10.55,73400.0
6668549,HOS,2004-05-26,10.52,10.7,10.45,10.67,174800.0,0.0,1.0,10.52,10.7,10.45,10.67,174800.0
6668550,HOS,2004-05-27,10.72,10.72,10.15,10.25,44100.0,0.0,1.0,10.72,10.72,10.15,10.25,44100.0
6668551,HOS,2004-05-28,10.35,10.35,10.16,10.23,34500.0,0.0,1.0,10.35,10.35,10.16,10.23,34500.0
6668552,HOS,2004-06-01,10.33,10.45,10.17,10.2,94500.0,0.0,1.0,10.33,10.45,10.17,10.2,94500.0
6668553,HOS,2004-06-02,10.2,10.45,10.2,10.39,76200.0,0.0,1.0,10.2,10.45,10.2,10.39,76200.0
6668554,HOS,2004-06-03,10.4,10.4,10.3,10.34,62400.0,0.0,1.0,10.4,10.4,10.3,10.34,62400.0
6668555,HOS,2004-06-04,10.34,10.79,10.34,10.75,137600.0,0.0,1.0,10.34,10.79,10.34,10.75,137600.0
6668556,HOS,2004-06-07,10.85,11.0,10.52,10.75,147700.0,0.0,1.0,10.85,11.0,10.52,10.75,147700.0
6668557,HOS,2004-06-08,10.8,11.12,10.43,11.03,174700.0,0.0,1.0,10.8,11.12,10.43,11.03,174700.0
6668558,HOS,2004-06-09,11.03,11.75,11.03,11.7,352800.0,0.0,1.0,11.03,11.75,11.03,11.7,352800.0
6668559,HOS,2004-06-10,11.88,12.6,11.67,12.35,170800.0,0.0,1.0,11.88,12.6,11.67,12.35,170800.0
6668560,HOS,2004-06-14,12.8,12.91,12.5,12.6,196900.0,0.0,1.0,12.8,12.91,12.5,12.6,196900.0
6668561,HOS,2004-06-15,12.7,12.7,12.22,12.45,62000.0,0.0,1.0,12.7,12.7,12.22,12.45,62000.0
6668562,HOS,2004-06-16,12.35,12.57,12.27,12.5,112500.0,0.0,1.0,12.35,12.57,12.27,12.5,112500.0
6668563,HOS,2004-06-17,12.6,13.0,12.57,12.84,78600.0,0.0,1.0,12.6,13.0,12.57,12.84,78600.0
6668564,HOS,2004-06-18,12.74,13.0,12.7,12.95,41400.0,0.0,1.0,12.74,13.0,12.7,12.95,41400.0
6668565,HOS,2004-06-21,12.93,13.37,12.9,13.2,100800.0,0.0,1.0,12.93,13.37,12.9,13.2,100800.0
6668566,HOS,2004-06-22,13.2,13.2,13.0,13.1,48100.0,0.0,1.0,13.2,13.2,13.0,13.1,48100.0
6668567,HOS,2004-06-23,13.13,13.3,13.0,13.13,69300.0,0.0,1.0,13.13,13.3,13.0,13.13,69300.0
6668568,HOS,2004-06-24,13.23,13.25,12.95,13.0,17100.0,0.0,1.0,13.23,13.25,12.95,13.0,17100.0
6668569,HOS,2004-06-25,12.99,13.25,12.6,12.6,236300.0,0.0,1.0,12.99,13.25,12.6,12.6,236300.0
6668570,HOS,2004-06-28,12.7,12.89,11.96,12.89,87000.0,0.0,1.0,12.7,12.89,11.96,12.89,87000.0
6668571,HOS,2004-06-29,12.8,13.01,12.76,12.85,44900.0,0.0,1.0,12.8,13.01,12.76,12.85,44900.0
6668572,HOS,2004-06-30,12.96,13.13,12.96,13.07,86900.0,0.0,1.0,12.96,13.13,12.96,13.07,86900.0
6668573,HOS,2004-07-01,13.1,13.15,13.0,13.01,21200.0,0.0,1.0,13.1,13.15,13.0,13.01,21200.0
6668574,HOS,2004-07-02,13.0,13.15,13.0,13.02,38500.0,0.0,1.0,13.0,13.15,13.0,13.02,38500.0
6668575,HOS,2004-07-06,13.1,13.2,13.04,13.14,56600.0,0.0,1.0,13.1,13.2,13.04,13.14,56600.0
6668576,HOS,2004-07-07,13.01,13.18,13.0,13.11,47400.0,0.0,1.0,13.01,13.18,13.0,13.11,47400.0
