,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
7123278,III,2007-02-12,7.35,7.5,7.35,7.38,744900.0,0.0,1.0,7.096551724137932,7.241379310344827,7.096551724137932,7.1255172413793115,744900.0
7123279,III,2007-02-13,7.51,7.51,7.46,7.46,518100.0,0.0,1.0,7.2510344827586195,7.2510344827586195,7.202758620689656,7.202758620689656,518100.0
7123280,III,2007-02-14,7.47,7.47,7.4,7.4,33100.0,0.0,1.0,7.212413793103447,7.212413793103447,7.1448275862068975,7.1448275862068975,33100.0
7123281,III,2007-02-15,7.4,7.4,7.4,7.4,7300.0,0.0,1.0,7.1448275862068975,7.1448275862068975,7.1448275862068975,7.1448275862068975,7300.0
7123282,III,2007-02-16,7.41,7.41,7.41,7.41,25700.0,0.0,1.0,7.1544827586206905,7.1544827586206905,7.1544827586206905,7.1544827586206905,25700.0
7123283,III,2007-02-20,7.42,7.42,7.4,7.42,4500.0,0.0,1.0,7.164137931034483,7.164137931034483,7.1448275862068975,7.164137931034483,4500.0
7123284,III,2007-02-21,7.43,7.43,7.43,7.43,6000.0,0.0,1.0,7.1737931034482765,7.1737931034482765,7.1737931034482765,7.1737931034482765,6000.0
7123285,III,2007-02-22,7.44,7.44,7.38,7.4,14000.0,0.0,1.0,7.1834482758620695,7.1834482758620695,7.1255172413793115,7.1448275862068975,14000.0
7123286,III,2007-02-23,7.44,7.44,7.39,7.4,27100.0,0.0,1.0,7.1834482758620695,7.1834482758620695,7.135172413793104,7.1448275862068975,27100.0
7123287,III,2007-02-26,7.4,7.42,7.36,7.4,123100.0,0.0,1.0,7.1448275862068975,7.164137931034483,7.106206896551725,7.1448275862068975,123100.0
7123288,III,2007-02-27,7.4,7.4,7.4,7.4,0.0,0.0,1.0,7.1448275862068975,7.1448275862068975,7.1448275862068975,7.1448275862068975,0.0
7123289,III,2007-02-28,7.39,7.39,7.39,7.39,100.0,0.0,1.0,7.135172413793104,7.135172413793104,7.135172413793104,7.135172413793104,100.0
7123290,III,2007-03-01,7.39,7.42,7.34,7.34,500.0,0.0,1.0,7.135172413793104,7.164137931034483,7.086896551724139,7.086896551724139,500.0
7123291,III,2007-03-02,7.31,7.32,7.26,7.26,11600.0,0.0,1.0,7.057931034482759,7.067586206896553,7.009655172413793,7.009655172413793,11600.0
7123292,III,2007-03-05,7.35,7.35,7.32,7.33,29000.0,0.0,1.0,7.096551724137932,7.096551724137932,7.067586206896553,7.077241379310345,29000.0
7123293,III,2007-03-06,7.38,7.41,7.38,7.41,70300.0,0.0,1.0,7.1255172413793115,7.1544827586206905,7.1255172413793115,7.1544827586206905,70300.0
7123294,III,2007-03-07,7.39,7.42,7.33,7.42,112900.0,0.0,1.0,7.135172413793104,7.164137931034483,7.077241379310345,7.164137931034483,112900.0
