,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
7168264,IMMR,1999-11-12,17.38,20.0,16.0,18.63,7529100.0,0.0,1.0,17.38,20.0,16.0,18.63,7529100.0
7168265,IMMR,1999-11-15,19.41,19.81,18.25,18.88,1790700.0,0.0,1.0,19.41,19.81,18.25,18.88,1790700.0
7168266,IMMR,1999-11-16,19.06,25.19,19.0,23.5,1329300.0,0.0,1.0,19.06,25.19,19.0,23.5,1329300.0
7168267,IMMR,1999-11-17,25.5,27.38,24.56,25.25,654700.0,0.0,1.0,25.5,27.38,24.56,25.25,654700.0
7168268,IMMR,1999-11-18,26.13,31.38,25.44,28.0,531200.0,0.0,1.0,26.13,31.38,25.44,28.0,531200.0
7168269,IMMR,1999-11-19,28.63,28.88,24.25,24.88,378500.0,0.0,1.0,28.63,28.88,24.25,24.88,378500.0
7168270,IMMR,1999-11-22,25.13,26.0,24.25,25.0,192100.0,0.0,1.0,25.13,26.0,24.25,25.0,192100.0
7168271,IMMR,1999-11-23,25.0,25.25,21.75,23.5,549200.0,0.0,1.0,25.0,25.25,21.75,23.5,549200.0
7168272,IMMR,1999-11-24,22.97,23.25,21.5,22.75,323200.0,0.0,1.0,22.97,23.25,21.5,22.75,323200.0
7168273,IMMR,1999-11-26,22.66,24.0,22.38,24.0,254100.0,0.0,1.0,22.66,24.0,22.38,24.0,254100.0
7168274,IMMR,1999-11-29,23.94,27.25,23.38,25.25,298600.0,0.0,1.0,23.94,27.25,23.38,25.25,298600.0
7168275,IMMR,1999-11-30,25.38,27.5,25.13,27.06,505400.0,0.0,1.0,25.38,27.5,25.13,27.06,505400.0
7168276,IMMR,1999-12-01,27.13,27.13,25.38,26.25,147800.0,0.0,1.0,27.13,27.13,25.38,26.25,147800.0
7168277,IMMR,1999-12-02,25.88,28.38,25.75,28.0,160200.0,0.0,1.0,25.88,28.38,25.75,28.0,160200.0
7168278,IMMR,1999-12-03,27.78,30.5,27.25,29.5,311700.0,0.0,1.0,27.78,30.5,27.25,29.5,311700.0
7168279,IMMR,1999-12-06,29.81,34.5,27.63,31.0,294000.0,0.0,1.0,29.81,34.5,27.63,31.0,294000.0
7168280,IMMR,1999-12-07,29.0,30.88,28.31,29.88,260900.0,0.0,1.0,29.0,30.88,28.31,29.88,260900.0
7168281,IMMR,1999-12-08,31.38,35.0,31.38,33.13,531300.0,0.0,1.0,31.38,35.0,31.38,33.13,531300.0
7168282,IMMR,1999-12-09,33.38,39.25,33.13,39.25,378700.0,0.0,1.0,33.38,39.25,33.13,39.25,378700.0
7168283,IMMR,1999-12-10,41.0,45.25,40.25,44.0,489700.0,0.0,1.0,41.0,45.25,40.25,44.0,489700.0
7168284,IMMR,1999-12-13,44.38,49.63,42.13,48.0,624600.0,0.0,1.0,44.38,49.63,42.13,48.0,624600.0
7168285,IMMR,1999-12-14,48.53,49.94,40.63,47.5,360900.0,0.0,1.0,48.53,49.94,40.63,47.5,360900.0
7168286,IMMR,1999-12-15,47.0,47.63,43.5,44.0,250600.0,0.0,1.0,47.0,47.63,43.5,44.0,250600.0
7168287,IMMR,1999-12-16,44.5,45.63,41.13,41.5,183200.0,0.0,1.0,44.5,45.63,41.13,41.5,183200.0
7168288,IMMR,1999-12-17,41.56,42.0,40.75,41.25,113900.0,0.0,1.0,41.56,42.0,40.75,41.25,113900.0
7168289,IMMR,1999-12-20,41.13,42.75,40.38,40.38,105400.0,0.0,1.0,41.13,42.75,40.38,40.38,105400.0
7168290,IMMR,1999-12-21,40.38,40.5,37.44,37.88,215500.0,0.0,1.0,40.38,40.5,37.44,37.88,215500.0
7168291,IMMR,1999-12-22,38.63,39.5,37.25,37.38,120800.0,0.0,1.0,38.63,39.5,37.25,37.38,120800.0
7168292,IMMR,1999-12-23,37.31,39.13,35.81,36.13,206100.0,0.0,1.0,37.31,39.13,35.81,36.13,206100.0
7168293,IMMR,1999-12-27,36.5,36.5,33.0,33.0,129100.0,0.0,1.0,36.5,36.5,33.0,33.0,129100.0
7168294,IMMR,1999-12-28,32.5,33.13,31.38,31.44,227600.0,0.0,1.0,32.5,33.13,31.38,31.44,227600.0
7168295,IMMR,1999-12-29,31.97,37.88,31.97,35.75,130400.0,0.0,1.0,31.97,37.88,31.97,35.75,130400.0
7168296,IMMR,1999-12-30,35.75,37.88,35.0,36.38,71100.0,0.0,1.0,35.75,37.88,35.0,36.38,71100.0
7168297,IMMR,1999-12-31,36.38,39.06,36.38,38.38,57700.0,0.0,1.0,36.38,39.06,36.38,38.38,57700.0
7168298,IMMR,2000-01-03,38.38,39.12,37.12,37.56,32000.0,0.0,1.0,38.38,39.12,37.12,37.56,32000.0
7168299,IMMR,2000-01-04,36.0,37.0,31.0,32.88,73300.0,0.0,1.0,36.0,37.0,31.0,32.88,73300.0
7168300,IMMR,2000-01-05,33.0,33.0,31.0,31.88,199800.0,0.0,1.0,33.0,33.0,31.0,31.88,199800.0
7168301,IMMR,2000-01-06,34.0,34.0,32.38,32.56,31300.0,0.0,1.0,34.0,34.0,32.38,32.56,31300.0
7168302,IMMR,2000-01-07,32.78,37.0,32.38,36.25,89800.0,0.0,1.0,32.78,37.0,32.38,36.25,89800.0
7168303,IMMR,2000-01-10,37.63,37.88,33.88,34.25,49300.0,0.0,1.0,37.63,37.88,33.88,34.25,49300.0
7168304,IMMR,2000-01-11,33.5,34.5,33.0,33.25,106800.0,0.0,1.0,33.5,34.5,33.0,33.25,106800.0
7168305,IMMR,2000-01-12,33.25,33.56,33.0,33.0,22700.0,0.0,1.0,33.25,33.56,33.0,33.0,22700.0
7168306,IMMR,2000-01-13,33.41,33.44,32.44,32.44,27900.0,0.0,1.0,33.41,33.44,32.44,32.44,27900.0
7168307,IMMR,2000-01-14,32.59,32.75,31.0,32.56,351000.0,0.0,1.0,32.59,32.75,31.0,32.56,351000.0
7168308,IMMR,2000-01-18,32.75,38.25,32.0,37.25,99700.0,0.0,1.0,32.75,38.25,32.0,37.25,99700.0
7168309,IMMR,2000-01-19,37.5,38.5,33.0,37.5,76400.0,0.0,1.0,37.5,38.5,33.0,37.5,76400.0
7168310,IMMR,2000-01-20,37.38,38.13,35.88,36.5,53100.0,0.0,1.0,37.38,38.13,35.88,36.5,53100.0
7168311,IMMR,2000-01-21,36.5,41.75,36.5,40.88,93900.0,0.0,1.0,36.5,41.75,36.5,40.88,93900.0
7168312,IMMR,2000-01-24,41.81,42.0,35.75,35.75,74900.0,0.0,1.0,41.81,42.0,35.75,35.75,74900.0
7168313,IMMR,2000-01-25,37.38,37.38,33.5,35.0,38700.0,0.0,1.0,37.38,37.38,33.5,35.0,38700.0
7168314,IMMR,2000-01-26,33.69,36.13,32.75,34.75,135100.0,0.0,1.0,33.69,36.13,32.75,34.75,135100.0
7168315,IMMR,2000-01-27,36.25,37.5,35.0,36.31,82700.0,0.0,1.0,36.25,37.5,35.0,36.31,82700.0
7168316,IMMR,2000-01-28,36.25,36.25,34.38,34.5,35800.0,0.0,1.0,36.25,36.25,34.38,34.5,35800.0
7168317,IMMR,2000-01-31,34.13,36.0,33.0,35.5,30500.0,0.0,1.0,34.13,36.0,33.0,35.5,30500.0
7168318,IMMR,2000-02-01,35.0,36.5,34.5,36.0,137700.0,0.0,1.0,35.0,36.5,34.5,36.0,137700.0
