,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
7215648,INGN,2014-02-14,16.0,16.12,14.78,15.15,3611500.0,0.0,1.0,16.0,16.12,14.78,15.15,3611500.0
7215649,INGN,2014-02-18,15.22,15.6,15.15,15.25,194900.0,0.0,1.0,15.22,15.6,15.15,15.25,194900.0
7215650,INGN,2014-02-19,15.17,15.35,15.0,15.1,133700.0,0.0,1.0,15.17,15.35,15.0,15.1,133700.0
7215651,INGN,2014-02-20,15.07,15.8,15.015,15.5,151100.0,0.0,1.0,15.07,15.8,15.015,15.5,151100.0
7215652,INGN,2014-02-21,15.76,16.7,15.45,16.55,197200.0,0.0,1.0,15.76,16.7,15.45,16.55,197200.0
7215653,INGN,2014-02-24,16.9,17.32,16.73,16.97,133300.0,0.0,1.0,16.9,17.32,16.73,16.97,133300.0
7215654,INGN,2014-02-25,17.1,17.24,16.75,16.95,116800.0,0.0,1.0,17.1,17.24,16.75,16.95,116800.0
7215655,INGN,2014-02-26,17.0,17.3,16.88,17.0,51900.0,0.0,1.0,17.0,17.3,16.88,17.0,51900.0
7215656,INGN,2014-02-27,17.01,17.36,16.81,17.14,46800.0,0.0,1.0,17.01,17.36,16.81,17.14,46800.0
7215657,INGN,2014-02-28,18.32,18.32,17.15,17.51,114600.0,0.0,1.0,18.32,18.32,17.15,17.51,114600.0
7215658,INGN,2014-03-03,17.45,17.77,16.95,17.69,99000.0,0.0,1.0,17.45,17.77,16.95,17.69,99000.0
7215659,INGN,2014-03-04,17.99,19.22,17.9,19.02,117200.0,0.0,1.0,17.99,19.22,17.9,19.02,117200.0
7215660,INGN,2014-03-05,19.4,20.24,19.28,19.4,149400.0,0.0,1.0,19.4,20.24,19.28,19.4,149400.0
7215661,INGN,2014-03-06,19.39,19.9999,19.04,19.38,111300.0,0.0,1.0,19.39,19.9999,19.04,19.38,111300.0
7215662,INGN,2014-03-07,19.82,19.91,19.01,19.19,109700.0,0.0,1.0,19.82,19.91,19.01,19.19,109700.0
7215663,INGN,2014-03-10,19.16,19.61,19.12,19.5,110800.0,0.0,1.0,19.16,19.61,19.12,19.5,110800.0
7215664,INGN,2014-03-11,19.79,19.79,18.31,18.75,193700.0,0.0,1.0,19.79,19.79,18.31,18.75,193700.0
7215665,INGN,2014-03-12,18.74,20.45,18.31,20.31,145300.0,0.0,1.0,18.74,20.45,18.31,20.31,145300.0
