,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
7330988,IPXL,1995-12-19,9.12,9.5,9.0,9.12,391400.0,0.0,1.0,9.12,9.5,9.0,9.12,391400.0
7330989,IPXL,1995-12-20,9.5,9.62,9.12,9.25,45900.0,0.0,1.0,9.5,9.62,9.12,9.25,45900.0
7330990,IPXL,1995-12-21,9.25,9.62,9.25,9.62,50300.0,0.0,1.0,9.25,9.62,9.25,9.62,50300.0
7330991,IPXL,1995-12-22,9.62,9.62,9.25,9.5,35500.0,0.0,1.0,9.62,9.62,9.25,9.5,35500.0
7330992,IPXL,1995-12-26,9.62,9.88,9.5,9.62,50000.0,0.0,1.0,9.62,9.88,9.5,9.62,50000.0
7330993,IPXL,1995-12-27,9.75,9.88,9.5,9.5,46300.0,0.0,1.0,9.75,9.88,9.5,9.5,46300.0
7330994,IPXL,1995-12-28,9.62,9.75,9.5,9.62,10600.0,0.0,1.0,9.62,9.75,9.5,9.62,10600.0
7330995,IPXL,1995-12-29,9.62,10.0,9.62,10.0,16600.0,0.0,1.0,9.62,10.0,9.62,10.0,16600.0
7330996,IPXL,1996-01-02,10.0,10.12,9.88,10.12,15900.0,0.0,1.0,10.0,10.12,9.88,10.12,15900.0
7330997,IPXL,1996-01-03,10.12,10.12,9.62,9.88,54800.0,0.0,1.0,10.12,10.12,9.62,9.88,54800.0
7330998,IPXL,1996-01-04,10.0,10.0,9.81,10.0,9300.0,0.0,1.0,10.0,10.0,9.81,10.0,9300.0
7330999,IPXL,1996-01-05,9.88,10.0,9.88,9.88,3500.0,0.0,1.0,9.88,10.0,9.88,9.88,3500.0
7331000,IPXL,1996-01-08,9.75,9.75,9.75,9.75,300.0,0.0,1.0,9.75,9.75,9.75,9.75,300.0
7331001,IPXL,1996-01-09,9.88,10.0,9.5,9.5,52700.0,0.0,1.0,9.88,10.0,9.5,9.5,52700.0
7331002,IPXL,1996-01-10,9.62,9.75,9.62,9.75,3000.0,0.0,1.0,9.62,9.75,9.62,9.75,3000.0
7331003,IPXL,1996-01-11,9.75,9.75,9.75,9.75,0.0,0.0,1.0,9.75,9.75,9.75,9.75,0.0
7331004,IPXL,1996-01-12,9.75,9.75,9.12,9.25,34200.0,0.0,1.0,9.75,9.75,9.12,9.25,34200.0
7331005,IPXL,1996-01-15,9.25,9.25,9.25,9.25,0.0,0.0,1.0,9.25,9.25,9.25,9.25,0.0
7331006,IPXL,1996-01-16,9.12,9.38,9.0,9.25,41000.0,0.0,1.0,9.12,9.38,9.0,9.25,41000.0
7331007,IPXL,1996-01-17,9.0,9.25,9.0,9.25,11600.0,0.0,1.0,9.0,9.25,9.0,9.25,11600.0
7331008,IPXL,1996-01-18,9.0,9.12,9.0,9.12,8600.0,0.0,1.0,9.0,9.12,9.0,9.12,8600.0
7331009,IPXL,1996-01-19,9.0,9.25,9.0,9.25,27000.0,0.0,1.0,9.0,9.25,9.0,9.25,27000.0
7331010,IPXL,1996-01-22,9.38,9.5,9.25,9.25,18600.0,0.0,1.0,9.38,9.5,9.25,9.25,18600.0
7331011,IPXL,1996-01-23,9.5,9.5,9.38,9.38,11600.0,0.0,1.0,9.5,9.5,9.38,9.38,11600.0
7331012,IPXL,1996-01-24,9.5,10.0,9.38,9.88,152100.0,0.0,1.0,9.5,10.0,9.38,9.88,152100.0
7331013,IPXL,1996-01-25,10.0,10.25,10.0,10.25,15800.0,0.0,1.0,10.0,10.25,10.0,10.25,15800.0
7331014,IPXL,1996-01-26,10.25,10.25,10.0,10.0,17700.0,0.0,1.0,10.25,10.25,10.0,10.0,17700.0
7331015,IPXL,1996-01-29,9.88,10.25,9.88,10.0,9500.0,0.0,1.0,9.88,10.25,9.88,10.0,9500.0
