,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
7353203,IRDM,2008-03-20,9.0,9.1,9.0,9.08,880100.0,0.0,1.0,9.0,9.1,9.0,9.08,880100.0
7353204,IRDM,2008-03-24,9.08,9.1,9.08,9.1,1511400.0,0.0,1.0,9.08,9.1,9.08,9.1,1511400.0
7353205,IRDM,2008-03-25,9.08,9.08,9.05,9.05,1225000.0,0.0,1.0,9.08,9.08,9.05,9.05,1225000.0
7353206,IRDM,2008-03-26,9.08,9.08,9.05,9.08,273500.0,0.0,1.0,9.08,9.08,9.05,9.08,273500.0
7353207,IRDM,2008-03-27,9.08,9.08,9.08,9.08,0.0,0.0,1.0,9.08,9.08,9.08,9.08,0.0
7353208,IRDM,2008-03-28,9.08,9.08,9.08,9.08,0.0,0.0,1.0,9.08,9.08,9.08,9.08,0.0
7353209,IRDM,2008-03-31,9.08,9.1,9.08,9.1,1224400.0,0.0,1.0,9.08,9.1,9.08,9.1,1224400.0
7353210,IRDM,2008-04-01,9.05,9.08,9.02,9.08,530700.0,0.0,1.0,9.05,9.08,9.02,9.08,530700.0
7353211,IRDM,2008-04-02,9.05,9.05,9.05,9.05,51000.0,0.0,1.0,9.05,9.05,9.05,9.05,51000.0
7353212,IRDM,2008-04-03,9.06,9.06,9.05,9.05,2200.0,0.0,1.0,9.06,9.06,9.05,9.05,2200.0
7353213,IRDM,2008-04-04,9.05,9.05,9.05,9.05,0.0,0.0,1.0,9.05,9.05,9.05,9.05,0.0
7353214,IRDM,2008-04-07,9.05,9.05,9.05,9.05,0.0,0.0,1.0,9.05,9.05,9.05,9.05,0.0
7353215,IRDM,2008-04-08,9.08,9.08,9.07,9.07,13300.0,0.0,1.0,9.08,9.08,9.07,9.07,13300.0
7353216,IRDM,2008-04-09,9.07,9.07,9.07,9.07,0.0,0.0,1.0,9.07,9.07,9.07,9.07,0.0
7353217,IRDM,2008-04-10,9.09,9.09,9.08,9.08,55800.0,0.0,1.0,9.09,9.09,9.08,9.08,55800.0
7353218,IRDM,2008-04-11,9.08,9.1,9.08,9.09,27300.0,0.0,1.0,9.08,9.1,9.08,9.09,27300.0
7353219,IRDM,2008-04-14,9.08,9.08,9.08,9.08,200000.0,0.0,1.0,9.08,9.08,9.08,9.08,200000.0
7353220,IRDM,2008-04-15,9.08,9.15,9.08,9.15,101900.0,0.0,1.0,9.08,9.15,9.08,9.15,101900.0
7353221,IRDM,2008-04-16,9.15,9.15,9.15,9.15,0.0,0.0,1.0,9.15,9.15,9.15,9.15,0.0
7353222,IRDM,2008-04-17,9.15,9.15,9.15,9.15,0.0,0.0,1.0,9.15,9.15,9.15,9.15,0.0
7353223,IRDM,2008-04-18,9.15,9.15,9.15,9.15,0.0,0.0,1.0,9.15,9.15,9.15,9.15,0.0
7353224,IRDM,2008-04-21,9.15,9.15,9.15,9.15,0.0,0.0,1.0,9.15,9.15,9.15,9.15,0.0
7353225,IRDM,2008-04-22,9.15,9.15,9.15,9.15,0.0,0.0,1.0,9.15,9.15,9.15,9.15,0.0
7353226,IRDM,2008-04-23,9.1,9.1,9.1,9.1,500.0,0.0,1.0,9.1,9.1,9.1,9.1,500.0
7353227,IRDM,2008-04-24,9.11,9.15,9.1,9.1,9000.0,0.0,1.0,9.11,9.15,9.1,9.1,9000.0
7353228,IRDM,2008-04-25,9.1,9.1,9.1,9.1,0.0,0.0,1.0,9.1,9.1,9.1,9.1,0.0
7353229,IRDM,2008-04-28,9.1,9.1,9.1,9.1,0.0,0.0,1.0,9.1,9.1,9.1,9.1,0.0
7353230,IRDM,2008-04-29,9.12,9.12,9.12,9.12,1700.0,0.0,1.0,9.12,9.12,9.12,9.12,1700.0
7353231,IRDM,2008-04-30,9.12,9.12,9.12,9.12,0.0,0.0,1.0,9.12,9.12,9.12,9.12,0.0
7353232,IRDM,2008-05-01,9.12,9.12,9.1,9.1,117200.0,0.0,1.0,9.12,9.12,9.1,9.1,117200.0
7353233,IRDM,2008-05-02,9.11,9.11,9.11,9.11,150000.0,0.0,1.0,9.11,9.11,9.11,9.11,150000.0
7353234,IRDM,2008-05-05,9.11,9.11,9.11,9.11,0.0,0.0,1.0,9.11,9.11,9.11,9.11,0.0
7353235,IRDM,2008-05-06,9.11,9.11,9.11,9.11,0.0,0.0,1.0,9.11,9.11,9.11,9.11,0.0
7353236,IRDM,2008-05-07,9.11,9.11,9.11,9.11,0.0,0.0,1.0,9.11,9.11,9.11,9.11,0.0
7353237,IRDM,2008-05-08,9.11,9.11,9.11,9.11,0.0,0.0,1.0,9.11,9.11,9.11,9.11,0.0
