,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
7886768,KRA,2009-12-17,13.5,13.84,13.21,13.51,3626300.0,0.0,1.0,13.5,13.84,13.21,13.51,3626300.0
7886769,KRA,2009-12-18,13.59,13.69,13.5,13.6,470000.0,0.0,1.0,13.59,13.69,13.5,13.6,470000.0
7886770,KRA,2009-12-21,13.71,13.71,13.5,13.6,230200.0,0.0,1.0,13.71,13.71,13.5,13.6,230200.0
7886771,KRA,2009-12-22,13.59,13.67,13.53,13.64,173100.0,0.0,1.0,13.59,13.67,13.53,13.64,173100.0
7886772,KRA,2009-12-23,13.62,13.69,13.56,13.67,216500.0,0.0,1.0,13.62,13.69,13.56,13.67,216500.0
7886773,KRA,2009-12-24,13.65,13.73,13.6,13.64,97700.0,0.0,1.0,13.65,13.73,13.6,13.64,97700.0
7886774,KRA,2009-12-28,13.65,13.67,13.5,13.67,83800.0,0.0,1.0,13.65,13.67,13.5,13.67,83800.0
7886775,KRA,2009-12-29,13.7,13.79,13.55,13.65,116400.0,0.0,1.0,13.7,13.79,13.55,13.65,116400.0
7886776,KRA,2009-12-30,13.75,13.75,13.5,13.62,111100.0,0.0,1.0,13.75,13.75,13.5,13.62,111100.0
7886777,KRA,2009-12-31,13.6,13.63,13.5,13.56,174400.0,0.0,1.0,13.6,13.63,13.5,13.56,174400.0
7886778,KRA,2010-01-04,13.55,13.85,13.55,13.8,128200.0,0.0,1.0,13.55,13.85,13.55,13.8,128200.0
7886779,KRA,2010-01-05,13.77,14.54,13.77,14.42,241400.0,0.0,1.0,13.77,14.54,13.77,14.42,241400.0
7886780,KRA,2010-01-06,14.49,14.68,14.32,14.6,192000.0,0.0,1.0,14.49,14.68,14.32,14.6,192000.0
7886781,KRA,2010-01-07,14.55,14.75,14.14,14.6,53200.0,0.0,1.0,14.55,14.75,14.14,14.6,53200.0
7886782,KRA,2010-01-08,14.6,14.95,14.55,14.9,244300.0,0.0,1.0,14.6,14.95,14.55,14.9,244300.0
7886783,KRA,2010-01-11,15.0,15.44,14.58,14.74,277200.0,0.0,1.0,15.0,15.44,14.58,14.74,277200.0
7886784,KRA,2010-01-12,14.78,14.85,14.37,14.51,66000.0,0.0,1.0,14.78,14.85,14.37,14.51,66000.0
7886785,KRA,2010-01-13,14.77,14.77,14.14,14.62,39500.0,0.0,1.0,14.77,14.77,14.14,14.62,39500.0
7886786,KRA,2010-01-14,14.74,14.74,14.49,14.55,25400.0,0.0,1.0,14.74,14.74,14.49,14.55,25400.0
7886787,KRA,2010-01-15,14.46,14.7,14.0,14.55,111400.0,0.0,1.0,14.46,14.7,14.0,14.55,111400.0
