,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
8814082,MGLN,2004-02-25,27.0,27.02,26.46,26.89,174600.0,0.0,1.0,27.0,27.02,26.46,26.89,174600.0
8814083,MGLN,2004-02-26,26.71,26.84,26.55,26.73,83100.0,0.0,1.0,26.71,26.84,26.55,26.73,83100.0
8814084,MGLN,2004-02-27,26.8,27.34,26.37,27.0,78500.0,0.0,1.0,26.8,27.34,26.37,27.0,78500.0
8814085,MGLN,2004-03-01,27.25,27.75,27.19,27.45,326400.0,0.0,1.0,27.25,27.75,27.19,27.45,326400.0
8814086,MGLN,2004-03-02,27.35,28.2,27.32,27.76,177300.0,0.0,1.0,27.35,28.2,27.32,27.76,177300.0
8814087,MGLN,2004-03-03,27.8,28.0,27.5,27.646,63200.0,0.0,1.0,27.8,28.0,27.5,27.646,63200.0
8814088,MGLN,2004-03-04,27.78,27.88,27.4,27.4,59400.0,0.0,1.0,27.78,27.88,27.4,27.4,59400.0
8814089,MGLN,2004-03-05,27.7,27.77,27.62,27.7,230600.0,0.0,1.0,27.7,27.77,27.62,27.7,230600.0
8814090,MGLN,2004-03-08,27.7,27.75,27.65,27.65,100300.0,0.0,1.0,27.7,27.75,27.65,27.65,100300.0
8814091,MGLN,2004-03-09,27.68,27.7,27.0,27.53,42000.0,0.0,1.0,27.68,27.7,27.0,27.53,42000.0
8814092,MGLN,2004-03-10,26.89,27.05,26.51,26.65,175400.0,0.0,1.0,26.89,27.05,26.51,26.65,175400.0
8814093,MGLN,2004-03-11,26.99,27.03,26.35,26.4,279400.0,0.0,1.0,26.99,27.03,26.35,26.4,279400.0
8814094,MGLN,2004-03-12,26.5,26.72,26.26,26.6,97700.0,0.0,1.0,26.5,26.72,26.26,26.6,97700.0
8814095,MGLN,2004-03-15,26.6,26.8,26.0,26.61,18100.0,0.0,1.0,26.6,26.8,26.0,26.61,18100.0
8814096,MGLN,2004-03-16,26.75,27.1,26.7,27.0,137400.0,0.0,1.0,26.75,27.1,26.7,27.0,137400.0
8814097,MGLN,2004-03-17,27.05,27.3,27.0,27.23,77600.0,0.0,1.0,27.05,27.3,27.0,27.23,77600.0
8814098,MGLN,2004-03-18,27.35,27.6,27.2,27.6,77000.0,0.0,1.0,27.35,27.6,27.2,27.6,77000.0
8814099,MGLN,2004-03-19,27.5,28.2,27.5,27.78,259400.0,0.0,1.0,27.5,28.2,27.5,27.78,259400.0
8814100,MGLN,2004-03-22,27.65,27.78,26.68,27.74,27900.0,0.0,1.0,27.65,27.78,26.68,27.74,27900.0
8814101,MGLN,2004-03-23,27.8,27.9,27.55,27.7,20400.0,0.0,1.0,27.8,27.9,27.55,27.7,20400.0
8814102,MGLN,2004-03-24,27.7,27.7,27.29,27.29,40700.0,0.0,1.0,27.7,27.7,27.29,27.29,40700.0
8814103,MGLN,2004-03-25,27.29,28.0,27.29,27.68,153500.0,0.0,1.0,27.29,28.0,27.29,27.68,153500.0
8814104,MGLN,2004-03-26,27.7,27.72,27.55,27.65,193400.0,0.0,1.0,27.7,27.72,27.55,27.65,193400.0
8814105,MGLN,2004-03-29,27.7,27.99,26.61,27.7,92500.0,0.0,1.0,27.7,27.99,26.61,27.7,92500.0
8814106,MGLN,2004-03-30,28.0,28.12,27.25,28.09,1830700.0,0.0,1.0,28.0,28.12,27.25,28.09,1830700.0
8814107,MGLN,2004-03-31,28.1,28.72,27.01,28.1,503500.0,0.0,1.0,28.1,28.72,27.01,28.1,503500.0
8814108,MGLN,2004-04-01,28.2,28.2,27.28,27.65,126200.0,0.0,1.0,28.2,28.2,27.28,27.65,126200.0
8814109,MGLN,2004-04-02,27.52,28.1,27.5,28.1,272200.0,0.0,1.0,27.52,28.1,27.5,28.1,272200.0
8814110,MGLN,2004-04-05,28.075,28.75,28.0,28.68,231400.0,0.0,1.0,28.075,28.75,28.0,28.68,231400.0
8814111,MGLN,2004-04-06,28.8,30.25,28.6,30.15,407700.0,0.0,1.0,28.8,30.25,28.6,30.15,407700.0
8814112,MGLN,2004-04-07,29.99,30.2,29.3,30.0,131900.0,0.0,1.0,29.99,30.2,29.3,30.0,131900.0
8814113,MGLN,2004-04-08,30.0,30.75,29.8,30.5,263600.0,0.0,1.0,30.0,30.75,29.8,30.5,263600.0
8814114,MGLN,2004-04-12,30.6,31.0,30.6,30.91,111800.0,0.0,1.0,30.6,31.0,30.6,30.91,111800.0
8814115,MGLN,2004-04-13,30.95,30.95,30.31,30.35,231700.0,0.0,1.0,30.95,30.95,30.31,30.35,231700.0
8814116,MGLN,2004-04-14,30.5,31.5,30.43,31.25,1064400.0,0.0,1.0,30.5,31.5,30.43,31.25,1064400.0
8814117,MGLN,2004-04-15,31.49,32.49,31.27,32.43,875800.0,0.0,1.0,31.49,32.49,31.27,32.43,875800.0
8814118,MGLN,2004-04-16,32.1,32.99,32.0,32.97,274900.0,0.0,1.0,32.1,32.99,32.0,32.97,274900.0
8814119,MGLN,2004-04-19,32.99,33.48,32.5,33.25,395000.0,0.0,1.0,32.99,33.48,32.5,33.25,395000.0
8814120,MGLN,2004-04-20,33.4,33.81,33.05,33.45,105000.0,0.0,1.0,33.4,33.81,33.05,33.45,105000.0
8814121,MGLN,2004-04-21,33.05,33.89,33.05,33.6,242100.0,0.0,1.0,33.05,33.89,33.05,33.6,242100.0
8814122,MGLN,2004-04-22,33.75,34.0,33.45,33.72,223500.0,0.0,1.0,33.75,34.0,33.45,33.72,223500.0
8814123,MGLN,2004-04-23,33.9,34.25,33.5,33.88,156600.0,0.0,1.0,33.9,34.25,33.5,33.88,156600.0
8814124,MGLN,2004-04-26,33.95,34.01,33.67,33.89,100500.0,0.0,1.0,33.95,34.01,33.67,33.89,100500.0
8814125,MGLN,2004-04-27,33.95,34.0,33.0,33.44,118600.0,0.0,1.0,33.95,34.0,33.0,33.44,118600.0
8814126,MGLN,2004-04-28,33.44,33.8,33.25,33.72,241000.0,0.0,1.0,33.44,33.8,33.25,33.72,241000.0
8814127,MGLN,2004-04-29,33.29,33.552,32.7,32.72,194900.0,0.0,1.0,33.29,33.552,32.7,32.72,194900.0
8814128,MGLN,2004-04-30,32.61,32.75,31.59,32.0,295000.0,0.0,1.0,32.61,32.75,31.59,32.0,295000.0
8814129,MGLN,2004-05-03,32.25,32.66,32.0,32.42,119800.0,0.0,1.0,32.25,32.66,32.0,32.42,119800.0
8814130,MGLN,2004-05-04,32.6,33.02,32.5,32.69,216700.0,0.0,1.0,32.6,33.02,32.5,32.69,216700.0
8814131,MGLN,2004-05-05,32.8,32.8,32.23,32.7,32700.0,0.0,1.0,32.8,32.8,32.23,32.7,32700.0
8814132,MGLN,2004-05-06,32.01,32.6,31.77,32.0,71100.0,0.0,1.0,32.01,32.6,31.77,32.0,71100.0
8814133,MGLN,2004-05-07,32.0,32.03,31.25,31.7,23900.0,0.0,1.0,32.0,32.03,31.25,31.7,23900.0
8814134,MGLN,2004-05-10,31.13,31.25,30.076,30.45,185800.0,0.0,1.0,31.13,31.25,30.076,30.45,185800.0
8814135,MGLN,2004-05-11,30.3,30.5,29.45,29.95,213900.0,0.0,1.0,30.3,30.5,29.45,29.95,213900.0
8814136,MGLN,2004-05-12,29.8,30.3,28.85,30.13,73000.0,0.0,1.0,29.8,30.3,28.85,30.13,73000.0
8814137,MGLN,2004-05-13,29.43,30.15,29.28,30.09,53400.0,0.0,1.0,29.43,30.15,29.28,30.09,53400.0
8814138,MGLN,2004-05-14,30.1,30.4,29.95,30.34,40900.0,0.0,1.0,30.1,30.4,29.95,30.34,40900.0
8814139,MGLN,2004-05-17,29.99,30.52,29.92,30.52,41500.0,0.0,1.0,29.99,30.52,29.92,30.52,41500.0
8814140,MGLN,2004-05-18,30.55,30.97,30.1,30.97,57600.0,0.0,1.0,30.55,30.97,30.1,30.97,57600.0
8814141,MGLN,2004-05-19,31.02,31.5,30.9,31.26,156200.0,0.0,1.0,31.02,31.5,30.9,31.26,156200.0
8814142,MGLN,2004-05-20,31.27,31.45,30.82,30.9,182700.0,0.0,1.0,31.27,31.45,30.82,30.9,182700.0
8814143,MGLN,2004-05-21,31.1,31.1,30.5,30.99,27300.0,0.0,1.0,31.1,31.1,30.5,30.99,27300.0
8814144,MGLN,2004-05-24,31.1,31.32,30.67,30.73,79500.0,0.0,1.0,31.1,31.32,30.67,30.73,79500.0
8814145,MGLN,2004-05-25,31.0,31.0,29.85,29.95,341000.0,0.0,1.0,31.0,31.0,29.85,29.95,341000.0
8814146,MGLN,2004-05-26,29.95,30.02,29.55,29.98,209700.0,0.0,1.0,29.95,30.02,29.55,29.98,209700.0
8814147,MGLN,2004-05-27,29.95,30.2,29.95,30.0,467800.0,0.0,1.0,29.95,30.2,29.95,30.0,467800.0
8814148,MGLN,2004-05-28,29.99,31.44,29.95,31.26,234700.0,0.0,1.0,29.99,31.44,29.95,31.26,234700.0
8814149,MGLN,2004-06-01,31.26,32.18,31.25,32.15,407100.0,0.0,1.0,31.26,32.18,31.25,32.15,407100.0
8814150,MGLN,2004-06-02,32.2,32.24,31.77,32.2,335200.0,0.0,1.0,32.2,32.24,31.77,32.2,335200.0
8814151,MGLN,2004-06-03,32.3,32.39,31.75,32.0,200500.0,0.0,1.0,32.3,32.39,31.75,32.0,200500.0
8814152,MGLN,2004-06-04,32.0,32.0,31.45,31.7,87000.0,0.0,1.0,32.0,32.0,31.45,31.7,87000.0
8814153,MGLN,2004-06-07,31.42,31.8,30.83,31.67,110700.0,0.0,1.0,31.42,31.8,30.83,31.67,110700.0
8814154,MGLN,2004-06-08,31.69,31.69,31.12,31.45,84200.0,0.0,1.0,31.69,31.69,31.12,31.45,84200.0
8814155,MGLN,2004-06-09,31.49,31.49,30.31,30.55,128800.0,0.0,1.0,31.49,31.49,30.31,30.55,128800.0
8814156,MGLN,2004-06-10,30.21,31.08,30.21,30.81,59000.0,0.0,1.0,30.21,31.08,30.21,30.81,59000.0
8814157,MGLN,2004-06-14,30.82,31.75,30.6,31.04,238400.0,0.0,1.0,30.82,31.75,30.6,31.04,238400.0
8814158,MGLN,2004-06-15,31.25,32.0,30.98,31.97,122300.0,0.0,1.0,31.25,32.0,30.98,31.97,122300.0
8814159,MGLN,2004-06-16,32.02,32.14,31.68,32.0,551900.0,0.0,1.0,32.02,32.14,31.68,32.0,551900.0
8814160,MGLN,2004-06-17,32.0,33.61,31.8,33.27,339900.0,0.0,1.0,32.0,33.61,31.8,33.27,339900.0
8814161,MGLN,2004-06-18,33.0,34.24,32.75,33.95,469400.0,0.0,1.0,33.0,34.24,32.75,33.95,469400.0
8814162,MGLN,2004-06-21,34.31,34.63,33.1,33.74,225600.0,0.0,1.0,34.31,34.63,33.1,33.74,225600.0
8814163,MGLN,2004-06-22,33.6,34.02,33.41,33.99,218700.0,0.0,1.0,33.6,34.02,33.41,33.99,218700.0
