,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
9084326,MOSY,2001-07-17,11.0,12.25,10.8,12.01,608300.0,0.0,1.0,110.0,122.5,108.0,120.1,60830.0
9084327,MOSY,2001-07-18,12.08,13.05,11.9,12.85,294800.0,0.0,1.0,120.8,130.5,119.0,128.5,29480.0
9084328,MOSY,2001-07-19,12.95,13.51,12.66,13.07,92700.0,0.0,1.0,129.5,135.1,126.6,130.7,9270.0
9084329,MOSY,2001-07-20,13.05,13.9,12.8,13.33,97300.0,0.0,1.0,130.5,139.0,128.0,133.3,9730.0
9084330,MOSY,2001-07-23,13.4,14.0,13.28,13.92,61100.0,0.0,1.0,134.0,140.0,132.79999999999998,139.2,6110.0
9084331,MOSY,2001-07-24,13.8,13.8,12.95,13.11,224000.0,0.0,1.0,138.0,138.0,129.5,131.1,22400.0
9084332,MOSY,2001-07-25,13.22,13.98,13.17,13.6,71300.0,0.0,1.0,132.20000000000002,139.8,131.7,136.0,7130.0
9084333,MOSY,2001-07-26,13.62,13.87,13.55,13.6,74800.0,0.0,1.0,136.2,138.7,135.5,136.0,7480.0
9084334,MOSY,2001-07-27,13.68,13.68,13.12,13.25,49900.0,0.0,1.0,136.8,136.8,131.2,132.5,4990.0
9084335,MOSY,2001-07-30,13.08,13.29,12.74,13.02,145600.0,0.0,1.0,130.8,132.89999999999998,127.4,130.2,14560.0
9084336,MOSY,2001-07-31,13.02,13.71,12.73,13.45,177600.0,0.0,1.0,130.2,137.10000000000002,127.3,134.5,17760.0
9084337,MOSY,2001-08-01,13.7,14.7,13.65,14.0,311900.0,0.0,1.0,137.0,147.0,136.5,140.0,31190.0
9084338,MOSY,2001-08-02,14.29,14.75,13.95,14.6,110400.0,0.0,1.0,142.89999999999995,147.5,139.5,146.0,11040.0
9084339,MOSY,2001-08-03,14.74,15.89,14.0,14.98,173800.0,0.0,1.0,147.4,158.9,140.0,149.8,17380.0
9084340,MOSY,2001-08-06,14.85,14.91,13.99,14.25,37600.0,0.0,1.0,148.5,149.1,139.9,142.5,3760.0
