,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
9467073,NAVB,1992-11-16,6.438,6.438,6.375,6.375,14700.0,0.0,1.0,6.438,6.438,6.375,6.375,14700.0
9467074,NAVB,1992-11-17,6.438,6.5,6.125,6.5,70800.0,0.0,1.0,6.438,6.5,6.125,6.5,70800.0
9467075,NAVB,1992-11-18,6.5,6.5,6.0,6.375,124000.0,0.0,1.0,6.5,6.5,6.0,6.375,124000.0
9467076,NAVB,1992-11-19,6.438,6.438,6.0,6.0,411500.0,0.0,1.0,6.438,6.438,6.0,6.0,411500.0
9467077,NAVB,1992-11-20,6.25,6.25,5.906000000000001,6.063,27900.0,0.0,1.0,6.25,6.25,5.906000000000001,6.063,27900.0
9467078,NAVB,1992-11-23,6.125,6.25,6.0,6.0,27200.0,0.0,1.0,6.125,6.25,6.0,6.0,27200.0
9467079,NAVB,1992-11-24,6.0,6.25,6.0,6.0,190000.0,0.0,1.0,6.0,6.25,6.0,6.0,190000.0
9467080,NAVB,1992-11-25,6.25,6.25,6.0,6.188,16000.0,0.0,1.0,6.25,6.25,6.0,6.188,16000.0
9467081,NAVB,1992-11-27,6.0,6.25,6.0,6.25,7300.0,0.0,1.0,6.0,6.25,6.0,6.25,7300.0
9467082,NAVB,1992-11-30,6.0,6.25,6.0,6.125,24500.0,0.0,1.0,6.0,6.25,6.0,6.125,24500.0
9467083,NAVB,1992-12-01,6.0,6.125,6.0,6.125,29100.0,0.0,1.0,6.0,6.125,6.0,6.125,29100.0
9467084,NAVB,1992-12-02,6.0,6.125,6.0,6.0,47900.0,0.0,1.0,6.0,6.125,6.0,6.0,47900.0
9467085,NAVB,1992-12-03,6.0,6.25,6.0,6.0,15800.0,0.0,1.0,6.0,6.25,6.0,6.0,15800.0
9467086,NAVB,1992-12-04,6.125,6.25,6.0,6.25,16800.0,0.0,1.0,6.125,6.25,6.0,6.25,16800.0
9467087,NAVB,1992-12-07,6.0,6.125,6.0,6.031000000000001,47000.0,0.0,1.0,6.0,6.125,6.0,6.031000000000001,47000.0
9467088,NAVB,1992-12-08,6.0,6.125,6.0,6.0,30300.0,0.0,1.0,6.0,6.125,6.0,6.0,30300.0
9467089,NAVB,1992-12-09,6.125,6.125,6.0,6.063,20100.0,0.0,1.0,6.125,6.125,6.0,6.063,20100.0
9467090,NAVB,1992-12-10,6.0,6.125,6.0,6.0,17100.0,0.0,1.0,6.0,6.125,6.0,6.0,17100.0
9467091,NAVB,1992-12-11,6.0,6.125,6.0,6.125,20900.0,0.0,1.0,6.0,6.125,6.0,6.125,20900.0
9467092,NAVB,1992-12-14,6.0,6.125,6.0,6.0,29800.0,0.0,1.0,6.0,6.125,6.0,6.0,29800.0
9467093,NAVB,1992-12-15,6.0,6.125,6.0,6.0,156200.0,0.0,1.0,6.0,6.125,6.0,6.0,156200.0
9467094,NAVB,1992-12-16,6.125,6.125,6.0,6.0,65700.0,0.0,1.0,6.125,6.125,6.0,6.0,65700.0
9467095,NAVB,1992-12-17,6.125,6.125,6.0,6.0,19400.0,0.0,1.0,6.125,6.125,6.0,6.0,19400.0
9467096,NAVB,1992-12-18,6.0,6.125,6.0,6.0,19200.0,0.0,1.0,6.0,6.125,6.0,6.0,19200.0
9467097,NAVB,1992-12-21,6.0,6.125,6.0,6.0,13500.0,0.0,1.0,6.0,6.125,6.0,6.0,13500.0
9467098,NAVB,1992-12-22,6.0,6.125,6.0,6.125,17200.0,0.0,1.0,6.0,6.125,6.0,6.125,17200.0
9467099,NAVB,1992-12-23,6.0,6.063,6.0,6.0,9300.0,0.0,1.0,6.0,6.063,6.0,6.0,9300.0
9467100,NAVB,1992-12-24,6.0,6.0,6.0,6.0,4300.0,0.0,1.0,6.0,6.0,6.0,6.0,4300.0
9467101,NAVB,1992-12-28,6.0,6.125,6.0,6.0,13400.0,0.0,1.0,6.0,6.125,6.0,6.0,13400.0
