,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
9531645,NCFT,2013-11-07,15.75,16.49,15.36,15.5,4192700.0,0.0,1.0,15.75,16.49,15.36,15.5,4192700.0
9531646,NCFT,2013-11-08,15.5,16.0,15.27,15.58,342900.0,0.0,1.0,15.5,16.0,15.27,15.58,342900.0
9531647,NCFT,2013-11-11,15.78,16.14,15.57,15.99,224800.0,0.0,1.0,15.78,16.14,15.57,15.99,224800.0
9531648,NCFT,2013-11-12,15.99,16.05,15.6,15.91,146700.0,0.0,1.0,15.99,16.05,15.6,15.91,146700.0
9531649,NCFT,2013-11-13,15.85,16.32,15.7,16.0,308500.0,0.0,1.0,15.85,16.32,15.7,16.0,308500.0
9531650,NCFT,2013-11-14,16.1,16.51,15.9,16.19,191600.0,0.0,1.0,16.1,16.51,15.9,16.19,191600.0
9531651,NCFT,2013-11-15,16.2,16.6,16.2,16.47,73400.0,0.0,1.0,16.2,16.6,16.2,16.47,73400.0
9531652,NCFT,2013-11-18,16.6,16.6,16.26,16.26,55900.0,0.0,1.0,16.6,16.6,16.26,16.26,55900.0
9531653,NCFT,2013-11-19,16.32,16.78,16.32,16.51,20200.0,0.0,1.0,16.32,16.78,16.32,16.51,20200.0
9531654,NCFT,2013-11-20,16.5,16.95,16.5,16.78,63600.0,0.0,1.0,16.5,16.95,16.5,16.78,63600.0
9531655,NCFT,2013-11-21,16.75,17.44,16.75,17.0,54700.0,0.0,1.0,16.75,17.44,16.75,17.0,54700.0
9531656,NCFT,2013-11-22,17.0,17.39,16.83,16.94,70900.0,0.0,1.0,17.0,17.39,16.83,16.94,70900.0
9531657,NCFT,2013-11-25,16.84,17.1,16.84,17.05,55100.0,0.0,1.0,16.84,17.1,16.84,17.05,55100.0
9531658,NCFT,2013-11-26,17.1,17.2,17.0,17.07,181100.0,0.0,1.0,17.1,17.2,17.0,17.07,181100.0
9531659,NCFT,2013-11-27,17.12,18.41,17.07,17.5,144000.0,0.0,1.0,17.12,18.41,17.07,17.5,144000.0
9531660,NCFT,2013-11-29,17.61,17.7,17.52,17.7,17600.0,0.0,1.0,17.61,17.7,17.52,17.7,17600.0
9531661,NCFT,2013-12-02,17.65,18.0,17.45,17.7,246600.0,0.0,1.0,17.65,18.0,17.45,17.7,246600.0
9531662,NCFT,2013-12-03,17.58,18.69,17.58,17.89,52900.0,0.0,1.0,17.58,18.69,17.58,17.89,52900.0
9531663,NCFT,2013-12-04,17.7,18.2,17.7,17.94,108000.0,0.0,1.0,17.7,18.2,17.7,17.94,108000.0
9531664,NCFT,2013-12-05,18.18,18.3,17.86,18.2,94700.0,0.0,1.0,18.18,18.3,17.86,18.2,94700.0
9531665,NCFT,2013-12-06,18.2,18.6,18.2,18.58,44700.0,0.0,1.0,18.2,18.6,18.2,18.58,44700.0
9531666,NCFT,2013-12-09,18.6,18.8,18.5,18.8,159600.0,0.0,1.0,18.6,18.8,18.5,18.8,159600.0
9531667,NCFT,2013-12-10,18.8,18.8,18.42,18.78,37300.0,0.0,1.0,18.8,18.8,18.42,18.78,37300.0
9531668,NCFT,2013-12-11,18.35,18.79,18.23,18.56,34100.0,0.0,1.0,18.35,18.79,18.23,18.56,34100.0
9531669,NCFT,2013-12-12,18.58,18.9,18.58,18.81,58600.0,0.0,1.0,18.58,18.9,18.58,18.81,58600.0
9531670,NCFT,2013-12-13,18.88,18.88,18.1,18.25,99600.0,0.0,1.0,18.88,18.88,18.1,18.25,99600.0
9531671,NCFT,2013-12-16,18.2,18.73,17.75,18.72,86800.0,0.0,1.0,18.2,18.73,17.75,18.72,86800.0
9531672,NCFT,2013-12-17,18.79,18.79,18.09,18.45,61500.0,0.0,1.0,18.79,18.79,18.09,18.45,61500.0
9531673,NCFT,2013-12-18,18.7,19.18,18.31,19.04,101900.0,0.0,1.0,18.7,19.18,18.31,19.04,101900.0
9531674,NCFT,2013-12-19,18.99,19.18,18.78,18.91,134200.0,0.0,1.0,18.99,19.18,18.78,18.91,134200.0
9531675,NCFT,2013-12-20,18.9,19.01,18.17,18.55,928600.0,0.0,1.0,18.9,19.01,18.17,18.55,928600.0
9531676,NCFT,2013-12-23,18.66,19.2,18.65,19.19,63700.0,0.0,1.0,18.66,19.2,18.65,19.19,63700.0
9531677,NCFT,2013-12-24,19.13,19.23,18.82,19.09,26300.0,0.0,1.0,19.13,19.23,18.82,19.09,26300.0
9531678,NCFT,2013-12-26,19.22,19.3,19.08,19.23,23100.0,0.0,1.0,19.22,19.3,19.08,19.23,23100.0
9531679,NCFT,2013-12-27,19.3,19.49,19.04,19.35,44800.0,0.0,1.0,19.3,19.49,19.04,19.35,44800.0
9531680,NCFT,2013-12-30,19.33,19.51,19.3,19.48,29200.0,0.0,1.0,19.33,19.51,19.3,19.48,29200.0
9531681,NCFT,2013-12-31,19.5,19.63,19.37,19.62,32600.0,0.0,1.0,19.5,19.63,19.37,19.62,32600.0
9531682,NCFT,2014-01-02,19.49,19.59,19.36,19.51,33400.0,0.0,1.0,19.49,19.59,19.36,19.51,33400.0
9531683,NCFT,2014-01-03,19.57,19.82,19.57,19.73,89200.0,0.0,1.0,19.57,19.82,19.57,19.73,89200.0
9531684,NCFT,2014-01-06,19.66,19.79,19.41,19.58,52200.0,0.0,1.0,19.66,19.79,19.41,19.58,52200.0
9531685,NCFT,2014-01-07,19.59,19.6,19.34,19.6,44600.0,0.0,1.0,19.59,19.6,19.34,19.6,44600.0
