,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
9813069,NPTN,2011-02-02,14.0,14.45,13.22,13.25,6116900.0,0.0,1.0,14.0,14.45,13.22,13.25,6116900.0
9813070,NPTN,2011-02-03,13.53,14.0,13.32,14.0,539600.0,0.0,1.0,13.53,14.0,13.32,14.0,539600.0
9813071,NPTN,2011-02-04,14.25,17.45,14.25,17.31,1387700.0,0.0,1.0,14.25,17.45,14.25,17.31,1387700.0
9813072,NPTN,2011-02-07,20.37,20.37,16.32,17.2,478900.0,0.0,1.0,20.37,20.37,16.32,17.2,478900.0
9813073,NPTN,2011-02-08,17.24,17.24,16.02,16.76,452500.0,0.0,1.0,17.24,17.24,16.02,16.76,452500.0
9813074,NPTN,2011-02-09,16.73,18.07,16.03,17.93,280500.0,0.0,1.0,16.73,18.07,16.03,17.93,280500.0
9813075,NPTN,2011-02-10,17.83,18.75,17.2,18.29,225700.0,0.0,1.0,17.83,18.75,17.2,18.29,225700.0
9813076,NPTN,2011-02-11,18.14,20.55,18.11,20.55,321100.0,0.0,1.0,18.14,20.55,18.11,20.55,321100.0
9813077,NPTN,2011-02-14,20.83,20.94,18.07,18.75,845500.0,0.0,1.0,20.83,20.94,18.07,18.75,845500.0
9813078,NPTN,2011-02-15,18.43,18.83,17.65,18.3,195000.0,0.0,1.0,18.43,18.83,17.65,18.3,195000.0
9813079,NPTN,2011-02-16,18.44,18.74,18.18,18.68,107100.0,0.0,1.0,18.44,18.74,18.18,18.68,107100.0
9813080,NPTN,2011-02-17,18.5,20.59,18.44,20.34,280000.0,0.0,1.0,18.5,20.59,18.44,20.34,280000.0
9813081,NPTN,2011-02-18,20.46,20.46,19.21,19.66,114600.0,0.0,1.0,20.46,20.46,19.21,19.66,114600.0
9813082,NPTN,2011-02-22,19.36,19.65,17.8,18.0,249500.0,0.0,1.0,19.36,19.65,17.8,18.0,249500.0
9813083,NPTN,2011-02-23,17.8,18.24,16.71,16.87,219900.0,0.0,1.0,17.8,18.24,16.71,16.87,219900.0
9813084,NPTN,2011-02-24,16.77,17.16,16.5,16.89,226000.0,0.0,1.0,16.77,17.16,16.5,16.89,226000.0
9813085,NPTN,2011-02-25,17.15,18.53,16.57,18.11,308900.0,0.0,1.0,17.15,18.53,16.57,18.11,308900.0
9813086,NPTN,2011-02-28,18.27,18.72,18.19,18.35,196100.0,0.0,1.0,18.27,18.72,18.19,18.35,196100.0
9813087,NPTN,2011-03-01,18.4,18.75,18.15,18.2,159400.0,0.0,1.0,18.4,18.75,18.15,18.2,159400.0
9813088,NPTN,2011-03-02,18.08,19.2,17.71,17.9,292700.0,0.0,1.0,18.08,19.2,17.71,17.9,292700.0
9813089,NPTN,2011-03-03,18.21,18.57,17.38,18.02,262800.0,0.0,1.0,18.21,18.57,17.38,18.02,262800.0
9813090,NPTN,2011-03-04,16.63,16.92,14.2,15.58,1096000.0,0.0,1.0,16.63,16.92,14.2,15.58,1096000.0
9813091,NPTN,2011-03-07,15.22,15.22,13.75,13.77,599900.0,0.0,1.0,15.22,15.22,13.75,13.77,599900.0
9813092,NPTN,2011-03-08,13.95,13.95,13.01,13.42,443100.0,0.0,1.0,13.95,13.95,13.01,13.42,443100.0
9813093,NPTN,2011-03-09,13.13,13.17,10.02,10.5,295000.0,0.0,1.0,13.13,13.17,10.02,10.5,295000.0
9813094,NPTN,2011-03-10,10.5,10.98,10.37,10.41,581900.0,0.0,1.0,10.5,10.98,10.37,10.41,581900.0
9813095,NPTN,2011-03-11,10.5,10.87,10.27,10.56,307500.0,0.0,1.0,10.5,10.87,10.27,10.56,307500.0
9813096,NPTN,2011-03-14,10.12,10.39,9.5,9.88,471900.0,0.0,1.0,10.12,10.39,9.5,9.88,471900.0
9813097,NPTN,2011-03-15,9.49,9.7,9.28,9.44,236300.0,0.0,1.0,9.49,9.7,9.28,9.44,236300.0
9813098,NPTN,2011-03-16,9.55,10.25,9.49,10.05,634300.0,0.0,1.0,9.55,10.25,9.49,10.05,634300.0
9813099,NPTN,2011-03-17,10.19,10.38,9.6,9.71,254900.0,0.0,1.0,10.19,10.38,9.6,9.71,254900.0
9813100,NPTN,2011-03-18,9.81,9.81,9.29,9.49,246600.0,0.0,1.0,9.81,9.81,9.29,9.49,246600.0
9813101,NPTN,2011-03-21,9.64,9.65,9.02,9.18,164900.0,0.0,1.0,9.64,9.65,9.02,9.18,164900.0
9813102,NPTN,2011-03-22,9.13,9.13,8.29,8.36,495200.0,0.0,1.0,9.13,9.13,8.29,8.36,495200.0
9813103,NPTN,2011-03-23,8.6,8.75,8.33,8.6,391200.0,0.0,1.0,8.6,8.75,8.33,8.6,391200.0
9813104,NPTN,2011-03-24,8.65,9.68,8.62,9.12,651800.0,0.0,1.0,8.65,9.68,8.62,9.12,651800.0
9813105,NPTN,2011-03-25,8.93,9.7,8.93,9.23,240500.0,0.0,1.0,8.93,9.7,8.93,9.23,240500.0
9813106,NPTN,2011-03-28,9.44,10.01,9.27,9.3,268700.0,0.0,1.0,9.44,10.01,9.27,9.3,268700.0
9813107,NPTN,2011-03-29,9.41,9.62,9.0,9.32,191500.0,0.0,1.0,9.41,9.62,9.0,9.32,191500.0
9813108,NPTN,2011-03-30,9.49,10.38,9.39,10.25,385800.0,0.0,1.0,9.49,10.38,9.39,10.25,385800.0
9813109,NPTN,2011-03-31,10.15,11.95,10.15,11.31,1310800.0,0.0,1.0,10.15,11.95,10.15,11.31,1310800.0
9813110,NPTN,2011-04-01,11.45,11.76,10.54,11.6,530300.0,0.0,1.0,11.45,11.76,10.54,11.6,530300.0
9813111,NPTN,2011-04-04,11.55,11.74,11.2,11.52,116900.0,0.0,1.0,11.55,11.74,11.2,11.52,116900.0
