,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
10251261,ONE,2010-06-17,13.5,14.83,13.25,14.27,2654400.0,0.0,1.0,13.5,14.83,13.25,14.27,2654400.0
10251262,ONE,2010-06-18,14.27,15.7,14.25,15.15,597400.0,0.0,1.0,14.27,15.7,14.25,15.15,597400.0
10251263,ONE,2010-06-21,15.16,15.29,14.5,14.8,68200.0,0.0,1.0,15.16,15.29,14.5,14.8,68200.0
10251264,ONE,2010-06-22,14.62,14.87,14.5,14.67,153900.0,0.0,1.0,14.62,14.87,14.5,14.67,153900.0
10251265,ONE,2010-06-23,14.74,14.84,14.51,14.6,70800.0,0.0,1.0,14.74,14.84,14.51,14.6,70800.0
10251266,ONE,2010-06-24,14.68,14.75,14.67,14.67,3800.0,0.0,1.0,14.68,14.75,14.67,14.67,3800.0
10251267,ONE,2010-06-25,14.68,15.25,14.65,14.75,36600.0,0.0,1.0,14.68,15.25,14.65,14.75,36600.0
10251268,ONE,2010-06-28,15.09,15.09,14.67,14.67,8200.0,0.0,1.0,15.09,15.09,14.67,14.67,8200.0
10251269,ONE,2010-06-29,14.58,14.59,14.43,14.5,5800.0,0.0,1.0,14.58,14.59,14.43,14.5,5800.0
10251270,ONE,2010-06-30,14.45,14.69,14.4,14.5,14600.0,0.0,1.0,14.45,14.69,14.4,14.5,14600.0
10251271,ONE,2010-07-01,14.5,14.5,14.3,14.36,98600.0,0.0,1.0,14.5,14.5,14.3,14.36,98600.0
10251272,ONE,2010-07-02,14.43,15.05,14.39,15.01,21500.0,0.0,1.0,14.43,15.05,14.39,15.01,21500.0
10251273,ONE,2010-07-06,15.08,15.12,14.6,14.61,20600.0,0.0,1.0,15.08,15.12,14.6,14.61,20600.0
10251274,ONE,2010-07-07,14.73,14.74,14.49,14.58,8000.0,0.0,1.0,14.73,14.74,14.49,14.58,8000.0
10251275,ONE,2010-07-08,14.59,14.9,14.37,14.75,35200.0,0.0,1.0,14.59,14.9,14.37,14.75,35200.0
10251276,ONE,2010-07-09,14.66,14.74,14.65,14.7,8500.0,0.0,1.0,14.66,14.74,14.65,14.7,8500.0
