,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
10252806,ONNN,2000-05-02,24.88,25.06,22.38,24.0,2051300.0,0.0,1.0,24.88,25.06,22.38,24.0,2051300.0
10252807,ONNN,2000-05-03,23.69,23.75,21.31,22.5,1734900.0,0.0,1.0,23.69,23.75,21.31,22.5,1734900.0
10252808,ONNN,2000-05-04,23.56,23.62,20.5,21.12,1235300.0,0.0,1.0,23.56,23.62,20.5,21.12,1235300.0
10252809,ONNN,2000-05-05,20.75,22.0,20.5,20.88,1164400.0,0.0,1.0,20.75,22.0,20.5,20.88,1164400.0
10252810,ONNN,2000-05-08,20.44,21.06,20.06,20.25,750000.0,0.0,1.0,20.44,21.06,20.06,20.25,750000.0
10252811,ONNN,2000-05-09,20.62,21.12,19.75,20.19,1221300.0,0.0,1.0,20.62,21.12,19.75,20.19,1221300.0
10252812,ONNN,2000-05-10,20.38,20.44,17.81,19.38,1240300.0,0.0,1.0,20.38,20.44,17.81,19.38,1240300.0
10252813,ONNN,2000-05-11,19.88,20.25,19.5,20.0,1602200.0,0.0,1.0,19.88,20.25,19.5,20.0,1602200.0
10252814,ONNN,2000-05-12,20.62,23.0,20.12,21.38,1807800.0,0.0,1.0,20.62,23.0,20.12,21.38,1807800.0
10252815,ONNN,2000-05-15,21.69,22.25,20.19,21.69,800900.0,0.0,1.0,21.69,22.25,20.19,21.69,800900.0
10252816,ONNN,2000-05-16,21.81,22.56,21.38,22.25,646100.0,0.0,1.0,21.81,22.56,21.38,22.25,646100.0
10252817,ONNN,2000-05-17,21.62,22.75,21.38,21.88,861300.0,0.0,1.0,21.62,22.75,21.38,21.88,861300.0
10252818,ONNN,2000-05-18,21.88,24.31,21.81,24.0,1856900.0,0.0,1.0,21.88,24.31,21.81,24.0,1856900.0
10252819,ONNN,2000-05-19,23.25,24.5,21.5,22.75,1248800.0,0.0,1.0,23.25,24.5,21.5,22.75,1248800.0
10252820,ONNN,2000-05-22,23.12,23.12,19.75,20.0,1056700.0,0.0,1.0,23.12,23.12,19.75,20.0,1056700.0
10252821,ONNN,2000-05-23,20.88,21.25,19.62,19.88,1311500.0,0.0,1.0,20.88,21.25,19.62,19.88,1311500.0
10252822,ONNN,2000-05-24,19.94,20.25,19.12,19.5,845700.0,0.0,1.0,19.94,20.25,19.12,19.5,845700.0
10252823,ONNN,2000-05-25,19.75,20.31,18.0,18.19,1078300.0,0.0,1.0,19.75,20.31,18.0,18.19,1078300.0
10252824,ONNN,2000-05-26,18.19,18.75,17.88,18.0,367000.0,0.0,1.0,18.19,18.75,17.88,18.0,367000.0
10252825,ONNN,2000-05-30,18.0,20.62,18.0,20.0,446000.0,0.0,1.0,18.0,20.62,18.0,20.0,446000.0
10252826,ONNN,2000-05-31,20.69,20.88,19.12,19.31,1091600.0,0.0,1.0,20.69,20.88,19.12,19.31,1091600.0
10252827,ONNN,2000-06-01,19.59,20.75,19.56,20.12,1126000.0,0.0,1.0,19.59,20.75,19.56,20.12,1126000.0
10252828,ONNN,2000-06-02,20.69,23.25,20.31,23.0,1646900.0,0.0,1.0,20.69,23.25,20.31,23.0,1646900.0
10252829,ONNN,2000-06-05,22.75,23.0,21.06,22.88,615800.0,0.0,1.0,22.75,23.0,21.06,22.88,615800.0
10252830,ONNN,2000-06-06,22.75,24.62,22.12,23.12,735300.0,0.0,1.0,22.75,24.62,22.12,23.12,735300.0
10252831,ONNN,2000-06-07,23.19,23.5,21.88,22.25,299900.0,0.0,1.0,23.19,23.5,21.88,22.25,299900.0
10252832,ONNN,2000-06-08,22.25,23.75,22.0,22.62,476800.0,0.0,1.0,22.25,23.75,22.0,22.62,476800.0
10252833,ONNN,2000-06-09,22.81,23.88,22.62,23.25,428200.0,0.0,1.0,22.81,23.88,22.62,23.25,428200.0
10252834,ONNN,2000-06-12,23.75,24.25,23.62,24.06,665000.0,0.0,1.0,23.75,24.25,23.62,24.06,665000.0
10252835,ONNN,2000-06-13,23.56,24.0,21.88,23.44,300500.0,0.0,1.0,23.56,24.0,21.88,23.44,300500.0
10252836,ONNN,2000-06-14,23.16,23.31,22.88,22.94,172600.0,0.0,1.0,23.16,23.31,22.88,22.94,172600.0
10252837,ONNN,2000-06-15,22.62,23.25,21.75,23.0,323500.0,0.0,1.0,22.62,23.25,21.75,23.0,323500.0
10252838,ONNN,2000-06-16,22.97,23.0,20.81,21.06,1229000.0,0.0,1.0,22.97,23.0,20.81,21.06,1229000.0
10252839,ONNN,2000-06-19,21.56,22.12,20.5,21.25,358700.0,0.0,1.0,21.56,22.12,20.5,21.25,358700.0
10252840,ONNN,2000-06-20,21.38,22.5,21.31,21.88,714400.0,0.0,1.0,21.38,22.5,21.31,21.88,714400.0
