,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
10292993,ORBC,2006-11-06,7.38,8.2,7.1,7.49,924500.0,0.0,1.0,7.38,8.2,7.1,7.49,924500.0
10292994,ORBC,2006-11-07,7.3,7.73,7.24,7.64,321000.0,0.0,1.0,7.3,7.73,7.24,7.64,321000.0
10292995,ORBC,2006-11-08,8.0,8.04,7.68,7.95,296900.0,0.0,1.0,8.0,8.04,7.68,7.95,296900.0
10292996,ORBC,2006-11-09,8.0,8.09,7.75,7.94,263500.0,0.0,1.0,8.0,8.09,7.75,7.94,263500.0
10292997,ORBC,2006-11-10,7.94,7.98,7.66,7.75,225700.0,0.0,1.0,7.94,7.98,7.66,7.75,225700.0
10292998,ORBC,2006-11-13,7.7,7.93,7.18,7.49,334000.0,0.0,1.0,7.7,7.93,7.18,7.49,334000.0
10292999,ORBC,2006-11-14,7.37,7.5,7.05,7.05,243200.0,0.0,1.0,7.37,7.5,7.05,7.05,243200.0
10293000,ORBC,2006-11-15,7.03,7.7,7.03,7.7,170600.0,0.0,1.0,7.03,7.7,7.03,7.7,170600.0
10293001,ORBC,2006-11-16,7.51,7.69,7.44,7.6,136400.0,0.0,1.0,7.51,7.69,7.44,7.6,136400.0
10293002,ORBC,2006-11-17,7.5,7.7,7.29,7.65,553300.0,0.0,1.0,7.5,7.7,7.29,7.65,553300.0
10293003,ORBC,2006-11-20,7.67,8.49,7.65,8.49,434100.0,0.0,1.0,7.67,8.49,7.65,8.49,434100.0
10293004,ORBC,2006-11-21,8.57,8.6,7.85,7.93,223200.0,0.0,1.0,8.57,8.6,7.85,7.93,223200.0
10293005,ORBC,2006-11-22,7.87,7.975,7.71,7.84,69800.0,0.0,1.0,7.87,7.975,7.71,7.84,69800.0
10293006,ORBC,2006-11-24,7.7,7.9,7.7,7.9,15500.0,0.0,1.0,7.7,7.9,7.7,7.9,15500.0
10293007,ORBC,2006-11-27,7.8,7.85,7.4,7.5,139000.0,0.0,1.0,7.8,7.85,7.4,7.5,139000.0
10293008,ORBC,2006-11-28,7.69,7.7,7.25,7.35,163100.0,0.0,1.0,7.69,7.7,7.25,7.35,163100.0
10293009,ORBC,2006-11-29,7.17,7.86,7.15,7.58,75400.0,0.0,1.0,7.17,7.86,7.15,7.58,75400.0
10293010,ORBC,2006-11-30,7.65,7.85,7.21,7.39,96500.0,0.0,1.0,7.65,7.85,7.21,7.39,96500.0
10293011,ORBC,2006-12-01,7.31,7.94,7.31,7.74,130400.0,0.0,1.0,7.31,7.94,7.31,7.74,130400.0
10293012,ORBC,2006-12-04,7.95,8.0,7.75,7.95,181300.0,0.0,1.0,7.95,8.0,7.75,7.95,181300.0
10293013,ORBC,2006-12-05,7.9,7.97,7.53,7.9,89600.0,0.0,1.0,7.9,7.97,7.53,7.9,89600.0
10293014,ORBC,2006-12-06,7.61,7.9,7.5,7.9,113000.0,0.0,1.0,7.61,7.9,7.5,7.9,113000.0
10293015,ORBC,2006-12-07,8.0,8.0,7.59,7.8,106700.0,0.0,1.0,8.0,8.0,7.59,7.8,106700.0
10293016,ORBC,2006-12-08,7.7,8.2,7.7,8.02,240400.0,0.0,1.0,7.7,8.2,7.7,8.02,240400.0
10293017,ORBC,2006-12-11,7.71,8.15,7.7,7.77,118100.0,0.0,1.0,7.71,8.15,7.7,7.77,118100.0
10293018,ORBC,2006-12-12,7.9,7.95,7.37,7.63,195000.0,0.0,1.0,7.9,7.95,7.37,7.63,195000.0
10293019,ORBC,2006-12-13,7.82,8.15,7.37,8.05,523300.0,0.0,1.0,7.82,8.15,7.37,8.05,523300.0
10293020,ORBC,2006-12-14,8.1,8.26,7.85,8.0,234000.0,0.0,1.0,8.1,8.26,7.85,8.0,234000.0
10293021,ORBC,2006-12-15,8.0,8.07,8.0,8.01,576000.0,0.0,1.0,8.0,8.07,8.0,8.01,576000.0
10293022,ORBC,2006-12-18,7.92,8.09,7.75,7.88,144800.0,0.0,1.0,7.92,8.09,7.75,7.88,144800.0
10293023,ORBC,2006-12-19,7.77,8.44,7.75,8.36,192400.0,0.0,1.0,7.77,8.44,7.75,8.36,192400.0
10293024,ORBC,2006-12-20,8.51,9.45,8.51,8.96,431400.0,0.0,1.0,8.51,9.45,8.51,8.96,431400.0
10293025,ORBC,2006-12-21,9.33,9.73,8.68,9.34,316500.0,0.0,1.0,9.33,9.73,8.68,9.34,316500.0
10293026,ORBC,2006-12-22,9.34,9.34,8.81,8.98,181200.0,0.0,1.0,9.34,9.34,8.81,8.98,181200.0
10293027,ORBC,2006-12-26,8.85,9.09,8.75,8.92,65500.0,0.0,1.0,8.85,9.09,8.75,8.92,65500.0
10293028,ORBC,2006-12-27,9.01,9.01,8.5,8.79,131400.0,0.0,1.0,9.01,9.01,8.5,8.79,131400.0
10293029,ORBC,2006-12-28,8.83,8.84,8.14,8.75,103500.0,0.0,1.0,8.83,8.84,8.14,8.75,103500.0
10293030,ORBC,2006-12-29,8.69,9.43,8.69,8.82,154600.0,0.0,1.0,8.69,9.43,8.69,8.82,154600.0
10293031,ORBC,2007-01-03,8.8,9.26,8.8,9.0,155600.0,0.0,1.0,8.8,9.26,8.8,9.0,155600.0
10293032,ORBC,2007-01-04,9.01,9.6999,8.76,9.49,158300.0,0.0,1.0,9.01,9.6999,8.76,9.49,158300.0
10293033,ORBC,2007-01-05,9.39,9.49,9.1,9.43,121400.0,0.0,1.0,9.39,9.49,9.1,9.43,121400.0
