,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
10341039,OSTK,2002-05-30,13.69,14.11,12.99,13.03,1663700.0,0.0,1.0,13.69,14.11,12.99,13.03,1663700.0
10341040,OSTK,2002-05-31,13.16,13.43,12.99,13.02,308600.0,0.0,1.0,13.16,13.43,12.99,13.02,308600.0
10341041,OSTK,2002-06-03,13.11,13.26,13.0,13.0,99700.0,0.0,1.0,13.11,13.26,13.0,13.0,99700.0
10341042,OSTK,2002-06-04,13.14,13.14,12.65,12.8,350200.0,0.0,1.0,13.14,13.14,12.65,12.8,350200.0
10341043,OSTK,2002-06-05,12.8,12.8,12.28,12.32,51000.0,0.0,1.0,12.8,12.8,12.28,12.32,51000.0
10341044,OSTK,2002-06-06,12.26,12.35,12.25,12.25,11000.0,0.0,1.0,12.26,12.35,12.25,12.25,11000.0
10341045,OSTK,2002-06-07,12.35,12.59,12.25,12.51,21900.0,0.0,1.0,12.35,12.59,12.25,12.51,21900.0
10341046,OSTK,2002-06-10,12.6,13.0,12.6,12.95,77400.0,0.0,1.0,12.6,13.0,12.6,12.95,77400.0
10341047,OSTK,2002-06-11,13.0,13.59,12.8,13.0,83200.0,0.0,1.0,13.0,13.59,12.8,13.0,83200.0
10341048,OSTK,2002-06-12,13.1,14.15,13.1,14.14,43000.0,0.0,1.0,13.1,14.15,13.1,14.14,43000.0
10341049,OSTK,2002-06-13,14.0,15.1,14.0,14.6,51100.0,0.0,1.0,14.0,15.1,14.0,14.6,51100.0
10341050,OSTK,2002-06-14,14.5,14.5,13.6,14.31,32000.0,0.0,1.0,14.5,14.5,13.6,14.31,32000.0
10341051,OSTK,2002-06-17,14.4,14.55,14.2,14.41,14400.0,0.0,1.0,14.4,14.55,14.2,14.41,14400.0
10341052,OSTK,2002-06-18,14.45,14.5,13.61,13.81,15500.0,0.0,1.0,14.45,14.5,13.61,13.81,15500.0
10341053,OSTK,2002-06-19,13.81,13.95,13.65,13.66,23300.0,0.0,1.0,13.81,13.95,13.65,13.66,23300.0
10341054,OSTK,2002-06-20,13.89,13.89,12.97,13.22,44600.0,0.0,1.0,13.89,13.89,12.97,13.22,44600.0
10341055,OSTK,2002-06-21,13.2,13.25,12.96,13.1,15400.0,0.0,1.0,13.2,13.25,12.96,13.1,15400.0
10341056,OSTK,2002-06-24,13.1,13.35,12.95,13.16,25400.0,0.0,1.0,13.1,13.35,12.95,13.16,25400.0
10341057,OSTK,2002-06-25,13.2,13.74,13.09,13.41,32500.0,0.0,1.0,13.2,13.74,13.09,13.41,32500.0
10341058,OSTK,2002-06-26,13.3,13.5,13.11,13.5,23300.0,0.0,1.0,13.3,13.5,13.11,13.5,23300.0
10341059,OSTK,2002-06-27,13.6,14.06,13.45,14.06,21500.0,0.0,1.0,13.6,14.06,13.45,14.06,21500.0
10341060,OSTK,2002-06-28,14.1,14.55,13.97,14.05,162400.0,0.0,1.0,14.1,14.55,13.97,14.05,162400.0
10341061,OSTK,2002-07-01,14.0,14.61,13.4,14.55,125500.0,0.0,1.0,14.0,14.61,13.4,14.55,125500.0
10341062,OSTK,2002-07-02,14.39,14.5,13.26,13.26,59700.0,0.0,1.0,14.39,14.5,13.26,13.26,59700.0
10341063,OSTK,2002-07-03,13.26,13.75,13.2,13.25,105600.0,0.0,1.0,13.26,13.75,13.2,13.25,105600.0
10341064,OSTK,2002-07-05,13.25,13.25,12.77,13.0,61800.0,0.0,1.0,13.25,13.25,12.77,13.0,61800.0
10341065,OSTK,2002-07-08,12.79,13.18,12.0,12.52,42900.0,0.0,1.0,12.79,13.18,12.0,12.52,42900.0
10341066,OSTK,2002-07-09,12.45,12.45,12.15,12.26,24400.0,0.0,1.0,12.45,12.45,12.15,12.26,24400.0
10341067,OSTK,2002-07-10,12.35,12.98,12.34,12.92,9000.0,0.0,1.0,12.35,12.98,12.34,12.92,9000.0
10341068,OSTK,2002-07-11,12.92,12.95,12.55,12.56,10300.0,0.0,1.0,12.92,12.95,12.55,12.56,10300.0
10341069,OSTK,2002-07-12,12.5,12.7,12.42,12.43,9800.0,0.0,1.0,12.5,12.7,12.42,12.43,9800.0
10341070,OSTK,2002-07-15,12.42,13.0,12.1,12.99,24100.0,0.0,1.0,12.42,13.0,12.1,12.99,24100.0
10341071,OSTK,2002-07-16,13.0,13.05,12.64,13.05,9000.0,0.0,1.0,13.0,13.05,12.64,13.05,9000.0
10341072,OSTK,2002-07-17,12.75,12.8,12.6,12.62,7300.0,0.0,1.0,12.75,12.8,12.6,12.62,7300.0
10341073,OSTK,2002-07-18,12.7,12.94,12.18,12.25,18000.0,0.0,1.0,12.7,12.94,12.18,12.25,18000.0
10341074,OSTK,2002-07-19,12.26,13.19,12.1,12.36,101000.0,0.0,1.0,12.26,13.19,12.1,12.36,101000.0
10341075,OSTK,2002-07-22,12.26,12.26,10.77,10.9,91900.0,0.0,1.0,12.26,12.26,10.77,10.9,91900.0
10341076,OSTK,2002-07-23,11.01,11.01,8.25,8.44,47900.0,0.0,1.0,11.01,11.01,8.25,8.44,47900.0
10341077,OSTK,2002-07-24,8.55,9.05,8.02,8.7,88000.0,0.0,1.0,8.55,9.05,8.02,8.7,88000.0
10341078,OSTK,2002-07-25,8.89,9.19,8.4,8.85,8200.0,0.0,1.0,8.89,9.19,8.4,8.85,8200.0
10341079,OSTK,2002-07-26,8.5,8.5,8.01,8.4,20400.0,0.0,1.0,8.5,8.5,8.01,8.4,20400.0
10341080,OSTK,2002-07-29,8.4,9.3,8.4,8.85,27400.0,0.0,1.0,8.4,9.3,8.4,8.85,27400.0
10341081,OSTK,2002-07-30,8.84,9.14,7.8,7.95,20100.0,0.0,1.0,8.84,9.14,7.8,7.95,20100.0
10341082,OSTK,2002-07-31,8.04,8.29,7.8,7.8,63700.0,0.0,1.0,8.04,8.29,7.8,7.8,63700.0
10341083,OSTK,2002-08-01,7.75,7.879,7.7,7.7,31100.0,0.0,1.0,7.75,7.879,7.7,7.7,31100.0
10341084,OSTK,2002-08-02,7.79,8.0,7.3,7.31,36900.0,0.0,1.0,7.79,8.0,7.3,7.31,36900.0
10341085,OSTK,2002-08-05,7.4,7.4,7.19,7.25,21800.0,0.0,1.0,7.4,7.4,7.19,7.25,21800.0
10341086,OSTK,2002-08-06,7.21,7.43,7.15,7.23,23200.0,0.0,1.0,7.21,7.43,7.15,7.23,23200.0
10341087,OSTK,2002-08-07,7.09,7.25,7.09,7.22,28800.0,0.0,1.0,7.09,7.25,7.09,7.22,28800.0
10341088,OSTK,2002-08-08,7.25,7.25,7.25,7.25,400.0,0.0,1.0,7.25,7.25,7.25,7.25,400.0
10341089,OSTK,2002-08-09,7.15,7.251,7.15,7.17,4500.0,0.0,1.0,7.15,7.251,7.15,7.17,4500.0
10341090,OSTK,2002-08-12,7.18,7.24,7.18,7.239,1100.0,0.0,1.0,7.18,7.24,7.18,7.239,1100.0
10341091,OSTK,2002-08-13,7.3,7.38,7.08,7.38,182700.0,0.0,1.0,7.3,7.38,7.08,7.38,182700.0
10341092,OSTK,2002-08-14,7.48,7.48,7.2,7.25,11100.0,0.0,1.0,7.48,7.48,7.2,7.25,11100.0
10341093,OSTK,2002-08-15,7.3,7.3,7.15,7.15,9900.0,0.0,1.0,7.3,7.3,7.15,7.15,9900.0
10341094,OSTK,2002-08-16,7.105,7.2,7.06,7.2,3100.0,0.0,1.0,7.105,7.2,7.06,7.2,3100.0
10341095,OSTK,2002-08-19,7.2,7.2,7.0,7.0489999999999995,3200.0,0.0,1.0,7.2,7.2,7.0,7.0489999999999995,3200.0
10341096,OSTK,2002-08-20,7.0,7.18,7.0,7.06,100600.0,0.0,1.0,7.0,7.18,7.0,7.06,100600.0
10341097,OSTK,2002-08-21,7.05,7.15,6.999,6.999,29200.0,0.0,1.0,7.05,7.15,6.999,6.999,29200.0
10341098,OSTK,2002-08-22,7.15,7.15,7.05,7.14,2500.0,0.0,1.0,7.15,7.15,7.05,7.14,2500.0
10341099,OSTK,2002-08-23,7.05,7.1,6.89,6.89,3200.0,0.0,1.0,7.05,7.1,6.89,6.89,3200.0
10341100,OSTK,2002-08-26,6.95,7.14,6.85,7.07,102800.0,0.0,1.0,6.95,7.14,6.85,7.07,102800.0
10341101,OSTK,2002-08-27,7.17,7.24,6.82,6.82,1200.0,0.0,1.0,7.17,7.24,6.82,6.82,1200.0
10341102,OSTK,2002-08-28,7.02,7.02,5.88,5.96,151100.0,0.0,1.0,7.02,7.02,5.88,5.96,151100.0
10341103,OSTK,2002-08-29,6.15,6.4,5.9,6.01,6300.0,0.0,1.0,6.15,6.4,5.9,6.01,6300.0
10341104,OSTK,2002-08-30,6.27,6.32,5.9,6.13,3200.0,0.0,1.0,6.27,6.32,5.9,6.13,3200.0
10341105,OSTK,2002-09-03,6.1,6.1,5.9,5.96,12200.0,0.0,1.0,6.1,6.1,5.9,5.96,12200.0
10341106,OSTK,2002-09-04,5.97,5.97,5.34,5.59,13400.0,0.0,1.0,5.97,5.97,5.34,5.59,13400.0
