,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
10532124,PCRX,2011-02-03,7.0,7.25,6.95,7.02,1710500.0,0.0,1.0,7.0,7.25,6.95,7.02,1710500.0
10532125,PCRX,2011-02-04,7.07,7.07,7.0,7.03,141000.0,0.0,1.0,7.07,7.07,7.0,7.03,141000.0
10532126,PCRX,2011-02-07,7.0,7.05,7.0,7.04,287800.0,0.0,1.0,7.0,7.05,7.0,7.04,287800.0
10532127,PCRX,2011-02-08,7.0,7.0,6.57,6.72,14400.0,0.0,1.0,7.0,7.0,6.57,6.72,14400.0
10532128,PCRX,2011-02-09,6.72,6.79,6.18,6.2305,13700.0,0.0,1.0,6.72,6.79,6.18,6.2305,13700.0
10532129,PCRX,2011-02-10,6.68,6.77,6.25,6.65,8200.0,0.0,1.0,6.68,6.77,6.25,6.65,8200.0
10532130,PCRX,2011-02-11,7.0,7.01,6.755,6.92,24300.0,0.0,1.0,7.0,7.01,6.755,6.92,24300.0
10532131,PCRX,2011-02-14,6.98,7.0,6.87,7.0,12200.0,0.0,1.0,6.98,7.0,6.87,7.0,12200.0
10532132,PCRX,2011-02-15,7.0,7.04,6.9,6.91,11900.0,0.0,1.0,7.0,7.04,6.9,6.91,11900.0
10532133,PCRX,2011-02-16,7.03,7.03,6.16,6.58,28500.0,0.0,1.0,7.03,7.03,6.16,6.58,28500.0
10532134,PCRX,2011-02-17,6.5,6.99,6.5,6.94,13100.0,0.0,1.0,6.5,6.99,6.5,6.94,13100.0
10532135,PCRX,2011-02-18,6.93,7.0,6.41,6.45,54200.0,0.0,1.0,6.93,7.0,6.41,6.45,54200.0
10532136,PCRX,2011-02-22,6.51,6.96,6.51,6.93,26600.0,0.0,1.0,6.51,6.96,6.51,6.93,26600.0
10532137,PCRX,2011-02-23,6.71,6.96,6.66,6.91,16800.0,0.0,1.0,6.71,6.96,6.66,6.91,16800.0
10532138,PCRX,2011-02-24,6.73,6.96,6.73,6.89,7800.0,0.0,1.0,6.73,6.96,6.73,6.89,7800.0
10532139,PCRX,2011-02-25,6.9,7.15,6.89,7.1,21600.0,0.0,1.0,6.9,7.15,6.89,7.1,21600.0
10532140,PCRX,2011-02-28,7.15,7.15,6.84,6.9,9100.0,0.0,1.0,7.15,7.15,6.84,6.9,9100.0
10532141,PCRX,2011-03-01,7.09,7.09,6.87,6.93,1100.0,0.0,1.0,7.09,7.09,6.87,6.93,1100.0
10532142,PCRX,2011-03-02,7.0,7.05,6.71,6.9411,15600.0,0.0,1.0,7.0,7.05,6.71,6.9411,15600.0
10532143,PCRX,2011-03-03,7.022,7.05,6.86,7.05,9900.0,0.0,1.0,7.022,7.05,6.86,7.05,9900.0
10532144,PCRX,2011-03-04,7.05,7.07,6.84,6.93,3600.0,0.0,1.0,7.05,7.07,6.84,6.93,3600.0
10532145,PCRX,2011-03-07,6.8,7.09,6.8,6.909,7100.0,0.0,1.0,6.8,7.09,6.8,6.909,7100.0
10532146,PCRX,2011-03-08,6.91,7.03,6.79,6.9,9400.0,0.0,1.0,6.91,7.03,6.79,6.9,9400.0
10532147,PCRX,2011-03-09,6.91,7.1,6.7911,6.81,10500.0,0.0,1.0,6.91,7.1,6.7911,6.81,10500.0
10532148,PCRX,2011-03-10,6.9,6.91,6.8,6.8,1700.0,0.0,1.0,6.9,6.91,6.8,6.8,1700.0
10532149,PCRX,2011-03-11,6.9,6.9,6.83,6.88,1000.0,0.0,1.0,6.9,6.9,6.83,6.88,1000.0
10532150,PCRX,2011-03-14,7.08,7.09,6.83,6.87,10500.0,0.0,1.0,7.08,7.09,6.83,6.87,10500.0
10532151,PCRX,2011-03-15,6.94,6.95,6.7501,6.84,9800.0,0.0,1.0,6.94,6.95,6.7501,6.84,9800.0
10532152,PCRX,2011-03-16,6.93,7.05,6.7,6.85,39200.0,0.0,1.0,6.93,7.05,6.7,6.85,39200.0
10532153,PCRX,2011-03-17,7.03,7.1,6.96,7.05,17500.0,0.0,1.0,7.03,7.1,6.96,7.05,17500.0
10532154,PCRX,2011-03-18,7.55,7.6,7.0,7.0,37400.0,0.0,1.0,7.55,7.6,7.0,7.0,37400.0
10532155,PCRX,2011-03-21,7.12,7.2,7.0,7.0,9300.0,0.0,1.0,7.12,7.2,7.0,7.0,9300.0
10532156,PCRX,2011-03-22,7.29,7.3,6.99,7.01,13000.0,0.0,1.0,7.29,7.3,6.99,7.01,13000.0
10532157,PCRX,2011-03-23,7.12,7.12,6.96,7.0499,19400.0,0.0,1.0,7.12,7.12,6.96,7.0499,19400.0
10532158,PCRX,2011-03-24,7.1,7.15,7.0,7.07,9400.0,0.0,1.0,7.1,7.15,7.0,7.07,9400.0
10532159,PCRX,2011-03-25,7.07,7.14,6.96,7.05,7900.0,0.0,1.0,7.07,7.14,6.96,7.05,7900.0
10532160,PCRX,2011-03-28,7.05,7.12,7.0,7.04,15200.0,0.0,1.0,7.05,7.12,7.0,7.04,15200.0
10532161,PCRX,2011-03-29,7.1,7.15,7.01,7.02,11400.0,0.0,1.0,7.1,7.15,7.01,7.02,11400.0
10532162,PCRX,2011-03-30,7.03,7.37,7.0,7.19,92400.0,0.0,1.0,7.03,7.37,7.0,7.19,92400.0
10532163,PCRX,2011-03-31,7.49,7.59,7.05,7.1,71400.0,0.0,1.0,7.49,7.59,7.05,7.1,71400.0
10532164,PCRX,2011-04-01,7.1770000000000005,7.4,7.03,7.03,35100.0,0.0,1.0,7.1770000000000005,7.4,7.03,7.03,35100.0
10532165,PCRX,2011-04-04,7.02,7.2039,7.02,7.12,10800.0,0.0,1.0,7.02,7.2039,7.02,7.12,10800.0
10532166,PCRX,2011-04-05,7.11,7.2099,7.04,7.04,46800.0,0.0,1.0,7.11,7.2099,7.04,7.04,46800.0
10532167,PCRX,2011-04-06,7.12,7.16,7.06,7.16,31100.0,0.0,1.0,7.12,7.16,7.06,7.16,31100.0
10532168,PCRX,2011-04-07,7.3999,7.4,7.07,7.07,31700.0,0.0,1.0,7.3999,7.4,7.07,7.07,31700.0
10532169,PCRX,2011-04-08,7.119,7.14,6.97,7.05,39700.0,0.0,1.0,7.119,7.14,6.97,7.05,39700.0
10532170,PCRX,2011-04-11,7.1,7.14,7.02,7.06,36000.0,0.0,1.0,7.1,7.14,7.02,7.06,36000.0
10532171,PCRX,2011-04-12,7.05,7.1,7.02,7.068,27900.0,0.0,1.0,7.05,7.1,7.02,7.068,27900.0
10532172,PCRX,2011-04-13,7.05,7.06,7.02,7.02,16200.0,0.0,1.0,7.05,7.06,7.02,7.02,16200.0
10532173,PCRX,2011-04-14,7.02,7.07,6.8,6.95,72400.0,0.0,1.0,7.02,7.07,6.8,6.95,72400.0
10532174,PCRX,2011-04-15,6.9,7.15,6.9,7.15,15000.0,0.0,1.0,6.9,7.15,6.9,7.15,15000.0
10532175,PCRX,2011-04-18,7.1,7.25,7.07,7.16,59100.0,0.0,1.0,7.1,7.25,7.07,7.16,59100.0
10532176,PCRX,2011-04-19,7.16,7.399,7.1,7.19,43000.0,0.0,1.0,7.16,7.399,7.1,7.19,43000.0
10532177,PCRX,2011-04-20,7.97,7.97,7.3839999999999995,7.8,65800.0,0.0,1.0,7.97,7.97,7.3839999999999995,7.8,65800.0
10532178,PCRX,2011-04-21,7.81,7.9025,7.535,7.87,53900.0,0.0,1.0,7.81,7.9025,7.535,7.87,53900.0
10532179,PCRX,2011-04-25,7.87,8.65,7.87,8.639,199300.0,0.0,1.0,7.87,8.65,7.87,8.639,199300.0
10532180,PCRX,2011-04-26,8.86,9.39,8.539,9.0,251200.0,0.0,1.0,8.86,9.39,8.539,9.0,251200.0
10532181,PCRX,2011-04-27,9.05,10.39,9.05,10.32,437000.0,0.0,1.0,9.05,10.39,9.05,10.32,437000.0
10532182,PCRX,2011-04-28,10.68,11.36,10.43,10.51,210000.0,0.0,1.0,10.68,11.36,10.43,10.51,210000.0
10532183,PCRX,2011-04-29,10.81,10.84,9.86,10.54,387000.0,0.0,1.0,10.81,10.84,9.86,10.54,387000.0
10532184,PCRX,2011-05-02,10.48,10.57,9.9,10.01,51900.0,0.0,1.0,10.48,10.57,9.9,10.01,51900.0
10532185,PCRX,2011-05-03,10.14,11.3,10.14,11.0,179000.0,0.0,1.0,10.14,11.3,10.14,11.0,179000.0
10532186,PCRX,2011-05-04,10.91,11.17,10.22,10.59,97000.0,0.0,1.0,10.91,11.17,10.22,10.59,97000.0
10532187,PCRX,2011-05-05,10.32,10.59,10.24,10.43,22500.0,0.0,1.0,10.32,10.59,10.24,10.43,22500.0
10532188,PCRX,2011-05-06,10.55,11.365,10.55,10.86,79000.0,0.0,1.0,10.55,11.365,10.55,10.86,79000.0
10532189,PCRX,2011-05-09,10.86,10.95,10.43,10.8,53300.0,0.0,1.0,10.86,10.95,10.43,10.8,53300.0
10532190,PCRX,2011-05-10,10.87,10.9,10.57,10.66,25700.0,0.0,1.0,10.87,10.9,10.57,10.66,25700.0
10532191,PCRX,2011-05-11,10.73,10.74,10.17,10.34,45000.0,0.0,1.0,10.73,10.74,10.17,10.34,45000.0
10532192,PCRX,2011-05-12,10.34,10.83,10.093,10.65,59500.0,0.0,1.0,10.34,10.83,10.093,10.65,59500.0
10532193,PCRX,2011-05-13,10.72,10.72,10.25,10.26,25100.0,0.0,1.0,10.72,10.72,10.25,10.26,25100.0
10532194,PCRX,2011-05-16,10.39,10.59,10.11,10.4,48000.0,0.0,1.0,10.39,10.59,10.11,10.4,48000.0
10532195,PCRX,2011-05-17,10.44,10.58,10.22,10.49,85400.0,0.0,1.0,10.44,10.58,10.22,10.49,85400.0
10532196,PCRX,2011-05-18,10.52,10.7,10.41,10.59,21200.0,0.0,1.0,10.52,10.7,10.41,10.59,21200.0
10532197,PCRX,2011-05-19,10.59,10.95,10.33,10.75,70800.0,0.0,1.0,10.59,10.95,10.33,10.75,70800.0
10532198,PCRX,2011-05-20,10.68,11.17,10.5565,10.97,49000.0,0.0,1.0,10.68,11.17,10.5565,10.97,49000.0
10532199,PCRX,2011-05-23,10.77,12.1799,10.75,11.9,145600.0,0.0,1.0,10.77,12.1799,10.75,11.9,145600.0
10532200,PCRX,2011-05-24,12.14,13.86,12.0545,13.83,171000.0,0.0,1.0,12.14,13.86,12.0545,13.83,171000.0
10532201,PCRX,2011-05-25,13.83,15.259,13.26,15.19,159900.0,0.0,1.0,13.83,15.259,13.26,15.19,159900.0
10532202,PCRX,2011-05-26,15.2,15.34,14.11,14.65,79100.0,0.0,1.0,15.2,15.34,14.11,14.65,79100.0
10532203,PCRX,2011-05-27,14.92,14.92,13.8,14.59,42100.0,0.0,1.0,14.92,14.92,13.8,14.59,42100.0
10532204,PCRX,2011-05-31,14.64,14.75,13.98,14.3,120200.0,0.0,1.0,14.64,14.75,13.98,14.3,120200.0
10532205,PCRX,2011-06-01,14.3,14.3,13.45,13.79,69400.0,0.0,1.0,14.3,14.3,13.45,13.79,69400.0
10532206,PCRX,2011-06-02,13.63,14.33,13.52,13.98,31100.0,0.0,1.0,13.63,14.33,13.52,13.98,31100.0
