,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
10539489,PCYC,1995-10-24,12.0,12.5,12.0,12.0,661600.0,0.0,1.0,12.0,12.5,12.0,12.0,661600.0
10539490,PCYC,1995-10-25,12.5,12.5,12.0,12.5,120100.0,0.0,1.0,12.5,12.5,12.0,12.5,120100.0
10539491,PCYC,1995-10-26,12.0,12.5,12.0,12.0,31300.0,0.0,1.0,12.0,12.5,12.0,12.0,31300.0
10539492,PCYC,1995-10-27,12.0,13.25,12.0,13.0,112300.0,0.0,1.0,12.0,13.25,12.0,13.0,112300.0
10539493,PCYC,1995-10-30,13.5,14.25,13.0,14.25,51600.0,0.0,1.0,13.5,14.25,13.0,14.25,51600.0
10539494,PCYC,1995-10-31,14.5,14.5,14.0,14.5,27300.0,0.0,1.0,14.5,14.5,14.0,14.5,27300.0
10539495,PCYC,1995-11-01,14.5,14.5,13.75,14.25,23400.0,0.0,1.0,14.5,14.5,13.75,14.25,23400.0
10539496,PCYC,1995-11-02,14.25,14.25,13.5,14.0,3400.0,0.0,1.0,14.25,14.25,13.5,14.0,3400.0
10539497,PCYC,1995-11-03,13.25,13.25,12.38,12.5,98500.0,0.0,1.0,13.25,13.25,12.38,12.5,98500.0
10539498,PCYC,1995-11-06,12.5,12.5,12.5,12.5,0.0,0.0,1.0,12.5,12.5,12.5,12.5,0.0
10539499,PCYC,1995-11-07,13.0,13.0,12.5,12.63,33400.0,0.0,1.0,13.0,13.0,12.5,12.63,33400.0
10539500,PCYC,1995-11-08,12.88,13.75,12.75,13.75,116500.0,0.0,1.0,12.88,13.75,12.75,13.75,116500.0
10539501,PCYC,1995-11-09,14.0,15.25,13.75,15.25,85900.0,0.0,1.0,14.0,15.25,13.75,15.25,85900.0
10539502,PCYC,1995-11-10,15.25,15.25,14.5,15.0,43800.0,0.0,1.0,15.25,15.25,14.5,15.0,43800.0
10539503,PCYC,1995-11-13,15.0,15.69,15.0,15.31,12200.0,0.0,1.0,15.0,15.69,15.0,15.31,12200.0
10539504,PCYC,1995-11-14,15.0,15.75,15.0,15.25,15800.0,0.0,1.0,15.0,15.75,15.0,15.25,15800.0
10539505,PCYC,1995-11-15,15.25,15.38,15.25,15.38,11800.0,0.0,1.0,15.25,15.38,15.25,15.38,11800.0
10539506,PCYC,1995-11-16,15.63,15.63,15.25,15.25,15400.0,0.0,1.0,15.63,15.63,15.25,15.25,15400.0
10539507,PCYC,1995-11-17,15.5,15.5,15.38,15.38,2000.0,0.0,1.0,15.5,15.5,15.38,15.38,2000.0
10539508,PCYC,1995-11-20,15.75,16.0,15.75,16.0,10900.0,0.0,1.0,15.75,16.0,15.75,16.0,10900.0
10539509,PCYC,1995-11-21,16.25,16.25,15.5,15.5,5400.0,0.0,1.0,16.25,16.25,15.5,15.5,5400.0
10539510,PCYC,1995-11-22,15.5,16.25,15.5,16.25,1000.0,0.0,1.0,15.5,16.25,15.5,16.25,1000.0
10539511,PCYC,1995-11-24,16.25,16.25,16.25,16.25,0.0,0.0,1.0,16.25,16.25,16.25,16.25,0.0
10539512,PCYC,1995-11-27,15.5,16.75,15.5,16.75,49600.0,0.0,1.0,15.5,16.75,15.5,16.75,49600.0
10539513,PCYC,1995-11-28,16.75,16.75,16.25,16.25,600.0,0.0,1.0,16.75,16.75,16.25,16.25,600.0
10539514,PCYC,1995-11-29,16.25,16.25,16.0,16.0,7000.0,0.0,1.0,16.25,16.25,16.0,16.0,7000.0
10539515,PCYC,1995-11-30,16.0,16.0,15.38,15.38,25300.0,0.0,1.0,16.0,16.0,15.38,15.38,25300.0
10539516,PCYC,1995-12-01,15.75,16.0,15.5,15.5,2000.0,0.0,1.0,15.75,16.0,15.5,15.5,2000.0
10539517,PCYC,1995-12-04,15.5,15.5,15.5,15.5,0.0,0.0,1.0,15.5,15.5,15.5,15.5,0.0
10539518,PCYC,1995-12-05,15.5,15.5,15.0,15.0,700.0,0.0,1.0,15.5,15.5,15.0,15.0,700.0
10539519,PCYC,1995-12-06,15.25,15.38,15.0,15.0,8800.0,0.0,1.0,15.25,15.38,15.0,15.0,8800.0
10539520,PCYC,1995-12-07,15.25,15.25,15.25,15.25,1300.0,0.0,1.0,15.25,15.25,15.25,15.25,1300.0
10539521,PCYC,1995-12-08,15.0,15.0,15.0,15.0,2500.0,0.0,1.0,15.0,15.0,15.0,15.0,2500.0
