,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
10900576,PLMT,2011-08-08,10.3,10.3,10.2,10.2,1300.0,0.0,1.0,10.0947501036677,10.0947501036677,9.996742821107821,9.996742821107821,1300.0
10900577,PLMT,2011-08-09,10.4,10.4,10.4,10.4,7500.0,0.0,1.0,10.192757386227582,10.192757386227582,10.192757386227582,10.192757386227582,7500.0
10900578,PLMT,2011-08-10,10.45,10.45,10.45,10.45,100.0,0.0,1.0,10.241761027507524,10.241761027507524,10.241761027507524,10.241761027507524,100.0
10900579,PLMT,2011-08-11,10.45,10.45,10.45,10.45,0.0,0.0,1.0,10.241761027507524,10.241761027507524,10.241761027507524,10.241761027507524,0.0
10900580,PLMT,2011-08-12,10.45,10.45,10.45,10.45,0.0,0.0,1.0,10.241761027507524,10.241761027507524,10.241761027507524,10.241761027507524,0.0
10900581,PLMT,2011-08-15,10.45,10.45,10.45,10.45,0.0,0.0,1.0,10.241761027507524,10.241761027507524,10.241761027507524,10.241761027507524,0.0
10900582,PLMT,2011-08-16,10.45,10.45,10.45,10.45,0.0,0.0,1.0,10.241761027507524,10.241761027507524,10.241761027507524,10.241761027507524,0.0
10900583,PLMT,2011-08-17,10.45,10.45,10.45,10.45,500.0,0.0,1.0,10.241761027507524,10.241761027507524,10.241761027507524,10.241761027507524,500.0
10900584,PLMT,2011-08-18,10.45,10.45,10.45,10.45,0.0,0.0,1.0,10.241761027507524,10.241761027507524,10.241761027507524,10.241761027507524,0.0
10900585,PLMT,2011-08-19,10.45,10.45,10.45,10.45,0.0,0.0,1.0,10.241761027507524,10.241761027507524,10.241761027507524,10.241761027507524,0.0
10900586,PLMT,2011-08-22,10.65,10.65,10.15,10.15,1600.0,0.0,1.0,10.437775592627283,10.437775592627283,9.947739179827881,9.947739179827881,1600.0
10900587,PLMT,2011-08-23,10.15,10.15,10.15,10.15,0.0,0.0,1.0,9.947739179827881,9.947739179827881,9.947739179827881,9.947739179827881,0.0
10900588,PLMT,2011-08-24,10.25,10.25,10.25,10.25,600.0,0.0,1.0,10.04574646238776,10.04574646238776,10.04574646238776,10.04574646238776,600.0
10900589,PLMT,2011-08-25,10.25,10.25,10.25,10.25,0.0,0.0,1.0,10.04574646238776,10.04574646238776,10.04574646238776,10.04574646238776,0.0
10900590,PLMT,2011-08-26,10.1,10.1,10.1,10.1,1000.0,0.0,1.0,9.898735538547939,9.898735538547939,9.898735538547939,9.898735538547939,1000.0
10900591,PLMT,2011-08-29,10.05,10.05,10.05,10.05,100.0,0.0,1.0,9.849731897267999,9.849731897267999,9.849731897267999,9.849731897267999,100.0
10900592,PLMT,2011-08-30,10.05,10.05,10.05,10.05,0.0,0.0,1.0,9.849731897267999,9.849731897267999,9.849731897267999,9.849731897267999,0.0
10900593,PLMT,2011-08-31,10.05,10.05,10.05,10.05,0.0,0.0,1.0,9.849731897267999,9.849731897267999,9.849731897267999,9.849731897267999,0.0
10900594,PLMT,2011-09-01,10.05,10.05,10.05,10.05,0.0,0.0,1.0,9.849731897267999,9.849731897267999,9.849731897267999,9.849731897267999,0.0
10900595,PLMT,2011-09-02,10.05,10.05,10.05,10.05,0.0,0.0,1.0,9.849731897267999,9.849731897267999,9.849731897267999,9.849731897267999,0.0
