,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
11024511,PODD,2007-05-15,17.0,17.0,15.77,15.96,4850000.0,0.0,1.0,17.0,17.0,15.77,15.96,4850000.0
11024512,PODD,2007-05-16,15.95,15.97,15.03,15.45,357600.0,0.0,1.0,15.95,15.97,15.03,15.45,357600.0
11024513,PODD,2007-05-17,15.29,15.59,15.05,15.13,426700.0,0.0,1.0,15.29,15.59,15.05,15.13,426700.0
11024514,PODD,2007-05-18,15.05,15.29,15.05,15.18,140600.0,0.0,1.0,15.05,15.29,15.05,15.18,140600.0
11024515,PODD,2007-05-21,15.23,15.63,15.1,15.63,157200.0,0.0,1.0,15.23,15.63,15.1,15.63,157200.0
11024516,PODD,2007-05-22,15.59,15.75,15.32,15.62,141900.0,0.0,1.0,15.59,15.75,15.32,15.62,141900.0
11024517,PODD,2007-05-23,15.75,15.75,15.05,15.25,103400.0,0.0,1.0,15.75,15.75,15.05,15.25,103400.0
11024518,PODD,2007-05-24,15.34,15.34,14.85,15.22,199700.0,0.0,1.0,15.34,15.34,14.85,15.22,199700.0
11024519,PODD,2007-05-25,15.23,15.23,15.1,15.17,43800.0,0.0,1.0,15.23,15.23,15.1,15.17,43800.0
11024520,PODD,2007-05-29,15.15,15.3,15.05,15.27,138500.0,0.0,1.0,15.15,15.3,15.05,15.27,138500.0
11024521,PODD,2007-05-30,15.0,15.14,14.99,15.1,120200.0,0.0,1.0,15.0,15.14,14.99,15.1,120200.0
11024522,PODD,2007-05-31,14.9,15.01,14.57,14.82,151600.0,0.0,1.0,14.9,15.01,14.57,14.82,151600.0
11024523,PODD,2007-06-01,15.0,15.04,14.8,15.0,81700.0,0.0,1.0,15.0,15.04,14.8,15.0,81700.0
11024524,PODD,2007-06-04,14.99,15.0,14.8,15.0,100600.0,0.0,1.0,14.99,15.0,14.8,15.0,100600.0
11024525,PODD,2007-06-05,15.0,15.03,14.62,14.76,120100.0,0.0,1.0,15.0,15.03,14.62,14.76,120100.0
11024526,PODD,2007-06-06,14.6,14.6,14.25,14.28,88900.0,0.0,1.0,14.6,14.6,14.25,14.28,88900.0
11024527,PODD,2007-06-07,14.03,14.36,13.88,14.0,99800.0,0.0,1.0,14.03,14.36,13.88,14.0,99800.0
11024528,PODD,2007-06-08,13.92,14.12,13.9,14.1,61400.0,0.0,1.0,13.92,14.12,13.9,14.1,61400.0
11024529,PODD,2007-06-11,14.14,14.72,14.1,14.49,47700.0,0.0,1.0,14.14,14.72,14.1,14.49,47700.0
11024530,PODD,2007-06-12,14.48,14.61,14.25,14.25,39700.0,0.0,1.0,14.48,14.61,14.25,14.25,39700.0
11024531,PODD,2007-06-13,14.26,14.5,14.24,14.25,70300.0,0.0,1.0,14.26,14.5,14.24,14.25,70300.0
