,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
11186785,PRSC,2003-08-20,13.66,14.64,13.6,13.8,359200.0,0.0,1.0,13.66,14.64,13.6,13.8,359200.0
11186786,PRSC,2003-08-21,13.97,13.97,13.25,13.29,278100.0,0.0,1.0,13.97,13.97,13.25,13.29,278100.0
11186787,PRSC,2003-08-22,13.25,13.85,13.25,13.85,227700.0,0.0,1.0,13.25,13.85,13.25,13.85,227700.0
11186788,PRSC,2003-08-25,13.85,13.97,13.35,13.63,51900.0,0.0,1.0,13.85,13.97,13.35,13.63,51900.0
11186789,PRSC,2003-08-26,13.57,13.64,13.4,13.5,65400.0,0.0,1.0,13.57,13.64,13.4,13.5,65400.0
11186790,PRSC,2003-08-27,13.5,13.59,13.24,13.4,100200.0,0.0,1.0,13.5,13.59,13.24,13.4,100200.0
11186791,PRSC,2003-08-28,13.4,13.5,13.25,13.39,57100.0,0.0,1.0,13.4,13.5,13.25,13.39,57100.0
11186792,PRSC,2003-08-29,13.25,13.7,13.25,13.6,37300.0,0.0,1.0,13.25,13.7,13.25,13.6,37300.0
11186793,PRSC,2003-09-02,13.5,13.6,12.8,13.0,219300.0,0.0,1.0,13.5,13.6,12.8,13.0,219300.0
11186794,PRSC,2003-09-03,12.95,13.39,12.85,13.05,183300.0,0.0,1.0,12.95,13.39,12.85,13.05,183300.0
11186795,PRSC,2003-09-04,13.05,13.3,13.0,13.25,32400.0,0.0,1.0,13.05,13.3,13.0,13.25,32400.0
11186796,PRSC,2003-09-05,13.3,13.38,13.2,13.38,72700.0,0.0,1.0,13.3,13.38,13.2,13.38,72700.0
11186797,PRSC,2003-09-08,13.35,13.55,13.35,13.45,62300.0,0.0,1.0,13.35,13.55,13.35,13.45,62300.0
11186798,PRSC,2003-09-09,13.4,13.49,13.4,13.44,32500.0,0.0,1.0,13.4,13.49,13.4,13.44,32500.0
11186799,PRSC,2003-09-10,13.45,13.49,13.4,13.48,25600.0,0.0,1.0,13.45,13.49,13.4,13.48,25600.0
11186800,PRSC,2003-09-11,13.4,13.61,13.4,13.55,78600.0,0.0,1.0,13.4,13.61,13.4,13.55,78600.0
11186801,PRSC,2003-09-12,13.63,13.69,13.4,13.4,23900.0,0.0,1.0,13.63,13.69,13.4,13.4,23900.0
11186802,PRSC,2003-09-15,13.35,13.64,13.3,13.63,32900.0,0.0,1.0,13.35,13.64,13.3,13.63,32900.0
11186803,PRSC,2003-09-16,13.6,14.06,13.5,14.06,90100.0,0.0,1.0,13.6,14.06,13.5,14.06,90100.0
11186804,PRSC,2003-09-17,13.9,15.25,13.9,14.94,60600.0,0.0,1.0,13.9,15.25,13.9,14.94,60600.0
11186805,PRSC,2003-09-18,14.94,15.0,14.49,14.79,45000.0,0.0,1.0,14.94,15.0,14.49,14.79,45000.0
11186806,PRSC,2003-09-19,14.65,14.89,13.75,14.88,19400.0,0.0,1.0,14.65,14.89,13.75,14.88,19400.0
11186807,PRSC,2003-09-22,14.89,15.12,14.52,15.059000000000001,38200.0,0.0,1.0,14.89,15.12,14.52,15.059000000000001,38200.0
11186808,PRSC,2003-09-23,15.09,16.3,15.0,15.9,15200.0,0.0,1.0,15.09,16.3,15.0,15.9,15200.0
11186809,PRSC,2003-09-24,16.05,16.05,14.85,15.0,27100.0,0.0,1.0,16.05,16.05,14.85,15.0,27100.0
11186810,PRSC,2003-09-25,15.47,15.75,15.47,15.75,2800.0,0.0,1.0,15.47,15.75,15.47,15.75,2800.0
11186811,PRSC,2003-09-26,15.75,16.1,15.75,15.94,59400.0,0.0,1.0,15.75,16.1,15.75,15.94,59400.0
11186812,PRSC,2003-09-29,16.0,16.05,15.49,15.8,85000.0,0.0,1.0,16.0,16.05,15.49,15.8,85000.0
11186813,PRSC,2003-09-30,15.8,16.0,15.44,15.8,10700.0,0.0,1.0,15.8,16.0,15.44,15.8,10700.0
11186814,PRSC,2003-10-01,15.7,15.9,15.3,15.3,59900.0,0.0,1.0,15.7,15.9,15.3,15.3,59900.0
11186815,PRSC,2003-10-02,15.75,15.75,15.3,15.3,8200.0,0.0,1.0,15.75,15.75,15.3,15.3,8200.0
11186816,PRSC,2003-10-03,15.75,15.9,15.2,15.2,34600.0,0.0,1.0,15.75,15.9,15.2,15.2,34600.0
11186817,PRSC,2003-10-06,15.43,15.75,15.25,15.25,25200.0,0.0,1.0,15.43,15.75,15.25,15.25,25200.0
11186818,PRSC,2003-10-07,15.6,15.6,14.72,14.72,15300.0,0.0,1.0,15.6,15.6,14.72,14.72,15300.0
11186819,PRSC,2003-10-08,15.44,15.44,14.25,14.25,28500.0,0.0,1.0,15.44,15.44,14.25,14.25,28500.0
11186820,PRSC,2003-10-09,14.99,15.4,14.5,15.12,141800.0,0.0,1.0,14.99,15.4,14.5,15.12,141800.0
11186821,PRSC,2003-10-10,15.4,15.4,15.0,15.01,2200.0,0.0,1.0,15.4,15.4,15.0,15.01,2200.0
11186822,PRSC,2003-10-13,15.4,15.4,15.13,15.17,10000.0,0.0,1.0,15.4,15.4,15.13,15.17,10000.0
11186823,PRSC,2003-10-14,15.36,15.5,15.14,15.26,7200.0,0.0,1.0,15.36,15.5,15.14,15.26,7200.0
11186824,PRSC,2003-10-15,15.55,15.6,15.26,15.26,32200.0,0.0,1.0,15.55,15.6,15.26,15.26,32200.0
11186825,PRSC,2003-10-16,15.34,15.34,15.0,15.0,4100.0,0.0,1.0,15.34,15.34,15.0,15.0,4100.0
11186826,PRSC,2003-10-17,15.07,15.5,15.0,15.0,2700.0,0.0,1.0,15.07,15.5,15.0,15.0,2700.0
11186827,PRSC,2003-10-20,15.13,15.13,15.05,15.13,1400.0,0.0,1.0,15.13,15.13,15.05,15.13,1400.0
11186828,PRSC,2003-10-21,15.08,15.08,14.8,14.8,5200.0,0.0,1.0,15.08,15.08,14.8,14.8,5200.0
11186829,PRSC,2003-10-22,14.76,15.39,14.75,15.25,79800.0,0.0,1.0,14.76,15.39,14.75,15.25,79800.0
11186830,PRSC,2003-10-23,15.1,15.25,14.85,14.85,3100.0,0.0,1.0,15.1,15.25,14.85,14.85,3100.0
11186831,PRSC,2003-10-24,15.2,15.2,15.2,15.2,100.0,0.0,1.0,15.2,15.2,15.2,15.2,100.0
11186832,PRSC,2003-10-27,15.3,15.3,14.9,15.05,34900.0,0.0,1.0,15.3,15.3,14.9,15.05,34900.0
11186833,PRSC,2003-10-28,14.970999999999998,14.970999999999998,14.95,14.970999999999998,500.0,0.0,1.0,14.970999999999998,14.970999999999998,14.95,14.970999999999998,500.0
11186834,PRSC,2003-10-29,15.05,16.2,14.97,16.15,72600.0,0.0,1.0,15.05,16.2,14.97,16.15,72600.0
11186835,PRSC,2003-10-30,16.1,16.6,16.0,16.1,20300.0,0.0,1.0,16.1,16.6,16.0,16.1,20300.0
11186836,PRSC,2003-10-31,16.5,16.5,15.95,16.0,38900.0,0.0,1.0,16.5,16.5,15.95,16.0,38900.0
11186837,PRSC,2003-11-03,16.5,16.5,15.65,15.65,23000.0,0.0,1.0,16.5,16.5,15.65,15.65,23000.0
11186838,PRSC,2003-11-04,16.4,16.4,16.0,16.4,44900.0,0.0,1.0,16.4,16.4,16.0,16.4,44900.0
11186839,PRSC,2003-11-05,16.5,16.5,16.2,16.2,76000.0,0.0,1.0,16.5,16.5,16.2,16.2,76000.0
11186840,PRSC,2003-11-06,16.000999999999998,16.1,15.25,15.84,5600.0,0.0,1.0,16.000999999999998,16.1,15.25,15.84,5600.0
11186841,PRSC,2003-11-07,16.0,16.49,15.85,15.95,17000.0,0.0,1.0,16.0,16.49,15.85,15.95,17000.0
11186842,PRSC,2003-11-10,15.85,15.96,15.8,15.9,3200.0,0.0,1.0,15.85,15.96,15.8,15.9,3200.0
11186843,PRSC,2003-11-11,15.9,15.9,15.05,15.05,6500.0,0.0,1.0,15.9,15.9,15.05,15.05,6500.0
11186844,PRSC,2003-11-12,15.62,15.9,14.95,15.15,127700.0,0.0,1.0,15.62,15.9,14.95,15.15,127700.0
11186845,PRSC,2003-11-13,15.0,15.39,15.0,15.39,69200.0,0.0,1.0,15.0,15.39,15.0,15.39,69200.0
11186846,PRSC,2003-11-14,15.5,16.0,15.0,15.8,26400.0,0.0,1.0,15.5,16.0,15.0,15.8,26400.0
11186847,PRSC,2003-11-17,15.300999999999998,16.0,15.300999999999998,16.0,1500.0,0.0,1.0,15.300999999999998,16.0,15.300999999999998,16.0,1500.0
11186848,PRSC,2003-11-18,16.0,16.9,15.84,16.1,64100.0,0.0,1.0,16.0,16.9,15.84,16.1,64100.0
11186849,PRSC,2003-11-19,16.299,16.3,16.0,16.3,7000.0,0.0,1.0,16.299,16.3,16.0,16.3,7000.0
11186850,PRSC,2003-11-20,16.299,16.299,16.299,16.299,100.0,0.0,1.0,16.299,16.299,16.299,16.299,100.0
11186851,PRSC,2003-11-21,16.2,16.2,16.2,16.2,1300.0,0.0,1.0,16.2,16.2,16.2,16.2,1300.0
11186852,PRSC,2003-11-24,15.97,16.2,15.35,15.35,15900.0,0.0,1.0,15.97,16.2,15.35,15.35,15900.0
11186853,PRSC,2003-11-25,15.75,16.4,15.75,16.4,71100.0,0.0,1.0,15.75,16.4,15.75,16.4,71100.0
11186854,PRSC,2003-11-26,16.4,16.4,16.01,16.399,3500.0,0.0,1.0,16.4,16.4,16.01,16.399,3500.0
11186855,PRSC,2003-11-28,16.2,17.0,16.2,17.0,40000.0,0.0,1.0,16.2,17.0,16.2,17.0,40000.0
11186856,PRSC,2003-12-01,16.52,17.0,16.27,17.0,22500.0,0.0,1.0,16.52,17.0,16.27,17.0,22500.0
11186857,PRSC,2003-12-02,17.02,17.99,16.94,17.6,80700.0,0.0,1.0,17.02,17.99,16.94,17.6,80700.0
11186858,PRSC,2003-12-03,17.6,17.79,17.5,17.5,55000.0,0.0,1.0,17.6,17.79,17.5,17.5,55000.0
11186859,PRSC,2003-12-04,17.44,17.5,17.43,17.49,24400.0,0.0,1.0,17.44,17.5,17.43,17.49,24400.0
11186860,PRSC,2003-12-05,17.49,18.04,17.24,17.58,10700.0,0.0,1.0,17.49,18.04,17.24,17.58,10700.0
11186861,PRSC,2003-12-08,17.67,17.67,17.15,17.15,3500.0,0.0,1.0,17.67,17.67,17.15,17.15,3500.0
11186862,PRSC,2003-12-09,17.15,17.25,17.15,17.25,5100.0,0.0,1.0,17.15,17.25,17.15,17.25,5100.0
11186863,PRSC,2003-12-10,17.93,17.95,16.85,16.9,7400.0,0.0,1.0,17.93,17.95,16.85,16.9,7400.0
11186864,PRSC,2003-12-11,17.12,17.12,17.0,17.0,2900.0,0.0,1.0,17.12,17.12,17.0,17.0,2900.0
11186865,PRSC,2003-12-12,16.8,16.8,15.69,16.2,20500.0,0.0,1.0,16.8,16.8,15.69,16.2,20500.0
11186866,PRSC,2003-12-15,15.71,16.2,15.43,15.6,7400.0,0.0,1.0,15.71,16.2,15.43,15.6,7400.0
11186867,PRSC,2003-12-16,15.4,16.0,15.4,16.0,14900.0,0.0,1.0,15.4,16.0,15.4,16.0,14900.0
11186868,PRSC,2003-12-17,16.39,16.39,15.88,15.88,7900.0,0.0,1.0,16.39,16.39,15.88,15.88,7900.0
11186869,PRSC,2003-12-18,16.2,16.88,15.89,16.3,10800.0,0.0,1.0,16.2,16.88,15.89,16.3,10800.0
11186870,PRSC,2003-12-19,16.75,16.98,16.12,16.12,3700.0,0.0,1.0,16.75,16.98,16.12,16.12,3700.0
11186871,PRSC,2003-12-22,16.36,16.86,15.72,16.71,14800.0,0.0,1.0,16.36,16.86,15.72,16.71,14800.0
11186872,PRSC,2003-12-23,16.72,16.72,15.55,16.35,45200.0,0.0,1.0,16.72,16.72,15.55,16.35,45200.0
11186873,PRSC,2003-12-24,16.66,16.66,16.48,16.48,1300.0,0.0,1.0,16.66,16.66,16.48,16.48,1300.0
11186874,PRSC,2003-12-26,16.48,16.48,16.48,16.48,0.0,0.0,1.0,16.48,16.48,16.48,16.48,0.0
11186875,PRSC,2003-12-29,16.55,16.55,16.07,16.25,8500.0,0.0,1.0,16.55,16.55,16.07,16.25,8500.0
11186876,PRSC,2003-12-30,16.25,16.25,16.05,16.1,5000.0,0.0,1.0,16.25,16.25,16.05,16.1,5000.0
11186877,PRSC,2003-12-31,16.43,16.43,16.18,16.33,27100.0,0.0,1.0,16.43,16.43,16.18,16.33,27100.0
11186878,PRSC,2004-01-02,16.35,16.89,16.1,16.1,16700.0,0.0,1.0,16.35,16.89,16.1,16.1,16700.0
11186879,PRSC,2004-01-05,16.0,16.79,15.77,16.5,30900.0,0.0,1.0,16.0,16.79,15.77,16.5,30900.0
11186880,PRSC,2004-01-06,16.01,16.5,15.93,16.5,125900.0,0.0,1.0,16.01,16.5,15.93,16.5,125900.0
11186881,PRSC,2004-01-07,16.11,17.27,16.11,17.0,297500.0,0.0,1.0,16.11,17.27,16.11,17.0,297500.0
11186882,PRSC,2004-01-08,17.25,17.31,16.85,17.13,65500.0,0.0,1.0,17.25,17.31,16.85,17.13,65500.0
11186883,PRSC,2004-01-09,17.18,17.19,17.0,17.08,46200.0,0.0,1.0,17.18,17.19,17.0,17.08,46200.0
11186884,PRSC,2004-01-12,17.05,17.1,16.56,17.099,128600.0,0.0,1.0,17.05,17.1,16.56,17.099,128600.0
11186885,PRSC,2004-01-13,16.7,17.2,16.7,17.2,4400.0,0.0,1.0,16.7,17.2,16.7,17.2,4400.0
11186886,PRSC,2004-01-14,17.2,17.2,17.0,17.1,92600.0,0.0,1.0,17.2,17.2,17.0,17.1,92600.0
11186887,PRSC,2004-01-15,17.07,17.07,16.6,16.98,9600.0,0.0,1.0,17.07,17.07,16.6,16.98,9600.0
11186888,PRSC,2004-01-16,16.9,17.05,16.9,17.04,24600.0,0.0,1.0,16.9,17.05,16.9,17.04,24600.0
11186889,PRSC,2004-01-20,17.02,17.13,16.95,17.07,24400.0,0.0,1.0,17.02,17.13,16.95,17.07,24400.0
11186890,PRSC,2004-01-21,17.17,17.34,16.962,17.1,25000.0,0.0,1.0,17.17,17.34,16.962,17.1,25000.0
11186891,PRSC,2004-01-22,17.14,17.15,16.95,17.13,74300.0,0.0,1.0,17.14,17.15,16.95,17.13,74300.0
11186892,PRSC,2004-01-23,17.1,17.3,16.94,17.0,26600.0,0.0,1.0,17.1,17.3,16.94,17.0,26600.0
11186893,PRSC,2004-01-26,16.89,17.1,16.61,16.75,12300.0,0.0,1.0,16.89,17.1,16.61,16.75,12300.0
11186894,PRSC,2004-01-27,16.53,17.5,16.53,17.1,54100.0,0.0,1.0,16.53,17.5,16.53,17.1,54100.0
11186895,PRSC,2004-01-28,17.3,17.3,16.81,16.81,10000.0,0.0,1.0,17.3,17.3,16.81,16.81,10000.0
11186896,PRSC,2004-01-29,16.91,17.1,16.91,16.95,5900.0,0.0,1.0,16.91,17.1,16.91,16.95,5900.0
11186897,PRSC,2004-01-30,17.11,17.16,16.94,16.98,89400.0,0.0,1.0,17.11,17.16,16.94,16.98,89400.0
11186898,PRSC,2004-02-02,17.0,17.05,16.9,17.0,7700.0,0.0,1.0,17.0,17.05,16.9,17.0,7700.0
11186899,PRSC,2004-02-03,17.2,17.2,16.91,17.1,11000.0,0.0,1.0,17.2,17.2,16.91,17.1,11000.0
11186900,PRSC,2004-02-04,17.03,17.05,16.76,16.76,9800.0,0.0,1.0,17.03,17.05,16.76,16.76,9800.0
11186901,PRSC,2004-02-05,16.55,17.33,16.26,17.33,21600.0,0.0,1.0,16.55,17.33,16.26,17.33,21600.0
11186902,PRSC,2004-02-06,16.9,17.69,16.9,17.09,26400.0,0.0,1.0,16.9,17.69,16.9,17.09,26400.0
11186903,PRSC,2004-02-09,17.01,17.09,16.590999999999998,16.88,4400.0,0.0,1.0,17.01,17.09,16.590999999999998,16.88,4400.0
11186904,PRSC,2004-02-10,17.11,17.11,16.5,16.73,113400.0,0.0,1.0,17.11,17.11,16.5,16.73,113400.0
11186905,PRSC,2004-02-11,16.6,16.699,16.25,16.5,53500.0,0.0,1.0,16.6,16.699,16.25,16.5,53500.0
11186906,PRSC,2004-02-12,16.47,16.49,16.41,16.41,10800.0,0.0,1.0,16.47,16.49,16.41,16.41,10800.0
11186907,PRSC,2004-02-13,16.41,16.5,16.4,16.44,44900.0,0.0,1.0,16.41,16.5,16.4,16.44,44900.0
11186908,PRSC,2004-02-17,16.44,16.44,15.52,16.0,112600.0,0.0,1.0,16.44,16.44,15.52,16.0,112600.0
11186909,PRSC,2004-02-18,15.9,16.0,15.58,15.95,54300.0,0.0,1.0,15.9,16.0,15.58,15.95,54300.0
11186910,PRSC,2004-02-19,16.0,16.34,15.9,16.062,64600.0,0.0,1.0,16.0,16.34,15.9,16.062,64600.0
11186911,PRSC,2004-02-20,16.07,16.07,16.0,16.011,35600.0,0.0,1.0,16.07,16.07,16.0,16.011,35600.0
11186912,PRSC,2004-02-23,16.0,16.18,15.999,16.04,28500.0,0.0,1.0,16.0,16.18,15.999,16.04,28500.0
11186913,PRSC,2004-02-24,16.0,16.14,15.93,16.0,13700.0,0.0,1.0,16.0,16.14,15.93,16.0,13700.0
11186914,PRSC,2004-02-25,16.14,16.14,16.0,16.0,9600.0,0.0,1.0,16.14,16.14,16.0,16.0,9600.0
11186915,PRSC,2004-02-26,16.29,16.6,16.04,16.34,37100.0,0.0,1.0,16.29,16.6,16.04,16.34,37100.0
11186916,PRSC,2004-02-27,16.37,16.37,16.22,16.22,8500.0,0.0,1.0,16.37,16.37,16.22,16.22,8500.0
11186917,PRSC,2004-03-01,16.08,16.2,16.05,16.15,73600.0,0.0,1.0,16.08,16.2,16.05,16.15,73600.0
11186918,PRSC,2004-03-02,16.25,16.5,16.25,16.48,8200.0,0.0,1.0,16.25,16.5,16.25,16.48,8200.0
11186919,PRSC,2004-03-03,16.05,16.41,16.05,16.348,3500.0,0.0,1.0,16.05,16.41,16.05,16.348,3500.0
11186920,PRSC,2004-03-04,16.25,16.25,15.800999999999998,15.85,12800.0,0.0,1.0,16.25,16.25,15.800999999999998,15.85,12800.0
11186921,PRSC,2004-03-05,16.19,16.5,16.11,16.11,19400.0,0.0,1.0,16.19,16.5,16.11,16.11,19400.0
11186922,PRSC,2004-03-08,16.42,16.5,16.17,16.17,13100.0,0.0,1.0,16.42,16.5,16.17,16.17,13100.0
11186923,PRSC,2004-03-09,15.86,16.34,15.86,16.34,26900.0,0.0,1.0,15.86,16.34,15.86,16.34,26900.0
11186924,PRSC,2004-03-10,16.39,16.4,16.0,16.0,1100.0,0.0,1.0,16.39,16.4,16.0,16.0,1100.0
11186925,PRSC,2004-03-11,15.86,15.88,15.86,15.86,134100.0,0.0,1.0,15.86,15.88,15.86,15.86,134100.0
11186926,PRSC,2004-03-12,15.86,16.31,15.85,15.96,4200.0,0.0,1.0,15.86,16.31,15.85,15.96,4200.0
11186927,PRSC,2004-03-15,16.44,16.5,16.03,16.39,6000.0,0.0,1.0,16.44,16.5,16.03,16.39,6000.0
11186928,PRSC,2004-03-16,16.2,16.2,15.43,15.8,20800.0,0.0,1.0,16.2,16.2,15.43,15.8,20800.0
11186929,PRSC,2004-03-17,15.99,16.5,15.89,15.9,14800.0,0.0,1.0,15.99,16.5,15.89,15.9,14800.0
11186930,PRSC,2004-03-18,15.89,15.95,15.42,15.7,12900.0,0.0,1.0,15.89,15.95,15.42,15.7,12900.0
11186931,PRSC,2004-03-19,15.51,15.69,15.09,15.21,53100.0,0.0,1.0,15.51,15.69,15.09,15.21,53100.0
11186932,PRSC,2004-03-22,15.95,15.95,15.65,15.65,14000.0,0.0,1.0,15.95,15.95,15.65,15.65,14000.0
11186933,PRSC,2004-03-23,15.71,16.18,14.98,16.07,43600.0,0.0,1.0,15.71,16.18,14.98,16.07,43600.0
11186934,PRSC,2004-03-24,16.01,16.1,15.71,15.78,50600.0,0.0,1.0,16.01,16.1,15.71,15.78,50600.0
11186935,PRSC,2004-03-25,15.8,16.58,15.46,16.58,22800.0,0.0,1.0,15.8,16.58,15.46,16.58,22800.0
11186936,PRSC,2004-03-26,16.53,16.53,15.53,15.63,15900.0,0.0,1.0,16.53,16.53,15.53,15.63,15900.0
11186937,PRSC,2004-03-29,15.48,15.85,15.02,15.85,2400.0,0.0,1.0,15.48,15.85,15.02,15.85,2400.0
11186938,PRSC,2004-03-30,16.28,18.76,16.25,17.8,1045500.0,0.0,1.0,16.28,18.76,16.25,17.8,1045500.0
11186939,PRSC,2004-03-31,17.7,18.2,17.25,17.82,209600.0,0.0,1.0,17.7,18.2,17.25,17.82,209600.0
11186940,PRSC,2004-04-01,17.7,18.0,17.15,17.66,61400.0,0.0,1.0,17.7,18.0,17.15,17.66,61400.0
11186941,PRSC,2004-04-02,17.6,18.3,17.5,17.99,94800.0,0.0,1.0,17.6,18.3,17.5,17.99,94800.0
11186942,PRSC,2004-04-05,18.25,18.25,17.36,17.65,61700.0,0.0,1.0,18.25,18.25,17.36,17.65,61700.0
11186943,PRSC,2004-04-06,17.6,17.96,17.6,17.89,64500.0,0.0,1.0,17.6,17.96,17.6,17.89,64500.0
