,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
11517447,REGI,2012-01-19,10.1,10.29,9.9,10.1,3599000.0,0.0,1.0,10.1,10.29,9.9,10.1,3599000.0
11517448,REGI,2012-01-20,10.1,10.1,9.5,9.73,440100.0,0.0,1.0,10.1,10.1,9.5,9.73,440100.0
11517449,REGI,2012-01-23,9.61,9.6395,8.65,9.49,278900.0,0.0,1.0,9.61,9.6395,8.65,9.49,278900.0
11517450,REGI,2012-01-24,9.47,9.86,9.47,9.85,77800.0,0.0,1.0,9.47,9.86,9.47,9.85,77800.0
11517451,REGI,2012-01-25,9.8,10.0,9.8,9.82,76800.0,0.0,1.0,9.8,10.0,9.8,9.82,76800.0
11517452,REGI,2012-01-26,10.04,10.04,9.77,9.81,28100.0,0.0,1.0,10.04,10.04,9.77,9.81,28100.0
11517453,REGI,2012-01-27,9.8,9.9666,9.8,9.8,28400.0,0.0,1.0,9.8,9.9666,9.8,9.8,28400.0
11517454,REGI,2012-01-30,9.79,9.79,9.0,9.15,93100.0,0.0,1.0,9.79,9.79,9.0,9.15,93100.0
11517455,REGI,2012-01-31,9.26,9.26,8.645,9.12,58500.0,0.0,1.0,9.26,9.26,8.645,9.12,58500.0
11517456,REGI,2012-02-01,9.21,9.4901,9.11,9.15,124600.0,0.0,1.0,9.21,9.4901,9.11,9.15,124600.0
11517457,REGI,2012-02-02,9.24,9.24,9.05,9.24,7100.0,0.0,1.0,9.24,9.24,9.05,9.24,7100.0
11517458,REGI,2012-02-03,8.6,9.4292,8.56,9.241,259400.0,0.0,1.0,8.6,9.4292,8.56,9.241,259400.0
11517459,REGI,2012-02-06,9.29,9.29,8.961,9.28,19100.0,0.0,1.0,9.29,9.29,8.961,9.28,19100.0
11517460,REGI,2012-02-07,9.28,9.33,9.28,9.32,8900.0,0.0,1.0,9.28,9.33,9.28,9.32,8900.0
11517461,REGI,2012-02-08,9.25,9.28,8.68,9.24,27500.0,0.0,1.0,9.25,9.28,8.68,9.24,27500.0
11517462,REGI,2012-02-09,9.1,9.3,9.1,9.3,8600.0,0.0,1.0,9.1,9.3,9.1,9.3,8600.0
11517463,REGI,2012-02-10,9.23,9.33,8.72,9.26,68900.0,0.0,1.0,9.23,9.33,8.72,9.26,68900.0
11517464,REGI,2012-02-13,9.34,9.51,9.1,9.42,102300.0,0.0,1.0,9.34,9.51,9.1,9.42,102300.0
11517465,REGI,2012-02-14,9.55,9.55,9.38,9.46,8400.0,0.0,1.0,9.55,9.55,9.38,9.46,8400.0
11517466,REGI,2012-02-15,9.47,9.6,9.42,9.52,227000.0,0.0,1.0,9.47,9.6,9.42,9.52,227000.0
11517467,REGI,2012-02-16,9.52,9.84,9.52,9.58,32800.0,0.0,1.0,9.52,9.84,9.52,9.58,32800.0
11517468,REGI,2012-02-17,9.56,9.68,9.5,9.5,59700.0,0.0,1.0,9.56,9.68,9.5,9.5,59700.0
