,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
11848556,RRGB,2002-07-19,12.26,13.06,11.93,12.22,2235500.0,0.0,1.0,12.26,13.06,11.93,12.22,2235500.0
11848557,RRGB,2002-07-22,12.21,13.14,12.06,12.9,215300.0,0.0,1.0,12.21,13.14,12.06,12.9,215300.0
11848558,RRGB,2002-07-23,13.3,13.85,12.66,13.1,185700.0,0.0,1.0,13.3,13.85,12.66,13.1,185700.0
11848559,RRGB,2002-07-24,13.03,13.17,12.6,12.9,593400.0,0.0,1.0,13.03,13.17,12.6,12.9,593400.0
11848560,RRGB,2002-07-25,12.9,12.9,12.61,12.77,66700.0,0.0,1.0,12.9,12.9,12.61,12.77,66700.0
11848561,RRGB,2002-07-26,12.66,12.76,11.91,12.0,650900.0,0.0,1.0,12.66,12.76,11.91,12.0,650900.0
11848562,RRGB,2002-07-29,12.18,12.2,11.66,12.02,335400.0,0.0,1.0,12.18,12.2,11.66,12.02,335400.0
11848563,RRGB,2002-07-30,12.17,12.17,11.95,12.06,140000.0,0.0,1.0,12.17,12.17,11.95,12.06,140000.0
11848564,RRGB,2002-07-31,12.08,12.25,12.0,12.0,123100.0,0.0,1.0,12.08,12.25,12.0,12.0,123100.0
11848565,RRGB,2002-08-01,12.06,12.25,11.85,11.9,150800.0,0.0,1.0,12.06,12.25,11.85,11.9,150800.0
11848566,RRGB,2002-08-02,11.75,11.95,11.65,11.93,61800.0,0.0,1.0,11.75,11.95,11.65,11.93,61800.0
11848567,RRGB,2002-08-05,11.99,11.99,11.65,11.7,118600.0,0.0,1.0,11.99,11.99,11.65,11.7,118600.0
11848568,RRGB,2002-08-06,11.75,12.1,11.75,12.01,145000.0,0.0,1.0,11.75,12.1,11.75,12.01,145000.0
11848569,RRGB,2002-08-07,12.0,12.0,11.82,11.99,150700.0,0.0,1.0,12.0,12.0,11.82,11.99,150700.0
11848570,RRGB,2002-08-08,12.03,12.1,11.9,12.05,45600.0,0.0,1.0,12.03,12.1,11.9,12.05,45600.0
11848571,RRGB,2002-08-09,12.05,12.05,11.9,12.0,24600.0,0.0,1.0,12.05,12.05,11.9,12.0,24600.0
11848572,RRGB,2002-08-12,12.0,12.03,11.92,11.98,28500.0,0.0,1.0,12.0,12.03,11.92,11.98,28500.0
11848573,RRGB,2002-08-13,11.85,12.05,11.85,12.0,67400.0,0.0,1.0,11.85,12.05,11.85,12.0,67400.0
11848574,RRGB,2002-08-14,11.92,12.0,11.9,11.99,38300.0,0.0,1.0,11.92,12.0,11.9,11.99,38300.0
11848575,RRGB,2002-08-15,11.91,12.01,11.9,12.0,36400.0,0.0,1.0,11.91,12.01,11.9,12.0,36400.0
11848576,RRGB,2002-08-16,12.05,12.05,11.9,12.04,6700.0,0.0,1.0,12.05,12.05,11.9,12.04,6700.0
11848577,RRGB,2002-08-19,12.04,12.04,11.85,11.94,24100.0,0.0,1.0,12.04,12.04,11.85,11.94,24100.0
11848578,RRGB,2002-08-20,11.93,12.08,11.91,12.07,86100.0,0.0,1.0,11.93,12.08,11.91,12.07,86100.0
11848579,RRGB,2002-08-21,12.06,12.3,12.01,12.15,75600.0,0.0,1.0,12.06,12.3,12.01,12.15,75600.0
11848580,RRGB,2002-08-22,12.2,12.5,12.05,12.5,33600.0,0.0,1.0,12.2,12.5,12.05,12.5,33600.0
11848581,RRGB,2002-08-23,12.4,12.5,11.96,12.08,63800.0,0.0,1.0,12.4,12.5,11.96,12.08,63800.0
11848582,RRGB,2002-08-26,12.04,12.05,11.9,11.9,25300.0,0.0,1.0,12.04,12.05,11.9,11.9,25300.0
11848583,RRGB,2002-08-27,12.04,12.16,11.95,12.16,47900.0,0.0,1.0,12.04,12.16,11.95,12.16,47900.0
11848584,RRGB,2002-08-28,12.55,12.61,12.35,12.37,68700.0,0.0,1.0,12.55,12.61,12.35,12.37,68700.0
11848585,RRGB,2002-08-29,12.49,12.54,12.35,12.54,33300.0,0.0,1.0,12.49,12.54,12.35,12.54,33300.0
11848586,RRGB,2002-08-30,12.53,12.85,12.41,12.75,22400.0,0.0,1.0,12.53,12.85,12.41,12.75,22400.0
11848587,RRGB,2002-09-03,12.7,13.26,12.7,13.2,24400.0,0.0,1.0,12.7,13.26,12.7,13.2,24400.0
11848588,RRGB,2002-09-04,13.25,13.64,12.9,13.05,107000.0,0.0,1.0,13.25,13.64,12.9,13.05,107000.0
11848589,RRGB,2002-09-05,12.99,13.0,12.05,12.35,65800.0,0.0,1.0,12.99,13.0,12.05,12.35,65800.0
11848590,RRGB,2002-09-06,12.19,12.7,12.03,12.39,34600.0,0.0,1.0,12.19,12.7,12.03,12.39,34600.0
11848591,RRGB,2002-09-09,12.39,12.8,12.39,12.8,43900.0,0.0,1.0,12.39,12.8,12.39,12.8,43900.0
11848592,RRGB,2002-09-10,12.66,12.85,12.36,12.5,98200.0,0.0,1.0,12.66,12.85,12.36,12.5,98200.0
11848593,RRGB,2002-09-11,12.36,12.55,12.35,12.55,11800.0,0.0,1.0,12.36,12.55,12.35,12.55,11800.0
11848594,RRGB,2002-09-12,12.49,12.55,12.35,12.42,12400.0,0.0,1.0,12.49,12.55,12.35,12.42,12400.0
11848595,RRGB,2002-09-13,12.49,12.5,12.35,12.39,8200.0,0.0,1.0,12.49,12.5,12.35,12.39,8200.0
11848596,RRGB,2002-09-16,12.49,12.49,11.86,12.23,42000.0,0.0,1.0,12.49,12.49,11.86,12.23,42000.0
11848597,RRGB,2002-09-17,12.2,12.2,12.03,12.09,2200.0,0.0,1.0,12.2,12.2,12.03,12.09,2200.0
11848598,RRGB,2002-09-18,12.01,12.01,10.01,11.21,622000.0,0.0,1.0,12.01,12.01,10.01,11.21,622000.0
11848599,RRGB,2002-09-19,11.19,11.25,10.7,10.95,111500.0,0.0,1.0,11.19,11.25,10.7,10.95,111500.0
11848600,RRGB,2002-09-20,10.95,11.16,10.9,11.05,42200.0,0.0,1.0,10.95,11.16,10.9,11.05,42200.0
11848601,RRGB,2002-09-23,10.54,10.56,10.25,10.56,34200.0,0.0,1.0,10.54,10.56,10.25,10.56,34200.0
11848602,RRGB,2002-09-24,10.57,11.29,10.57,11.08,49500.0,0.0,1.0,10.57,11.29,10.57,11.08,49500.0
11848603,RRGB,2002-09-25,11.08,12.8,10.92,11.1,76500.0,0.0,1.0,11.08,12.8,10.92,11.1,76500.0
11848604,RRGB,2002-09-26,11.1,11.1,10.73,10.95,23600.0,0.0,1.0,11.1,11.1,10.73,10.95,23600.0
11848605,RRGB,2002-09-27,11.0,11.0,10.42,10.55,31000.0,0.0,1.0,11.0,11.0,10.42,10.55,31000.0
11848606,RRGB,2002-09-30,10.73,10.73,9.79,10.33,13200.0,0.0,1.0,10.73,10.73,9.79,10.33,13200.0
11848607,RRGB,2002-10-01,10.27,10.5,10.0,10.1,48300.0,0.0,1.0,10.27,10.5,10.0,10.1,48300.0
11848608,RRGB,2002-10-02,10.38,10.38,9.93,10.03,47400.0,0.0,1.0,10.38,10.38,9.93,10.03,47400.0
11848609,RRGB,2002-10-03,10.09,10.09,9.61,9.8,45200.0,0.0,1.0,10.09,10.09,9.61,9.8,45200.0
11848610,RRGB,2002-10-04,9.9,10.35,9.39,9.759,55800.0,0.0,1.0,9.9,10.35,9.39,9.759,55800.0
11848611,RRGB,2002-10-07,9.45,10.03,9.45,9.908999999999999,16300.0,0.0,1.0,9.45,10.03,9.45,9.908999999999999,16300.0
11848612,RRGB,2002-10-08,9.949,9.949,9.54,9.89,20400.0,0.0,1.0,9.949,9.949,9.54,9.89,20400.0
11848613,RRGB,2002-10-09,9.939,9.97,9.59,9.59,5900.0,0.0,1.0,9.939,9.97,9.59,9.59,5900.0
11848614,RRGB,2002-10-10,9.795,9.92,9.09,9.4,13100.0,0.0,1.0,9.795,9.92,9.09,9.4,13100.0
11848615,RRGB,2002-10-11,9.5,9.79,9.5,9.62,8000.0,0.0,1.0,9.5,9.79,9.5,9.62,8000.0
11848616,RRGB,2002-10-14,9.6,9.61,9.3,9.3,3300.0,0.0,1.0,9.6,9.61,9.3,9.3,3300.0
11848617,RRGB,2002-10-15,9.6,10.61,9.4,10.09,67700.0,0.0,1.0,9.6,10.61,9.4,10.09,67700.0
11848618,RRGB,2002-10-16,9.92,9.95,9.78,9.85,3800.0,0.0,1.0,9.92,9.95,9.78,9.85,3800.0
11848619,RRGB,2002-10-17,9.98,10.09,9.86,9.86,19100.0,0.0,1.0,9.98,10.09,9.86,9.86,19100.0
11848620,RRGB,2002-10-18,9.8,9.8,9.42,9.42,5200.0,0.0,1.0,9.8,9.8,9.42,9.42,5200.0
11848621,RRGB,2002-10-21,9.6,9.77,9.49,9.77,1900.0,0.0,1.0,9.6,9.77,9.49,9.77,1900.0
11848622,RRGB,2002-10-22,9.79,10.37,9.79,10.37,260500.0,0.0,1.0,9.79,10.37,9.79,10.37,260500.0
11848623,RRGB,2002-10-23,10.37,10.4,10.1,10.34,105400.0,0.0,1.0,10.37,10.4,10.1,10.34,105400.0
11848624,RRGB,2002-10-24,10.4,11.6,10.4,11.5,25600.0,0.0,1.0,10.4,11.6,10.4,11.5,25600.0
11848625,RRGB,2002-10-25,11.45,11.85,11.41,11.61,13900.0,0.0,1.0,11.45,11.85,11.41,11.61,13900.0
11848626,RRGB,2002-10-28,11.84,11.95,11.0,11.24,41000.0,0.0,1.0,11.84,11.95,11.0,11.24,41000.0
11848627,RRGB,2002-10-29,11.19,11.2,10.95,11.2,96600.0,0.0,1.0,11.19,11.2,10.95,11.2,96600.0
11848628,RRGB,2002-10-30,11.0,11.02,10.27,10.27,39300.0,0.0,1.0,11.0,11.02,10.27,10.27,39300.0
11848629,RRGB,2002-10-31,10.55,10.6,9.12,9.27,115400.0,0.0,1.0,10.55,10.6,9.12,9.27,115400.0
11848630,RRGB,2002-11-01,9.43,10.12,9.32,9.75,229000.0,0.0,1.0,9.43,10.12,9.32,9.75,229000.0
11848631,RRGB,2002-11-04,9.8,10.6,9.8,10.6,55000.0,0.0,1.0,9.8,10.6,9.8,10.6,55000.0
11848632,RRGB,2002-11-05,10.5,10.7,10.5,10.61,71400.0,0.0,1.0,10.5,10.7,10.5,10.61,71400.0
