,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
11852461,RRTS,2010-05-13,13.75,14.07,13.6,13.75,3341500.0,0.0,1.0,13.75,14.07,13.6,13.75,3341500.0
11852462,RRTS,2010-05-14,13.52,14.0,13.45,13.85,747100.0,0.0,1.0,13.52,14.0,13.45,13.85,747100.0
11852463,RRTS,2010-05-17,13.86,14.02,13.85,14.0,245100.0,0.0,1.0,13.86,14.02,13.85,14.0,245100.0
11852464,RRTS,2010-05-18,14.02,14.15,13.92,13.92,42600.0,0.0,1.0,14.02,14.15,13.92,13.92,42600.0
11852465,RRTS,2010-05-19,13.9,14.07,13.75,14.07,64900.0,0.0,1.0,13.9,14.07,13.75,14.07,64900.0
11852466,RRTS,2010-05-20,13.91,13.99,13.25,13.91,70700.0,0.0,1.0,13.91,13.99,13.25,13.91,70700.0
11852467,RRTS,2010-05-21,14.05,14.05,13.61,13.85,129200.0,0.0,1.0,14.05,14.05,13.61,13.85,129200.0
11852468,RRTS,2010-05-24,14.0,14.04,13.92,13.95,51000.0,0.0,1.0,14.0,14.04,13.92,13.95,51000.0
11852469,RRTS,2010-05-25,13.81,13.81,13.5,13.75,218200.0,0.0,1.0,13.81,13.81,13.5,13.75,218200.0
11852470,RRTS,2010-05-26,14.05,14.05,13.73,13.9,143100.0,0.0,1.0,14.05,14.05,13.73,13.9,143100.0
11852471,RRTS,2010-05-27,14.24,14.24,13.94,14.0,119400.0,0.0,1.0,14.24,14.24,13.94,14.0,119400.0
11852472,RRTS,2010-05-28,14.04,14.05,13.55,14.04,194100.0,0.0,1.0,14.04,14.05,13.55,14.04,194100.0
11852473,RRTS,2010-06-01,13.99,14.19,13.95,13.98,117600.0,0.0,1.0,13.99,14.19,13.95,13.98,117600.0
11852474,RRTS,2010-06-02,14.1,14.1,13.83,14.01,71900.0,0.0,1.0,14.1,14.1,13.83,14.01,71900.0
11852475,RRTS,2010-06-03,14.15,14.15,13.91,14.0,22600.0,0.0,1.0,14.15,14.15,13.91,14.0,22600.0
11852476,RRTS,2010-06-04,14.05,14.05,13.81,14.0,37700.0,0.0,1.0,14.05,14.05,13.81,14.0,37700.0
11852477,RRTS,2010-06-07,13.96,14.16,13.81,13.91,22500.0,0.0,1.0,13.96,14.16,13.81,13.91,22500.0
11852478,RRTS,2010-06-08,13.96,14.06,13.45,13.49,133800.0,0.0,1.0,13.96,14.06,13.45,13.49,133800.0
11852479,RRTS,2010-06-09,13.58,13.84,13.46,13.49,22900.0,0.0,1.0,13.58,13.84,13.46,13.49,22900.0
11852480,RRTS,2010-06-10,13.96,13.96,13.59,13.7,48200.0,0.0,1.0,13.96,13.96,13.59,13.7,48200.0
11852481,RRTS,2010-06-11,13.75,13.9,13.7,13.74,6300.0,0.0,1.0,13.75,13.9,13.7,13.74,6300.0
11852482,RRTS,2010-06-14,13.79,14.0,13.76,13.8,55300.0,0.0,1.0,13.79,14.0,13.76,13.8,55300.0
11852483,RRTS,2010-06-15,13.85,13.95,13.75,13.88,176600.0,0.0,1.0,13.85,13.95,13.75,13.88,176600.0
11852484,RRTS,2010-06-16,13.97,14.0,13.78,13.92,241500.0,0.0,1.0,13.97,14.0,13.78,13.92,241500.0
11852485,RRTS,2010-06-17,13.8,13.99,13.7,13.8,66100.0,0.0,1.0,13.8,13.99,13.7,13.8,66100.0
11852486,RRTS,2010-06-18,13.7,14.09,13.7,14.05,230900.0,0.0,1.0,13.7,14.09,13.7,14.05,230900.0
11852487,RRTS,2010-06-21,14.17,14.24,13.99,14.16,129200.0,0.0,1.0,14.17,14.24,13.99,14.16,129200.0
11852488,RRTS,2010-06-22,14.37,14.47,13.94,14.2,202700.0,0.0,1.0,14.37,14.47,13.94,14.2,202700.0
11852489,RRTS,2010-06-23,14.28,14.46,13.98,14.38,164100.0,0.0,1.0,14.28,14.46,13.98,14.38,164100.0
11852490,RRTS,2010-06-24,14.4,14.47,14.19,14.22,37000.0,0.0,1.0,14.4,14.47,14.19,14.22,37000.0
