,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
11998620,SALE,2013-07-19,26.5,28.45,26.12,27.7,8974600.0,0.0,1.0,26.5,28.45,26.12,27.7,8974600.0
11998621,SALE,2013-07-22,27.9,29.329,26.85,28.9,869200.0,0.0,1.0,27.9,29.329,26.85,28.9,869200.0
11998622,SALE,2013-07-23,29.25,29.6,27.7,27.85,656300.0,0.0,1.0,29.25,29.6,27.7,27.85,656300.0
11998623,SALE,2013-07-24,27.75,28.66,27.75,28.1,298400.0,0.0,1.0,27.75,28.66,27.75,28.1,298400.0
11998624,SALE,2013-07-25,28.1,28.1,27.0,27.05,440300.0,0.0,1.0,28.1,28.1,27.0,27.05,440300.0
11998625,SALE,2013-07-26,27.05,27.73,26.52,27.58,220800.0,0.0,1.0,27.05,27.73,26.52,27.58,220800.0
11998626,SALE,2013-07-29,27.25,28.3,27.01,27.84,198600.0,0.0,1.0,27.25,28.3,27.01,27.84,198600.0
11998627,SALE,2013-07-30,28.0,28.49,27.63,28.43,165000.0,0.0,1.0,28.0,28.49,27.63,28.43,165000.0
11998628,SALE,2013-07-31,28.72,29.42,27.93,28.45,267700.0,0.0,1.0,28.72,29.42,27.93,28.45,267700.0
11998629,SALE,2013-08-01,28.12,29.0,28.0,29.0,382700.0,0.0,1.0,28.12,29.0,28.0,29.0,382700.0
11998630,SALE,2013-08-02,29.0,29.31,28.72,28.79,67800.0,0.0,1.0,29.0,29.31,28.72,28.79,67800.0
11998631,SALE,2013-08-05,29.0,30.95,28.885,30.45,291600.0,0.0,1.0,29.0,30.95,28.885,30.45,291600.0
11998632,SALE,2013-08-06,30.45,30.85,29.77,30.21,206200.0,0.0,1.0,30.45,30.85,29.77,30.21,206200.0
11998633,SALE,2013-08-07,30.21,30.27,28.62,29.7,379300.0,0.0,1.0,30.21,30.27,28.62,29.7,379300.0
11998634,SALE,2013-08-08,30.23,31.67,30.0,31.5,340500.0,0.0,1.0,30.23,31.67,30.0,31.5,340500.0
11998635,SALE,2013-08-09,31.7,31.88,30.5,31.09,101300.0,0.0,1.0,31.7,31.88,30.5,31.09,101300.0
11998636,SALE,2013-08-12,31.65,32.4374,31.5,32.28,228300.0,0.0,1.0,31.65,32.4374,31.5,32.28,228300.0
11998637,SALE,2013-08-13,32.53,33.2,32.0,32.77,404200.0,0.0,1.0,32.53,33.2,32.0,32.77,404200.0
11998638,SALE,2013-08-14,32.99,32.99,32.13,32.41,166800.0,0.0,1.0,32.99,32.99,32.13,32.41,166800.0
11998639,SALE,2013-08-15,32.71,32.895,31.581,32.26,188300.0,0.0,1.0,32.71,32.895,31.581,32.26,188300.0
11998640,SALE,2013-08-16,31.82,33.65,31.05,32.75,325800.0,0.0,1.0,31.82,33.65,31.05,32.75,325800.0
11998641,SALE,2013-08-19,32.65,32.695,29.61,30.08,344800.0,0.0,1.0,32.65,32.695,29.61,30.08,344800.0
11998642,SALE,2013-08-20,29.98,30.48,29.05,30.07,254800.0,0.0,1.0,29.98,30.48,29.05,30.07,254800.0
11998643,SALE,2013-08-21,30.1,30.9299,29.55,29.99,171100.0,0.0,1.0,30.1,30.9299,29.55,29.99,171100.0
11998644,SALE,2013-08-22,30.54,31.86,29.815,29.93,202400.0,0.0,1.0,30.54,31.86,29.815,29.93,202400.0
11998645,SALE,2013-08-23,30.5,31.79,29.52,29.73,339000.0,0.0,1.0,30.5,31.79,29.52,29.73,339000.0
11998646,SALE,2013-08-26,29.61,30.94,29.61,30.68,143400.0,0.0,1.0,29.61,30.94,29.61,30.68,143400.0
11998647,SALE,2013-08-27,30.25,30.71,29.57,29.94,261700.0,0.0,1.0,30.25,30.71,29.57,29.94,261700.0
11998648,SALE,2013-08-28,29.63,29.74,29.05,29.58,131700.0,0.0,1.0,29.63,29.74,29.05,29.58,131700.0
11998649,SALE,2013-08-29,30.9,32.4,30.23,31.97,282500.0,0.0,1.0,30.9,32.4,30.23,31.97,282500.0
11998650,SALE,2013-08-30,32.95,33.2999,31.53,31.96,210300.0,0.0,1.0,32.95,33.2999,31.53,31.96,210300.0
11998651,SALE,2013-09-03,32.89,33.65,32.0,33.4,218400.0,0.0,1.0,32.89,33.65,32.0,33.4,218400.0
11998652,SALE,2013-09-04,33.57,35.48,33.0396,35.3,398200.0,0.0,1.0,33.57,35.48,33.0396,35.3,398200.0
11998653,SALE,2013-09-05,35.62,37.4,35.155,36.6,497900.0,0.0,1.0,35.62,37.4,35.155,36.6,497900.0
11998654,SALE,2013-09-06,37.15,37.45,34.54,34.7,268000.0,0.0,1.0,37.15,37.45,34.54,34.7,268000.0
11998655,SALE,2013-09-09,35.09,35.98,34.251,34.5,149400.0,0.0,1.0,35.09,35.98,34.251,34.5,149400.0
11998656,SALE,2013-09-10,35.0,35.19,33.5,33.98,207700.0,0.0,1.0,35.0,35.19,33.5,33.98,207700.0
11998657,SALE,2013-09-11,33.5,33.635,32.37,32.61,364500.0,0.0,1.0,33.5,33.635,32.37,32.61,364500.0
11998658,SALE,2013-09-12,32.64,33.75,32.25,32.75,260000.0,0.0,1.0,32.64,33.75,32.25,32.75,260000.0
11998659,SALE,2013-09-13,33.0,34.9,32.97,33.47,551600.0,0.0,1.0,33.0,34.9,32.97,33.47,551600.0
11998660,SALE,2013-09-16,34.0,34.17,32.94,33.96,186900.0,0.0,1.0,34.0,34.17,32.94,33.96,186900.0
11998661,SALE,2013-09-17,34.2,34.385,33.21,33.85,211400.0,0.0,1.0,34.2,34.385,33.21,33.85,211400.0
11998662,SALE,2013-09-18,34.04,35.96,33.7,35.66,236900.0,0.0,1.0,34.04,35.96,33.7,35.66,236900.0
11998663,SALE,2013-09-19,35.98,36.15,34.28,36.0,292800.0,0.0,1.0,35.98,36.15,34.28,36.0,292800.0
11998664,SALE,2013-09-20,36.04,37.89,35.671,36.0,718100.0,0.0,1.0,36.04,37.89,35.671,36.0,718100.0
11998665,SALE,2013-09-23,36.01,37.11,35.71,37.008,330000.0,0.0,1.0,36.01,37.11,35.71,37.008,330000.0
11998666,SALE,2013-09-24,37.17,39.0975,36.4289,38.96,363400.0,0.0,1.0,37.17,39.0975,36.4289,38.96,363400.0
11998667,SALE,2013-09-25,39.25,39.5,37.521,38.54,725300.0,0.0,1.0,39.25,39.5,37.521,38.54,725300.0
11998668,SALE,2013-09-26,38.56,39.2,36.58,36.9,228900.0,0.0,1.0,38.56,39.2,36.58,36.9,228900.0
11998669,SALE,2013-09-27,36.57,37.01,35.65,35.91,209600.0,0.0,1.0,36.57,37.01,35.65,35.91,209600.0
11998670,SALE,2013-09-30,35.74,36.05,35.01,35.57,1466400.0,0.0,1.0,35.74,36.05,35.01,35.57,1466400.0
11998671,SALE,2013-10-01,35.65,36.2984,34.36,34.45,222200.0,0.0,1.0,35.65,36.2984,34.36,34.45,222200.0
11998672,SALE,2013-10-02,34.4,34.941,33.72,34.24,222000.0,0.0,1.0,34.4,34.941,33.72,34.24,222000.0
