,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
12243584,SFY,1981-07-24,2.87,3.0,2.87,2.87,28100.0,0.0,1.0,2.87,3.0,2.87,2.87,28100.0
12243585,SFY,1981-07-27,2.87,3.0,2.62,2.62,16200.0,0.0,1.0,2.87,3.0,2.62,2.62,16200.0
12243586,SFY,1981-07-28,2.62,2.87,2.62,2.62,200.0,0.0,1.0,2.62,2.87,2.62,2.62,200.0
12243587,SFY,1981-07-29,2.62,2.87,2.62,2.62,700.0,0.0,1.0,2.62,2.87,2.62,2.62,700.0
12243588,SFY,1981-07-30,2.75,3.0,2.75,2.75,5700.0,0.0,1.0,2.75,3.0,2.75,2.75,5700.0
12243589,SFY,1981-07-31,2.75,3.0,2.75,2.75,3900.0,0.0,1.0,2.75,3.0,2.75,2.75,3900.0
12243590,SFY,1981-08-03,2.75,3.0,2.75,2.75,600.0,0.0,1.0,2.75,3.0,2.75,2.75,600.0
12243591,SFY,1981-08-04,2.75,3.0,2.75,2.75,3700.0,0.0,1.0,2.75,3.0,2.75,2.75,3700.0
12243592,SFY,1981-08-05,2.87,3.12,2.87,2.87,15400.0,0.0,1.0,2.87,3.12,2.87,2.87,15400.0
12243593,SFY,1981-08-06,3.25,3.5,3.25,3.25,13000.0,0.0,1.0,3.25,3.5,3.25,3.25,13000.0
12243594,SFY,1981-08-07,3.63,3.75,3.63,3.63,15200.0,0.0,1.0,3.63,3.75,3.63,3.63,15200.0
12243595,SFY,1981-08-10,3.63,3.63,3.63,3.63,0.0,0.0,1.0,3.63,3.63,3.63,3.63,0.0
12243596,SFY,1981-08-11,3.75,4.0,3.75,3.75,30500.0,0.0,1.0,3.75,4.0,3.75,3.75,30500.0
12243597,SFY,1981-08-12,3.75,3.88,3.63,3.63,6700.0,0.0,1.0,3.75,3.88,3.63,3.63,6700.0
12243598,SFY,1981-08-13,3.63,3.88,3.63,3.63,9100.0,0.0,1.0,3.63,3.88,3.63,3.63,9100.0
12243599,SFY,1981-08-14,3.63,3.88,3.63,3.63,4100.0,0.0,1.0,3.63,3.88,3.63,3.63,4100.0
12243600,SFY,1981-08-17,3.63,3.75,3.5,3.5,22300.0,0.0,1.0,3.63,3.75,3.5,3.5,22300.0
12243601,SFY,1981-08-18,3.5,3.75,3.5,3.5,12100.0,0.0,1.0,3.5,3.75,3.5,3.5,12100.0
12243602,SFY,1981-08-19,3.5,3.63,3.38,3.38,17400.0,0.0,1.0,3.5,3.63,3.38,3.38,17400.0
12243603,SFY,1981-08-20,3.5,3.75,3.5,3.5,3100.0,0.0,1.0,3.5,3.75,3.5,3.5,3100.0
12243604,SFY,1981-08-21,3.5,3.63,3.5,3.5,6200.0,0.0,1.0,3.5,3.63,3.5,3.5,6200.0
12243605,SFY,1981-08-24,3.5,3.63,3.38,3.38,9700.0,0.0,1.0,3.5,3.63,3.38,3.38,9700.0
12243606,SFY,1981-08-25,3.38,3.63,3.25,3.25,6300.0,0.0,1.0,3.38,3.63,3.25,3.25,6300.0
12243607,SFY,1981-08-26,3.12,3.12,2.87,2.87,6400.0,0.0,1.0,3.12,3.12,2.87,2.87,6400.0
12243608,SFY,1981-08-27,3.0,3.12,3.0,3.0,6000.0,0.0,1.0,3.0,3.12,3.0,3.0,6000.0
12243609,SFY,1981-08-28,3.0,3.25,3.0,3.0,2500.0,0.0,1.0,3.0,3.25,3.0,3.0,2500.0
12243610,SFY,1981-08-31,3.12,3.38,3.12,3.12,900.0,0.0,1.0,3.12,3.38,3.12,3.12,900.0
12243611,SFY,1981-09-01,3.25,3.5,3.25,3.25,4600.0,0.0,1.0,3.25,3.5,3.25,3.25,4600.0
12243612,SFY,1981-09-02,3.38,3.63,3.38,3.38,1400.0,0.0,1.0,3.38,3.63,3.38,3.38,1400.0
12243613,SFY,1981-09-03,3.38,3.75,3.38,3.38,9900.0,0.0,1.0,3.38,3.75,3.38,3.38,9900.0
12243614,SFY,1981-09-04,3.38,3.75,3.38,3.38,6300.0,0.0,1.0,3.38,3.75,3.38,3.38,6300.0
12243615,SFY,1981-09-08,3.38,3.5,3.25,3.25,5300.0,0.0,1.0,3.38,3.5,3.25,3.25,5300.0
12243616,SFY,1981-09-09,3.25,3.5,3.25,3.25,5100.0,0.0,1.0,3.25,3.5,3.25,3.25,5100.0
12243617,SFY,1981-09-10,3.38,3.5,3.38,3.38,10400.0,0.0,1.0,3.38,3.5,3.38,3.38,10400.0
12243618,SFY,1981-09-11,3.38,3.75,3.38,3.38,300.0,0.0,1.0,3.38,3.75,3.38,3.38,300.0
12243619,SFY,1981-09-14,3.38,3.75,3.38,3.38,3100.0,0.0,1.0,3.38,3.75,3.38,3.38,3100.0
12243620,SFY,1981-09-15,3.38,3.75,3.38,3.38,2400.0,0.0,1.0,3.38,3.75,3.38,3.38,2400.0
12243621,SFY,1981-09-16,3.5,3.75,3.5,3.5,3300.0,0.0,1.0,3.5,3.75,3.5,3.5,3300.0
12243622,SFY,1981-09-17,3.5,3.63,3.38,3.38,6100.0,0.0,1.0,3.5,3.63,3.38,3.38,6100.0
12243623,SFY,1981-09-18,3.38,3.63,3.38,3.38,900.0,0.0,1.0,3.38,3.63,3.38,3.38,900.0
12243624,SFY,1981-09-21,3.38,3.63,3.38,3.38,500.0,0.0,1.0,3.38,3.63,3.38,3.38,500.0
12243625,SFY,1981-09-22,3.38,3.38,3.12,3.12,8200.0,0.0,1.0,3.38,3.38,3.12,3.12,8200.0
12243626,SFY,1981-09-23,3.12,3.38,3.12,3.12,5000.0,0.0,1.0,3.12,3.38,3.12,3.12,5000.0
12243627,SFY,1981-09-24,3.12,3.38,3.12,3.12,11300.0,0.0,1.0,3.12,3.38,3.12,3.12,11300.0
12243628,SFY,1981-09-25,3.12,3.38,3.0,3.0,2600.0,0.0,1.0,3.12,3.38,3.0,3.0,2600.0
12243629,SFY,1981-09-28,3.0,3.12,2.87,2.87,1500.0,0.0,1.0,3.0,3.12,2.87,2.87,1500.0
12243630,SFY,1981-09-29,3.0,3.25,3.0,3.0,3100.0,0.0,1.0,3.0,3.25,3.0,3.0,3100.0
12243631,SFY,1981-09-30,3.0,3.25,3.0,3.0,1200.0,0.0,1.0,3.0,3.25,3.0,3.0,1200.0
12243632,SFY,1981-10-01,3.0,3.0,3.0,3.0,0.0,0.0,1.0,3.0,3.0,3.0,3.0,0.0
12243633,SFY,1981-10-02,3.12,3.5,3.12,3.12,4600.0,0.0,1.0,3.12,3.5,3.12,3.12,4600.0
12243634,SFY,1981-10-05,3.5,3.75,3.5,3.5,3600.0,0.0,1.0,3.5,3.75,3.5,3.5,3600.0
12243635,SFY,1981-10-06,3.5,3.5,3.5,3.5,0.0,0.0,1.0,3.5,3.5,3.5,3.5,0.0
12243636,SFY,1981-10-07,3.88,4.25,3.88,3.88,7000.0,0.0,1.0,3.88,4.25,3.88,3.88,7000.0
12243637,SFY,1981-10-08,4.0,4.25,4.0,4.0,2400.0,0.0,1.0,4.0,4.25,4.0,4.0,2400.0
12243638,SFY,1981-10-09,4.0,4.25,4.0,4.0,4400.0,0.0,1.0,4.0,4.25,4.0,4.0,4400.0
12243639,SFY,1981-10-12,4.0,4.0,3.75,3.75,4900.0,0.0,1.0,4.0,4.0,3.75,3.75,4900.0
12243640,SFY,1981-10-13,3.75,3.75,3.75,3.75,0.0,0.0,1.0,3.75,3.75,3.75,3.75,0.0
12243641,SFY,1981-10-14,3.88,4.12,3.88,3.88,5300.0,0.0,1.0,3.88,4.12,3.88,3.88,5300.0
12243642,SFY,1981-10-15,3.88,3.88,3.88,3.88,0.0,0.0,1.0,3.88,3.88,3.88,3.88,0.0
12243643,SFY,1981-10-16,3.88,4.12,3.88,3.88,400.0,0.0,1.0,3.88,4.12,3.88,3.88,400.0
12243644,SFY,1981-10-19,3.88,4.12,3.75,3.75,2900.0,0.0,1.0,3.88,4.12,3.75,3.75,2900.0
12243645,SFY,1981-10-20,3.88,4.12,3.88,3.88,2400.0,0.0,1.0,3.88,4.12,3.88,3.88,2400.0
12243646,SFY,1981-10-21,3.88,4.25,3.88,3.88,20300.0,0.0,1.0,3.88,4.25,3.88,3.88,20300.0
12243647,SFY,1981-10-22,4.0,4.25,4.0,4.0,2000.0,0.0,1.0,4.0,4.25,4.0,4.0,2000.0
12243648,SFY,1981-10-23,4.0,4.12,3.88,3.88,2800.0,0.0,1.0,4.0,4.12,3.88,3.88,2800.0
12243649,SFY,1981-10-26,3.88,4.0,3.75,3.75,1800.0,0.0,1.0,3.88,4.0,3.75,3.75,1800.0
12243650,SFY,1981-10-27,3.88,4.25,3.88,3.88,7500.0,0.0,1.0,3.88,4.25,3.88,3.88,7500.0
12243651,SFY,1981-10-28,3.88,3.88,3.88,3.88,0.0,0.0,1.0,3.88,3.88,3.88,3.88,0.0
12243652,SFY,1981-10-29,3.88,4.25,3.88,3.88,6000.0,0.0,1.0,3.88,4.25,3.88,3.88,6000.0
12243653,SFY,1981-10-30,3.88,4.0,3.75,3.75,400.0,0.0,1.0,3.88,4.0,3.75,3.75,400.0
12243654,SFY,1981-11-02,3.75,4.0,3.75,3.75,400.0,0.0,1.0,3.75,4.0,3.75,3.75,400.0
12243655,SFY,1981-11-03,3.75,4.0,3.75,3.75,3600.0,0.0,1.0,3.75,4.0,3.75,3.75,3600.0
12243656,SFY,1981-11-04,3.75,4.0,3.75,3.75,400.0,0.0,1.0,3.75,4.0,3.75,3.75,400.0
12243657,SFY,1981-11-05,3.75,3.88,3.63,3.63,200.0,0.0,1.0,3.75,3.88,3.63,3.63,200.0
12243658,SFY,1981-11-06,3.63,3.88,3.63,3.63,500.0,0.0,1.0,3.63,3.88,3.63,3.63,500.0
12243659,SFY,1981-11-09,3.63,3.88,3.5,3.5,800.0,0.0,1.0,3.63,3.88,3.5,3.5,800.0
12243660,SFY,1981-11-10,3.5,3.5,3.5,3.5,0.0,0.0,1.0,3.5,3.5,3.5,3.5,0.0
12243661,SFY,1981-11-11,3.5,3.5,3.5,3.5,0.0,0.0,1.0,3.5,3.5,3.5,3.5,0.0
12243662,SFY,1981-11-12,3.5,3.5,3.5,3.5,0.0,0.0,1.0,3.5,3.5,3.5,3.5,0.0
12243663,SFY,1981-11-13,3.5,3.5,3.5,3.5,0.0,0.0,1.0,3.5,3.5,3.5,3.5,0.0
12243664,SFY,1981-11-16,3.5,3.88,3.5,3.5,800.0,0.0,1.0,3.5,3.88,3.5,3.5,800.0
12243665,SFY,1981-11-17,3.5,3.88,3.5,3.5,500.0,0.0,1.0,3.5,3.88,3.5,3.5,500.0
12243666,SFY,1981-11-18,3.5,3.5,3.5,3.5,0.0,0.0,1.0,3.5,3.5,3.5,3.5,0.0
12243667,SFY,1981-11-19,3.5,3.5,3.5,3.5,0.0,0.0,1.0,3.5,3.5,3.5,3.5,0.0
12243668,SFY,1981-11-20,3.5,3.75,3.38,3.38,2400.0,0.0,1.0,3.5,3.75,3.38,3.38,2400.0
12243669,SFY,1981-11-23,3.38,3.5,3.25,3.25,6000.0,0.0,1.0,3.38,3.5,3.25,3.25,6000.0
12243670,SFY,1981-11-24,3.25,3.38,3.12,3.12,2700.0,0.0,1.0,3.25,3.38,3.12,3.12,2700.0
12243671,SFY,1981-11-25,3.12,3.12,3.12,3.12,0.0,0.0,1.0,3.12,3.12,3.12,3.12,0.0
12243672,SFY,1981-11-27,3.12,3.12,3.12,3.12,0.0,0.0,1.0,3.12,3.12,3.12,3.12,0.0
12243673,SFY,1981-11-30,3.12,3.25,3.0,3.0,1600.0,0.0,1.0,3.12,3.25,3.0,3.0,1600.0
12243674,SFY,1981-12-01,3.0,3.12,2.75,2.75,7800.0,0.0,1.0,3.0,3.12,2.75,2.75,7800.0
12243675,SFY,1981-12-02,3.0,3.25,3.0,3.0,8200.0,0.0,1.0,3.0,3.25,3.0,3.0,8200.0
12243676,SFY,1981-12-03,3.25,3.63,3.25,3.25,6000.0,0.0,1.0,3.25,3.63,3.25,3.25,6000.0
12243677,SFY,1981-12-04,3.5,3.88,3.5,3.5,4100.0,0.0,1.0,3.5,3.88,3.5,3.5,4100.0
12243678,SFY,1981-12-07,3.63,4.0,3.63,3.63,1700.0,0.0,1.0,3.63,4.0,3.63,3.63,1700.0
12243679,SFY,1981-12-08,3.63,4.0,3.63,3.63,6900.0,0.0,1.0,3.63,4.0,3.63,3.63,6900.0
12243680,SFY,1981-12-09,3.63,3.63,3.63,3.63,0.0,0.0,1.0,3.63,3.63,3.63,3.63,0.0
12243681,SFY,1981-12-10,3.88,4.12,3.88,3.88,3700.0,0.0,1.0,3.88,4.12,3.88,3.88,3700.0
12243682,SFY,1981-12-11,3.88,4.12,3.88,3.88,200.0,0.0,1.0,3.88,4.12,3.88,3.88,200.0
12243683,SFY,1981-12-14,3.88,4.12,3.88,3.88,2400.0,0.0,1.0,3.88,4.12,3.88,3.88,2400.0
12243684,SFY,1981-12-15,3.88,4.12,3.88,3.88,400.0,0.0,1.0,3.88,4.12,3.88,3.88,400.0
