,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
12539884,SNAK,1996-12-06,4.75,5.12,4.12,4.5,534600.0,0.0,1.0,4.75,5.12,4.12,4.5,534600.0
12539885,SNAK,1996-12-09,4.75,4.75,4.12,4.63,170700.0,0.0,1.0,4.75,4.75,4.12,4.63,170700.0
12539886,SNAK,1996-12-10,4.63,4.63,4.0,4.0,101000.0,0.0,1.0,4.63,4.63,4.0,4.0,101000.0
12539887,SNAK,1996-12-11,4.25,4.25,3.88,3.88,69900.0,0.0,1.0,4.25,4.25,3.88,3.88,69900.0
12539888,SNAK,1996-12-12,4.25,4.25,3.75,3.75,85100.0,0.0,1.0,4.25,4.25,3.75,3.75,85100.0
12539889,SNAK,1996-12-13,4.0,4.0,3.5,3.88,78700.0,0.0,1.0,4.0,4.0,3.5,3.88,78700.0
12539890,SNAK,1996-12-16,3.88,4.0,3.62,3.62,21700.0,0.0,1.0,3.88,4.0,3.62,3.62,21700.0
12539891,SNAK,1996-12-17,3.62,4.12,3.62,4.12,16800.0,0.0,1.0,3.62,4.12,3.62,4.12,16800.0
12539892,SNAK,1996-12-18,3.75,3.75,3.5,3.5,26600.0,0.0,1.0,3.75,3.75,3.5,3.5,26600.0
12539893,SNAK,1996-12-19,3.75,3.75,3.5,3.75,30500.0,0.0,1.0,3.75,3.75,3.5,3.75,30500.0
12539894,SNAK,1996-12-20,3.75,3.75,3.5,3.62,6100.0,0.0,1.0,3.75,3.75,3.5,3.62,6100.0
12539895,SNAK,1996-12-23,3.62,3.75,3.25,3.62,84200.0,0.0,1.0,3.62,3.75,3.25,3.62,84200.0
12539896,SNAK,1996-12-24,3.62,3.62,3.38,3.38,10800.0,0.0,1.0,3.62,3.62,3.38,3.38,10800.0
12539897,SNAK,1996-12-26,3.62,3.62,3.5,3.5,10700.0,0.0,1.0,3.62,3.62,3.5,3.5,10700.0
12539898,SNAK,1996-12-27,3.62,3.62,3.38,3.62,65700.0,0.0,1.0,3.62,3.62,3.38,3.62,65700.0
