,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
12570864,SNMX,2004-06-22,6.45,7.7,6.3,6.75,1219200.0,0.0,1.0,6.45,7.7,6.3,6.75,1219200.0
12570865,SNMX,2004-06-23,6.7,6.85,6.01,6.15,277000.0,0.0,1.0,6.7,6.85,6.01,6.15,277000.0
12570866,SNMX,2004-06-24,6.1,6.45,6.0,6.02,211400.0,0.0,1.0,6.1,6.45,6.0,6.02,211400.0
12570867,SNMX,2004-06-25,6.02,6.1,6.0,6.04,200300.0,0.0,1.0,6.02,6.1,6.0,6.04,200300.0
12570868,SNMX,2004-06-28,6.1,6.1,5.95,6.0,218900.0,0.0,1.0,6.1,6.1,5.95,6.0,218900.0
12570869,SNMX,2004-06-29,6.175,6.2,6.0,6.2,72000.0,0.0,1.0,6.175,6.2,6.0,6.2,72000.0
12570870,SNMX,2004-06-30,6.2,6.25,6.01,6.25,13300.0,0.0,1.0,6.2,6.25,6.01,6.25,13300.0
12570871,SNMX,2004-07-01,6.23,6.28,6.13,6.17,23500.0,0.0,1.0,6.23,6.28,6.13,6.17,23500.0
12570872,SNMX,2004-07-02,6.15,6.7,6.01,6.25,34200.0,0.0,1.0,6.15,6.7,6.01,6.25,34200.0
12570873,SNMX,2004-07-06,6.3,6.3,6.0,6.0,42000.0,0.0,1.0,6.3,6.3,6.0,6.0,42000.0
12570874,SNMX,2004-07-07,6.15,6.2,6.05,6.2,28100.0,0.0,1.0,6.15,6.2,6.05,6.2,28100.0
12570875,SNMX,2004-07-08,6.2,6.2,6.0,6.15,89700.0,0.0,1.0,6.2,6.2,6.0,6.15,89700.0
12570876,SNMX,2004-07-09,6.15,6.5,6.05,6.08,43600.0,0.0,1.0,6.15,6.5,6.05,6.08,43600.0
12570877,SNMX,2004-07-12,6.05,6.3,6.05,6.1,21500.0,0.0,1.0,6.05,6.3,6.05,6.1,21500.0
12570878,SNMX,2004-07-13,6.1,6.7,6.08,6.08,58700.0,0.0,1.0,6.1,6.7,6.08,6.08,58700.0
12570879,SNMX,2004-07-14,6.05,6.4,6.05,6.28,49700.0,0.0,1.0,6.05,6.4,6.05,6.28,49700.0
12570880,SNMX,2004-07-15,6.13,6.17,6.0,6.06,158800.0,0.0,1.0,6.13,6.17,6.0,6.06,158800.0
12570881,SNMX,2004-07-16,6.33,6.33,6.13,6.2,36100.0,0.0,1.0,6.33,6.33,6.13,6.2,36100.0
12570882,SNMX,2004-07-19,6.2,6.2,6.0,6.0,39600.0,0.0,1.0,6.2,6.2,6.0,6.0,39600.0
12570883,SNMX,2004-07-20,6.0,6.18,6.0,6.1,76500.0,0.0,1.0,6.0,6.18,6.0,6.1,76500.0
12570884,SNMX,2004-07-21,6.04,6.1,6.0,6.08,30400.0,0.0,1.0,6.04,6.1,6.0,6.08,30400.0
12570885,SNMX,2004-07-22,6.08,7.75,6.0,7.26,147700.0,0.0,1.0,6.08,7.75,6.0,7.26,147700.0
12570886,SNMX,2004-07-23,6.9,6.9,6.32,6.45,82300.0,0.0,1.0,6.9,6.9,6.32,6.45,82300.0
12570887,SNMX,2004-07-26,6.48,6.482,6.01,6.3,48200.0,0.0,1.0,6.48,6.482,6.01,6.3,48200.0
12570888,SNMX,2004-07-27,6.18,6.5,6.11,6.36,22400.0,0.0,1.0,6.18,6.5,6.11,6.36,22400.0
12570889,SNMX,2004-07-28,6.33,6.5,6.33,6.34,81500.0,0.0,1.0,6.33,6.5,6.33,6.34,81500.0
12570890,SNMX,2004-07-29,6.33,6.4,6.18,6.3,70200.0,0.0,1.0,6.33,6.4,6.18,6.3,70200.0
12570891,SNMX,2004-07-30,6.24,6.24,6.03,6.04,17500.0,0.0,1.0,6.24,6.24,6.03,6.04,17500.0
12570892,SNMX,2004-08-02,6.75,6.86,6.34,6.54,40900.0,0.0,1.0,6.75,6.86,6.34,6.54,40900.0
12570893,SNMX,2004-08-03,6.65,6.84,6.55,6.68,58700.0,0.0,1.0,6.65,6.84,6.55,6.68,58700.0
12570894,SNMX,2004-08-04,6.7,6.7,6.49,6.59,33300.0,0.0,1.0,6.7,6.7,6.49,6.59,33300.0
12570895,SNMX,2004-08-05,6.49,6.6,6.39,6.42,19200.0,0.0,1.0,6.49,6.6,6.39,6.42,19200.0
12570896,SNMX,2004-08-06,6.44,6.5,6.21,6.21,18400.0,0.0,1.0,6.44,6.5,6.21,6.21,18400.0
12570897,SNMX,2004-08-09,6.5,6.79,6.3,6.45,58200.0,0.0,1.0,6.5,6.79,6.3,6.45,58200.0
12570898,SNMX,2004-08-10,6.55,6.7,6.35,6.44,26500.0,0.0,1.0,6.55,6.7,6.35,6.44,26500.0
12570899,SNMX,2004-08-11,6.44,6.55,6.4,6.45,23100.0,0.0,1.0,6.44,6.55,6.4,6.45,23100.0
12570900,SNMX,2004-08-12,6.4,6.65,5.2,5.65,41400.0,0.0,1.0,6.4,6.65,5.2,5.65,41400.0
12570901,SNMX,2004-08-13,5.61,6.48,5.6,6.38,20400.0,0.0,1.0,5.61,6.48,5.6,6.38,20400.0
12570902,SNMX,2004-08-16,6.51,6.58,6.32,6.48,17700.0,0.0,1.0,6.51,6.58,6.32,6.48,17700.0
12570903,SNMX,2004-08-17,6.59,6.7,6.47,6.6,35300.0,0.0,1.0,6.59,6.7,6.47,6.6,35300.0
12570904,SNMX,2004-08-18,6.66,6.89,6.55,6.56,36500.0,0.0,1.0,6.66,6.89,6.55,6.56,36500.0
12570905,SNMX,2004-08-19,6.5,6.51,6.45,6.5,23100.0,0.0,1.0,6.5,6.51,6.45,6.5,23100.0
12570906,SNMX,2004-08-20,5.71,6.5,5.65,6.5,45800.0,0.0,1.0,5.71,6.5,5.65,6.5,45800.0
12570907,SNMX,2004-08-23,6.42,6.62,6.4,6.5,22100.0,0.0,1.0,6.42,6.62,6.4,6.5,22100.0
12570908,SNMX,2004-08-24,6.5,6.5,6.27,6.4,14000.0,0.0,1.0,6.5,6.5,6.27,6.4,14000.0
12570909,SNMX,2004-08-25,6.3,6.5,6.3,6.49,12300.0,0.0,1.0,6.3,6.5,6.3,6.49,12300.0
12570910,SNMX,2004-08-26,6.5,6.5,6.4,6.5,27500.0,0.0,1.0,6.5,6.5,6.4,6.5,27500.0
12570911,SNMX,2004-08-27,6.5,6.5,6.42,6.49,7400.0,0.0,1.0,6.5,6.5,6.42,6.49,7400.0
12570912,SNMX,2004-08-30,6.499,6.499,6.47,6.47,900.0,0.0,1.0,6.499,6.499,6.47,6.47,900.0
12570913,SNMX,2004-08-31,6.49,6.5,6.47,6.5,2100.0,0.0,1.0,6.49,6.5,6.47,6.5,2100.0
12570914,SNMX,2004-09-01,6.5,6.55,6.42,6.5,16200.0,0.0,1.0,6.5,6.55,6.42,6.5,16200.0
12570915,SNMX,2004-09-02,6.5,6.5,6.41,6.42,17400.0,0.0,1.0,6.5,6.5,6.41,6.42,17400.0
12570916,SNMX,2004-09-03,6.82,7.2,6.47,6.82,102800.0,0.0,1.0,6.82,7.2,6.47,6.82,102800.0
12570917,SNMX,2004-09-07,6.82,6.869,6.48,6.54,10700.0,0.0,1.0,6.82,6.869,6.48,6.54,10700.0
12570918,SNMX,2004-09-08,6.53,7.25,6.4,6.95,62200.0,0.0,1.0,6.53,7.25,6.4,6.95,62200.0
12570919,SNMX,2004-09-09,7.07,7.6,7.03,7.4,48900.0,0.0,1.0,7.07,7.6,7.03,7.4,48900.0
12570920,SNMX,2004-09-10,7.51,7.75,7.25,7.75,45600.0,0.0,1.0,7.51,7.75,7.25,7.75,45600.0
12570921,SNMX,2004-09-13,7.6,8.05,7.6,8.05,41400.0,0.0,1.0,7.6,8.05,7.6,8.05,41400.0
12570922,SNMX,2004-09-14,8.06,8.3,7.61,7.74,55500.0,0.0,1.0,8.06,8.3,7.61,7.74,55500.0
12570923,SNMX,2004-09-15,7.86,8.359,7.86,7.96,103600.0,0.0,1.0,7.86,8.359,7.86,7.96,103600.0
12570924,SNMX,2004-09-16,8.1,8.11,7.6,7.75,64400.0,0.0,1.0,8.1,8.11,7.6,7.75,64400.0
12570925,SNMX,2004-09-17,8.0,8.44,7.51,8.18,66200.0,0.0,1.0,8.0,8.44,7.51,8.18,66200.0
12570926,SNMX,2004-09-20,8.35,8.6,8.3,8.37,47100.0,0.0,1.0,8.35,8.6,8.3,8.37,47100.0
12570927,SNMX,2004-09-21,8.86,9.07,8.21,9.07,66400.0,0.0,1.0,8.86,9.07,8.21,9.07,66400.0
12570928,SNMX,2004-09-22,9.05,9.75,9.05,9.5,79900.0,0.0,1.0,9.05,9.75,9.05,9.5,79900.0
12570929,SNMX,2004-09-23,9.65,9.65,8.75,8.9,31800.0,0.0,1.0,9.65,9.65,8.75,8.9,31800.0
