,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
12729387,SQBK,2014-03-27,20.0,20.7,19.53,20.6,5283700.0,0.0,1.0,20.0,20.7,19.53,20.6,5283700.0
12729388,SQBK,2014-03-28,20.45,20.6499,20.15,20.49,426700.0,0.0,1.0,20.45,20.6499,20.15,20.49,426700.0
12729389,SQBK,2014-03-31,20.25,20.4501,19.95,20.1,432700.0,0.0,1.0,20.25,20.4501,19.95,20.1,432700.0
12729390,SQBK,2014-04-01,20.5,20.5,19.99,20.06,828800.0,0.0,1.0,20.5,20.5,19.99,20.06,828800.0
12729391,SQBK,2014-04-02,20.1,20.1899,19.95,20.09,411300.0,0.0,1.0,20.1,20.1899,19.95,20.09,411300.0
12729392,SQBK,2014-04-03,20.0,20.15,19.95,20.13,247400.0,0.0,1.0,20.0,20.15,19.95,20.13,247400.0
12729393,SQBK,2014-04-04,20.08,20.49,20.0,20.02,119000.0,0.0,1.0,20.08,20.49,20.0,20.02,119000.0
12729394,SQBK,2014-04-07,19.65,20.0021,19.02,19.78,471500.0,0.0,1.0,19.65,20.0021,19.02,19.78,471500.0
12729395,SQBK,2014-04-08,19.85,19.95,19.77,19.86,79900.0,0.0,1.0,19.85,19.95,19.77,19.86,79900.0
12729396,SQBK,2014-04-09,19.93,20.095,19.6475,19.98,429100.0,0.0,1.0,19.93,20.095,19.6475,19.98,429100.0
12729397,SQBK,2014-04-10,19.94,19.94,19.1,19.55,212100.0,0.0,1.0,19.94,19.94,19.1,19.55,212100.0
12729398,SQBK,2014-04-11,19.25,20.0,19.15,19.66,138400.0,0.0,1.0,19.25,20.0,19.15,19.66,138400.0
12729399,SQBK,2014-04-14,19.7,19.864,19.5,19.73,24500.0,0.0,1.0,19.7,19.864,19.5,19.73,24500.0
12729400,SQBK,2014-04-15,19.69,19.73,19.25,19.45,171100.0,0.0,1.0,19.69,19.73,19.25,19.45,171100.0
12729401,SQBK,2014-04-16,19.35,19.58,18.83,19.03,358100.0,0.0,1.0,19.35,19.58,18.83,19.03,358100.0
12729402,SQBK,2014-04-17,18.36,19.0,18.2,18.96,251200.0,0.0,1.0,18.36,19.0,18.2,18.96,251200.0
12729403,SQBK,2014-04-21,18.53,19.04,18.53,19.03,87100.0,0.0,1.0,18.53,19.04,18.53,19.03,87100.0
12729404,SQBK,2014-04-22,18.89,19.05,18.89,18.98,38400.0,0.0,1.0,18.89,19.05,18.89,18.98,38400.0
12729405,SQBK,2014-04-23,19.05,19.05,18.669,18.78,86800.0,0.0,1.0,19.05,19.05,18.669,18.78,86800.0
12729406,SQBK,2014-04-24,18.84,19.04,18.77,18.9,110400.0,0.0,1.0,18.84,19.04,18.77,18.9,110400.0
12729407,SQBK,2014-04-25,18.89,19.01,18.801,18.96,84000.0,0.0,1.0,18.89,19.01,18.801,18.96,84000.0
12729408,SQBK,2014-04-28,18.89,19.13,18.54,18.98,150100.0,0.0,1.0,18.89,19.13,18.54,18.98,150100.0
12729409,SQBK,2014-04-29,18.94,19.0,18.6,18.66,75100.0,0.0,1.0,18.94,19.0,18.6,18.66,75100.0
12729410,SQBK,2014-04-30,18.58,18.98,18.55,18.85,53500.0,0.0,1.0,18.58,18.98,18.55,18.85,53500.0
12729411,SQBK,2014-05-01,18.85,19.04,18.59,18.87,243000.0,0.0,1.0,18.85,19.04,18.59,18.87,243000.0
12729412,SQBK,2014-05-02,18.91,19.025,18.91,18.97,102300.0,0.0,1.0,18.91,19.025,18.91,18.97,102300.0
12729413,SQBK,2014-05-05,18.94,19.0,18.61,18.91,40500.0,0.0,1.0,18.94,19.0,18.61,18.91,40500.0
12729414,SQBK,2014-05-06,18.88,18.987000000000002,18.85,18.89,48500.0,0.0,1.0,18.88,18.987000000000002,18.85,18.89,48500.0
12729415,SQBK,2014-05-07,18.87,18.89,18.4,18.55,58400.0,0.0,1.0,18.87,18.89,18.4,18.55,58400.0
12729416,SQBK,2014-05-08,18.55,18.55,18.162,18.43,25700.0,0.0,1.0,18.55,18.55,18.162,18.43,25700.0
12729417,SQBK,2014-05-09,18.35,18.8299,18.35,18.47,83900.0,0.0,1.0,18.35,18.8299,18.35,18.47,83900.0
12729418,SQBK,2014-05-12,18.5,18.81,18.33,18.7,37900.0,0.0,1.0,18.5,18.81,18.33,18.7,37900.0
12729419,SQBK,2014-05-13,18.68,18.74,18.36,18.5,12500.0,0.0,1.0,18.68,18.74,18.36,18.5,12500.0
