,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
12756121,SREV,2011-03-25,13.65,14.0,12.0,12.18,11792100.0,0.0,1.0,13.65,14.0,12.0,12.18,11792100.0
12756122,SREV,2011-03-28,12.5,12.85,11.5,11.53,1014500.0,0.0,1.0,12.5,12.85,11.5,11.53,1014500.0
12756123,SREV,2011-03-29,11.8,12.15,11.5,11.83,723000.0,0.0,1.0,11.8,12.15,11.5,11.83,723000.0
12756124,SREV,2011-03-30,11.84,12.5,11.7,12.43,612600.0,0.0,1.0,11.84,12.5,11.7,12.43,612600.0
12756125,SREV,2011-03-31,12.43,12.5,12.0,12.18,614800.0,0.0,1.0,12.43,12.5,12.0,12.18,614800.0
12756126,SREV,2011-04-01,12.15,12.47,11.52,12.11,594600.0,0.0,1.0,12.15,12.47,11.52,12.11,594600.0
12756127,SREV,2011-04-04,12.06,12.48,12.0,12.4,141800.0,0.0,1.0,12.06,12.48,12.0,12.4,141800.0
12756128,SREV,2011-04-05,12.47,13.0,11.931,12.94,190100.0,0.0,1.0,12.47,13.0,11.931,12.94,190100.0
12756129,SREV,2011-04-06,12.9,13.18,12.44,12.84,275800.0,0.0,1.0,12.9,13.18,12.44,12.84,275800.0
12756130,SREV,2011-04-07,12.91,12.99,12.52,12.87,183600.0,0.0,1.0,12.91,12.99,12.52,12.87,183600.0
12756131,SREV,2011-04-08,12.9,13.0,12.71,12.78,226100.0,0.0,1.0,12.9,13.0,12.71,12.78,226100.0
12756132,SREV,2011-04-11,12.78,12.79,12.28,12.55,237100.0,0.0,1.0,12.78,12.79,12.28,12.55,237100.0
12756133,SREV,2011-04-12,12.58,12.74,12.081,12.43,292300.0,0.0,1.0,12.58,12.74,12.081,12.43,292300.0
12756134,SREV,2011-04-13,12.43,12.9,12.11,12.46,220800.0,0.0,1.0,12.43,12.9,12.11,12.46,220800.0
12756135,SREV,2011-04-14,12.32,12.73,12.0,12.49,440800.0,0.0,1.0,12.32,12.73,12.0,12.49,440800.0
12756136,SREV,2011-04-15,12.43,12.62,12.03,12.34,357500.0,0.0,1.0,12.43,12.62,12.03,12.34,357500.0
12756137,SREV,2011-04-18,12.21,12.48,11.83,12.19,414600.0,0.0,1.0,12.21,12.48,11.83,12.19,414600.0
12756138,SREV,2011-04-19,12.09,12.24,11.29,11.88,826100.0,0.0,1.0,12.09,12.24,11.29,11.88,826100.0
12756139,SREV,2011-04-20,11.96,12.2,11.31,11.77,406900.0,0.0,1.0,11.96,12.2,11.31,11.77,406900.0
12756140,SREV,2011-04-21,11.75,11.91,11.505,11.75,382400.0,0.0,1.0,11.75,11.91,11.505,11.75,382400.0
12756141,SREV,2011-04-25,11.67,12.1111,11.61,11.89,215700.0,0.0,1.0,11.67,12.1111,11.61,11.89,215700.0
12756142,SREV,2011-04-26,11.83,12.56,11.69,12.07,376900.0,0.0,1.0,11.83,12.56,11.69,12.07,376900.0
12756143,SREV,2011-04-27,12.01,12.44,11.84,12.27,112700.0,0.0,1.0,12.01,12.44,11.84,12.27,112700.0
12756144,SREV,2011-04-28,12.27,12.75,12.27,12.63,61600.0,0.0,1.0,12.27,12.75,12.27,12.63,61600.0
