,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
13386988,THG,1995-10-11,23.5,24.62,23.38,24.25,6137300.0,0.0,1.0,17.127855838899,17.944162159731,17.040394447381,17.674489535885,6137300.0
13386989,THG,1995-10-12,24.5,24.62,24.12,24.62,1006900.0,0.0,1.0,17.856700768214,17.944162159731,17.579739695074,17.944162159731,1006900.0
13386990,THG,1995-10-13,25.5,26.0,25.38,25.38,1152100.0,0.0,1.0,18.585545697528,18.949968162186,18.498084306011,18.498084306011,1152100.0
13386991,THG,1995-10-16,25.25,25.5,24.88,25.38,436600.0,0.0,1.0,18.4033344652,18.585545697528,18.133661841353,18.498084306011,436600.0
13386992,THG,1995-10-17,25.38,25.38,25.12,25.25,342400.0,0.0,1.0,18.498084306011,18.498084306011,18.308584624389,18.4033344652,342400.0
13386993,THG,1995-10-18,25.12,25.88,25.0,25.88,805100.0,0.0,1.0,18.308584624389,18.862506770668002,18.221123232871,18.862506770668002,805100.0
13386994,THG,1995-10-19,26.0,26.5,25.88,26.12,599200.0,0.0,1.0,18.949968162186,19.314390626843,18.862506770668002,19.037429553704,599200.0
13386995,THG,1995-10-20,26.0,26.12,26.0,26.12,265300.0,0.0,1.0,18.949968162186,19.037429553704,18.949968162186,19.037429553704,265300.0
13386996,THG,1995-10-23,26.0,26.0,25.5,25.5,151800.0,0.0,1.0,18.949968162186,18.949968162186,18.585545697528,18.585545697528,151800.0
13386997,THG,1995-10-24,25.62,25.88,25.62,25.62,165900.0,0.0,1.0,18.673007089046,18.862506770668002,18.673007089046,18.673007089046,165900.0
13386998,THG,1995-10-25,25.62,25.88,25.62,25.88,256700.0,0.0,1.0,18.673007089046,18.862506770668002,18.673007089046,18.862506770668002,256700.0
13386999,THG,1995-10-26,25.62,25.75,25.5,25.62,508400.0,0.0,1.0,18.673007089046,18.767756929857,18.585545697528,18.673007089046,508400.0
13387000,THG,1995-10-27,24.88,25.25,24.75,25.0,238100.0,0.0,1.0,18.133661841353,18.4033344652,18.038912000542,18.221123232871,238100.0
13387001,THG,1995-10-30,25.0,25.0,24.88,24.88,140700.0,0.0,1.0,18.221123232871,18.221123232871,18.133661841353,18.133661841353,140700.0
13387002,THG,1995-10-31,24.88,25.12,24.62,25.12,254600.0,0.0,1.0,18.133661841353,18.308584624389,17.944162159731,18.308584624389,254600.0
13387003,THG,1995-11-01,25.0,26.25,25.0,25.75,179100.0,0.0,1.0,18.221123232871,19.132179394515,18.221123232871,18.767756929857,179100.0
13387004,THG,1995-11-02,25.75,25.88,25.62,25.88,406700.0,0.0,1.0,18.767756929857,18.862506770668002,18.673007089046,18.862506770668002,406700.0
13387005,THG,1995-11-03,25.88,25.88,25.38,25.38,259200.0,0.0,1.0,18.862506770668002,18.862506770668002,18.498084306011,18.498084306011,259200.0
13387006,THG,1995-11-06,25.25,25.25,23.88,24.62,809900.0,0.0,1.0,18.4033344652,18.4033344652,17.404816912038,17.944162159731,809900.0
13387007,THG,1995-11-07,24.25,24.88,24.25,24.75,351400.0,0.0,1.0,17.674489535885,18.133661841353,17.674489535885,18.038912000542,351400.0
13387008,THG,1995-11-08,24.75,25.0,24.75,24.88,420300.0,0.0,1.0,18.038912000542,18.221123232871,18.038912000542,18.133661841353,420300.0
13387009,THG,1995-11-09,24.88,25.25,24.88,24.88,387400.0,0.0,1.0,18.133661841353,18.4033344652,18.133661841353,18.133661841353,387400.0
13387010,THG,1995-11-10,24.75,24.88,24.62,24.75,216400.0,0.0,1.0,18.038912000542,18.133661841353,17.944162159731,18.038912000542,216400.0
13387011,THG,1995-11-13,24.62,25.0,24.62,24.75,330800.0,0.0,1.0,17.944162159731,18.221123232871,17.944162159731,18.038912000542,330800.0
13387012,THG,1995-11-14,24.75,24.75,24.38,24.5,293900.0,0.0,1.0,18.038912000542,18.038912000542,17.769239376696,17.856700768214,293900.0
13387013,THG,1995-11-15,24.5,24.88,24.38,24.88,254600.0,0.0,1.0,17.856700768214,18.133661841353,17.769239376696,18.133661841353,254600.0
13387014,THG,1995-11-16,24.88,25.38,24.88,25.25,265700.0,0.0,1.0,18.133661841353,18.498084306011,18.133661841353,18.4033344652,265700.0
13387015,THG,1995-11-17,25.12,25.25,25.0,25.25,213800.0,0.0,1.0,18.308584624389,18.4033344652,18.221123232871,18.4033344652,213800.0
13387016,THG,1995-11-20,25.25,25.5,25.25,25.25,187100.0,0.0,1.0,18.4033344652,18.585545697528,18.4033344652,18.4033344652,187100.0
13387017,THG,1995-11-21,25.25,25.38,24.75,24.88,264800.0,0.0,1.0,18.4033344652,18.498084306011,18.038912000542,18.133661841353,264800.0
13387018,THG,1995-11-22,24.75,25.5,24.75,25.0,168200.0,0.0,1.0,18.038912000542,18.585545697528,18.038912000542,18.221123232871,168200.0
13387019,THG,1995-11-24,25.12,25.12,24.75,24.75,38800.0,0.0,1.0,18.308584624389,18.308584624389,18.038912000542,18.038912000542,38800.0
13387020,THG,1995-11-27,24.75,25.38,24.75,25.38,144400.0,0.0,1.0,18.038912000542,18.498084306011,18.038912000542,18.498084306011,144400.0
13387021,THG,1995-11-28,25.5,25.88,25.25,25.5,165500.0,0.0,1.0,18.585545697528,18.862506770668002,18.4033344652,18.585545697528,165500.0
13387022,THG,1995-11-29,25.38,25.75,25.38,25.75,120300.0,0.0,1.0,18.498084306011,18.767756929857,18.498084306011,18.767756929857,120300.0
13387023,THG,1995-11-30,25.62,26.38,25.62,26.0,195800.0,0.0,1.0,18.673007089046,19.226929235325,18.673007089046,18.949968162186,195800.0
13387024,THG,1995-12-01,26.0,26.25,25.75,26.12,125300.0,0.0,1.0,18.949968162186,19.132179394515,18.767756929857,19.037429553704,125300.0
13387025,THG,1995-12-04,26.0,26.62,26.0,26.62,108500.0,0.0,1.0,18.949968162186,19.401852018361,18.949968162186,19.401852018361,108500.0
13387026,THG,1995-12-05,26.62,26.75,26.38,26.75,172400.0,0.0,1.0,19.401852018361,19.496601859172,19.226929235325,19.496601859172,172400.0
13387027,THG,1995-12-06,28.5,28.62,28.25,28.38,547700.0,0.0,1.0,20.772080485473,20.859541876991,20.589869253144,20.684619093955,547700.0
13387028,THG,1995-12-07,28.38,28.5,27.75,27.88,164700.0,0.0,1.0,20.684619093955,20.772080485473,20.225446788487,20.320196629298,164700.0
13387029,THG,1995-12-08,28.0,28.12,27.75,27.88,312600.0,0.0,1.0,20.407658020815,20.495119412333,20.225446788487,20.320196629298,312600.0
13387030,THG,1995-12-11,28.12,28.38,27.75,27.88,223300.0,0.0,1.0,20.495119412333,20.684619093955,20.225446788487,20.320196629298,223300.0
13387031,THG,1995-12-12,28.0,28.25,27.88,28.25,152800.0,0.0,1.0,20.407658020815,20.589869253144,20.320196629298,20.589869253144,152800.0
13387032,THG,1995-12-13,28.25,28.25,27.5,27.62,165200.0,0.0,1.0,20.589869253144,20.589869253144,20.043235556158,20.130696947676,165200.0
13387033,THG,1995-12-14,27.75,27.88,27.62,27.75,113100.0,0.0,1.0,20.225446788487,20.320196629298,20.130696947676,20.225446788487,113100.0
13387034,THG,1995-12-15,27.75,27.75,26.75,27.5,135800.0,0.0,1.0,20.225446788487,20.225446788487,19.496601859172,20.043235556158,135800.0
13387035,THG,1995-12-18,27.25,27.25,26.88,27.0,177900.0,0.0,1.0,19.861024323829,19.861024323829,19.591351699983,19.678813091501,177900.0
13387036,THG,1995-12-19,27.0,27.25,26.5,27.25,110200.0,0.0,1.0,19.678813091501,19.861024323829,19.314390626843,19.861024323829,110200.0
13387037,THG,1995-12-20,27.25,27.38,26.75,26.75,116000.0,0.0,1.0,19.861024323829,19.95577416464,19.496601859172,19.496601859172,116000.0
13387038,THG,1995-12-21,26.5,27.25,26.25,27.12,157500.0,0.0,1.0,19.314390626843,19.861024323829,19.132179394515,19.766274483018,157500.0
13387039,THG,1995-12-22,27.25,27.62,26.75,27.12,221200.0,0.0,1.0,19.861024323829,20.130696947676,19.496601859172,19.766274483018,221200.0
13387040,THG,1995-12-26,27.38,27.38,27.12,27.25,69800.0,0.0,1.0,19.95577416464,19.95577416464,19.766274483018,19.861024323829,69800.0
13387041,THG,1995-12-27,27.25,27.38,27.12,27.12,50400.0,0.0,1.0,19.861024323829,19.95577416464,19.766274483018,19.766274483018,50400.0
13387042,THG,1995-12-28,27.0,27.12,26.88,27.0,187900.0,0.0,1.0,19.678813091501,19.766274483018,19.591351699983,19.678813091501,187900.0
13387043,THG,1995-12-29,26.75,27.12,26.75,27.0,84600.0,0.0,1.0,19.496601859172,19.766274483018,19.496601859172,19.678813091501,84600.0
13387044,THG,1996-01-02,26.75,26.75,25.62,26.12,152500.0,0.0,1.0,19.496601859172,19.496601859172,18.673007089046,19.037429553704,152500.0
13387045,THG,1996-01-03,26.25,27.38,26.0,26.88,213100.0,0.0,1.0,19.132179394515,19.95577416464,18.949968162186,19.591351699983,213100.0
13387046,THG,1996-01-04,27.0,27.12,26.88,27.0,112800.0,0.0,1.0,19.678813091501,19.766274483018,19.591351699983,19.678813091501,112800.0
13387047,THG,1996-01-05,26.75,26.75,26.62,26.75,86500.0,0.0,1.0,19.496601859172,19.496601859172,19.401852018361,19.496601859172,86500.0
13387048,THG,1996-01-08,26.75,26.75,26.5,26.62,128900.0,0.0,1.0,19.496601859172,19.496601859172,19.314390626843,19.401852018361,128900.0
13387049,THG,1996-01-09,26.75,26.75,26.25,26.38,151100.0,0.0,1.0,19.496601859172,19.496601859172,19.132179394515,19.226929235325,151100.0
13387050,THG,1996-01-10,26.12,26.25,25.38,25.75,278700.0,0.0,1.0,19.037429553704,19.132179394515,18.498084306011,18.767756929857,278700.0
13387051,THG,1996-01-11,25.75,26.25,25.25,26.0,319200.0,0.0,1.0,18.767756929857,19.132179394515,18.4033344652,18.949968162186,319200.0
13387052,THG,1996-01-12,26.0,26.75,26.0,26.75,60600.0,0.0,1.0,18.949968162186,19.496601859172,18.949968162186,19.496601859172,60600.0
13387053,THG,1996-01-15,26.75,27.12,26.62,26.88,100200.0,0.0,1.0,19.496601859172,19.766274483018,19.401852018361,19.591351699983,100200.0
13387054,THG,1996-01-16,26.88,27.25,26.75,26.88,100600.0,0.0,1.0,19.591351699983,19.861024323829,19.496601859172,19.591351699983,100600.0
13387055,THG,1996-01-17,27.0,27.38,26.88,27.38,220000.0,0.0,1.0,19.678813091501,19.95577416464,19.591351699983,19.95577416464,220000.0
13387056,THG,1996-01-18,27.5,27.75,27.12,27.5,73000.0,0.0,1.0,20.043235556158,20.225446788487,19.766274483018,20.043235556158,73000.0
13387057,THG,1996-01-19,27.38,27.38,26.88,26.88,142600.0,0.0,1.0,19.95577416464,19.95577416464,19.591351699983,19.591351699983,142600.0
13387058,THG,1996-01-22,27.0,27.0,26.25,26.25,93800.0,0.0,1.0,19.678813091501,19.678813091501,19.132179394515,19.132179394515,93800.0
13387059,THG,1996-01-23,26.38,26.38,25.88,25.88,87800.0,0.0,1.0,19.226929235325,19.226929235325,18.862506770668002,18.862506770668002,87800.0
13387060,THG,1996-01-24,25.62,25.88,24.88,25.38,313000.0,0.0,1.0,18.673007089046,18.862506770668002,18.133661841353,18.498084306011,313000.0
13387061,THG,1996-01-25,25.62,25.88,25.25,25.62,192400.0,0.0,1.0,18.673007089046,18.862506770668002,18.4033344652,18.673007089046,192400.0
