,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
13723929,TSYS,2000-08-09,24.75,26.38,22.75,24.13,1909500.0,0.0,1.0,24.75,26.38,22.75,24.13,1909500.0
13723930,TSYS,2000-08-10,24.25,24.63,19.13,20.06,988000.0,0.0,1.0,24.25,24.63,19.13,20.06,988000.0
13723931,TSYS,2000-08-11,21.0,21.0,18.63,18.66,1032100.0,0.0,1.0,21.0,21.0,18.63,18.66,1032100.0
13723932,TSYS,2000-08-14,18.25,20.38,17.25,18.25,496200.0,0.0,1.0,18.25,20.38,17.25,18.25,496200.0
13723933,TSYS,2000-08-15,18.09,19.75,17.13,19.63,157000.0,0.0,1.0,18.09,19.75,17.13,19.63,157000.0
13723934,TSYS,2000-08-16,20.56,24.88,20.5,23.25,749100.0,0.0,1.0,20.56,24.88,20.5,23.25,749100.0
13723935,TSYS,2000-08-17,24.56,25.5,23.75,25.0,319700.0,0.0,1.0,24.56,25.5,23.75,25.0,319700.0
13723936,TSYS,2000-08-18,24.81,26.13,23.81,25.25,215300.0,0.0,1.0,24.81,26.13,23.81,25.25,215300.0
13723937,TSYS,2000-08-21,24.25,24.25,20.38,22.13,381000.0,0.0,1.0,24.25,24.25,20.38,22.13,381000.0
13723938,TSYS,2000-08-22,23.0,24.13,21.5,22.13,201500.0,0.0,1.0,23.0,24.13,21.5,22.13,201500.0
13723939,TSYS,2000-08-23,21.63,22.38,21.5,22.25,85600.0,0.0,1.0,21.63,22.38,21.5,22.25,85600.0
13723940,TSYS,2000-08-24,21.88,22.5,19.5,19.5,386900.0,0.0,1.0,21.88,22.5,19.5,19.5,386900.0
13723941,TSYS,2000-08-25,20.0,21.13,20.0,20.75,124500.0,0.0,1.0,20.0,21.13,20.0,20.75,124500.0
13723942,TSYS,2000-08-28,21.06,23.13,21.0,23.0,97300.0,0.0,1.0,21.06,23.13,21.0,23.0,97300.0
13723943,TSYS,2000-08-29,23.19,25.0,23.19,25.0,127500.0,0.0,1.0,23.19,25.0,23.19,25.0,127500.0
13723944,TSYS,2000-08-30,24.75,28.75,23.75,28.31,408300.0,0.0,1.0,24.75,28.75,23.75,28.31,408300.0
13723945,TSYS,2000-08-31,29.38,30.0,28.0,28.69,207900.0,0.0,1.0,29.38,30.0,28.0,28.69,207900.0
13723946,TSYS,2000-09-01,29.0,29.5,26.38,28.25,224400.0,0.0,1.0,29.0,29.5,26.38,28.25,224400.0
13723947,TSYS,2000-09-05,28.63,32.25,26.38,31.94,273600.0,0.0,1.0,28.63,32.25,26.38,31.94,273600.0
13723948,TSYS,2000-09-06,31.56,32.0,26.25,27.0,100400.0,0.0,1.0,31.56,32.0,26.25,27.0,100400.0
13723949,TSYS,2000-09-07,28.63,28.75,27.0,28.13,182000.0,0.0,1.0,28.63,28.75,27.0,28.13,182000.0
13723950,TSYS,2000-09-08,28.75,29.13,25.88,26.5,140500.0,0.0,1.0,28.75,29.13,25.88,26.5,140500.0
13723951,TSYS,2000-09-11,25.88,27.06,23.5,24.25,35900.0,0.0,1.0,25.88,27.06,23.5,24.25,35900.0
13723952,TSYS,2000-09-12,24.38,25.13,22.0,23.88,129500.0,0.0,1.0,24.38,25.13,22.0,23.88,129500.0
13723953,TSYS,2000-09-13,23.13,24.0,22.38,23.13,126500.0,0.0,1.0,23.13,24.0,22.38,23.13,126500.0
13723954,TSYS,2000-09-14,22.88,24.13,22.88,23.5,76200.0,0.0,1.0,22.88,24.13,22.88,23.5,76200.0
13723955,TSYS,2000-09-15,24.0,25.0,23.25,24.19,64600.0,0.0,1.0,24.0,25.0,23.25,24.19,64600.0
13723956,TSYS,2000-09-18,24.31,25.44,21.13,22.5,80500.0,0.0,1.0,24.31,25.44,21.13,22.5,80500.0
13723957,TSYS,2000-09-19,23.0,23.0,20.13,20.38,179400.0,0.0,1.0,23.0,23.0,20.13,20.38,179400.0
13723958,TSYS,2000-09-20,20.25,21.0,20.25,20.25,76900.0,0.0,1.0,20.25,21.0,20.25,20.25,76900.0
13723959,TSYS,2000-09-21,20.47,20.5,18.0,19.25,113300.0,0.0,1.0,20.47,20.5,18.0,19.25,113300.0
13723960,TSYS,2000-09-22,19.5,19.5,18.38,19.13,251300.0,0.0,1.0,19.5,19.5,18.38,19.13,251300.0
13723961,TSYS,2000-09-25,21.25,22.38,20.25,20.88,333900.0,0.0,1.0,21.25,22.38,20.25,20.88,333900.0
