,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
13773976,TUMI,2012-04-19,26.0,28.7,24.07,26.5,20893600.0,0.0,1.0,26.0,28.7,24.07,26.5,20893600.0
13773977,TUMI,2012-04-20,26.86,26.86,25.1,26.2,2025500.0,0.0,1.0,26.86,26.86,25.1,26.2,2025500.0
13773978,TUMI,2012-04-23,25.7,26.07,25.04,25.52,924100.0,0.0,1.0,25.7,26.07,25.04,25.52,924100.0
13773979,TUMI,2012-04-24,25.88,26.08,25.0,25.26,602600.0,0.0,1.0,25.88,26.08,25.0,25.26,602600.0
13773980,TUMI,2012-04-25,25.25,25.29,25.0,25.25,721700.0,0.0,1.0,25.25,25.29,25.0,25.25,721700.0
13773981,TUMI,2012-04-26,25.25,25.99,25.16,25.36,408200.0,0.0,1.0,25.25,25.99,25.16,25.36,408200.0
13773982,TUMI,2012-04-27,25.26,27.15,25.26,26.57,1394900.0,0.0,1.0,25.26,27.15,25.26,26.57,1394900.0
13773983,TUMI,2012-04-30,26.31,26.55,25.3,25.47,481400.0,0.0,1.0,26.31,26.55,25.3,25.47,481400.0
13773984,TUMI,2012-05-01,25.63,25.63,25.0,25.05,432000.0,0.0,1.0,25.63,25.63,25.0,25.05,432000.0
13773985,TUMI,2012-05-02,25.0,25.28,25.0,25.17,306600.0,0.0,1.0,25.0,25.28,25.0,25.17,306600.0
13773986,TUMI,2012-05-03,25.27,25.28,24.2,24.4,929000.0,0.0,1.0,25.27,25.28,24.2,24.4,929000.0
13773987,TUMI,2012-05-04,24.01,24.09,22.75,23.0,1091100.0,0.0,1.0,24.01,24.09,22.75,23.0,1091100.0
13773988,TUMI,2012-05-07,23.05,23.76,22.63,23.76,596000.0,0.0,1.0,23.05,23.76,22.63,23.76,596000.0
13773989,TUMI,2012-05-08,22.28,23.51,22.28,22.9,978200.0,0.0,1.0,22.28,23.51,22.28,22.9,978200.0
13773990,TUMI,2012-05-09,23.0,23.07,22.34,22.49,802100.0,0.0,1.0,23.0,23.07,22.34,22.49,802100.0
13773991,TUMI,2012-05-10,22.86,22.86,21.08,21.49,849600.0,0.0,1.0,22.86,22.86,21.08,21.49,849600.0
13773992,TUMI,2012-05-11,21.25,21.45,20.68,21.17,1180600.0,0.0,1.0,21.25,21.45,20.68,21.17,1180600.0
13773993,TUMI,2012-05-14,21.19,21.38,19.95,21.25,943400.0,0.0,1.0,21.19,21.38,19.95,21.25,943400.0
13773994,TUMI,2012-05-15,21.56,22.15,21.47,21.5,543000.0,0.0,1.0,21.56,22.15,21.47,21.5,543000.0
13773995,TUMI,2012-05-16,21.56,21.67,20.07,20.45,1531600.0,0.0,1.0,21.56,21.67,20.07,20.45,1531600.0
13773996,TUMI,2012-05-17,20.34,20.39,18.9,19.07,1201400.0,0.0,1.0,20.34,20.39,18.9,19.07,1201400.0
13773997,TUMI,2012-05-18,19.0,19.0,17.56,18.73,2025600.0,0.0,1.0,19.0,19.0,17.56,18.73,2025600.0
13773998,TUMI,2012-05-21,18.58,19.2,17.83,19.05,2202700.0,0.0,1.0,18.58,19.2,17.83,19.05,2202700.0
13773999,TUMI,2012-05-22,19.05,19.9,18.76,19.64,779800.0,0.0,1.0,19.05,19.9,18.76,19.64,779800.0
13774000,TUMI,2012-05-23,19.5,19.72,18.97,19.28,376000.0,0.0,1.0,19.5,19.72,18.97,19.28,376000.0
13774001,TUMI,2012-05-24,19.18,19.28,18.21,18.53,836600.0,0.0,1.0,19.18,19.28,18.21,18.53,836600.0
