,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
14198644,USMD,2012-09-07,100.0,110.0,11.09,11.09,1000.0,0.0,1.0,100.0,110.0,11.09,11.09,1000.0
14198645,USMD,2012-09-10,11.09,11.09,11.09,11.09,0.0,0.0,1.0,11.09,11.09,11.09,11.09,0.0
14198646,USMD,2012-09-11,11.09,11.09,11.09,11.09,0.0,0.0,1.0,11.09,11.09,11.09,11.09,0.0
14198647,USMD,2012-09-12,11.09,11.09,11.09,11.09,0.0,0.0,1.0,11.09,11.09,11.09,11.09,0.0
14198648,USMD,2012-09-13,11.09,11.09,11.09,11.09,0.0,0.0,1.0,11.09,11.09,11.09,11.09,0.0
14198649,USMD,2012-09-14,11.09,11.09,11.09,11.09,0.0,0.0,1.0,11.09,11.09,11.09,11.09,0.0
14198650,USMD,2012-09-17,24.0,57.6,24.0,57.6,1100.0,0.0,1.0,24.0,57.6,24.0,57.6,1100.0
14198651,USMD,2012-09-18,55.0,57.6,55.0,57.6,200.0,0.0,1.0,55.0,57.6,55.0,57.6,200.0
14198652,USMD,2012-09-19,60.12,60.12,42.35,42.4,1200.0,0.0,1.0,60.12,60.12,42.35,42.4,1200.0
14198653,USMD,2012-09-20,45.0,45.0,45.0,45.0,100.0,0.0,1.0,45.0,45.0,45.0,45.0,100.0
14198654,USMD,2012-09-21,43.0,43.0,33.33,33.33,300.0,0.0,1.0,43.0,43.0,33.33,33.33,300.0
14198655,USMD,2012-09-24,33.33,33.33,33.33,33.33,0.0,0.0,1.0,33.33,33.33,33.33,33.33,0.0
14198656,USMD,2012-09-25,33.0,33.0,32.85,32.85,200.0,0.0,1.0,33.0,33.0,32.85,32.85,200.0
14198657,USMD,2012-09-26,25.01,25.01,20.0,20.0001,700.0,0.0,1.0,25.01,25.01,20.0,20.0001,700.0
14198658,USMD,2012-09-27,25.0,25.0,22.23,22.23,1800.0,0.0,1.0,25.0,25.0,22.23,22.23,1800.0
14198659,USMD,2012-09-28,22.23,22.23,22.23,22.23,0.0,0.0,1.0,22.23,22.23,22.23,22.23,0.0
14198660,USMD,2012-10-01,22.5,22.5,22.5,22.5,100.0,0.0,1.0,22.5,22.5,22.5,22.5,100.0
14198661,USMD,2012-10-02,22.22,22.22,20.51,21.0,300.0,0.0,1.0,22.22,22.22,20.51,21.0,300.0
14198662,USMD,2012-10-03,21.0,21.0,21.0,21.0,0.0,0.0,1.0,21.0,21.0,21.0,21.0,0.0
14198663,USMD,2012-10-04,21.0,21.0,21.0,21.0,0.0,0.0,1.0,21.0,21.0,21.0,21.0,0.0
14198664,USMD,2012-10-05,21.0,21.0,21.0,21.0,0.0,0.0,1.0,21.0,21.0,21.0,21.0,0.0
14198665,USMD,2012-10-08,21.0,21.0,21.0,21.0,0.0,0.0,1.0,21.0,21.0,21.0,21.0,0.0
14198666,USMD,2012-10-09,21.0,21.0,21.0,21.0,0.0,0.0,1.0,21.0,21.0,21.0,21.0,0.0
14198667,USMD,2012-10-10,20.02,20.02,19.77,19.77,300.0,0.0,1.0,20.02,20.02,19.77,19.77,300.0
14198668,USMD,2012-10-11,19.0001,19.0001,18.0,18.0,1400.0,0.0,1.0,19.0001,19.0001,18.0,18.0,1400.0
14198669,USMD,2012-10-12,17.0,17.0,16.26,16.26,200.0,0.0,1.0,17.0,17.0,16.26,16.26,200.0
14198670,USMD,2012-10-15,15.5,15.5,14.0,14.4999,2200.0,0.0,1.0,15.5,15.5,14.0,14.4999,2200.0
14198671,USMD,2012-10-16,14.0,14.0,13.8,14.0,1300.0,0.0,1.0,14.0,14.0,13.8,14.0,1300.0
14198672,USMD,2012-10-17,13.0,13.0,12.05,12.05,700.0,0.0,1.0,13.0,13.0,12.05,12.05,700.0
14198673,USMD,2012-10-18,12.58,13.9999,12.58,13.0,1400.0,0.0,1.0,12.58,13.9999,12.58,13.0,1400.0
14198674,USMD,2012-10-19,13.995999999999999,13.9999,12.0,12.97,2000.0,0.0,1.0,13.995999999999999,13.9999,12.0,12.97,2000.0
14198675,USMD,2012-10-22,12.95,12.97,12.5,12.5,1800.0,0.0,1.0,12.95,12.97,12.5,12.5,1800.0
14198676,USMD,2012-10-23,14.25,14.25,11.51,12.6,1800.0,0.0,1.0,14.25,14.25,11.51,12.6,1800.0
14198677,USMD,2012-10-24,12.0,12.0,12.0,12.0,100.0,0.0,1.0,12.0,12.0,12.0,12.0,100.0
14198678,USMD,2012-10-25,12.0,12.0,12.0,12.0,0.0,0.0,1.0,12.0,12.0,12.0,12.0,0.0
14198679,USMD,2012-10-26,12.0,12.0,12.0,12.0,0.0,0.0,1.0,12.0,12.0,12.0,12.0,0.0
14198680,USMD,2012-10-31,12.0,12.0,11.87,11.87,1200.0,0.0,1.0,12.0,12.0,11.87,11.87,1200.0
14198681,USMD,2012-11-01,12.11,12.5,12.0,12.5,1500.0,0.0,1.0,12.11,12.5,12.0,12.5,1500.0
14198682,USMD,2012-11-02,12.0,12.0,11.9,11.98,1500.0,0.0,1.0,12.0,12.0,11.9,11.98,1500.0
14198683,USMD,2012-11-05,11.98,11.98,11.98,11.98,0.0,0.0,1.0,11.98,11.98,11.98,11.98,0.0
14198684,USMD,2012-11-06,12.0,12.0,11.5,11.5,600.0,0.0,1.0,12.0,12.0,11.5,11.5,600.0
14198685,USMD,2012-11-07,12.0,12.0,11.97,12.0,500.0,0.0,1.0,12.0,12.0,11.97,12.0,500.0
14198686,USMD,2012-11-08,12.0,12.0,12.0,12.0,0.0,0.0,1.0,12.0,12.0,12.0,12.0,0.0
14198687,USMD,2012-11-09,12.0,12.0,12.0,12.0,0.0,0.0,1.0,12.0,12.0,12.0,12.0,0.0
14198688,USMD,2012-11-12,12.0,12.0,12.0,12.0,800.0,0.0,1.0,12.0,12.0,12.0,12.0,800.0
14198689,USMD,2012-11-13,11.75,11.75,11.5,11.5,200.0,0.0,1.0,11.75,11.75,11.5,11.5,200.0
