,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
14199663,USMO,2004-11-17,36.75,38.0,36.44,37.05,323700.0,0.0,1.0,36.75,38.0,36.44,37.05,323700.0
14199664,USMO,2004-11-18,37.2,37.2,35.54,37.05,345600.0,0.0,1.0,37.2,37.2,35.54,37.05,345600.0
14199665,USMO,2004-11-19,36.53,37.24,36.51,37.14,250400.0,0.0,1.0,36.53,37.24,36.51,37.14,250400.0
14199666,USMO,2004-11-22,36.52,37.34,36.52,37.25,59600.0,0.0,1.0,36.52,37.34,36.52,37.25,59600.0
14199667,USMO,2004-11-23,37.34,37.6,36.86,37.05,121100.0,0.0,1.0,37.34,37.6,36.86,37.05,121100.0
14199668,USMO,2004-11-24,37.05,37.27,36.61,36.98,106200.0,0.0,1.0,37.05,37.27,36.61,36.98,106200.0
14199669,USMO,2004-11-26,37.2,37.53,36.9,36.93,10800.0,0.0,1.0,37.2,37.53,36.9,36.93,10800.0
14199670,USMO,2004-11-29,36.92,37.03,36.12,36.51,119700.0,0.0,1.0,36.92,37.03,36.12,36.51,119700.0
14199671,USMO,2004-11-30,36.58,36.65,36.12,36.36,179700.0,0.0,1.0,36.58,36.65,36.12,36.36,179700.0
14199672,USMO,2004-12-01,36.42,37.02,36.11,36.79,169700.0,0.0,1.0,36.42,37.02,36.11,36.79,169700.0
14199673,USMO,2004-12-02,36.23,37.25,36.23,37.25,85200.0,0.0,1.0,36.23,37.25,36.23,37.25,85200.0
14199674,USMO,2004-12-03,37.29,37.29,36.26,36.6,165100.0,0.0,1.0,37.29,37.29,36.26,36.6,165100.0
14199675,USMO,2004-12-06,36.25,37.19,35.63,35.87,226800.0,0.0,1.0,36.25,37.19,35.63,35.87,226800.0
14199676,USMO,2004-12-07,35.75,36.3,35.75,36.02,84600.0,0.0,1.0,35.75,36.3,35.75,36.02,84600.0
14199677,USMO,2004-12-08,36.0,36.47,34.65,35.35,200400.0,0.0,1.0,36.0,36.47,34.65,35.35,200400.0
14199678,USMO,2004-12-09,34.85,35.35,34.3,35.27,69500.0,0.0,1.0,34.85,35.35,34.3,35.27,69500.0
14199679,USMO,2004-12-10,34.95,35.22,34.66,34.8,308300.0,0.0,1.0,34.95,35.22,34.66,34.8,308300.0
14199680,USMO,2004-12-13,35.0,35.19,33.87,33.93,251600.0,0.0,1.0,35.0,35.19,33.87,33.93,251600.0
14199681,USMO,2004-12-14,33.92,34.17,33.42,34.01,226900.0,0.0,1.0,33.92,34.17,33.42,34.01,226900.0
14199682,USMO,2004-12-15,34.21,34.22,33.78,34.22,104700.0,0.0,1.0,34.21,34.22,33.78,34.22,104700.0
14199683,USMO,2004-12-16,33.83,34.55,33.58,34.02,224300.0,0.0,1.0,33.83,34.55,33.58,34.02,224300.0
14199684,USMO,2004-12-17,33.51,34.21,33.51,34.0,90100.0,0.0,1.0,33.51,34.21,33.51,34.0,90100.0
14199685,USMO,2004-12-20,34.0,34.07,33.83,33.89,83900.0,0.0,1.0,34.0,34.07,33.83,33.89,83900.0
14199686,USMO,2004-12-21,34.15,34.15,33.53,33.75,60700.0,0.0,1.0,34.15,34.15,33.53,33.75,60700.0
14199687,USMO,2004-12-22,33.5,33.92,33.43,33.65,16400.0,0.0,1.0,33.5,33.92,33.43,33.65,16400.0
14199688,USMO,2004-12-23,33.97,33.97,33.25,33.33,32000.0,0.0,1.0,33.97,33.97,33.25,33.33,32000.0
14199689,USMO,2004-12-27,33.97,34.15,33.4,34.1,89600.0,0.0,1.0,33.97,34.15,33.4,34.1,89600.0
14199690,USMO,2004-12-28,34.5,34.5,33.9,34.36,46500.0,0.0,1.0,34.5,34.5,33.9,34.36,46500.0
14199691,USMO,2004-12-29,33.9,34.41,33.85,34.13,59400.0,0.0,1.0,33.9,34.41,33.85,34.13,59400.0
14199692,USMO,2004-12-30,34.41,35.4,33.91,34.95,79800.0,0.0,1.0,34.41,35.4,33.91,34.95,79800.0
14199693,USMO,2004-12-31,35.47,35.53,34.96,35.31,144600.0,0.0,1.0,35.47,35.53,34.96,35.31,144600.0
14199694,USMO,2005-01-03,35.06,35.58,33.83,34.09,182300.0,0.0,1.0,35.06,35.58,33.83,34.09,182300.0
14199695,USMO,2005-01-04,34.92,34.95,33.26,33.26,246700.0,0.0,1.0,34.92,34.95,33.26,33.26,246700.0
14199696,USMO,2005-01-05,33.25,34.2,33.05,34.0,87600.0,0.0,1.0,33.25,34.2,33.05,34.0,87600.0
14199697,USMO,2005-01-06,34.24,34.52,33.62,34.52,313400.0,0.0,1.0,34.24,34.52,33.62,34.52,313400.0
14199698,USMO,2005-01-07,34.75,34.75,33.91,34.32,56600.0,0.0,1.0,34.75,34.75,33.91,34.32,56600.0
14199699,USMO,2005-01-10,34.18,34.64,34.0,34.64,120100.0,0.0,1.0,34.18,34.64,34.0,34.64,120100.0
14199700,USMO,2005-01-11,34.73,35.47,34.04,35.12,112500.0,0.0,1.0,34.73,35.47,34.04,35.12,112500.0
14199701,USMO,2005-01-12,34.78,35.62,34.78,35.5,165200.0,0.0,1.0,34.78,35.62,34.78,35.5,165200.0
14199702,USMO,2005-01-13,35.75,36.12,35.67,36.07,170300.0,0.0,1.0,35.75,36.12,35.67,36.07,170300.0
14199703,USMO,2005-01-14,36.1,36.39,35.63,35.96,102500.0,0.0,1.0,36.1,36.39,35.63,35.96,102500.0
14199704,USMO,2005-01-18,36.03,36.05,35.62,35.91,97300.0,0.0,1.0,36.03,36.05,35.62,35.91,97300.0
14199705,USMO,2005-01-19,36.03,36.03,34.78,35.2,650600.0,0.0,1.0,36.03,36.03,34.78,35.2,650600.0
14199706,USMO,2005-01-20,35.42,35.83,35.0,35.04,96600.0,0.0,1.0,35.42,35.83,35.0,35.04,96600.0
14199707,USMO,2005-01-21,35.57,35.57,33.85,34.27,243800.0,0.0,1.0,35.57,35.57,33.85,34.27,243800.0
14199708,USMO,2005-01-24,34.35,34.35,34.0,34.0,222900.0,0.0,1.0,34.35,34.35,34.0,34.0,222900.0
14199709,USMO,2005-01-25,34.02,34.28,33.49,33.64,87300.0,0.0,1.0,34.02,34.28,33.49,33.64,87300.0
14199710,USMO,2005-01-26,34.2,34.2,33.5,33.74,54300.0,0.0,1.0,34.2,34.2,33.5,33.74,54300.0
14199711,USMO,2005-01-27,33.33,34.48,33.33,34.26,51200.0,0.0,1.0,33.33,34.48,33.33,34.26,51200.0
14199712,USMO,2005-01-28,34.26,35.2,34.07,34.35,95700.0,0.0,1.0,34.26,35.2,34.07,34.35,95700.0
14199713,USMO,2005-01-31,34.7,35.57,34.7,35.55,231200.0,0.0,1.0,34.7,35.57,34.7,35.55,231200.0
14199714,USMO,2005-02-01,35.75,35.8,35.5,35.77,147700.0,0.0,1.0,35.75,35.8,35.5,35.77,147700.0
14199715,USMO,2005-02-02,35.49,35.77,34.93,35.33,89100.0,0.0,1.0,35.49,35.77,34.93,35.33,89100.0
14199716,USMO,2005-02-03,35.47,35.7,34.96,35.57,29800.0,0.0,1.0,35.47,35.7,34.96,35.57,29800.0
14199717,USMO,2005-02-04,35.9,36.26,35.87,36.19,69600.0,0.0,1.0,35.9,36.26,35.87,36.19,69600.0
14199718,USMO,2005-02-07,36.25,36.27,36.0,36.27,220200.0,0.0,1.0,36.25,36.27,36.0,36.27,220200.0
14199719,USMO,2005-02-08,36.0,37.0,36.0,37.0,46200.0,0.0,1.0,36.0,37.0,36.0,37.0,46200.0
14199720,USMO,2005-02-09,36.5,37.25,36.5,37.2,304000.0,0.0,1.0,36.5,37.25,36.5,37.2,304000.0
14199721,USMO,2005-02-10,37.09,38.29,37.08,38.02,343200.0,0.0,1.0,37.09,38.29,37.08,38.02,343200.0
14199722,USMO,2005-02-11,38.33,38.49,37.92,37.95,158900.0,0.0,1.0,38.33,38.49,37.92,37.95,158900.0
14199723,USMO,2005-02-14,38.38,38.38,37.75,37.9,138400.0,0.0,1.0,38.38,38.38,37.75,37.9,138400.0
14199724,USMO,2005-02-15,37.74,37.89,37.64,37.7,131000.0,0.0,1.0,37.74,37.89,37.64,37.7,131000.0
14199725,USMO,2005-02-16,37.75,38.1,37.62,37.67,48300.0,0.0,1.0,37.75,38.1,37.62,37.67,48300.0
14199726,USMO,2005-02-17,37.96,37.96,37.44,37.45,132500.0,0.0,1.0,37.96,37.96,37.44,37.45,132500.0
14199727,USMO,2005-02-18,37.79,37.97,37.45,37.85,56000.0,0.0,1.0,37.79,37.97,37.45,37.85,56000.0
14199728,USMO,2005-02-22,37.95,38.12,37.41,37.65,92200.0,0.0,1.0,37.95,38.12,37.41,37.65,92200.0
14199729,USMO,2005-02-23,37.83,37.85,37.45,37.62,66700.0,0.0,1.0,37.83,37.85,37.45,37.62,66700.0
14199730,USMO,2005-02-24,37.8,38.0,37.43,37.95,75800.0,0.0,1.0,37.8,38.0,37.43,37.95,75800.0
14199731,USMO,2005-02-25,38.12,39.05,38.0,39.0,137600.0,0.0,1.0,38.12,39.05,38.0,39.0,137600.0
14199732,USMO,2005-02-28,39.09,39.29,38.71,39.24,89400.0,0.0,1.0,39.09,39.29,38.71,39.24,89400.0
14199733,USMO,2005-03-01,39.0,39.49,39.0,39.38,85600.0,0.0,1.0,39.0,39.49,39.0,39.38,85600.0
14199734,USMO,2005-03-02,39.19,39.55,39.1,39.24,66200.0,0.0,1.0,39.19,39.55,39.1,39.24,66200.0
14199735,USMO,2005-03-03,39.59,39.59,38.66,38.69,52900.0,0.0,1.0,39.59,39.59,38.66,38.69,52900.0
14199736,USMO,2005-03-04,39.11,39.11,38.55,38.65,25900.0,0.0,1.0,39.11,39.11,38.55,38.65,25900.0
14199737,USMO,2005-03-07,38.86,39.3,37.82,37.83,73400.0,0.0,1.0,38.86,39.3,37.82,37.83,73400.0
14199738,USMO,2005-03-08,37.75,38.81,37.68,38.75,188700.0,0.0,1.0,37.75,38.81,37.68,38.75,188700.0
14199739,USMO,2005-03-09,38.45,38.62,38.27,38.55,185900.0,0.0,1.0,38.45,38.62,38.27,38.55,185900.0
14199740,USMO,2005-03-10,38.53,39.53,38.45,39.25,135900.0,0.0,1.0,38.53,39.53,38.45,39.25,135900.0
14199741,USMO,2005-03-11,39.2,39.25,39.04,39.05,112500.0,0.0,1.0,39.2,39.25,39.04,39.05,112500.0
14199742,USMO,2005-03-14,38.84,39.24,38.84,39.0,178900.0,0.0,1.0,38.84,39.24,38.84,39.0,178900.0
14199743,USMO,2005-03-15,39.22,39.75,38.98,39.5,104300.0,0.0,1.0,39.22,39.75,38.98,39.5,104300.0
