,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
14513003,VTL,2014-04-17,12.25,12.49,11.85,12.0,998700.0,0.0,1.0,12.25,12.49,11.85,12.0,998700.0
14513004,VTL,2014-04-21,12.5,12.5,12.0,12.1,51800.0,0.0,1.0,12.5,12.5,12.0,12.1,51800.0
14513005,VTL,2014-04-22,12.0,12.32,12.0,12.32,36900.0,0.0,1.0,12.0,12.32,12.0,12.32,36900.0
14513006,VTL,2014-04-23,12.3,12.3,12.05,12.25,42000.0,0.0,1.0,12.3,12.3,12.05,12.25,42000.0
14513007,VTL,2014-04-24,12.75,12.75,12.0,12.28,33400.0,0.0,1.0,12.75,12.75,12.0,12.28,33400.0
14513008,VTL,2014-04-25,12.15,12.39,12.01,12.39,18400.0,0.0,1.0,12.15,12.39,12.01,12.39,18400.0
14513009,VTL,2014-04-28,12.35,12.59,12.2,12.57,46500.0,0.0,1.0,12.35,12.59,12.2,12.57,46500.0
14513010,VTL,2014-04-29,12.75,13.0,12.2,12.95,237800.0,0.0,1.0,12.75,13.0,12.2,12.95,237800.0
14513011,VTL,2014-04-30,12.84,13.0,12.5,13.0,59000.0,0.0,1.0,12.84,13.0,12.5,13.0,59000.0
14513012,VTL,2014-05-01,12.9,12.95,12.19,12.35,272600.0,0.0,1.0,12.9,12.95,12.19,12.35,272600.0
14513013,VTL,2014-05-02,12.35,12.38,10.72,11.21,108300.0,0.0,1.0,12.35,12.38,10.72,11.21,108300.0
14513014,VTL,2014-05-05,10.66,12.59,10.66,12.1,105800.0,0.0,1.0,10.66,12.59,10.66,12.1,105800.0
14513015,VTL,2014-05-06,12.8,12.8,11.71,11.8,30800.0,0.0,1.0,12.8,12.8,11.71,11.8,30800.0
14513016,VTL,2014-05-07,11.82,12.29,11.82,12.28,10900.0,0.0,1.0,11.82,12.29,11.82,12.28,10900.0
14513017,VTL,2014-05-08,12.32,12.4897,12.25,12.34,21300.0,0.0,1.0,12.32,12.4897,12.25,12.34,21300.0
14513018,VTL,2014-05-09,12.35,12.5,12.07,12.5,15100.0,0.0,1.0,12.35,12.5,12.07,12.5,15100.0
14513019,VTL,2014-05-12,12.39,12.5,12.0001,12.49,23200.0,0.0,1.0,12.39,12.5,12.0001,12.49,23200.0
