,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
15136668,XPO,2003-10-07,1.34,1.34,1.23,1.25,50800.0,0.0,1.0,5.36,5.36,4.92,5.0,12700.0
15136669,XPO,2003-10-08,1.25,1.25,1.23,1.25,10000.0,0.0,1.0,5.0,5.0,4.92,5.0,2500.0
15136670,XPO,2003-10-09,1.23,1.25,1.23,1.25,28800.0,0.0,1.0,4.92,5.0,4.92,5.0,7200.0
15136671,XPO,2003-10-10,1.25,1.3,1.25,1.3,7600.0,0.0,1.0,5.0,5.2,5.0,5.2,1900.0
15136672,XPO,2003-10-13,1.3,1.34,1.28,1.33,27600.0,0.0,1.0,5.2,5.36,5.12,5.32,6900.0
15136673,XPO,2003-10-14,1.3,1.3,1.3,1.3,400.0,0.0,1.0,5.2,5.2,5.2,5.2,100.0
15136674,XPO,2003-10-15,1.34,1.34,1.28,1.34,10000.0,0.0,1.0,5.36,5.36,5.12,5.36,2500.0
15136675,XPO,2003-10-16,1.31,1.35,1.28,1.35,59600.0,0.0,1.0,5.24,5.4,5.12,5.4,14900.0
15136676,XPO,2003-10-17,1.35,1.35,1.27,1.27,9600.0,0.0,1.0,5.4,5.4,5.08,5.08,2400.0
15136677,XPO,2003-10-20,1.3,1.75,1.28,1.74,128800.0,0.0,1.0,5.2,7.0,5.12,6.96,32200.0
15136678,XPO,2003-10-21,1.7,1.7,1.5,1.5,40400.0,0.0,1.0,6.8,6.8,6.0,6.0,10100.0
15136679,XPO,2003-10-22,1.5,1.51,1.38,1.4,181200.0,0.0,1.0,6.0,6.04,5.52,5.6,45300.0
15136680,XPO,2003-10-23,1.37,1.38,1.35,1.35,8000.0,0.0,1.0,5.48,5.52,5.4,5.4,2000.0
15136681,XPO,2003-10-24,1.38,1.42,1.34,1.4,12000.0,0.0,1.0,5.52,5.68,5.36,5.6,3000.0
15136682,XPO,2003-10-27,1.34,1.37,1.34,1.37,6000.0,0.0,1.0,5.36,5.48,5.36,5.48,1500.0
