,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
15176483,YDKN,2014-07-07,19.29,19.5,17.99,19.27,30500.0,0.0,1.0,18.335829503130924,18.535441954953498,17.100133372800688,18.31681879343353,30500.0
15176484,YDKN,2014-07-08,19.25,19.46,18.57,19.05,58900.0,0.0,1.0,18.297808083736147,18.497420535558728,17.65144395402495,18.107700986762268,58900.0
15176485,YDKN,2014-07-09,19.15,19.35,19.05,19.13,49300.0,0.0,1.0,18.202754535249206,18.392861632223088,18.107700986762268,18.18374382555181,49300.0
15176486,YDKN,2014-07-10,18.85,19.0,18.52,18.78,79300.0,0.0,1.0,17.917593889788385,18.060174212518795,17.603917179781476,17.851056405847523,79300.0
15176487,YDKN,2014-07-11,18.73,18.73,18.27,18.3,45000.0,0.0,1.0,17.803529631604054,17.803529631604054,17.366283308564125,17.394799373110207,45000.0
15176488,YDKN,2014-07-14,18.43,18.46,18.26,18.35,70100.0,0.0,1.0,17.51836898614323,17.546885050689312,17.356777953715433,17.44232614735368,70100.0
15176489,YDKN,2014-07-15,18.5,18.7,18.5,18.65,51400.0,0.0,1.0,17.58490647008409,17.775013567057968,17.58490647008409,17.7274867928145,51400.0
15176490,YDKN,2014-07-16,18.7,18.7,18.5,18.54,46000.0,0.0,1.0,17.775013567057968,17.775013567057968,17.58490647008409,17.622927889478863,46000.0
15176491,YDKN,2014-07-17,18.5,18.55,17.83,17.91,65400.0,0.0,1.0,17.58490647008409,17.632433244327558,16.948047695221582,17.024090534011137,65400.0
15176492,YDKN,2014-07-18,17.84,18.29,17.82,18.16,43100.0,0.0,1.0,16.957553050070278,17.385294018261508,16.93854234037289,17.261724405228488,43100.0
15176493,YDKN,2014-07-21,18.05,18.1,17.89,17.97,38200.0,0.0,1.0,17.157165501892855,17.204692276136328,17.00507982431375,17.0811226631033,38200.0
15176494,YDKN,2014-07-22,17.88,18.52,17.86,18.1,29600.0,0.0,1.0,16.995574469465055,17.603917179781476,16.976563759767664,17.204692276136328,29600.0
15176495,YDKN,2014-07-23,18.29,18.7,18.19,18.58,66100.0,0.0,1.0,17.385294018261508,17.775013567057968,17.290240469774574,17.66094930887364,66100.0
15176496,YDKN,2014-07-24,18.7,18.79,18.39,18.75,79700.0,0.0,1.0,17.775013567057968,17.860561760696218,17.480347566748453,17.82254034130144,79700.0
15176497,YDKN,2014-07-25,18.62,18.83,18.62,18.7,68000.0,0.0,1.0,17.698970728268414,17.898583180090988,17.698970728268414,17.775013567057968,68000.0
15176498,YDKN,2014-07-28,18.65,18.73,18.54,18.66,40400.0,0.0,1.0,17.7274867928145,17.803529631604054,17.622927889478863,17.736992147663194,40400.0
15176499,YDKN,2014-07-29,18.72,18.75,18.59,18.63,101600.0,0.0,1.0,17.79402427675536,17.82254034130144,17.670454663722335,17.708476083117112,101600.0
15176500,YDKN,2014-07-30,18.7,18.7,18.36,18.63,43900.0,0.0,1.0,17.775013567057968,17.775013567057968,17.45183150220237,17.708476083117112,43900.0
15176501,YDKN,2014-07-31,18.41,18.62,18.36,18.56,352300.0,0.0,1.0,17.499358276445847,17.698970728268414,17.45183150220237,17.641938599176253,352300.0
15176502,YDKN,2014-08-01,18.55,18.84,18.41,18.5,68500.0,0.0,1.0,17.632433244327558,17.908088534939687,17.499358276445847,17.58490647008409,68500.0
15176503,YDKN,2014-08-04,18.6,18.6,18.4,18.55,143200.0,0.0,1.0,17.67996001857103,17.67996001857103,17.489852921597148,17.632433244327558,143200.0
15176504,YDKN,2014-08-05,18.4,18.65,18.4,18.56,99600.0,0.0,1.0,17.489852921597148,17.7274867928145,17.489852921597148,17.641938599176253,99600.0
15176505,YDKN,2014-08-06,17.99,18.89,17.99,18.69,232900.0,0.0,1.0,17.100133372800688,17.955615309183163,17.100133372800688,17.765508212209273,232900.0
15176506,YDKN,2014-08-07,18.75,18.99,18.43,18.94,49900.0,0.0,1.0,17.82254034130144,18.050668857670093,17.51836898614323,18.003142083426628,49900.0
15176507,YDKN,2014-08-08,18.91,19.25,18.82,19.19,35900.0,0.0,1.0,17.974626018880546,18.297808083736147,17.8890778252423,18.240775954643983,35900.0
15176508,YDKN,2014-08-11,19.25,19.29,19.1,19.18,39500.0,0.0,1.0,18.297808083736147,18.335829503130924,18.155227761005737,18.231270599795288,39500.0
15176509,YDKN,2014-08-12,19.05,19.2,18.79,19.05,27800.0,0.0,1.0,18.107700986762268,18.250281309492678,17.860561760696218,18.107700986762268,27800.0
15176510,YDKN,2014-08-13,19.06,19.19,19.06,19.13,20600.0,0.0,1.0,18.11720634161096,18.240775954643983,18.11720634161096,18.18374382555181,20600.0
15176511,YDKN,2014-08-14,19.12,19.25,19.06,19.12,35900.0,0.0,1.0,18.174238470703123,18.297808083736147,18.11720634161096,18.174238470703123,35900.0
15176512,YDKN,2014-08-15,19.3,19.3,18.8,19.0,134000.0,0.0,1.0,18.345334857979623,18.345334857979623,17.870067115544916,18.060174212518795,134000.0
15176513,YDKN,2014-08-18,19.2,19.2,18.98,19.06,51500.0,0.0,1.0,18.250281309492678,18.250281309492678,18.04116350282141,18.11720634161096,51500.0
15176514,YDKN,2014-08-19,19.07,19.3,18.91,19.27,130000.0,0.0,1.0,18.126711696459648,18.345334857979623,17.974626018880546,18.31681879343353,130000.0
15176515,YDKN,2014-08-20,19.23,19.23,18.85,18.93,24700.0,0.0,1.0,18.27879737403876,18.27879737403876,17.917593889788385,17.993636728577933,24700.0
15176516,YDKN,2014-08-21,18.86,19.11,18.81,19.07,31300.0,0.0,1.0,17.927099244637073,18.164733115854432,17.879572470393605,18.126711696459648,31300.0
15176517,YDKN,2014-08-22,19.05,19.08,18.96,19.0,25400.0,0.0,1.0,18.107700986762268,18.136217051308343,18.022152793124015,18.060174212518795,25400.0
15176518,YDKN,2014-08-25,19.05,19.24,18.84,18.97,19100.0,0.0,1.0,18.107700986762268,18.288302728887448,17.908088534939687,18.03165814797271,19100.0
15176519,YDKN,2014-08-26,18.93,19.09,18.93,19.08,26600.0,0.0,1.0,17.993636728577933,18.145722406157038,17.993636728577933,18.136217051308343,26600.0
15176520,YDKN,2014-08-27,18.77,19.03,18.77,19.01,14600.0,0.0,1.0,17.841551050998827,18.088690277064877,17.841551050998827,18.06967956736749,14600.0
15176521,YDKN,2014-08-28,18.94,19.04,18.68,18.7,18500.0,0.0,1.0,18.003142083426628,18.098195631913573,17.756002857360578,17.775013567057968,18500.0
15176522,YDKN,2014-08-29,18.72,18.87,18.68,18.78,38300.0,0.0,1.0,17.79402427675536,17.936604599485776,17.756002857360578,17.851056405847523,38300.0
15176523,YDKN,2014-09-02,18.9,19.15,18.85,19.14,33800.0,0.0,1.0,17.96512066403185,18.202754535249206,17.917593889788385,18.193249180400514,33800.0
15176524,YDKN,2014-09-03,19.17,19.23,18.84,18.88,15600.0,0.0,1.0,18.221765244946603,18.27879737403876,17.908088534939687,17.946109954334464,15600.0
15176525,YDKN,2014-09-04,18.91,19.19,18.83,18.97,38300.0,0.0,1.0,17.974626018880546,18.240775954643983,17.898583180090988,18.03165814797271,38300.0
15176526,YDKN,2014-09-05,18.91,19.07,18.79,19.06,24500.0,0.0,1.0,17.974626018880546,18.126711696459648,17.860561760696218,18.11720634161096,24500.0
15176527,YDKN,2014-09-08,18.85,19.5,18.85,19.35,64900.0,0.0,1.0,17.917593889788385,18.535441954953498,17.917593889788385,18.392861632223088,64900.0
15176528,YDKN,2014-09-09,19.28,19.39,19.11,19.31,30700.0,0.0,1.0,18.32632414828223,18.43088305161786,18.164733115854432,18.35484021282831,30700.0
15176529,YDKN,2014-09-10,19.27,19.5,19.27,19.49,38800.0,0.0,1.0,18.31681879343353,18.535441954953498,18.31681879343353,18.525936600104803,38800.0
15176530,YDKN,2014-09-11,19.37,19.5,19.32,19.4,37900.0,0.0,1.0,18.411872341920475,18.535441954953498,18.364345567677006,18.440388406466557,37900.0
15176531,YDKN,2014-09-12,19.43,19.45,19.14,19.17,34000.0,0.0,1.0,18.46890447101264,18.487915180710033,18.193249180400514,18.221765244946603,34000.0
15176532,YDKN,2014-09-15,19.16,19.38,18.91,18.93,103500.0,0.0,1.0,18.2122598900979,18.42137769676917,17.974626018880546,17.993636728577933,103500.0
15176533,YDKN,2014-09-16,18.81,18.83,18.65,18.75,42200.0,0.0,1.0,17.879572470393605,17.898583180090988,17.7274867928145,17.82254034130144,42200.0
15176534,YDKN,2014-09-17,18.73,18.96,18.65,18.72,38500.0,0.0,1.0,17.803529631604054,18.022152793124015,17.7274867928145,17.79402427675536,38500.0
15176535,YDKN,2014-09-18,18.82,19.19,18.82,18.93,76900.0,0.0,1.0,17.8890778252423,18.240775954643983,17.8890778252423,17.993636728577933,76900.0
15176536,YDKN,2014-09-19,18.91,19.0,17.5,18.49,187700.0,0.0,1.0,17.974626018880546,18.060174212518795,16.63437098521468,17.575401115235394,187700.0
15176537,YDKN,2014-09-22,18.41,18.49,18.05,18.08,42446.0,0.0,1.0,17.499358276445847,17.575401115235394,17.157165501892855,17.185681566438934,42446.0
15176538,YDKN,2014-09-23,18.0,18.1,18.0,18.0,40199.0,0.0,1.0,17.109638727649386,17.204692276136328,17.109638727649386,17.109638727649386,40199.0
15176539,YDKN,2014-09-24,18.05,18.09,18.0,18.04,31227.0,0.0,1.0,17.157165501892855,17.195186921287632,17.109638727649386,17.14766014704416,31227.0
15176540,YDKN,2014-09-25,18.02,18.1,17.92,18.0,61051.0,0.0,1.0,17.12864943734677,17.204692276136328,17.033595888859832,17.109638727649386,61051.0
15176541,YDKN,2014-09-26,18.0,18.28,18.0,18.22,95964.0,0.0,1.0,17.109638727649386,17.37578866341282,17.109638727649386,17.318756534320652,95964.0
15176542,YDKN,2014-09-29,18.04,18.23,18.04,18.19,41062.0,0.0,1.0,17.14766014704416,17.328261889169347,17.14766014704416,17.290240469774574,41062.0
15176543,YDKN,2014-09-30,18.16,18.27,17.952,18.16,84736.0,0.0,1.0,17.261724405228488,17.366283308564125,17.064013024375654,17.261724405228488,84736.0
15176544,YDKN,2014-10-01,18.2,18.25,18.05,18.1,79089.0,0.0,1.0,17.299745824623265,17.347272598866738,17.157165501892855,17.204692276136328,79089.0
15176545,YDKN,2014-10-02,18.26,18.29,18.01,18.22,28358.0,0.0,1.0,17.356777953715433,17.385294018261508,17.119144082498078,17.318756534320652,28358.0
15176546,YDKN,2014-10-03,18.58,19.0,18.52,18.95,63560.0,0.0,1.0,17.66094930887364,18.060174212518795,17.603917179781476,18.012647438275327,63560.0
15176547,YDKN,2014-10-06,19.0,19.09,18.88,18.93,127353.0,0.0,1.0,18.060174212518795,18.145722406157038,17.946109954334464,17.993636728577933,127353.0
15176548,YDKN,2014-10-07,18.84,18.95,18.57,18.62,36090.0,0.0,1.0,17.908088534939687,18.012647438275327,17.65144395402495,17.698970728268414,36090.0
15176549,YDKN,2014-10-08,18.72,18.9,18.46,18.85,76888.0,0.0,1.0,17.79402427675536,17.96512066403185,17.546885050689312,17.917593889788385,76888.0
15176550,YDKN,2014-10-09,18.88,18.9,18.46,18.55,46282.0,0.0,1.0,17.946109954334464,17.96512066403185,17.546885050689312,17.632433244327558,46282.0
15176551,YDKN,2014-10-10,18.39,18.805,18.39,18.51,38158.0,0.0,1.0,17.480347566748453,17.874819792969262,17.480347566748453,17.594411824932784,38158.0
15176552,YDKN,2014-10-13,18.59,18.91,18.54,18.86,42868.0,0.0,1.0,17.670454663722335,17.974626018880546,17.622927889478863,17.927099244637073,42868.0
15176553,YDKN,2014-10-14,19.0,19.02,18.86,18.98,68894.0,0.0,1.0,18.060174212518795,18.079184922216186,17.927099244637073,18.04116350282141,68894.0
15176554,YDKN,2014-10-15,18.81,19.0,18.64,18.92,47620.0,0.0,1.0,17.879572470393605,18.060174212518795,17.717981437965808,17.984131373729237,47620.0
15176555,YDKN,2014-10-16,18.7,19.0,18.7,18.88,72934.0,0.0,1.0,17.775013567057968,18.060174212518795,17.775013567057968,17.946109954334464,72934.0
15176556,YDKN,2014-10-17,19.0,19.0,18.58,18.6,37092.0,0.0,1.0,18.060174212518795,18.060174212518795,17.66094930887364,17.67996001857103,37092.0
15176557,YDKN,2014-10-20,18.57,18.81,18.56,18.69,25148.0,0.0,1.0,17.65144395402495,17.879572470393605,17.641938599176253,17.765508212209273,25148.0
15176558,YDKN,2014-10-21,18.71,18.97,18.66,18.86,39459.0,0.0,1.0,17.78451892190667,18.03165814797271,17.736992147663194,17.927099244637073,39459.0
15176559,YDKN,2014-10-22,18.75,18.95,18.49,18.51,36465.0,0.0,1.0,17.82254034130144,18.012647438275327,17.575401115235394,17.594411824932784,36465.0
15176560,YDKN,2014-10-23,18.63,18.9,18.5,18.83,56157.0,0.0,1.0,17.708476083117112,17.96512066403185,17.58490647008409,17.898583180090988,56157.0
15176561,YDKN,2014-10-24,18.9,18.93,18.7,18.93,64743.0,0.0,1.0,17.96512066403185,17.993636728577933,17.775013567057968,17.993636728577933,64743.0
15176562,YDKN,2014-10-27,18.88,18.94,18.75,18.91,22983.0,0.0,1.0,17.946109954334464,18.003142083426628,17.82254034130144,17.974626018880546,22983.0
15176563,YDKN,2014-10-28,18.93,19.14,18.93,19.14,164231.0,0.0,1.0,17.993636728577933,18.193249180400514,17.993636728577933,18.193249180400514,164231.0
15176564,YDKN,2014-10-29,19.05,19.17,19.03,19.11,88530.0,0.0,1.0,18.107700986762268,18.221765244946603,18.088690277064877,18.164733115854432,88530.0
15176565,YDKN,2014-10-30,19.0,19.15,18.9,19.05,123436.0,0.0,1.0,18.060174212518795,18.202754535249206,17.96512066403185,18.107700986762268,123436.0
15176566,YDKN,2014-10-31,19.12,19.54,19.0,19.41,142910.0,0.0,1.0,18.174238470703123,18.57346337434827,18.060174212518795,18.449893761315245,142910.0
15176567,YDKN,2014-11-03,19.5,19.55,19.2798,19.45,93450.0,0.0,1.0,18.535441954953498,18.582968729196967,18.326134041185256,18.487915180710033,93450.0
15176568,YDKN,2014-11-04,19.34,19.49,19.22,19.43,49538.0,0.0,1.0,18.383356277374393,18.525936600104803,18.269292019190058,18.46890447101264,49538.0
15176569,YDKN,2014-11-05,19.52,19.56,19.35,19.38,38612.0,0.0,1.0,18.554452664650885,18.592474084045662,18.392861632223088,18.42137769676917,38612.0
15176570,YDKN,2014-11-06,19.44,19.53,19.34,19.48,61528.0,0.0,1.0,18.478409825861334,18.563958019499587,18.383356277374393,18.516431245256108,61528.0
